,open,high,low,close,volume,code,name
2024-11-26,27.1,27.19,26.91,27.0,88306380.0,sh600900,长江电力
2024-11-27,26.98,27.45,26.98,27.39,102469314.0,sh600900,长江电力
2024-11-28,27.37,27.48,27.17,27.43,69160630.0,sh600900,长江电力
2024-11-29,27.44,27.7,27.3,27.32,109026420.0,sh600900,长江电力
2024-12-02,27.39,27.71,27.3,27.61,88629895.0,sh600900,长江电力
2024-12-03,27.62,28.1,27.54,27.95,134347559.0,sh600900,长江电力
2024-12-04,27.95,28.53,27.81,28.45,137225662.0,sh600900,长江电力
2024-12-05,28.4,28.68,28.2,28.3,98035433.0,sh600900,长江电力
2024-12-06,28.32,28.54,28.15,28.18,90935412.0,sh600900,长江电力
2024-12-09,28.13,28.51,27.93,28.41,80287292.0,sh600900,长江电力
2024-12-10,28.4,28.58,27.96,28.02,167887746.0,sh600900,长江电力
2024-12-11,28.1,28.22,27.97,28.17,63618426.0,sh600900,长江电力
2024-12-12,28.15,28.48,28.13,28.4,77874956.0,sh600900,长江电力
2024-12-13,28.44,28.88,28.34,28.72,154285770.0,sh600900,长江电力
2024-12-16,28.78,29.39,28.78,29.28,143463294.0,sh600900,长江电力
2024-12-17,29.33,29.55,29.19,29.27,107804406.0,sh600900,长江电力
2024-12-18,29.38,29.82,29.13,29.42,98396558.0,sh600900,长江电力
2024-12-19,29.26,29.66,29.21,29.26,91061598.0,sh600900,长江电力
2024-12-20,29.21,29.43,29.08,29.2,78725172.0,sh600900,长江电力
2024-12-23,29.19,29.81,29.11,29.57,108633632.0,sh600900,长江电力
2024-12-24,29.47,29.85,29.36,29.81,92735550.0,sh600900,长江电力
2024-12-25,29.82,29.93,29.67,29.79,68516052.0,sh600900,长江电力
2024-12-26,29.79,29.83,29.29,29.32,89884558.0,sh600900,长江电力
2024-12-27,29.3,29.63,29.17,29.61,85423709.0,sh600900,长江电力
2024-12-30,29.61,29.83,29.34,29.41,77825662.0,sh600900,长江电力
2024-12-31,29.4,29.77,29.36,29.55,96537038.0,sh600900,长江电力
2025-01-02,29.51,29.73,29.08,29.2,104122008.0,sh600900,长江电力
2025-01-03,29.21,29.43,28.85,29.0,94632286.0,sh600900,长江电力
2025-01-06,29.1,29.1,28.51,28.89,79467426.0,sh600900,长江电力
2025-01-07,28.88,28.89,28.54,28.7,65496030.0,sh600900,长江电力
2025-01-08,28.67,29.16,28.63,29.0,90630929.0,sh600900,长江电力
2025-01-09,28.94,29.06,28.64,28.79,58177058.0,sh600900,长江电力
