,open,high,low,close,volume,code,name
2024-11-26,72.72,73.45,72.31,72.9,10605210.0,sh600309,万华化学
2024-11-27,72.88,74.55,72.58,74.48,15098061.0,sh600309,万华化学
2024-11-28,74.09,74.67,73.65,73.91,11117685.0,sh600309,万华化学
2024-11-29,74.0,75.0,73.09,74.29,17408767.0,sh600309,万华化学
2024-12-02,74.2,75.49,73.9,75.39,16328711.0,sh600309,万华化学
2024-12-03,75.38,75.44,74.62,75.06,12377074.0,sh600309,万华化学
2024-12-04,75.0,75.0,73.25,73.4,23786579.0,sh600309,万华化学
2024-12-05,73.02,73.19,72.0,72.33,19394673.0,sh600309,万华化学
2024-12-06,72.35,73.98,72.35,73.63,17351580.0,sh600309,万华化学
2024-12-09,73.7,74.06,72.9,73.17,14904562.0,sh600309,万华化学
2024-12-10,75.15,76.1,74.16,74.38,32281195.0,sh600309,万华化学
2024-12-11,74.1,75.05,74.0,74.9,14112463.0,sh600309,万华化学
2024-12-12,74.86,76.64,74.58,76.35,25997102.0,sh600309,万华化学
2024-12-13,75.91,75.95,74.67,74.75,19693820.0,sh600309,万华化学
2024-12-16,74.75,75.24,73.37,73.52,13140272.0,sh600309,万华化学
2024-12-17,73.35,75.68,73.23,75.11,19235609.0,sh600309,万华化学
2024-12-18,75.22,76.33,74.64,74.71,14857075.0,sh600309,万华化学
2024-12-19,74.33,74.78,73.73,74.26,8382717.0,sh600309,万华化学
2024-12-20,74.27,74.47,73.36,73.69,12867095.0,sh600309,万华化学
2024-12-23,73.68,74.97,73.63,74.13,13427799.0,sh600309,万华化学
2024-12-24,74.14,75.4,73.88,74.89,15585460.0,sh600309,万华化学
2024-12-25,75.0,75.0,73.04,73.31,18645431.0,sh600309,万华化学
2024-12-26,73.31,73.4,72.58,73.08,16729081.0,sh600309,万华化学
2024-12-27,73.09,73.19,72.41,72.99,16667600.0,sh600309,万华化学
2024-12-30,72.88,73.98,72.65,72.85,18682366.0,sh600309,万华化学
2024-12-31,72.62,72.95,71.34,71.35,23627566.0,sh600309,万华化学
2025-01-02,71.35,71.35,69.4,69.72,25730689.0,sh600309,万华化学
2025-01-03,69.72,71.14,69.7,70.09,17704391.0,sh600309,万华化学
2025-01-06,70.12,70.71,69.68,70.26,14387406.0,sh600309,万华化学
2025-01-07,70.12,70.4,69.18,69.48,16324021.0,sh600309,万华化学
2025-01-08,69.48,69.48,67.77,68.2,22425926.0,sh600309,万华化学
2025-01-09,68.11,68.43,67.52,67.71,15782366.0,sh600309,万华化学
2025-01-10,67.82,68.1,65.9,65.9,23510311.0,sh600309,万华化学
2025-01-13,65.89,67.09,65.45,66.69,15159732.0,sh600309,万华化学
2025-01-14,66.69,67.99,66.28,67.81,17833193.0,sh600309,万华化学
2025-01-15,68.0,68.1,66.9,67.18,11257368.0,sh600309,万华化学
2025-01-16,67.17,69.0,67.15,67.74,19276466.0,sh600309,万华化学
2025-01-17,67.65,69.29,67.45,68.61,18526217.0,sh600309,万华化学
2025-01-20,69.3,69.78,68.52,68.72,16045306.0,sh600309,万华化学
2025-01-21,69.0,69.05,67.04,67.52,18853657.0,sh600309,万华化学
2025-01-22,67.31,67.77,66.05,67.74,23411118.0,sh600309,万华化学
2025-01-23,68.03,68.75,67.92,68.06,17196434.0,sh600309,万华化学
2025-01-24,68.06,68.52,67.71,67.98,14046359.0,sh600309,万华化学
2025-01-27,68.0,69.0,67.99,68.53,16029355.0,sh600309,万华化学
2025-02-05,68.59,68.8,67.2,67.73,13156290.0,sh600309,万华化学
2025-02-06,67.67,67.78,66.5,67.12,21932744.0,sh600309,万华化学
2025-02-07,67.0,69.3,66.54,68.81,38405832.0,sh600309,万华化学
2025-02-10,69.2,71.6,69.05,71.3,35801009.0,sh600309,万华化学
2025-02-11,71.02,71.24,70.56,71.16,14777907.0,sh600309,万华化学
2025-02-12,71.17,71.86,70.83,71.45,17711431.0,sh600309,万华化学
2025-02-13,71.53,73.99,71.5,73.3,37438107.0,sh600309,万华化学
2025-02-14,72.99,72.99,70.22,70.46,40050930.0,sh600309,万华化学
2025-02-17,70.47,70.55,69.41,70.42,22546535.0,sh600309,万华化学
2025-02-18,69.93,71.34,69.7,69.96,22106557.0,sh600309,万华化学
2025-02-19,69.91,70.06,69.24,69.65,20489235.0,sh600309,万华化学
2025-02-20,69.45,69.45,68.12,68.55,25882839.0,sh600309,万华化学
2025-02-21,68.55,68.81,67.45,68.08,23094678.0,sh600309,万华化学
2025-02-24,67.8,68.67,67.7,68.1,19101484.0,sh600309,万华化学
2025-02-25,67.67,67.94,66.89,67.06,21291300.0,sh600309,万华化学
2025-02-26,67.24,68.5,67.24,68.35,22243466.0,sh600309,万华化学
2025-02-27,68.35,69.24,67.98,68.92,20499626.0,sh600309,万华化学
2025-02-28,68.9,70.59,68.66,68.81,26509497.0,sh600309,万华化学
2025-03-03,68.81,70.16,68.71,68.97,19287221.0,sh600309,万华化学
2025-03-04,68.61,68.97,67.91,68.41,15721478.0,sh600309,万华化学
2025-03-05,68.4,68.49,67.85,67.91,11649243.0,sh600309,万华化学
2025-03-06,68.3,68.73,67.8,68.36,14334485.0,sh600309,万华化学
2025-03-07,68.36,69.16,67.94,68.62,18458594.0,sh600309,万华化学
2025-03-10,68.62,69.69,68.15,69.2,16696246.0,sh600309,万华化学
2025-03-11,68.52,69.18,68.2,69.18,15825855.0,sh600309,万华化学
2025-03-12,69.18,69.3,67.8,67.83,28328124.0,sh600309,万华化学
2025-03-13,67.99,68.48,67.68,68.05,14144080.0,sh600309,万华化学
2025-03-14,68.09,70.29,68.0,69.84,36047264.0,sh600309,万华化学
2025-03-17,70.25,71.77,70.23,70.8,23717558.0,sh600309,万华化学
2025-03-18,69.6,69.6,68.18,68.6,39194608.0,sh600309,万华化学
2025-03-19,68.38,69.98,68.36,69.31,22302496.0,sh600309,万华化学
2025-03-20,69.04,69.23,68.25,68.33,18501613.0,sh600309,万华化学
2025-03-21,68.26,68.78,67.36,67.4,22393709.0,sh600309,万华化学
2025-03-24,67.36,67.59,66.78,67.06,18365458.0,sh600309,万华化学
2025-03-25,67.1,68.55,66.7,68.48,24986829.0,sh600309,万华化学
2025-03-26,68.43,68.46,67.93,68.07,12113177.0,sh600309,万华化学
2025-03-27,68.1,69.0,68.08,68.53,17134570.0,sh600309,万华化学
2025-03-28,68.54,68.94,67.54,67.71,14128109.0,sh600309,万华化学
2025-03-31,68.09,68.55,67.07,67.21,15255387.0,sh600309,万华化学
2025-04-01,67.22,67.64,66.88,67.1,14321592.0,sh600309,万华化学
2025-04-02,67.1,67.14,66.52,66.59,17074298.0,sh600309,万华化学
2025-04-03,65.59,66.0,65.4,65.74,19527941.0,sh600309,万华化学
2025-04-07,62.8,62.8,59.17,59.17,44923037.0,sh600309,万华化学
2025-04-08,60.2,60.25,57.88,60.25,43535250.0,sh600309,万华化学
2025-04-09,59.17,60.17,58.5,60.17,32119283.0,sh600309,万华化学
2025-04-10,61.48,61.49,60.01,60.88,26634866.0,sh600309,万华化学
2025-04-11,60.35,60.5,59.65,60.2,18392126.0,sh600309,万华化学
2025-04-14,60.24,60.45,59.31,59.45,24103249.0,sh600309,万华化学
2025-04-15,58.36,58.38,55.22,56.26,66961648.0,sh600309,万华化学
2025-04-16,56.27,56.3,54.56,55.35,41917900.0,sh600309,万华化学
2025-04-17,54.8,55.27,54.58,54.89,34415318.0,sh600309,万华化学
2025-04-18,54.91,55.05,54.6,54.99,20829460.0,sh600309,万华化学
2025-04-21,54.88,54.88,53.89,54.26,34094355.0,sh600309,万华化学
2025-04-22,54.0,54.55,53.89,54.08,23371105.0,sh600309,万华化学
2025-04-23,54.32,55.67,54.32,55.05,39600723.0,sh600309,万华化学
2025-04-24,55.17,55.17,54.22,54.45,21166636.0,sh600309,万华化学
2025-04-25,54.9,56.99,54.89,56.05,48682498.0,sh600309,万华化学
2025-04-28,56.05,56.05,55.13,55.19,22199762.0,sh600309,万华化学
