,open,high,low,close,volume,code,name
2024-11-26,4.52,4.56,4.51,4.54,65650573.0,sh600905,三峡能源
2024-11-27,4.54,4.57,4.48,4.57,93309293.0,sh600905,三峡能源
2024-11-28,4.56,4.58,4.54,4.55,80958478.0,sh600905,三峡能源
2024-11-29,4.55,4.59,4.53,4.56,81911301.0,sh600905,三峡能源
2024-12-02,4.56,4.62,4.55,4.61,98256808.0,sh600905,三峡能源
2024-12-03,4.6,4.63,4.58,4.62,83778784.0,sh600905,三峡能源
2024-12-04,4.61,4.62,4.57,4.58,83448311.0,sh600905,三峡能源
2024-12-05,4.58,4.6,4.55,4.56,75742544.0,sh600905,三峡能源
2024-12-06,4.56,4.62,4.55,4.61,96167016.0,sh600905,三峡能源
2024-12-09,4.62,4.66,4.61,4.62,96377907.0,sh600905,三峡能源
2024-12-10,4.68,4.72,4.6,4.6,152142518.0,sh600905,三峡能源
2024-12-11,4.6,4.62,4.59,4.61,83901874.0,sh600905,三峡能源
2024-12-12,4.61,4.63,4.58,4.63,91716696.0,sh600905,三峡能源
2024-12-13,4.61,4.62,4.54,4.54,144220804.0,sh600905,三峡能源
2024-12-16,4.53,4.57,4.53,4.55,96120078.0,sh600905,三峡能源
2024-12-17,4.55,4.57,4.51,4.51,85937422.0,sh600905,三峡能源
2024-12-18,4.53,4.59,4.52,4.54,93986048.0,sh600905,三峡能源
2024-12-19,4.52,4.52,4.46,4.49,103841095.0,sh600905,三峡能源
2024-12-20,4.48,4.5,4.46,4.47,95921866.0,sh600905,三峡能源
2024-12-23,4.47,4.5,4.45,4.45,82792605.0,sh600905,三峡能源
2024-12-24,4.44,4.49,4.44,4.48,78605100.0,sh600905,三峡能源
2024-12-25,4.48,4.53,4.47,4.51,84255534.0,sh600905,三峡能源
2024-12-26,4.51,4.52,4.44,4.45,99019063.0,sh600905,三峡能源
2024-12-27,4.45,4.47,4.43,4.45,104498438.0,sh600905,三峡能源
2024-12-30,4.45,4.46,4.4,4.42,92380408.0,sh600905,三峡能源
2024-12-31,4.42,4.44,4.37,4.37,108057676.0,sh600905,三峡能源
2025-01-02,4.37,4.38,4.23,4.25,157223360.0,sh600905,三峡能源
2025-01-03,4.25,4.3,4.24,4.25,93761279.0,sh600905,三峡能源
2025-01-06,4.26,4.28,4.2,4.24,101733644.0,sh600905,三峡能源
2025-01-07,4.24,4.27,4.22,4.26,62762656.0,sh600905,三峡能源
2025-01-08,4.27,4.3,4.23,4.27,94514211.0,sh600905,三峡能源
2025-01-09,4.26,4.27,4.22,4.23,60085498.0,sh600905,三峡能源
2025-01-10,4.23,4.24,4.16,4.16,94736320.0,sh600905,三峡能源
2025-01-13,4.15,4.19,4.11,4.14,104957605.0,sh600905,三峡能源
2025-01-14,4.15,4.22,4.14,4.21,115654288.0,sh600905,三峡能源
2025-01-15,4.21,4.21,4.16,4.17,81793099.0,sh600905,三峡能源
2025-01-16,4.18,4.22,4.17,4.2,93612325.0,sh600905,三峡能源
2025-01-17,4.19,4.24,4.18,4.22,78870044.0,sh600905,三峡能源
2025-01-20,4.22,4.25,4.21,4.21,69913814.0,sh600905,三峡能源
2025-01-21,4.22,4.23,4.17,4.19,68972414.0,sh600905,三峡能源
2025-01-22,4.18,4.18,4.14,4.15,76249970.0,sh600905,三峡能源
2025-01-23,4.17,4.22,4.16,4.17,73664841.0,sh600905,三峡能源
2025-01-24,4.17,4.19,4.15,4.18,62872996.0,sh600905,三峡能源
2025-01-27,4.19,4.24,4.18,4.2,89859800.0,sh600905,三峡能源
2025-02-05,4.2,4.21,4.16,4.2,92158948.0,sh600905,三峡能源
2025-02-06,4.18,4.24,4.18,4.24,90354599.0,sh600905,三峡能源
2025-02-07,4.24,4.29,4.23,4.27,112163397.0,sh600905,三峡能源
2025-02-10,4.29,4.31,4.27,4.27,115555706.0,sh600905,三峡能源
2025-02-11,4.27,4.27,4.23,4.25,73308459.0,sh600905,三峡能源
2025-02-12,4.24,4.27,4.23,4.26,72699178.0,sh600905,三峡能源
2025-02-13,4.27,4.29,4.25,4.25,80064000.0,sh600905,三峡能源
2025-02-14,4.26,4.27,4.24,4.26,65906822.0,sh600905,三峡能源
2025-02-17,4.26,4.32,4.24,4.31,134596015.0,sh600905,三峡能源
2025-02-18,4.31,4.32,4.26,4.26,101725788.0,sh600905,三峡能源
2025-02-19,4.26,4.27,4.24,4.25,84287168.0,sh600905,三峡能源
2025-02-20,4.25,4.26,4.21,4.23,86136033.0,sh600905,三峡能源
2025-02-21,4.24,4.27,4.21,4.27,94952732.0,sh600905,三峡能源
2025-02-24,4.25,4.3,4.24,4.26,96413627.0,sh600905,三峡能源
2025-02-25,4.25,4.26,4.22,4.23,86358556.0,sh600905,三峡能源
2025-02-26,4.22,4.25,4.22,4.25,78783455.0,sh600905,三峡能源
2025-02-27,4.25,4.26,4.22,4.25,86434931.0,sh600905,三峡能源
2025-02-28,4.24,4.25,4.2,4.2,101265130.0,sh600905,三峡能源
2025-03-03,4.2,4.23,4.16,4.19,104194814.0,sh600905,三峡能源
