,open,high,low,close,volume,code,name
2024-11-26,18.76,19.14,18.31,18.37,173697315.0,sh600104,上汽集团
2024-11-27,18.17,18.63,17.1,17.93,219235969.0,sh600104,上汽集团
2024-11-28,17.78,17.9,16.94,17.43,142629306.0,sh600104,上汽集团
2024-11-29,17.22,18.04,17.2,17.58,112892474.0,sh600104,上汽集团
2024-12-02,16.95,19.34,16.93,19.0,223583714.0,sh600104,上汽集团
2024-12-03,18.91,19.4,18.53,18.93,158561320.0,sh600104,上汽集团
2024-12-04,18.7,19.36,17.75,17.85,142225194.0,sh600104,上汽集团
2024-12-05,17.71,18.45,17.58,18.28,101182023.0,sh600104,上汽集团
2024-12-06,18.2,18.4,17.71,17.76,79746690.0,sh600104,上汽集团
2024-12-09,17.83,18.76,17.83,18.07,93570895.0,sh600104,上汽集团
2024-12-10,18.45,18.9,17.92,17.97,103571222.0,sh600104,上汽集团
2024-12-11,17.96,18.8,17.53,17.72,126049564.0,sh600104,上汽集团
2024-12-12,17.82,17.85,17.18,17.42,112793312.0,sh600104,上汽集团
2024-12-13,17.3,19.16,17.18,18.74,310795206.0,sh600104,上汽集团
2024-12-16,18.37,18.84,18.15,18.23,154266767.0,sh600104,上汽集团
2024-12-17,18.29,18.85,18.18,18.27,124822939.0,sh600104,上汽集团
2024-12-18,18.64,19.43,18.36,18.98,154321097.0,sh600104,上汽集团
2024-12-19,18.67,18.98,17.82,18.33,125708149.0,sh600104,上汽集团
2024-12-20,18.2,18.55,18.0,18.19,75367400.0,sh600104,上汽集团
2024-12-23,18.16,18.62,17.88,18.13,80651920.0,sh600104,上汽集团
2024-12-24,18.13,18.8,17.93,18.62,84834334.0,sh600104,上汽集团
2024-12-25,18.61,19.4,18.54,18.85,119824831.0,sh600104,上汽集团
2024-12-26,18.88,19.28,18.7,18.84,95376058.0,sh600104,上汽集团
2024-12-27,18.76,20.22,18.38,19.81,172346869.0,sh600104,上汽集团
2024-12-30,19.81,21.3,19.41,21.04,182909044.0,sh600104,上汽集团
2024-12-31,20.76,21.3,20.5,20.76,121839805.0,sh600104,上汽集团
2025-01-02,20.5,20.57,18.81,19.03,142480698.0,sh600104,上汽集团
2025-01-03,18.86,19.06,18.0,18.01,108053446.0,sh600104,上汽集团
2025-01-06,17.9,18.61,17.74,17.87,78238658.0,sh600104,上汽集团
2025-01-07,17.95,18.61,17.81,18.59,62482898.0,sh600104,上汽集团
2025-01-08,18.3,18.38,16.99,17.89,139189412.0,sh600104,上汽集团
2025-01-09,17.8,17.99,16.91,17.41,134117397.0,sh600104,上汽集团
2025-01-10,17.38,18.18,17.38,17.63,117028650.0,sh600104,上汽集团
2025-01-13,17.1,17.36,16.18,16.27,135152468.0,sh600104,上汽集团
2025-01-14,16.28,17.38,16.2,17.05,118605907.0,sh600104,上汽集团
2025-01-15,16.8,16.85,16.19,16.3,90167765.0,sh600104,上汽集团
2025-01-16,16.3,17.12,16.3,16.88,109677651.0,sh600104,上汽集团
2025-01-17,16.77,16.91,16.52,16.8,61248364.0,sh600104,上汽集团
2025-01-20,16.88,17.46,16.88,17.09,73257149.0,sh600104,上汽集团
2025-01-21,17.2,17.32,16.82,16.91,49628869.0,sh600104,上汽集团
2025-01-22,16.67,16.72,16.13,16.27,73363413.0,sh600104,上汽集团
2025-01-23,16.45,16.73,16.26,16.27,61237693.0,sh600104,上汽集团
2025-01-24,16.26,17.07,16.2,16.94,91187249.0,sh600104,上汽集团
2025-01-27,17.31,17.89,17.11,17.16,74809161.0,sh600104,上汽集团
2025-02-05,17.3,17.3,16.93,17.05,61927966.0,sh600104,上汽集团
2025-02-06,17.0,17.02,16.53,16.98,73223197.0,sh600104,上汽集团
