date,open,high,low,close,volume,code,name
2024-11-26,25.310,25.080,25.920,25.040,5321035.000,sz300059,东方财富
2024-11-27,24.940,26.350,26.440,24.800,8603075.000,sz300059,东方财富
2024-11-28,26.350,25.720,26.480,25.680,6177662.000,sz300059,东方财富
2024-11-29,25.720,27.200,28.820,25.720,13252220.000,sz300059,东方财富
2024-12-02,26.740,27.400,27.730,26.640,8277176.000,sz300059,东方财富
2024-12-03,27.290,27.300,27.890,26.850,7141623.000,sz300059,东方财富
2024-12-04,27.040,26.870,27.600,26.750,5763574.000,sz300059,东方财富
2024-12-05,26.770,27.420,27.710,26.730,6311507.000,sz300059,东方财富
2024-12-06,27.340,27.780,28.380,27.090,8999560.000,sz300059,东方财富
2024-12-09,27.510,27.480,28.080,27.140,5740585.000,sz300059,东方财富
2024-12-10,29.940,27.940,29.940,27.730,13897989.000,sz300059,东方财富
2024-12-11,27.790,27.590,28.230,27.310,6475469.000,sz300059,东方财富
2024-12-12,27.540,27.850,28.240,27.320,6578230.000,sz300059,东方财富
2024-12-13,27.520,26.350,27.520,26.280,9012205.000,sz300059,东方财富
2024-12-16,26.140,25.690,26.170,25.490,5658129.000,sz300059,东方财富
2024-12-17,25.660,25.820,26.220,25.590,4710760.000,sz300059,东方财富
2024-12-18,25.940,25.750,26.090,25.640,3273522.000,sz300059,东方财富
2024-12-19,25.320,25.790,25.990,25.200,3508311.000,sz300059,东方财富
2024-12-20,25.800,26.050,26.430,25.710,4390279.000,sz300059,东方财富
2024-12-23,25.830,25.840,26.330,25.680,3523176.000,sz300059,东方财富
2024-12-24,25.860,26.230,26.270,25.700,3935739.000,sz300059,东方财富
2024-12-25,26.270,26.040,26.310,25.780,3210913.000,sz300059,东方财富
2024-12-26,26.030,26.010,26.200,25.860,2826093.000,sz300059,东方财富
2024-12-27,26.020,26.490,27.120,25.900,6766872.000,sz300059,东方财富
2024-12-30,26.340,27.100,27.100,26.270,5837462.000,sz300059,东方财富
2024-12-31,26.950,25.760,27.130,25.740,6539326.000,sz300059,东方财富
2025-01-02,25.520,23.930,25.600,23.460,8937697.000,sz300059,东方财富
2025-01-03,23.860,22.800,23.930,22.800,6621088.000,sz300059,东方财富
2025-01-06,22.530,22.480,22.940,22.340,4233747.000,sz300059,东方财富
2025-01-07,22.560,22.950,22.990,22.350,4215494.000,sz300059,东方财富
2025-01-08,22.730,22.500,22.990,21.900,5778178.000,sz300059,东方财富
2025-01-09,22.420,22.430,22.810,22.270,2992003.000,sz300059,东方财富
2025-01-10,22.430,21.820,22.630,21.820,3352471.000,sz300059,东方财富
2025-01-13,21.400,22.060,22.280,21.400,3368406.000,sz300059,东方财富
2025-01-14,22.360,23.800,23.830,22.160,8798740.000,sz300059,东方财富
2025-01-15,23.490,23.260,23.600,23.170,4489054.000,sz300059,东方财富
2025-01-16,23.490,23.330,23.910,23.010,4473025.000,sz300059,东方财富
2025-01-17,23.190,23.380,23.680,23.120,3635276.000,sz300059,东方财富
2025-01-20,23.720,23.450,23.900,23.270,4143183.000,sz300059,东方财富
2025-01-21,23.740,23.790,23.920,23.200,4366911.000,sz300059,东方财富
2025-01-22,23.560,23.610,23.730,23.310,3596647.000,sz300059,东方财富
2025-01-23,24.340,23.670,25.140,23.670,8530899.000,sz300059,东方财富
2025-01-24,23.510,24.030,24.140,23.500,4729397.000,sz300059,东方财富
2025-01-27,24.030,22.880,24.090,22.870,4614557.000,sz300059,东方财富
2025-02-05,23.240,22.930,23.290,22.840,3134682.000,sz300059,东方财富
2025-02-06,22.830,23.630,23.810,22.720,4783466.000,sz300059,东方财富
2025-02-07,23.480,24.220,25.020,23.450,9336072.000,sz300059,东方财富
