,open,high,low,close,volume,code,name
2024-11-26,26.44,27.37,26.44,26.75,18060250.0,sh601066,中信建投
2024-11-27,26.7,27.33,26.59,27.26,21438966.0,sh601066,中信建投
2024-11-28,27.27,27.31,26.85,26.86,15476322.0,sh601066,中信建投
2024-11-29,26.76,28.14,26.6,27.27,29112547.0,sh601066,中信建投
2024-12-02,27.12,27.81,26.89,27.54,22873196.0,sh601066,中信建投
2024-12-03,27.48,27.73,27.21,27.52,15105400.0,sh601066,中信建投
2024-12-04,27.58,27.73,27.13,27.3,12748840.0,sh601066,中信建投
2024-12-05,27.2,27.71,27.1,27.46,13178600.0,sh601066,中信建投
2024-12-06,27.43,28.08,27.23,27.78,21037200.0,sh601066,中信建投
2024-12-09,27.68,27.94,27.37,27.6,12401500.0,sh601066,中信建投
2024-12-10,29.08,29.26,27.75,27.77,33653048.0,sh601066,中信建投
2024-12-11,27.74,27.98,27.58,27.7,13917374.0,sh601066,中信建投
2024-12-12,27.74,28.25,27.54,28.02,18309962.0,sh601066,中信建投
2024-12-13,27.85,27.85,27.09,27.17,17962739.0,sh601066,中信建投
2024-12-16,27.08,27.22,26.68,26.75,12096922.0,sh601066,中信建投
2024-12-17,26.75,27.09,26.7,26.86,11564258.0,sh601066,中信建投
2024-12-18,26.89,27.03,26.73,26.85,8696604.0,sh601066,中信建投
2024-12-19,26.65,26.78,26.5,26.7,8997200.0,sh601066,中信建投
2024-12-20,26.69,27.6,26.65,27.31,18395613.0,sh601066,中信建投
2024-12-23,27.2,27.42,26.54,26.54,15233707.0,sh601066,中信建投
2024-12-24,26.54,27.4,26.44,27.19,18524451.0,sh601066,中信建投
2024-12-25,27.19,27.29,26.78,27.02,9584616.0,sh601066,中信建投
2024-12-26,26.9,27.1,26.78,26.9,8317800.0,sh601066,中信建投
2024-12-27,26.89,27.34,26.73,26.86,14255400.0,sh601066,中信建投
2024-12-30,26.86,27.02,26.72,26.97,9685211.0,sh601066,中信建投
2024-12-31,26.96,26.97,25.75,25.75,17671632.0,sh601066,中信建投
2025-01-02,25.58,25.67,24.1,24.49,22842462.0,sh601066,中信建投
2025-01-03,24.5,24.68,23.73,23.86,15483004.0,sh601066,中信建投
2025-01-06,23.86,24.05,23.63,23.92,11317500.0,sh601066,中信建投
2025-01-07,24.0,24.44,23.95,24.3,9352010.0,sh601066,中信建投
2025-01-08,24.2,24.27,23.66,24.01,9822502.0,sh601066,中信建投
2025-01-09,23.94,24.19,23.82,23.85,7886381.0,sh601066,中信建投
2025-01-10,23.97,24.05,23.53,23.54,7145041.0,sh601066,中信建投
2025-01-13,23.32,23.72,23.28,23.69,7693352.0,sh601066,中信建投
2025-01-14,23.71,24.54,23.71,24.49,13679828.0,sh601066,中信建投
2025-01-15,24.49,24.49,24.18,24.24,8066589.0,sh601066,中信建投
2025-01-16,24.36,24.58,23.93,24.09,8204311.0,sh601066,中信建投
2025-01-17,24.0,24.35,24.0,24.25,7479442.0,sh601066,中信建投
2025-01-20,24.44,24.54,24.21,24.24,7772387.0,sh601066,中信建投
2025-01-21,24.49,24.5,24.11,24.22,6230180.0,sh601066,中信建投
2025-01-22,24.16,24.23,23.86,24.12,6835771.0,sh601066,中信建投
2025-01-23,24.45,24.99,24.25,24.28,15091787.0,sh601066,中信建投
2025-01-24,24.21,24.49,24.12,24.33,8942805.0,sh601066,中信建投
2025-01-27,24.33,24.44,23.8,23.8,8468800.0,sh601066,中信建投
2025-02-05,23.98,23.98,23.72,23.88,7622900.0,sh601066,中信建投
2025-02-06,23.88,24.31,23.71,24.31,9581389.0,sh601066,中信建投
2025-02-07,24.31,25.13,24.24,24.79,18504932.0,sh601066,中信建投
2025-02-10,24.79,24.96,24.68,24.87,12242682.0,sh601066,中信建投
2025-02-11,24.89,24.92,24.47,24.65,11253600.0,sh601066,中信建投
2025-02-12,24.6,25.0,24.55,24.97,12680185.0,sh601066,中信建投
2025-02-13,25.0,25.27,24.81,24.93,16095396.0,sh601066,中信建投
2025-02-14,24.9,25.05,24.71,24.92,9416745.0,sh601066,中信建投
2025-02-17,25.32,25.44,24.98,25.1,18456056.0,sh601066,中信建投
2025-02-18,25.0,25.15,24.42,24.5,12211810.0,sh601066,中信建投
2025-02-19,24.59,24.88,24.42,24.83,10548945.0,sh601066,中信建投
2025-02-20,24.8,24.87,24.52,24.67,8570001.0,sh601066,中信建投
2025-02-21,24.73,25.34,24.48,25.24,20870410.0,sh601066,中信建投
