date,open,high,low,close,volume,code,name
2024-11-25,29.810,29.140,29.980,28.620,2318101.000,sh600030,中信证券
2024-11-26,29.160,29.200,29.730,29.070,1365193.000,sh600030,中信证券
2024-11-27,29.170,29.760,29.770,28.970,1783034.000,sh600030,中信证券
2024-11-28,29.840,29.350,29.890,29.290,1281967.000,sh600030,中信证券
2024-11-29,29.360,30.230,31.360,29.230,2932909.000,sh600030,中信证券
2024-12-02,30.080,30.750,30.940,29.970,1932380.000,sh600030,中信证券
2024-12-03,30.750,30.560,30.940,30.180,1542309.000,sh600030,中信证券
2024-12-04,30.480,30.280,30.680,30.100,1178786.000,sh600030,中信证券
2024-12-05,30.180,30.380,30.730,30.130,1158933.000,sh600030,中信证券
2024-12-06,30.380,30.720,31.120,30.130,2054177.000,sh600030,中信证券
2024-12-09,30.630,30.600,30.860,30.230,1258572.000,sh600030,中信证券
2024-12-10,32.480,30.960,32.480,30.870,3066784.000,sh600030,中信证券
2024-12-11,30.910,30.820,31.200,30.640,1311480.000,sh600030,中信证券
2024-12-12,30.760,31.140,31.460,30.520,1694641.000,sh600030,中信证券
2024-12-13,30.820,29.900,30.830,29.850,2013226.000,sh600030,中信证券
2024-12-16,29.780,29.510,29.830,29.430,1263453.000,sh600030,中信证券
2024-12-17,29.490,29.710,30.130,29.390,1197166.000,sh600030,中信证券
2024-12-18,29.880,29.770,29.980,29.660,698694.000,sh600030,中信证券
2024-12-19,29.480,29.810,29.870,29.360,921468.000,sh600030,中信证券
2024-12-20,29.810,30.060,30.280,29.750,977712.000,sh600030,中信证券
2024-12-23,29.820,29.640,30.250,29.600,1045889.000,sh600030,中信证券
2024-12-24,29.640,30.040,30.100,29.620,1082009.000,sh600030,中信证券
2024-12-25,30.060,29.810,30.110,29.620,940862.000,sh600030,中信证券
2024-12-26,29.810,29.870,30.050,29.670,811412.000,sh600030,中信证券
2024-12-27,29.880,29.940,30.480,29.640,1792644.000,sh600030,中信证券
2024-12-30,29.820,30.230,30.260,29.720,1206691.000,sh600030,中信证券
2024-12-31,30.250,28.890,30.290,28.870,1980813.000,sh600030,中信证券
2025-01-02,28.700,27.170,28.720,26.890,2828487.000,sh600030,中信证券
2025-01-03,27.060,26.690,27.290,26.560,1839546.000,sh600030,中信证券
2025-01-06,26.520,26.780,26.830,26.240,1236877.000,sh600030,中信证券
2025-01-07,26.820,26.880,27.040,26.530,979724.000,sh600030,中信证券
2025-01-08,26.840,26.700,27.000,26.220,1192336.000,sh600030,中信证券
2025-01-09,26.650,26.610,26.840,26.520,630008.000,sh600030,中信证券
2025-01-10,26.650,26.180,26.800,26.180,800250.000,sh600030,中信证券
2025-01-13,25.880,26.230,26.310,25.880,660664.000,sh600030,中信证券
2025-01-14,26.340,27.420,27.480,26.270,1666249.000,sh600030,中信证券
2025-01-15,27.210,27.090,27.380,27.000,888640.000,sh600030,中信证券
2025-01-16,27.270,26.970,27.510,26.740,884584.000,sh600030,中信证券
2025-01-17,26.830,27.030,27.310,26.830,670563.000,sh600030,中信证券
2025-01-20,27.270,27.120,27.570,27.040,909528.000,sh600030,中信证券
2025-01-21,27.320,27.140,27.360,26.970,729070.000,sh600030,中信证券
2025-01-22,27.070,26.950,27.150,26.820,700671.000,sh600030,中信证券
2025-01-23,27.540,27.170,28.220,27.150,1624528.000,sh600030,中信证券
2025-01-24,27.150,27.260,27.460,27.060,969037.000,sh600030,中信证券
2025-01-27,27.350,26.650,27.370,26.640,886260.000,sh600030,中信证券
2025-02-05,26.990,26.670,26.990,26.560,786529.000,sh600030,中信证券
2025-02-06,26.620,27.090,27.180,26.560,1044842.000,sh600030,中信证券
2025-02-07,27.070,27.860,28.390,26.950,2157366.000,sh600030,中信证券
2025-02-10,27.880,27.870,28.020,27.680,1089053.000,sh600030,中信证券
2025-02-11,27.830,27.690,27.850,27.550,890392.000,sh600030,中信证券
2025-02-12,27.690,27.990,28.070,27.430,1159838.000,sh600030,中信证券
2025-02-13,27.990,27.840,28.290,27.720,1476617.000,sh600030,中信证券
2025-02-14,27.720,27.960,28.090,27.680,986332.000,sh600030,中信证券
2025-02-17,28.220,28.010,28.350,27.820,1208649.000,sh600030,中信证券
2025-02-18,27.910,27.260,27.950,27.180,1114981.000,sh600030,中信证券
2025-02-19,27.270,27.710,27.880,27.220,1000718.000,sh600030,中信证券
2025-02-20,27.650,27.610,27.780,27.440,712570.000,sh600030,中信证券
2025-02-21,27.610,28.180,28.330,27.430,1847404.000,sh600030,中信证券
2025-02-24,28.180,28.070,28.400,27.830,1197933.000,sh600030,中信证券
2025-02-25,27.820,27.550,27.940,27.440,1038604.000,sh600030,中信证券
2025-02-26,27.600,28.170,28.170,27.480,1393827.000,sh600030,中信证券
2025-02-27,27.950,27.960,28.220,27.550,1444800.000,sh600030,中信证券
2025-02-28,27.880,27.050,28.300,27.020,1594991.000,sh600030,中信证券
2025-03-03,27.150,27.080,27.520,26.930,1065090.000,sh600030,中信证券
2025-03-04,26.940,27.080,27.210,26.880,641731.000,sh600030,中信证券
2025-03-05,27.080,27.060,27.200,26.840,781856.000,sh600030,中信证券
2025-03-06,27.230,27.720,27.820,27.220,1562844.000,sh600030,中信证券
2025-03-07,27.520,27.300,27.610,27.240,957912.000,sh600030,中信证券
2025-03-10,27.220,26.960,27.220,26.860,904438.000,sh600030,中信证券
2025-03-11,26.720,27.020,27.030,26.630,779486.000,sh600030,中信证券
2025-03-12,27.020,27.020,27.440,26.910,975786.000,sh600030,中信证券
2025-03-13,26.970,26.820,27.170,26.700,860429.000,sh600030,中信证券
2025-03-14,26.950,27.790,28.180,26.860,2612084.000,sh600030,中信证券
2025-03-17,27.900,27.580,27.900,27.550,1040020.000,sh600030,中信证券
2025-03-18,27.680,27.670,27.830,27.560,684072.000,sh600030,中信证券
2025-03-19,27.650,27.650,27.810,27.550,677623.000,sh600030,中信证券
2025-03-20,27.650,27.400,27.670,27.330,641191.000,sh600030,中信证券
2025-03-21,27.320,26.810,27.430,26.770,977013.000,sh600030,中信证券
