,open,high,low,close,volume,code,name
2024-11-26,6.61,6.72,6.57,6.71,49061614.0,sh601998,中信银行
2024-11-27,6.69,6.85,6.67,6.85,92876247.0,sh601998,中信银行
2024-11-28,6.84,6.91,6.81,6.84,64904407.0,sh601998,中信银行
2024-11-29,6.9,6.94,6.78,6.79,59620104.0,sh601998,中信银行
2024-12-02,6.88,6.89,6.74,6.8,53276810.0,sh601998,中信银行
2024-12-03,6.78,6.99,6.75,6.98,100912343.0,sh601998,中信银行
2024-12-04,6.97,7.21,6.94,7.16,124532623.0,sh601998,中信银行
2024-12-05,7.15,7.27,7.13,7.23,85583301.0,sh601998,中信银行
2024-12-06,7.26,7.36,7.22,7.26,62911658.0,sh601998,中信银行
2024-12-09,7.25,7.35,7.2,7.29,52112387.0,sh601998,中信银行
2024-12-10,7.35,7.45,7.28,7.31,77222413.0,sh601998,中信银行
2024-12-11,7.13,7.15,6.91,6.94,99766484.0,sh601998,中信银行
2024-12-12,6.9,6.96,6.88,6.93,136035359.0,sh601998,中信银行
2024-12-13,6.89,6.92,6.8,6.83,123252488.0,sh601998,中信银行
2024-12-16,6.84,6.92,6.83,6.86,72490811.0,sh601998,中信银行
2024-12-17,6.89,6.95,6.8,6.81,64890260.0,sh601998,中信银行
2024-12-18,6.87,7.04,6.86,6.92,113479058.0,sh601998,中信银行
2024-12-19,6.91,6.92,6.74,6.77,103648907.0,sh601998,中信银行
2024-12-20,6.77,6.81,6.72,6.72,70602305.0,sh601998,中信银行
2024-12-23,6.73,6.87,6.72,6.84,120439520.0,sh601998,中信银行
2024-12-24,6.82,6.99,6.82,6.95,90234989.0,sh601998,中信银行
2024-12-25,6.98,7.04,6.92,7.01,85730803.0,sh601998,中信银行
2024-12-26,6.98,7.01,6.88,6.94,70130392.0,sh601998,中信银行
2024-12-27,6.94,6.97,6.82,6.94,69095994.0,sh601998,中信银行
2024-12-30,6.94,7.08,6.93,7.06,119109858.0,sh601998,中信银行
2024-12-31,7.03,7.1,6.97,6.98,98935673.0,sh601998,中信银行
2025-01-02,6.96,7.03,6.76,6.78,103236286.0,sh601998,中信银行
2025-01-03,6.81,6.86,6.72,6.79,80284409.0,sh601998,中信银行
2025-01-06,6.82,6.82,6.63,6.79,72509162.0,sh601998,中信银行
2025-01-07,6.75,6.81,6.73,6.79,49195784.0,sh601998,中信银行
2025-01-08,6.79,6.93,6.79,6.85,83477447.0,sh601998,中信银行
2025-01-09,6.85,6.85,6.73,6.77,55870783.0,sh601998,中信银行
2025-01-10,6.78,6.81,6.67,6.75,68568314.0,sh601998,中信银行
2025-01-13,6.74,6.74,6.57,6.63,63786717.0,sh601998,中信银行
2025-01-14,6.62,6.71,6.6,6.7,85250854.0,sh601998,中信银行
2025-01-15,6.68,6.87,6.67,6.75,100063591.0,sh601998,中信银行
2025-01-16,6.75,6.79,6.7,6.75,73984329.0,sh601998,中信银行
2025-01-17,6.76,6.77,6.65,6.66,70511447.0,sh601998,中信银行
2025-01-20,6.68,6.69,6.61,6.62,85064309.0,sh601998,中信银行
2025-01-21,6.66,6.68,6.58,6.65,73544187.0,sh601998,中信银行
2025-01-22,6.66,6.66,6.49,6.5,87522076.0,sh601998,中信银行
2025-01-23,6.56,6.64,6.54,6.6,128841872.0,sh601998,中信银行
2025-01-24,6.59,6.6,6.5,6.53,116409486.0,sh601998,中信银行
2025-01-27,6.55,6.66,6.54,6.64,102563483.0,sh601998,中信银行
2025-02-05,6.65,6.65,6.54,6.55,98946104.0,sh601998,中信银行
2025-02-06,6.55,6.6,6.5,6.54,70465551.0,sh601998,中信银行
2025-02-07,6.53,6.54,6.48,6.51,100541355.0,sh601998,中信银行
2025-02-10,6.5,6.51,6.46,6.47,83596982.0,sh601998,中信银行
2025-02-11,6.48,6.53,6.46,6.48,87650787.0,sh601998,中信银行
2025-02-12,6.48,6.48,6.39,6.42,132854098.0,sh601998,中信银行
2025-02-13,6.41,6.47,6.38,6.45,140406992.0,sh601998,中信银行
2025-02-14,6.44,6.49,6.43,6.47,84679437.0,sh601998,中信银行
2025-02-17,6.48,6.57,6.46,6.57,166409841.0,sh601998,中信银行
2025-02-18,6.57,6.76,6.56,6.7,218523887.0,sh601998,中信银行
2025-02-19,6.69,6.72,6.64,6.66,106915110.0,sh601998,中信银行
2025-02-20,6.66,6.7,6.63,6.64,76381981.0,sh601998,中信银行
2025-02-21,6.64,6.65,6.55,6.62,128668887.0,sh601998,中信银行
2025-02-24,6.61,6.64,6.53,6.55,121513123.0,sh601998,中信银行
2025-02-25,6.55,6.58,6.46,6.48,123817606.0,sh601998,中信银行
2025-02-26,6.47,6.54,6.46,6.5,133773017.0,sh601998,中信银行
2025-02-27,6.5,6.7,6.45,6.69,183418840.0,sh601998,中信银行
2025-02-28,6.66,6.95,6.65,6.9,269636329.0,sh601998,中信银行
2025-03-03,6.89,6.91,6.8,6.85,112450704.0,sh601998,中信银行
2025-03-04,6.85,6.92,6.78,6.8,63079055.0,sh601998,中信银行
2025-03-05,6.83,7.02,6.78,6.99,121847229.0,sh601998,中信银行
2025-03-06,6.96,6.99,6.81,6.9,111509264.0,sh601998,中信银行
2025-03-07,6.9,7.01,6.85,7.0,88513717.0,sh601998,中信银行
2025-03-10,6.95,7.04,6.9,7.01,88955471.0,sh601998,中信银行
2025-03-11,6.99,7.12,6.98,7.07,87402326.0,sh601998,中信银行
2025-03-12,7.1,7.14,7.02,7.05,78676686.0,sh601998,中信银行
2025-03-13,7.07,7.29,7.02,7.17,107210227.0,sh601998,中信银行
2025-03-14,7.17,7.33,7.14,7.17,101222319.0,sh601998,中信银行
2025-03-17,7.25,7.32,7.2,7.27,78106982.0,sh601998,中信银行
2025-03-18,7.27,7.35,7.18,7.3,61623273.0,sh601998,中信银行
2025-03-19,7.29,7.44,7.27,7.44,62115584.0,sh601998,中信银行
2025-03-20,7.42,7.47,7.31,7.43,59525249.0,sh601998,中信银行
2025-03-21,7.43,7.49,7.21,7.21,139556436.0,sh601998,中信银行
2025-03-24,7.33,7.37,7.22,7.34,88007869.0,sh601998,中信银行
