,open,high,low,close,volume,code,name
2024-11-26,6.37,6.4,6.33,6.38,65635667.0,sh601390,中国中铁
2024-11-27,6.37,6.42,6.25,6.41,83354412.0,sh601390,中国中铁
2024-11-28,6.41,6.46,6.35,6.39,74197800.0,sh601390,中国中铁
2024-11-29,6.39,6.47,6.37,6.41,78713002.0,sh601390,中国中铁
2024-12-02,6.41,6.54,6.39,6.51,96533849.0,sh601390,中国中铁
2024-12-03,6.5,6.67,6.47,6.63,114134118.0,sh601390,中国中铁
2024-12-04,6.62,6.64,6.53,6.61,80562398.0,sh601390,中国中铁
2024-12-05,6.57,6.66,6.56,6.58,59965887.0,sh601390,中国中铁
2024-12-06,6.59,6.67,6.58,6.65,79791710.0,sh601390,中国中铁
2024-12-09,6.67,6.67,6.57,6.61,70128562.0,sh601390,中国中铁
2024-12-10,6.76,6.8,6.58,6.59,124982433.0,sh601390,中国中铁
2024-12-11,6.59,6.64,6.55,6.57,81587451.0,sh601390,中国中铁
2024-12-12,6.58,6.62,6.51,6.61,77186625.0,sh601390,中国中铁
2024-12-13,6.58,6.59,6.41,6.42,124641022.0,sh601390,中国中铁
2024-12-16,6.43,6.47,6.36,6.38,78903628.0,sh601390,中国中铁
2024-12-17,6.38,6.43,6.34,6.35,70107265.0,sh601390,中国中铁
2024-12-18,6.47,6.57,6.4,6.41,133256366.0,sh601390,中国中铁
2024-12-19,6.37,6.45,6.31,6.45,81580084.0,sh601390,中国中铁
2024-12-20,6.45,6.47,6.35,6.36,71176723.0,sh601390,中国中铁
2024-12-23,6.37,6.52,6.36,6.44,125899657.0,sh601390,中国中铁
2024-12-24,6.46,6.53,6.45,6.5,80036557.0,sh601390,中国中铁
2024-12-25,6.53,6.56,6.48,6.53,83720809.0,sh601390,中国中铁
2024-12-26,6.53,6.53,6.42,6.44,71108401.0,sh601390,中国中铁
2024-12-27,6.44,6.5,6.42,6.5,68181500.0,sh601390,中国中铁
2024-12-30,6.49,6.56,6.46,6.52,72696390.0,sh601390,中国中铁
2024-12-31,6.51,6.52,6.39,6.39,82714046.0,sh601390,中国中铁
2025-01-02,6.4,6.42,6.05,6.1,142505663.0,sh601390,中国中铁
2025-01-03,6.12,6.16,6.02,6.03,86932470.0,sh601390,中国中铁
2025-01-06,6.04,6.07,5.92,6.03,75611163.0,sh601390,中国中铁
2025-01-07,6.02,6.06,5.95,6.02,60050078.0,sh601390,中国中铁
2025-01-08,6.0,6.01,5.87,5.97,80915541.0,sh601390,中国中铁
2025-01-09,5.96,5.99,5.89,5.91,48656874.0,sh601390,中国中铁
2025-01-10,5.93,5.93,5.81,5.81,55166218.0,sh601390,中国中铁
2025-01-13,5.77,5.85,5.73,5.81,48977700.0,sh601390,中国中铁
2025-01-14,5.82,5.95,5.81,5.93,63225032.0,sh601390,中国中铁
2025-01-15,5.92,5.95,5.89,5.9,45871007.0,sh601390,中国中铁
2025-01-16,5.91,5.99,5.89,5.91,54385031.0,sh601390,中国中铁
2025-01-17,5.92,5.96,5.85,5.93,48268634.0,sh601390,中国中铁
2025-01-20,5.98,6.0,5.91,5.93,46525933.0,sh601390,中国中铁
2025-01-21,5.93,5.96,5.87,5.88,44560058.0,sh601390,中国中铁
2025-01-22,5.88,5.88,5.77,5.8,52561947.0,sh601390,中国中铁
2025-01-23,5.84,5.94,5.84,5.86,63121371.0,sh601390,中国中铁
2025-01-24,5.87,5.92,5.84,5.9,46677600.0,sh601390,中国中铁
2025-01-27,5.9,5.96,5.9,5.92,53726576.0,sh601390,中国中铁
2025-02-05,5.93,5.94,5.8,5.82,78476019.0,sh601390,中国中铁
2025-02-06,5.81,5.88,5.79,5.88,63201790.0,sh601390,中国中铁
2025-02-07,5.88,5.98,5.84,5.93,108548971.0,sh601390,中国中铁
2025-02-10,5.92,5.99,5.92,5.96,74143965.0,sh601390,中国中铁
2025-02-11,5.97,5.98,5.88,5.91,59396407.0,sh601390,中国中铁
2025-02-12,5.9,5.93,5.86,5.93,60637760.0,sh601390,中国中铁
2025-02-13,5.92,6.01,5.91,5.95,95389004.0,sh601390,中国中铁
2025-02-14,5.96,5.99,5.9,5.97,60029794.0,sh601390,中国中铁
2025-02-17,5.97,5.99,5.92,5.96,67686385.0,sh601390,中国中铁
2025-02-18,5.95,5.98,5.9,5.9,76886886.0,sh601390,中国中铁
2025-02-19,5.89,5.96,5.88,5.93,71327130.0,sh601390,中国中铁
2025-02-20,5.91,5.92,5.8,5.82,102255124.0,sh601390,中国中铁
2025-02-21,5.82,5.84,5.78,5.81,77110925.0,sh601390,中国中铁
2025-02-24,5.81,6.02,5.79,5.96,168576946.0,sh601390,中国中铁
2025-02-25,5.92,5.94,5.85,5.86,83464177.0,sh601390,中国中铁
2025-02-26,5.86,5.98,5.86,5.92,86636503.0,sh601390,中国中铁
2025-02-27,5.92,5.95,5.88,5.93,67535802.0,sh601390,中国中铁
2025-02-28,5.92,5.99,5.89,5.91,127032819.0,sh601390,中国中铁
2025-03-03,5.9,5.96,5.86,5.88,80087563.0,sh601390,中国中铁
2025-03-04,5.88,5.88,5.81,5.85,73323519.0,sh601390,中国中铁
2025-03-05,5.85,5.87,5.8,5.85,65710646.0,sh601390,中国中铁
2025-03-06,5.86,5.9,5.81,5.88,80463030.0,sh601390,中国中铁
2025-03-07,5.87,5.87,5.82,5.82,62109285.0,sh601390,中国中铁
2025-03-10,5.82,5.83,5.75,5.77,87844712.0,sh601390,中国中铁
2025-03-11,5.73,5.79,5.71,5.79,58432531.0,sh601390,中国中铁
2025-03-12,5.78,5.81,5.75,5.78,61888634.0,sh601390,中国中铁
2025-03-13,5.76,5.81,5.75,5.77,61920065.0,sh601390,中国中铁
2025-03-14,5.78,5.9,5.77,5.89,116597295.0,sh601390,中国中铁
2025-03-17,5.9,5.95,5.88,5.9,73317625.0,sh601390,中国中铁
2025-03-18,5.92,5.94,5.87,5.89,47491915.0,sh601390,中国中铁
2025-03-19,5.89,5.9,5.86,5.88,47180744.0,sh601390,中国中铁
2025-03-20,5.88,5.92,5.86,5.88,60241532.0,sh601390,中国中铁
2025-03-21,5.87,5.95,5.83,5.83,94404141.0,sh601390,中国中铁
2025-03-24,5.84,5.9,5.78,5.81,61550197.0,sh601390,中国中铁
2025-03-25,5.83,5.88,5.79,5.86,66984981.0,sh601390,中国中铁
2025-03-26,5.87,5.92,5.84,5.9,83363040.0,sh601390,中国中铁
2025-03-27,5.9,5.92,5.86,5.86,61737359.0,sh601390,中国中铁
2025-03-28,5.86,5.87,5.79,5.82,51825288.0,sh601390,中国中铁
2025-03-31,5.72,5.73,5.52,5.53,193801231.0,sh601390,中国中铁
2025-04-01,5.53,5.59,5.52,5.56,86812429.0,sh601390,中国中铁
2025-04-02,5.55,5.6,5.54,5.58,52505164.0,sh601390,中国中铁
2025-04-03,5.56,5.65,5.55,5.62,66892476.0,sh601390,中国中铁
2025-04-07,5.5,5.5,5.16,5.34,179583143.0,sh601390,中国中铁
2025-04-08,5.33,5.65,5.32,5.63,186766975.0,sh601390,中国中铁
2025-04-09,5.61,5.68,5.49,5.68,132492038.0,sh601390,中国中铁
2025-04-10,5.72,5.72,5.6,5.69,99005876.0,sh601390,中国中铁
2025-04-11,5.72,5.73,5.64,5.67,70560406.0,sh601390,中国中铁
2025-04-14,5.67,5.68,5.63,5.64,53720798.0,sh601390,中国中铁
2025-04-15,5.63,5.65,5.58,5.65,48676840.0,sh601390,中国中铁
2025-04-16,5.65,5.71,5.56,5.71,91070360.0,sh601390,中国中铁
2025-04-17,5.68,5.73,5.66,5.73,60804914.0,sh601390,中国中铁
2025-04-18,5.71,5.75,5.68,5.72,50763260.0,sh601390,中国中铁
2025-04-21,5.73,5.75,5.68,5.69,45500600.0,sh601390,中国中铁
2025-04-22,5.69,5.71,5.67,5.69,41925351.0,sh601390,中国中铁
2025-04-23,5.7,5.71,5.64,5.65,45754537.0,sh601390,中国中铁
2025-04-24,5.65,5.66,5.6,5.64,36931803.0,sh601390,中国中铁
2025-04-25,5.65,5.66,5.63,5.65,34660599.0,sh601390,中国中铁
2025-04-28,5.64,5.64,5.58,5.58,37968779.0,sh601390,中国中铁
2025-04-29,5.58,5.6,5.53,5.54,42178310.0,sh601390,中国中铁
2025-04-30,5.54,5.56,5.51,5.52,45780200.0,sh601390,中国中铁
2025-05-06,5.53,5.59,5.52,5.56,55263400.0,sh601390,中国中铁
2025-05-07,5.63,5.64,5.57,5.62,63601100.0,sh601390,中国中铁
2025-05-08,5.6,5.63,5.58,5.61,43292086.0,sh601390,中国中铁
2025-05-09,5.6,5.62,5.57,5.57,41574443.0,sh601390,中国中铁
2025-05-12,5.6,5.63,5.57,5.62,56091491.0,sh601390,中国中铁
2025-05-13,5.64,5.72,5.62,5.69,96405720.0,sh601390,中国中铁
2025-05-14,5.68,5.73,5.64,5.73,72584479.0,sh601390,中国中铁
2025-05-15,5.72,5.76,5.67,5.7,53561331.0,sh601390,中国中铁
2025-05-16,5.69,5.71,5.61,5.65,66089100.0,sh601390,中国中铁
2025-05-19,5.62,5.66,5.61,5.64,35848022.0,sh601390,中国中铁
2025-05-20,5.65,5.67,5.62,5.65,34821823.0,sh601390,中国中铁
2025-05-21,5.66,5.68,5.65,5.66,35641793.0,sh601390,中国中铁
2025-05-22,5.65,5.67,5.61,5.64,36772153.0,sh601390,中国中铁
2025-05-23,5.64,5.65,5.58,5.58,42733286.0,sh601390,中国中铁
2025-05-26,5.55,5.6,5.54,5.58,37872594.0,sh601390,中国中铁
2025-05-27,5.58,5.59,5.55,5.56,29767526.0,sh601390,中国中铁
2025-05-28,5.56,5.57,5.54,5.55,26464477.0,sh601390,中国中铁
2025-05-29,5.56,5.61,5.54,5.59,40642554.0,sh601390,中国中铁
2025-05-30,5.58,5.63,5.55,5.59,52965369.0,sh601390,中国中铁
2025-06-03,5.56,5.62,5.55,5.62,40162732.0,sh601390,中国中铁
2025-06-04,5.61,5.65,5.6,5.64,35717215.0,sh601390,中国中铁
2025-06-05,5.64,5.66,5.57,5.6,65565903.0,sh601390,中国中铁
2025-06-06,5.6,5.66,5.59,5.61,69586741.0,sh601390,中国中铁
2025-06-09,5.62,5.63,5.57,5.58,75400766.0,sh601390,中国中铁
2025-06-10,5.58,5.59,5.51,5.53,85215636.0,sh601390,中国中铁
2025-06-11,5.53,5.6,5.52,5.57,92700549.0,sh601390,中国中铁
2025-06-12,5.58,5.58,5.53,5.56,74330350.0,sh601390,中国中铁
2025-06-13,5.55,5.59,5.52,5.56,163978302.0,sh601390,中国中铁
2025-06-16,5.55,5.57,5.49,5.51,141492861.0,sh601390,中国中铁
2025-06-17,5.51,5.54,5.49,5.54,78438033.0,sh601390,中国中铁
