,open,high,low,close,volume,code,name
2024-11-26,40.95,41.72,40.7,41.29,9821846.0,sh601628,中国人寿
2024-11-27,41.23,42.44,40.76,42.31,13701758.0,sh601628,中国人寿
2024-11-28,42.45,42.65,41.36,41.62,11639223.0,sh601628,中国人寿
2024-11-29,41.49,43.55,41.4,42.1,17168743.0,sh601628,中国人寿
2024-12-02,42.13,42.84,41.91,42.51,11756941.0,sh601628,中国人寿
2024-12-03,42.44,43.33,42.05,43.1,11221228.0,sh601628,中国人寿
2024-12-04,42.85,43.13,42.26,42.5,8595629.0,sh601628,中国人寿
2024-12-05,42.39,42.68,42.03,42.14,6920801.0,sh601628,中国人寿
2024-12-06,42.14,45.26,42.1,43.76,30686631.0,sh601628,中国人寿
2024-12-09,43.41,44.51,43.3,44.07,19547464.0,sh601628,中国人寿
2024-12-10,45.9,46.4,44.17,44.23,27416775.0,sh601628,中国人寿
2024-12-11,44.02,44.8,43.07,43.26,15014549.0,sh601628,中国人寿
2024-12-12,43.18,44.77,43.02,44.15,16311572.0,sh601628,中国人寿
2024-12-13,43.71,43.72,42.12,42.15,20114111.0,sh601628,中国人寿
2024-12-16,42.1,42.2,41.05,41.35,16828305.0,sh601628,中国人寿
2024-12-17,41.39,42.04,41.12,41.55,13248567.0,sh601628,中国人寿
2024-12-18,41.81,42.37,41.55,41.64,10557311.0,sh601628,中国人寿
2024-12-19,41.1,41.86,40.95,41.77,9099870.0,sh601628,中国人寿
2024-12-20,41.77,41.99,41.24,41.43,9065787.0,sh601628,中国人寿
2024-12-23,41.43,41.95,41.37,41.54,9021378.0,sh601628,中国人寿
2024-12-24,41.57,42.8,41.45,42.48,15729967.0,sh601628,中国人寿
2024-12-25,42.5,43.21,42.24,42.7,11005674.0,sh601628,中国人寿
2024-12-26,42.55,42.9,42.29,42.7,7418007.0,sh601628,中国人寿
2024-12-27,42.69,43.0,41.83,42.52,10498481.0,sh601628,中国人寿
2024-12-30,42.48,43.19,42.35,43.03,12522990.0,sh601628,中国人寿
2024-12-31,42.94,43.23,41.92,41.92,12623647.0,sh601628,中国人寿
2025-01-02,41.81,41.92,39.5,39.82,18036971.0,sh601628,中国人寿
2025-01-03,39.82,40.0,39.07,39.32,12612011.0,sh601628,中国人寿
