,open,high,low,close,volume,code,name
2024-11-26,7.88,8.25,7.88,7.94,146869656.0,sh601111,中国国航
2024-11-27,7.97,8.32,7.94,8.27,180825459.0,sh601111,中国国航
2024-11-28,8.29,8.49,8.2,8.36,126415290.0,sh601111,中国国航
2024-11-29,8.34,8.44,8.13,8.28,85752358.0,sh601111,中国国航
2024-12-02,8.25,8.41,8.05,8.1,96808197.0,sh601111,中国国航
2024-12-03,8.11,8.14,7.99,8.0,70864920.0,sh601111,中国国航
2024-12-04,8.0,8.02,7.8,7.89,99246470.0,sh601111,中国国航
2024-12-05,7.85,8.05,7.84,8.04,70919660.0,sh601111,中国国航
2024-12-06,8.05,8.49,8.05,8.47,168329477.0,sh601111,中国国航
2024-12-09,8.47,8.78,8.36,8.69,134379250.0,sh601111,中国国航
2024-12-10,8.9,9.12,8.83,8.89,173493303.0,sh601111,中国国航
2024-12-11,8.92,8.94,8.72,8.86,100158351.0,sh601111,中国国航
2024-12-12,8.91,9.01,8.79,8.79,95205179.0,sh601111,中国国航
2024-12-13,8.8,8.82,8.58,8.61,88313444.0,sh601111,中国国航
2024-12-16,8.69,8.74,8.05,8.1,169495147.0,sh601111,中国国航
2024-12-17,8.1,8.21,7.93,8.08,97250810.0,sh601111,中国国航
2024-12-18,8.13,8.19,8.02,8.1,54991700.0,sh601111,中国国航
2024-12-19,8.0,8.15,7.9,8.11,65832696.0,sh601111,中国国航
2024-12-20,8.1,8.15,7.96,7.97,63466246.0,sh601111,中国国航
2024-12-23,7.98,8.3,7.97,8.13,78858189.0,sh601111,中国国航
2024-12-24,8.13,8.32,8.09,8.3,68121467.0,sh601111,中国国航
2024-12-25,8.21,8.28,7.9,8.1,72380217.0,sh601111,中国国航
2024-12-26,8.04,8.11,7.99,8.01,37218801.0,sh601111,中国国航
2024-12-27,8.02,8.23,7.99,8.11,59097452.0,sh601111,中国国航
2024-12-30,8.06,8.2,7.91,8.05,74739305.0,sh601111,中国国航
2024-12-31,8.07,8.1,7.91,7.91,58817400.0,sh601111,中国国航
2025-01-02,7.9,7.95,7.68,7.72,75022471.0,sh601111,中国国航
2025-01-03,7.77,7.82,7.66,7.69,57492515.0,sh601111,中国国航
2025-01-06,7.69,7.77,7.5,7.58,58654533.0,sh601111,中国国航
2025-01-07,7.59,7.69,7.54,7.62,39062722.0,sh601111,中国国航
2025-01-08,7.58,7.6,7.42,7.53,58521671.0,sh601111,中国国航
2025-01-09,7.53,7.68,7.49,7.58,59708600.0,sh601111,中国国航
2025-01-10,7.59,7.76,7.43,7.43,45645415.0,sh601111,中国国航
2025-01-13,7.4,7.43,7.14,7.28,78840884.0,sh601111,中国国航
2025-01-14,7.28,7.79,7.28,7.79,86001592.0,sh601111,中国国航
2025-01-15,7.81,7.83,7.6,7.61,54948368.0,sh601111,中国国航
2025-01-16,7.65,7.82,7.59,7.69,55334902.0,sh601111,中国国航
2025-01-17,7.7,7.91,7.65,7.71,60365813.0,sh601111,中国国航
2025-01-20,7.72,7.85,7.58,7.6,74447516.0,sh601111,中国国航
2025-01-21,7.77,7.9,7.66,7.8,89414262.0,sh601111,中国国航
2025-01-22,7.71,7.78,7.56,7.61,57231792.0,sh601111,中国国航
2025-01-23,7.66,7.69,7.45,7.52,62361340.0,sh601111,中国国航
2025-01-24,7.51,7.62,7.46,7.56,41339187.0,sh601111,中国国航
2025-01-27,7.56,7.62,7.45,7.48,38583184.0,sh601111,中国国航
2025-02-05,7.5,7.51,7.1,7.11,126389363.0,sh601111,中国国航
2025-02-06,7.16,7.19,7.07,7.12,73223736.0,sh601111,中国国航
2025-02-07,7.11,7.19,7.04,7.14,99475461.0,sh601111,中国国航
2025-02-10,7.15,7.25,7.11,7.22,78249850.0,sh601111,中国国航
2025-02-11,7.21,7.24,7.04,7.07,94617393.0,sh601111,中国国航
2025-02-12,7.08,7.12,6.93,7.0,137870683.0,sh601111,中国国航
2025-02-13,7.01,7.14,7.01,7.09,100619634.0,sh601111,中国国航
2025-02-14,7.09,7.13,7.04,7.1,47600422.0,sh601111,中国国航
2025-02-17,7.11,7.12,7.0,7.03,81719129.0,sh601111,中国国航
2025-02-18,7.04,7.05,6.91,6.93,73832451.0,sh601111,中国国航
2025-02-19,6.93,6.93,6.81,6.85,114928780.0,sh601111,中国国航
2025-02-20,6.86,6.97,6.84,6.86,93415975.0,sh601111,中国国航
2025-02-21,6.88,6.9,6.82,6.86,84148241.0,sh601111,中国国航
2025-02-24,6.86,7.11,6.83,7.09,176729658.0,sh601111,中国国航
2025-02-25,7.05,7.22,7.01,7.11,134862145.0,sh601111,中国国航
2025-02-26,7.13,7.28,6.98,7.05,144355267.0,sh601111,中国国航
2025-02-27,7.01,7.25,7.01,7.23,160192691.0,sh601111,中国国航
2025-02-28,7.18,7.34,7.16,7.24,128543121.0,sh601111,中国国航
2025-03-03,7.24,7.33,7.19,7.24,91671816.0,sh601111,中国国航
2025-03-04,7.25,7.31,7.18,7.29,67715696.0,sh601111,中国国航
2025-03-05,7.31,7.52,7.29,7.51,133952732.0,sh601111,中国国航
2025-03-06,7.58,7.62,7.43,7.5,110118168.0,sh601111,中国国航
2025-03-07,7.48,7.5,7.41,7.45,59296908.0,sh601111,中国国航
2025-03-10,7.42,7.46,7.27,7.32,62365719.0,sh601111,中国国航
2025-03-11,7.29,7.4,7.26,7.4,46570711.0,sh601111,中国国航
2025-03-12,7.4,7.47,7.28,7.29,65378389.0,sh601111,中国国航
2025-03-13,7.27,7.3,7.17,7.21,61993810.0,sh601111,中国国航
2025-03-14,7.2,7.39,7.18,7.35,70204656.0,sh601111,中国国航
2025-03-17,7.41,7.54,7.36,7.43,75600874.0,sh601111,中国国航
2025-03-18,7.42,7.45,7.35,7.37,45447312.0,sh601111,中国国航
2025-03-19,7.36,7.48,7.32,7.44,69572062.0,sh601111,中国国航
2025-03-20,7.41,7.51,7.33,7.34,58264503.0,sh601111,中国国航
2025-03-21,7.33,7.45,7.25,7.25,67285238.0,sh601111,中国国航
