,open,high,low,close,volume,code,name
2024-11-26,52.5,53.27,52.37,53.05,40761823.0,sh601318,中国平安
2024-11-27,53.06,53.6,52.79,53.55,44446366.0,sh601318,中国平安
2024-11-28,53.57,53.99,52.83,53.17,42550213.0,sh601318,中国平安
2024-11-29,53.15,54.42,53.04,53.25,56357055.0,sh601318,中国平安
2024-12-02,53.2,54.23,53.18,54.01,44960590.0,sh601318,中国平安
2024-12-03,53.85,54.61,53.55,54.43,47005763.0,sh601318,中国平安
2024-12-04,54.18,54.34,53.71,53.93,38188736.0,sh601318,中国平安
2024-12-05,53.69,54.05,53.49,53.68,29588882.0,sh601318,中国平安
2024-12-06,53.79,55.69,53.78,55.12,78983681.0,sh601318,中国平安
2024-12-09,54.95,55.3,54.45,54.83,51046345.0,sh601318,中国平安
2024-12-10,56.9,57.18,55.5,55.62,100098350.0,sh601318,中国平安
2024-12-11,55.61,55.93,54.88,54.9,50478424.0,sh601318,中国平安
2024-12-12,54.96,55.85,54.7,55.58,52633585.0,sh601318,中国平安
2024-12-13,55.2,55.21,53.68,53.74,88709588.0,sh601318,中国平安
2024-12-16,53.71,53.99,52.93,53.12,65859184.0,sh601318,中国平安
2024-12-17,52.9,53.47,52.74,53.01,53769372.0,sh601318,中国平安
2024-12-18,53.33,53.68,52.88,52.94,50446143.0,sh601318,中国平安
2024-12-19,52.6,52.94,52.35,52.89,40549628.0,sh601318,中国平安
2024-12-20,52.89,53.23,52.52,52.62,46196543.0,sh601318,中国平安
2024-12-23,52.62,53.48,52.62,53.1,55550547.0,sh601318,中国平安
2024-12-24,53.08,53.83,53.0,53.78,49560916.0,sh601318,中国平安
2024-12-25,53.81,54.31,53.57,53.9,41739896.0,sh601318,中国平安
2024-12-26,53.89,53.94,53.36,53.45,37922170.0,sh601318,中国平安
2024-12-27,53.45,53.75,52.71,53.27,53775719.0,sh601318,中国平安
2024-12-30,53.22,53.9,53.21,53.9,53343783.0,sh601318,中国平安
2024-12-31,53.79,54.02,52.65,52.65,67711790.0,sh601318,中国平安
2025-01-02,52.7,52.73,50.39,50.71,94857917.0,sh601318,中国平安
2025-01-03,51.0,51.09,50.08,50.3,55135185.0,sh601318,中国平安
2025-01-06,50.55,50.62,49.83,50.34,41348951.0,sh601318,中国平安
2025-01-07,50.19,50.36,49.81,50.17,39278717.0,sh601318,中国平安
2025-01-08,50.18,50.58,49.55,50.3,51038304.0,sh601318,中国平安
2025-01-09,50.26,50.41,49.8,49.81,40082112.0,sh601318,中国平安
2025-01-10,49.82,50.08,48.9,48.95,52270371.0,sh601318,中国平安
2025-01-13,48.48,48.8,48.1,48.59,51139315.0,sh601318,中国平安
2025-01-14,48.59,49.58,48.5,49.36,61577440.0,sh601318,中国平安
2025-01-15,49.25,49.66,48.91,49.11,45802852.0,sh601318,中国平安
2025-01-16,49.3,49.75,48.93,49.25,41576107.0,sh601318,中国平安
2025-01-17,49.1,49.57,48.77,49.38,46074666.0,sh601318,中国平安
2025-01-20,49.72,50.3,49.66,49.81,49173607.0,sh601318,中国平安
2025-01-21,50.2,50.39,49.66,49.9,40995081.0,sh601318,中国平安
2025-01-22,49.72,49.92,48.85,48.95,53078046.0,sh601318,中国平安
2025-01-23,49.82,51.45,49.78,50.37,96910455.0,sh601318,中国平安
2025-01-24,50.18,51.37,50.1,50.86,61677886.0,sh601318,中国平安
2025-01-27,51.03,51.62,50.81,50.85,52454748.0,sh601318,中国平安
2025-02-05,50.98,51.0,49.67,49.72,58307230.0,sh601318,中国平安
2025-02-06,49.73,50.5,49.68,50.25,41503724.0,sh601318,中国平安
2025-02-07,50.18,51.44,49.84,50.88,72581202.0,sh601318,中国平安
2025-02-10,50.89,51.36,50.8,50.9,43181484.0,sh601318,中国平安
2025-02-11,51.2,51.24,50.37,50.52,38184400.0,sh601318,中国平安
2025-02-12,50.52,51.12,50.18,51.08,44699378.0,sh601318,中国平安
2025-02-13,50.92,51.78,50.81,51.02,59036332.0,sh601318,中国平安
2025-02-14,50.99,51.86,50.8,51.7,59977161.0,sh601318,中国平安
2025-02-17,51.83,52.38,51.41,51.84,62571044.0,sh601318,中国平安
2025-02-18,51.67,52.18,51.2,51.31,65008234.0,sh601318,中国平安
2025-02-19,51.19,51.83,51.02,51.45,46442576.0,sh601318,中国平安
2025-02-20,51.23,51.31,50.66,50.78,51538478.0,sh601318,中国平安
2025-02-21,50.99,51.5,50.46,51.2,66876093.0,sh601318,中国平安
2025-02-24,51.2,52.48,51.05,52.0,83582274.0,sh601318,中国平安
2025-02-25,51.5,52.1,50.85,50.98,64242944.0,sh601318,中国平安
2025-02-26,51.1,51.78,51.03,51.62,53657805.0,sh601318,中国平安
2025-02-27,51.78,51.8,51.12,51.62,54724008.0,sh601318,中国平安
2025-02-28,51.4,51.65,50.38,50.38,80526753.0,sh601318,中国平安
2025-03-03,50.55,50.82,50.06,50.33,42316083.0,sh601318,中国平安
2025-03-04,50.08,50.29,50.0,50.08,37243163.0,sh601318,中国平安
2025-03-05,50.18,50.55,50.01,50.38,45507176.0,sh601318,中国平安
2025-03-06,50.77,51.93,50.53,51.64,104582101.0,sh601318,中国平安
2025-03-07,51.6,51.84,51.32,51.5,48147872.0,sh601318,中国平安
2025-03-10,51.51,51.66,50.78,51.25,61128342.0,sh601318,中国平安
2025-03-11,50.71,51.5,50.6,51.5,52914740.0,sh601318,中国平安
2025-03-12,51.5,51.6,51.01,51.15,47057801.0,sh601318,中国平安
2025-03-13,51.15,51.55,50.93,51.14,41144830.0,sh601318,中国平安
2025-03-14,51.33,53.89,51.21,53.47,150244865.0,sh601318,中国平安
2025-03-17,53.47,53.62,53.1,53.38,60517176.0,sh601318,中国平安
2025-03-18,53.7,54.19,53.64,53.76,58774002.0,sh601318,中国平安
2025-03-19,53.68,54.3,53.57,54.07,50987421.0,sh601318,中国平安
2025-03-20,54.05,54.06,52.23,52.49,114072346.0,sh601318,中国平安
2025-03-21,52.4,52.66,51.68,51.75,79571468.0,sh601318,中国平安
2025-03-24,51.82,52.28,51.82,52.13,50865690.0,sh601318,中国平安
2025-03-25,52.15,52.21,51.82,51.96,34440224.0,sh601318,中国平安
2025-03-26,51.98,52.09,51.72,51.72,40399461.0,sh601318,中国平安
2025-03-27,51.71,52.45,51.53,52.06,43216872.0,sh601318,中国平安
2025-03-28,52.2,52.37,51.85,51.96,35366353.0,sh601318,中国平安
2025-03-31,51.9,52.25,51.39,51.63,46838971.0,sh601318,中国平安
2025-04-01,51.6,51.86,51.41,51.62,39432057.0,sh601318,中国平安
2025-04-02,51.58,51.96,51.53,51.86,28327427.0,sh601318,中国平安
2025-04-03,51.39,52.0,51.38,51.48,37334782.0,sh601318,中国平安
2025-04-07,49.3,49.77,47.0,48.56,172755841.0,sh601318,中国平安
2025-04-08,48.55,49.26,48.1,49.26,111752977.0,sh601318,中国平安
2025-04-09,48.8,49.25,48.36,48.93,73790650.0,sh601318,中国平安
2025-04-10,49.36,49.8,49.21,49.48,65791545.0,sh601318,中国平安
2025-04-11,49.48,49.54,48.98,49.35,45012106.0,sh601318,中国平安
2025-04-14,49.6,49.85,49.44,49.48,38748414.0,sh601318,中国平安
2025-04-15,49.48,49.97,49.26,49.83,40776211.0,sh601318,中国平安
2025-04-16,49.72,50.17,49.4,49.88,46792350.0,sh601318,中国平安
2025-04-17,49.69,50.28,49.58,50.16,37704289.0,sh601318,中国平安
2025-04-18,50.05,50.66,49.95,50.44,33881100.0,sh601318,中国平安
2025-04-21,50.4,50.61,50.2,50.28,26378406.0,sh601318,中国平安
2025-04-22,50.2,50.79,50.12,50.57,35509783.0,sh601318,中国平安
2025-04-23,50.76,50.95,50.46,50.7,29877321.0,sh601318,中国平安
2025-04-24,50.7,51.48,50.7,51.22,42383943.0,sh601318,中国平安
2025-04-25,51.24,51.59,51.22,51.33,36849939.0,sh601318,中国平安
2025-04-28,50.42,51.34,50.03,51.21,51866550.0,sh601318,中国平安
2025-04-29,51.17,51.64,50.86,51.0,33754005.0,sh601318,中国平安
2025-04-30,51.1,51.55,50.68,50.71,37794426.0,sh601318,中国平安
2025-05-06,51.0,51.15,50.55,50.8,39151245.0,sh601318,中国平安
2025-05-07,51.42,51.63,51.03,51.18,42063972.0,sh601318,中国平安
2025-05-08,51.01,52.35,50.9,51.96,67134993.0,sh601318,中国平安
2025-05-09,51.91,52.16,51.75,51.75,29070923.0,sh601318,中国平安
2025-05-12,52.23,52.75,52.0,52.6,57737170.0,sh601318,中国平安
2025-05-13,52.79,52.79,52.25,52.46,40392012.0,sh601318,中国平安
2025-05-14,52.45,55.18,52.34,54.69,157722961.0,sh601318,中国平安
2025-05-15,54.39,54.8,54.1,54.25,56930342.0,sh601318,中国平安
2025-05-16,54.05,54.44,53.38,53.39,46612951.0,sh601318,中国平安
2025-05-19,53.29,53.73,53.2,53.3,32426624.0,sh601318,中国平安
2025-05-20,53.45,54.18,53.4,53.68,35266900.0,sh601318,中国平安
2025-05-21,53.7,54.4,53.7,53.85,33306582.0,sh601318,中国平安
2025-05-22,53.76,53.99,53.53,53.84,24065765.0,sh601318,中国平安
2025-05-23,53.81,54.46,53.17,53.23,43049136.0,sh601318,中国平安
2025-05-26,53.16,54.15,53.0,53.4,38812968.0,sh601318,中国平安
2025-05-27,53.4,53.86,53.3,53.4,25572531.0,sh601318,中国平安
2025-05-28,53.4,53.69,53.12,53.29,26169794.0,sh601318,中国平安
2025-05-29,53.3,53.83,53.09,53.52,34868262.0,sh601318,中国平安
2025-05-30,53.37,53.69,52.85,53.28,41723855.0,sh601318,中国平安
2025-06-03,53.21,54.11,53.0,53.85,45373821.0,sh601318,中国平安
2025-06-04,53.61,54.15,53.61,53.76,43089681.0,sh601318,中国平安
2025-06-05,53.77,54.18,53.66,53.99,41909990.0,sh601318,中国平安
2025-06-06,54.0,54.12,53.35,53.41,40855330.0,sh601318,中国平安
2025-06-09,53.55,53.94,53.5,53.72,39788727.0,sh601318,中国平安
2025-06-10,53.71,54.1,53.31,53.43,46707945.0,sh601318,中国平安
2025-06-11,53.4,54.65,53.4,54.46,68183015.0,sh601318,中国平安
2025-06-12,54.3,55.33,54.03,54.81,58999906.0,sh601318,中国平安
2025-06-13,54.83,54.9,54.28,54.48,48022896.0,sh601318,中国平安
2025-06-16,54.33,54.58,54.06,54.32,49677075.0,sh601318,中国平安
2025-06-17,54.3,54.51,53.94,54.23,50628878.0,sh601318,中国平安
2025-06-18,54.18,54.28,53.3,53.81,46936380.0,sh601318,中国平安
2025-06-19,53.69,53.8,53.12,53.2,40188078.0,sh601318,中国平安
2025-06-20,53.19,54.86,53.19,54.74,84743047.0,sh601318,中国平安
2025-06-23,54.5,55.25,54.26,55.1,61470513.0,sh601318,中国平安
2025-06-24,55.21,56.97,55.2,56.79,104079789.0,sh601318,中国平安
2025-06-25,56.8,58.0,56.58,57.88,104613132.0,sh601318,中国平安
2025-06-26,57.79,58.08,57.47,57.58,50073981.0,sh601318,中国平安
2025-06-27,57.58,58.13,56.61,56.96,66763167.0,sh601318,中国平安
2025-06-30,55.5,55.95,55.13,55.48,56478195.0,sh601318,中国平安
2025-07-01,55.66,55.89,55.3,55.7,35274636.0,sh601318,中国平安
2025-07-02,55.7,56.01,55.35,55.81,39562902.0,sh601318,中国平安
