,open,high,low,close,volume,code,name
2024-11-26,5.88,5.94,5.86,5.92,159833138.0,sh601668,中国建筑
2024-11-27,5.92,5.97,5.87,5.96,153875531.0,sh601668,中国建筑
2024-11-28,5.96,6.01,5.93,5.97,184587404.0,sh601668,中国建筑
2024-11-29,5.97,6.03,5.95,5.98,179417856.0,sh601668,中国建筑
2024-12-02,5.95,6.04,5.95,6.03,187030146.0,sh601668,中国建筑
2024-12-03,6.02,6.1,5.99,6.09,242881274.0,sh601668,中国建筑
2024-12-04,6.08,6.1,6.04,6.06,157601329.0,sh601668,中国建筑
2024-12-05,6.05,6.08,6.01,6.02,135836400.0,sh601668,中国建筑
2024-12-06,6.03,6.11,6.02,6.06,199581005.0,sh601668,中国建筑
2024-12-09,6.07,6.17,6.05,6.1,248707854.0,sh601668,中国建筑
2024-12-10,6.28,6.32,6.12,6.12,276001702.0,sh601668,中国建筑
2024-12-11,6.12,6.17,6.1,6.11,160963963.0,sh601668,中国建筑
2024-12-12,6.11,6.15,6.09,6.14,158886951.0,sh601668,中国建筑
2024-12-13,6.12,6.12,5.95,5.95,286396139.0,sh601668,中国建筑
2024-12-16,5.96,5.99,5.9,5.91,187921803.0,sh601668,中国建筑
2024-12-17,5.91,5.96,5.9,5.91,157925318.0,sh601668,中国建筑
2024-12-18,5.99,6.08,5.95,5.96,226414649.0,sh601668,中国建筑
2024-12-19,5.93,5.98,5.87,5.97,163971177.0,sh601668,中国建筑
2024-12-20,5.96,5.98,5.89,5.91,167916629.0,sh601668,中国建筑
2024-12-23,5.92,6.05,5.91,6.0,258402513.0,sh601668,中国建筑
2024-12-24,6.01,6.04,5.99,6.02,151527922.0,sh601668,中国建筑
2024-12-25,6.03,6.09,6.02,6.06,180279964.0,sh601668,中国建筑
2024-12-26,6.06,6.06,6.0,6.02,130725605.0,sh601668,中国建筑
2024-12-27,6.02,6.05,5.98,6.04,160434858.0,sh601668,中国建筑
2024-12-30,6.02,6.1,6.01,6.08,185881205.0,sh601668,中国建筑
2024-12-31,6.07,6.1,6.0,6.0,207606108.0,sh601668,中国建筑
2025-01-02,6.01,6.03,5.79,5.82,300880457.0,sh601668,中国建筑
2025-01-03,5.82,5.88,5.76,5.78,184213807.0,sh601668,中国建筑
2025-01-06,5.81,5.82,5.66,5.74,176420574.0,sh601668,中国建筑
2025-01-07,5.75,5.76,5.67,5.74,136204501.0,sh601668,中国建筑
2025-01-08,5.73,5.76,5.6,5.68,211746315.0,sh601668,中国建筑
2025-01-09,5.67,5.67,5.58,5.6,154587424.0,sh601668,中国建筑
2025-01-10,5.6,5.63,5.5,5.5,149231853.0,sh601668,中国建筑
2025-01-13,5.48,5.53,5.42,5.49,146609158.0,sh601668,中国建筑
2025-01-14,5.49,5.6,5.48,5.57,174283841.0,sh601668,中国建筑
2025-01-15,5.56,5.62,5.56,5.61,162117696.0,sh601668,中国建筑
2025-01-16,5.62,5.69,5.58,5.6,165850057.0,sh601668,中国建筑
2025-01-17,5.6,5.67,5.55,5.63,142148290.0,sh601668,中国建筑
2025-01-20,5.67,5.69,5.61,5.61,111261000.0,sh601668,中国建筑
2025-01-21,5.63,5.67,5.57,5.59,161962445.0,sh601668,中国建筑
2025-01-22,5.58,5.6,5.47,5.49,167107066.0,sh601668,中国建筑
2025-01-23,5.53,5.64,5.53,5.56,181696951.0,sh601668,中国建筑
2025-01-24,5.57,5.62,5.55,5.59,130689987.0,sh601668,中国建筑
2025-01-27,5.61,5.66,5.59,5.64,153407954.0,sh601668,中国建筑
2025-02-05,5.66,5.66,5.5,5.51,189986303.0,sh601668,中国建筑
2025-02-06,5.51,5.53,5.45,5.53,172200937.0,sh601668,中国建筑
2025-02-07,5.52,5.58,5.49,5.54,281034812.0,sh601668,中国建筑
2025-02-10,5.52,5.57,5.51,5.53,159281103.0,sh601668,中国建筑
2025-02-11,5.54,5.55,5.48,5.49,173083025.0,sh601668,中国建筑
2025-02-12,5.5,5.51,5.44,5.51,180648978.0,sh601668,中国建筑
2025-02-13,5.51,5.59,5.49,5.54,247404310.0,sh601668,中国建筑
2025-02-14,5.54,5.55,5.48,5.54,159475596.0,sh601668,中国建筑
2025-02-17,5.55,5.58,5.5,5.54,193747115.0,sh601668,中国建筑
2025-02-18,5.54,5.6,5.51,5.53,226898404.0,sh601668,中国建筑
2025-02-19,5.52,5.58,5.52,5.54,180314593.0,sh601668,中国建筑
2025-02-20,5.53,5.53,5.41,5.49,312275337.0,sh601668,中国建筑
2025-02-21,5.48,5.49,5.38,5.39,301867246.0,sh601668,中国建筑
2025-02-24,5.4,5.59,5.38,5.53,424348431.0,sh601668,中国建筑
2025-02-25,5.53,5.58,5.45,5.46,282070074.0,sh601668,中国建筑
2025-02-26,5.46,5.64,5.46,5.53,345255297.0,sh601668,中国建筑
2025-02-27,5.53,5.55,5.48,5.51,208683360.0,sh601668,中国建筑
2025-02-28,5.5,5.54,5.48,5.48,233555786.0,sh601668,中国建筑
2025-03-03,5.5,5.55,5.45,5.47,212149163.0,sh601668,中国建筑
2025-03-04,5.45,5.47,5.4,5.42,205275478.0,sh601668,中国建筑
2025-03-05,5.42,5.43,5.37,5.42,194413310.0,sh601668,中国建筑
2025-03-06,5.43,5.46,5.39,5.44,185871597.0,sh601668,中国建筑
2025-03-07,5.43,5.45,5.41,5.41,133460748.0,sh601668,中国建筑
2025-03-10,5.42,5.43,5.35,5.36,197336200.0,sh601668,中国建筑
2025-03-11,5.34,5.35,5.31,5.35,162018765.0,sh601668,中国建筑
2025-03-12,5.34,5.37,5.32,5.35,155341018.0,sh601668,中国建筑
2025-03-13,5.35,5.38,5.32,5.33,159130043.0,sh601668,中国建筑
2025-03-14,5.34,5.49,5.33,5.48,359383902.0,sh601668,中国建筑
2025-03-17,5.5,5.55,5.49,5.51,194158861.0,sh601668,中国建筑
2025-03-18,5.53,5.54,5.48,5.49,128907882.0,sh601668,中国建筑
2025-03-19,5.48,5.5,5.45,5.47,133483558.0,sh601668,中国建筑
2025-03-20,5.48,5.49,5.44,5.45,123418162.0,sh601668,中国建筑
2025-03-21,5.45,5.51,5.43,5.45,206146128.0,sh601668,中国建筑
2025-03-24,5.47,5.48,5.42,5.44,142128625.0,sh601668,中国建筑
2025-03-25,5.45,5.53,5.44,5.51,207336542.0,sh601668,中国建筑
2025-03-26,5.51,5.53,5.45,5.46,179982057.0,sh601668,中国建筑
2025-03-27,5.46,5.47,5.43,5.44,131082357.0,sh601668,中国建筑
2025-03-28,5.44,5.45,5.37,5.4,160504649.0,sh601668,中国建筑
2025-03-31,5.37,5.41,5.25,5.26,289035571.0,sh601668,中国建筑
2025-04-01,5.28,5.29,5.24,5.27,224865572.0,sh601668,中国建筑
2025-04-02,5.26,5.3,5.24,5.28,150384522.0,sh601668,中国建筑
2025-04-03,5.25,5.36,5.25,5.31,201048374.0,sh601668,中国建筑
2025-04-07,5.2,5.2,4.96,5.08,507343176.0,sh601668,中国建筑
2025-04-08,5.09,5.33,5.08,5.33,504620971.0,sh601668,中国建筑
2025-04-09,5.31,5.39,5.22,5.39,360153263.0,sh601668,中国建筑
2025-04-10,5.42,5.42,5.3,5.38,206448095.0,sh601668,中国建筑
2025-04-11,5.37,5.37,5.31,5.35,153572693.0,sh601668,中国建筑
2025-04-14,5.36,5.36,5.32,5.33,121768670.0,sh601668,中国建筑
2025-04-15,5.33,5.38,5.31,5.38,141846291.0,sh601668,中国建筑
2025-04-16,5.38,5.48,5.33,5.48,310309745.0,sh601668,中国建筑
2025-04-17,5.44,5.51,5.42,5.51,192850680.0,sh601668,中国建筑
2025-04-18,5.49,5.52,5.47,5.5,108569037.0,sh601668,中国建筑
2025-04-21,5.5,5.54,5.46,5.46,148516980.0,sh601668,中国建筑
2025-04-22,5.45,5.55,5.45,5.53,183882684.0,sh601668,中国建筑
2025-04-23,5.54,5.56,5.48,5.48,114641943.0,sh601668,中国建筑
2025-04-24,5.49,5.52,5.47,5.52,113738875.0,sh601668,中国建筑
2025-04-25,5.52,5.56,5.5,5.52,126713586.0,sh601668,中国建筑
2025-04-28,5.52,5.53,5.47,5.49,112277773.0,sh601668,中国建筑
2025-04-29,5.53,5.59,5.49,5.51,186713461.0,sh601668,中国建筑
2025-04-30,5.5,5.54,5.47,5.51,140735700.0,sh601668,中国建筑
2025-05-06,5.54,5.54,5.5,5.53,166986176.0,sh601668,中国建筑
2025-05-07,5.6,5.62,5.53,5.58,205734741.0,sh601668,中国建筑
2025-05-08,5.57,5.67,5.55,5.59,237921936.0,sh601668,中国建筑
2025-05-09,5.6,5.61,5.55,5.56,132052121.0,sh601668,中国建筑
2025-05-12,5.58,5.61,5.54,5.6,148851504.0,sh601668,中国建筑
2025-05-13,5.61,5.73,5.59,5.71,296149911.0,sh601668,中国建筑
2025-05-14,5.7,5.78,5.69,5.77,161600629.0,sh601668,中国建筑
2025-05-15,5.75,5.81,5.75,5.79,209202304.0,sh601668,中国建筑
2025-05-16,5.79,5.83,5.7,5.75,171517615.0,sh601668,中国建筑
2025-05-19,5.73,5.75,5.69,5.72,112544688.0,sh601668,中国建筑
2025-05-20,5.72,5.78,5.7,5.76,106160994.0,sh601668,中国建筑
2025-05-21,5.76,5.82,5.74,5.77,150335132.0,sh601668,中国建筑
2025-05-22,5.77,5.8,5.74,5.79,119284743.0,sh601668,中国建筑
2025-05-23,5.79,5.82,5.71,5.71,128690541.0,sh601668,中国建筑
2025-05-26,5.7,5.74,5.66,5.69,125178767.0,sh601668,中国建筑
2025-05-27,5.69,5.7,5.62,5.63,144435365.0,sh601668,中国建筑
2025-05-28,5.63,5.66,5.6,5.63,90406771.0,sh601668,中国建筑
2025-05-29,5.64,5.67,5.63,5.64,104258982.0,sh601668,中国建筑
2025-05-30,5.64,5.72,5.6,5.68,159482617.0,sh601668,中国建筑
2025-06-03,5.67,5.73,5.66,5.69,119768850.0,sh601668,中国建筑
2025-06-04,5.7,5.76,5.69,5.7,114044372.0,sh601668,中国建筑
2025-06-05,5.71,5.73,5.65,5.66,118810125.0,sh601668,中国建筑
2025-06-06,5.66,5.72,5.65,5.69,102560609.0,sh601668,中国建筑
2025-06-09,5.69,5.71,5.62,5.63,192486922.0,sh601668,中国建筑
2025-06-10,5.64,5.71,5.63,5.67,186706287.0,sh601668,中国建筑
2025-06-11,5.67,5.74,5.67,5.72,142028611.0,sh601668,中国建筑
2025-06-12,5.73,5.74,5.67,5.71,136299476.0,sh601668,中国建筑
2025-06-13,5.71,5.73,5.68,5.71,165204724.0,sh601668,中国建筑
2025-06-16,5.72,5.73,5.67,5.73,137531214.0,sh601668,中国建筑
2025-06-17,5.73,5.77,5.7,5.75,128090146.0,sh601668,中国建筑
2025-06-18,5.75,5.78,5.7,5.75,120074890.0,sh601668,中国建筑
2025-06-19,5.74,5.75,5.64,5.67,171991163.0,sh601668,中国建筑
2025-06-20,5.68,5.72,5.67,5.7,126184647.0,sh601668,中国建筑
2025-06-23,5.68,5.74,5.63,5.71,144996337.0,sh601668,中国建筑
2025-06-24,5.72,5.81,5.72,5.8,196518029.0,sh601668,中国建筑
2025-06-25,5.8,5.83,5.76,5.83,152110532.0,sh601668,中国建筑
2025-06-26,5.83,5.84,5.78,5.83,131032181.0,sh601668,中国建筑
2025-06-27,5.83,5.89,5.77,5.78,197076019.0,sh601668,中国建筑
2025-06-30,5.79,5.82,5.77,5.77,139409410.0,sh601668,中国建筑
2025-07-01,5.79,5.8,5.76,5.76,101968383.0,sh601668,中国建筑
2025-07-02,5.77,5.85,5.75,5.83,174598916.0,sh601668,中国建筑
2025-07-03,5.83,5.89,5.82,5.88,158554384.0,sh601668,中国建筑
2025-07-04,5.9,5.94,5.87,5.92,144395316.0,sh601668,中国建筑
2025-07-07,5.92,5.97,5.9,5.96,118290506.0,sh601668,中国建筑
2025-07-08,5.96,5.98,5.92,5.95,124712531.0,sh601668,中国建筑
2025-07-09,5.96,6.02,5.95,5.98,161705125.0,sh601668,中国建筑
2025-07-10,6.0,6.14,5.99,6.11,299840130.0,sh601668,中国建筑
2025-07-11,6.11,6.2,6.08,6.08,300097929.0,sh601668,中国建筑
2025-07-14,6.09,6.19,6.09,6.13,188639812.0,sh601668,中国建筑
2025-07-15,6.14,6.15,6.09,6.12,188604346.0,sh601668,中国建筑
2025-07-16,6.11,6.14,6.05,6.09,162458379.0,sh601668,中国建筑
2025-07-17,5.85,5.9,5.79,5.82,216703145.0,sh601668,中国建筑
2025-07-18,5.85,5.86,5.82,5.85,119414405.0,sh601668,中国建筑
2025-07-21,5.94,5.99,5.86,5.87,269321501.0,sh601668,中国建筑
2025-07-22,5.88,6.04,5.83,5.98,444052214.0,sh601668,中国建筑
2025-07-23,6.02,6.03,5.88,5.89,345480138.0,sh601668,中国建筑
2025-07-24,5.87,5.94,5.83,5.89,306795263.0,sh601668,中国建筑
2025-07-25,5.88,5.89,5.78,5.8,302810608.0,sh601668,中国建筑
2025-07-28,5.78,5.81,5.74,5.76,205947245.0,sh601668,中国建筑
2025-07-29,5.75,5.78,5.72,5.75,168573790.0,sh601668,中国建筑
2025-07-30,5.75,5.81,5.73,5.76,151217640.0,sh601668,中国建筑
2025-07-31,5.76,5.76,5.63,5.66,265476974.0,sh601668,中国建筑
2025-08-01,5.65,5.7,5.63,5.64,132338584.0,sh601668,中国建筑
2025-08-04,5.63,5.66,5.62,5.64,118399137.0,sh601668,中国建筑
2025-08-05,5.64,5.68,5.63,5.67,123430799.0,sh601668,中国建筑
2025-08-06,5.68,5.69,5.65,5.66,121156427.0,sh601668,中国建筑
2025-08-07,5.67,5.69,5.65,5.67,134584586.0,sh601668,中国建筑
2025-08-08,5.67,5.73,5.66,5.72,166428998.0,sh601668,中国建筑
2025-08-11,5.73,5.75,5.66,5.66,216559040.0,sh601668,中国建筑
2025-08-12,5.66,5.71,5.65,5.65,163932559.0,sh601668,中国建筑
2025-08-13,5.66,5.67,5.6,5.61,216373052.0,sh601668,中国建筑
2025-08-14,5.61,5.67,5.58,5.58,207274370.0,sh601668,中国建筑
2025-08-15,5.58,5.61,5.56,5.56,230889893.0,sh601668,中国建筑
2025-08-18,5.57,5.61,5.54,5.54,259184242.0,sh601668,中国建筑
2025-08-19,5.56,5.58,5.5,5.5,263187732.0,sh601668,中国建筑
2025-08-20,5.5,5.53,5.46,5.52,206923472.0,sh601668,中国建筑
2025-08-21,5.53,5.62,5.53,5.59,275025785.0,sh601668,中国建筑
2025-08-22,5.59,5.61,5.54,5.6,205126209.0,sh601668,中国建筑
2025-08-25,5.6,5.74,5.6,5.72,360333515.0,sh601668,中国建筑
2025-08-26,5.71,5.72,5.67,5.71,190992736.0,sh601668,中国建筑
2025-08-27,5.69,5.7,5.55,5.56,305019745.0,sh601668,中国建筑
2025-08-28,5.56,5.6,5.51,5.56,226883459.0,sh601668,中国建筑
