date,open,high,low,close,volume,code,name
2024-11-25,9.680,9.350,9.710,9.230,1982318.000,sh601985,中国核电
2024-11-26,9.280,9.230,9.370,9.170,1076284.000,sh601985,中国核电
2024-11-27,9.240,9.300,9.310,9.180,777296.000,sh601985,中国核电
2024-11-28,9.270,9.240,9.300,9.100,1369737.000,sh601985,中国核电
2024-11-29,9.220,9.250,9.330,9.180,1067691.000,sh601985,中国核电
2024-12-02,9.250,9.340,9.380,9.170,1170077.000,sh601985,中国核电
2024-12-03,9.350,9.630,9.690,9.310,1840036.000,sh601985,中国核电
2024-12-04,9.600,9.670,9.710,9.520,1277081.000,sh601985,中国核电
2024-12-05,9.630,9.630,9.750,9.540,847895.000,sh601985,中国核电
2024-12-06,9.630,9.760,9.820,9.620,1131887.000,sh601985,中国核电
2024-12-09,9.740,9.830,9.860,9.700,951413.000,sh601985,中国核电
2024-12-10,9.940,9.750,9.950,9.720,1206129.000,sh601985,中国核电
2024-12-11,9.730,9.710,9.780,9.650,840750.000,sh601985,中国核电
2024-12-12,9.680,9.640,9.700,9.550,1159377.000,sh601985,中国核电
2024-12-13,9.620,9.520,9.650,9.510,1015780.000,sh601985,中国核电
2024-12-16,9.530,9.820,9.830,9.530,1798078.000,sh601985,中国核电
2024-12-17,9.820,9.890,10.000,9.820,1534145.000,sh601985,中国核电
2024-12-18,9.940,9.860,10.040,9.850,1123557.000,sh601985,中国核电
2024-12-19,9.820,9.770,9.890,9.750,827762.000,sh601985,中国核电
2024-12-20,9.750,9.590,9.800,9.590,1019250.000,sh601985,中国核电
2024-12-23,9.600,10.170,10.200,9.540,3152237.000,sh601985,中国核电
2024-12-24,10.140,10.200,10.220,10.030,1640776.000,sh601985,中国核电
2024-12-25,10.180,10.140,10.330,10.110,1203812.000,sh601985,中国核电
2024-12-26,10.130,10.030,10.160,9.980,1100437.000,sh601985,中国核电
2024-12-27,10.030,10.220,10.250,9.960,1505827.000,sh601985,中国核电
2024-12-30,10.260,10.110,10.350,10.090,1234125.000,sh601985,中国核电
2024-12-31,10.120,10.270,10.420,10.100,2042768.000,sh601985,中国核电
2025-01-02,10.240,9.990,10.330,9.960,1710086.000,sh601985,中国核电
2025-01-03,10.050,9.860,10.130,9.830,1184430.000,sh601985,中国核电
2025-01-06,9.860,9.790,9.910,9.690,1141091.000,sh601985,中国核电
2025-01-07,9.800,9.820,9.860,9.720,946053.000,sh601985,中国核电
2025-01-08,9.800,10.030,10.130,9.730,1560110.000,sh601985,中国核电
2025-01-09,10.010,9.710,10.020,9.690,1333467.000,sh601985,中国核电
2025-01-10,9.670,9.270,9.680,9.260,1887215.000,sh601985,中国核电
2025-01-13,9.110,9.150,9.160,8.850,2173320.000,sh601985,中国核电
2025-01-14,9.110,9.340,9.370,9.110,1394897.000,sh601985,中国核电
2025-01-15,9.340,9.440,9.550,9.210,1298554.000,sh601985,中国核电
2025-01-16,9.440,9.430,9.500,9.360,1045935.000,sh601985,中国核电
2025-01-17,9.430,9.270,9.430,9.160,1289654.000,sh601985,中国核电
2025-01-20,9.280,9.210,9.330,9.180,1013005.000,sh601985,中国核电
2025-01-21,9.240,9.220,9.260,9.150,733776.000,sh601985,中国核电
2025-01-22,9.210,9.240,9.340,9.180,873702.000,sh601985,中国核电
2025-01-23,9.300,9.400,9.520,9.290,1439743.000,sh601985,中国核电
2025-01-24,9.390,9.400,9.440,9.300,849741.000,sh601985,中国核电
2025-01-27,9.400,9.600,9.690,9.390,1310547.000,sh601985,中国核电
2025-02-05,9.600,9.520,9.630,9.490,740250.000,sh601985,中国核电
2025-02-06,9.530,9.600,9.610,9.420,734205.000,sh601985,中国核电
2025-02-07,9.590,9.630,9.680,9.490,1048524.000,sh601985,中国核电
2025-02-10,9.580,9.620,9.700,9.510,818855.000,sh601985,中国核电
2025-02-11,9.620,9.680,9.700,9.590,877092.000,sh601985,中国核电
2025-02-12,9.640,9.670,9.760,9.600,781788.000,sh601985,中国核电
2025-02-13,9.650,9.800,9.830,9.620,1282564.000,sh601985,中国核电
2025-02-14,9.820,9.800,9.870,9.750,687388.000,sh601985,中国核电
2025-02-17,9.750,10.010,10.040,9.660,1190288.000,sh601985,中国核电
2025-02-18,10.010,10.080,10.160,9.980,1175091.000,sh601985,中国核电
2025-02-19,10.070,10.010,10.160,9.970,730838.000,sh601985,中国核电
2025-02-20,10.010,9.930,10.060,9.910,713031.000,sh601985,中国核电
2025-02-21,9.940,9.940,10.040,9.870,802982.000,sh601985,中国核电
2025-02-24,9.950,9.910,10.070,9.900,785817.000,sh601985,中国核电
2025-02-25,9.890,9.790,9.970,9.750,793040.000,sh601985,中国核电
2025-02-26,9.780,9.740,9.830,9.690,715326.000,sh601985,中国核电
2025-02-27,9.710,9.620,9.760,9.590,896158.000,sh601985,中国核电
2025-02-28,9.600,9.420,9.660,9.420,871297.000,sh601985,中国核电
2025-03-03,9.530,9.550,9.670,9.400,898615.000,sh601985,中国核电
2025-03-04,9.540,9.380,9.540,9.300,1172813.000,sh601985,中国核电
2025-03-05,9.390,9.480,9.550,9.380,848365.000,sh601985,中国核电
2025-03-06,9.500,9.470,9.530,9.390,744238.000,sh601985,中国核电
2025-03-07,9.480,9.430,9.540,9.400,753121.000,sh601985,中国核电
2025-03-10,9.390,9.330,9.420,9.270,950627.000,sh601985,中国核电
2025-03-11,9.280,9.340,9.370,9.260,635109.000,sh601985,中国核电
2025-03-12,9.340,9.270,9.340,9.250,738585.000,sh601985,中国核电
2025-03-13,9.290,9.340,9.400,9.260,1016731.000,sh601985,中国核电
2025-03-14,9.360,9.410,9.440,9.300,1053987.000,sh601985,中国核电
2025-03-17,9.430,9.310,9.470,9.300,1356882.000,sh601985,中国核电
2025-03-18,9.320,9.280,9.330,9.230,951010.000,sh601985,中国核电
2025-03-19,9.280,9.350,9.410,9.240,1053840.000,sh601985,中国核电
2025-03-20,9.340,9.260,9.350,9.250,865021.000,sh601985,中国核电
2025-03-21,9.250,9.240,9.320,9.170,1201882.000,sh601985,中国核电
2025-03-24,9.200,9.130,9.220,9.090,978052.000,sh601985,中国核电
2025-03-25,9.140,9.310,9.340,9.070,1409777.000,sh601985,中国核电
2025-03-26,9.320,9.240,9.320,9.190,879376.000,sh601985,中国核电
2025-03-27,9.240,9.140,9.250,9.120,1040278.000,sh601985,中国核电
2025-03-28,9.140,9.130,9.160,9.090,555001.000,sh601985,中国核电
2025-03-31,9.120,9.050,9.200,9.020,954901.000,sh601985,中国核电
2025-04-01,9.060,9.210,9.240,9.020,1207979.000,sh601985,中国核电
2025-04-02,9.190,9.120,9.190,9.090,689340.000,sh601985,中国核电
2025-04-03,9.050,9.220,9.240,9.050,1075755.000,sh601985,中国核电
2025-04-07,9.020,8.830,9.130,8.500,2266984.000,sh601985,中国核电
2025-04-08,8.820,9.040,9.040,8.790,1498843.000,sh601985,中国核电
2025-04-09,8.980,9.120,9.120,8.890,1240246.000,sh601985,中国核电
2025-04-10,9.130,9.110,9.170,8.990,967416.000,sh601985,中国核电
2025-04-11,9.080,9.070,9.090,9.010,621066.000,sh601985,中国核电
2025-04-14,9.050,9.100,9.140,9.040,629387.000,sh601985,中国核电
2025-04-15,9.110,9.240,9.240,9.070,1070885.000,sh601985,中国核电
2025-04-16,9.240,9.310,9.310,9.150,1023968.000,sh601985,中国核电
2025-04-17,9.270,9.290,9.310,9.210,644465.000,sh601985,中国核电
2025-04-18,9.250,9.280,9.290,9.200,424194.000,sh601985,中国核电
2025-04-21,9.240,9.220,9.280,9.220,418350.000,sh601985,中国核电
2025-04-22,9.230,9.270,9.410,9.210,904893.000,sh601985,中国核电
2025-04-23,9.290,9.210,9.290,9.190,556421.000,sh601985,中国核电
2025-04-24,9.180,9.130,9.250,9.120,681491.000,sh601985,中国核电
2025-04-25,9.140,9.170,9.170,9.050,716234.000,sh601985,中国核电
2025-04-28,9.360,9.230,9.400,9.220,1389442.000,sh601985,中国核电
2025-04-29,9.160,9.170,9.220,9.050,988342.000,sh601985,中国核电
2025-04-30,9.150,9.070,9.150,9.060,607530.000,sh601985,中国核电
2025-05-06,9.120,9.130,9.150,9.070,668534.000,sh601985,中国核电
2025-05-07,9.200,9.170,9.220,9.110,712271.000,sh601985,中国核电
2025-05-08,9.150,9.220,9.240,9.120,613349.000,sh601985,中国核电
2025-05-09,9.210,9.210,9.240,9.190,516701.000,sh601985,中国核电
2025-05-12,9.230,9.240,9.290,9.190,709977.000,sh601985,中国核电
2025-05-13,9.270,9.240,9.280,9.210,499603.000,sh601985,中国核电
2025-05-14,9.250,9.320,9.330,9.210,994228.000,sh601985,中国核电
2025-05-15,9.310,9.380,9.420,9.290,1016459.000,sh601985,中国核电
2025-05-16,9.360,9.270,9.430,9.260,849675.000,sh601985,中国核电
2025-05-19,9.290,9.350,9.370,9.260,768972.000,sh601985,中国核电
2025-05-20,9.360,9.460,9.530,9.350,1022944.000,sh601985,中国核电
2025-05-21,9.450,9.420,9.500,9.410,668190.000,sh601985,中国核电
2025-05-22,9.410,9.410,9.440,9.340,618045.000,sh601985,中国核电
2025-05-23,9.390,9.390,9.500,9.380,754019.000,sh601985,中国核电
2025-05-26,9.410,9.610,9.630,9.410,1534966.000,sh601985,中国核电
2025-05-27,9.610,9.490,9.690,9.490,921859.000,sh601985,中国核电
2025-05-28,9.500,9.480,9.560,9.460,574796.000,sh601985,中国核电
2025-05-29,9.490,9.430,9.510,9.400,882999.000,sh601985,中国核电
2025-05-30,9.440,9.420,9.480,9.330,875117.000,sh601985,中国核电
2025-06-03,9.370,9.340,9.390,9.300,707582.000,sh601985,中国核电
2025-06-04,9.350,9.340,9.380,9.330,587456.000,sh601985,中国核电
2025-06-05,9.350,9.300,9.370,9.270,772014.000,sh601985,中国核电
2025-06-06,9.300,9.330,9.370,9.280,551032.000,sh601985,中国核电
2025-06-09,9.330,9.300,9.350,9.280,596859.000,sh601985,中国核电
2025-06-10,9.290,9.200,9.310,9.190,823135.000,sh601985,中国核电
2025-06-11,9.200,9.190,9.240,9.160,597023.000,sh601985,中国核电
2025-06-12,9.210,9.130,9.220,9.120,800106.000,sh601985,中国核电
2025-06-13,9.150,9.280,9.300,9.120,1303278.000,sh601985,中国核电
2025-06-16,9.310,9.250,9.320,9.200,554636.000,sh601985,中国核电
2025-06-17,9.240,9.330,9.340,9.200,798046.000,sh601985,中国核电
2025-06-18,9.330,9.430,9.490,9.310,1393725.000,sh601985,中国核电
2025-06-19,9.440,9.340,9.460,9.250,882190.000,sh601985,中国核电
2025-06-20,9.340,9.230,9.370,9.220,581149.000,sh601985,中国核电
2025-06-23,9.210,9.170,9.240,9.120,788993.000,sh601985,中国核电
2025-06-24,9.180,9.210,9.220,9.140,636384.000,sh601985,中国核电
2025-06-25,9.210,9.260,9.270,9.160,687026.000,sh601985,中国核电
2025-06-26,9.250,9.220,9.310,9.220,597074.000,sh601985,中国核电
2025-06-27,9.220,9.180,9.240,9.160,728723.000,sh601985,中国核电
2025-06-30,9.190,9.160,9.200,9.140,702620.000,sh601985,中国核电
2025-07-01,9.160,9.170,9.210,9.140,636258.000,sh601985,中国核电
2025-07-02,9.180,9.210,9.220,9.160,713741.000,sh601985,中国核电
2025-07-03,9.220,9.210,9.240,9.180,484781.000,sh601985,中国核电
2025-07-04,9.220,9.250,9.290,9.210,880164.000,sh601985,中国核电
2025-07-07,9.280,9.320,9.330,9.230,863619.000,sh601985,中国核电
2025-07-08,9.320,9.270,9.330,9.220,854700.000,sh601985,中国核电
2025-07-09,9.260,9.310,9.360,9.250,1058822.000,sh601985,中国核电
2025-07-10,9.300,9.250,9.330,9.250,810019.000,sh601985,中国核电
2025-07-11,9.250,9.220,9.290,9.220,1049432.000,sh601985,中国核电
2025-07-14,9.300,9.320,9.440,9.290,1443417.000,sh601985,中国核电
2025-07-15,9.320,9.200,9.330,9.190,1172960.000,sh601985,中国核电
2025-07-16,9.200,9.170,9.220,9.160,667228.000,sh601985,中国核电
2025-07-17,9.170,9.190,9.200,9.160,619126.000,sh601985,中国核电
2025-07-18,9.240,9.230,9.250,9.160,773152.000,sh601985,中国核电
2025-07-21,9.240,9.280,9.290,9.230,1066676.000,sh601985,中国核电
2025-07-22,9.280,9.340,9.350,9.250,1257119.000,sh601985,中国核电
2025-07-23,9.760,9.420,9.850,9.400,3247195.000,sh601985,中国核电
2025-07-24,9.390,9.420,9.460,9.320,1524293.000,sh601985,中国核电
2025-07-25,9.410,9.320,9.420,9.310,1156828.000,sh601985,中国核电
2025-07-28,9.310,9.260,9.320,9.250,1025637.000,sh601985,中国核电
2025-07-29,9.250,9.240,9.270,9.210,701582.000,sh601985,中国核电
2025-07-30,9.250,9.260,9.290,9.230,826858.000,sh601985,中国核电
2025-07-31,9.250,9.190,9.260,9.160,1074655.000,sh601985,中国核电
2025-08-01,9.170,9.160,9.200,9.150,562592.000,sh601985,中国核电
2025-08-04,9.160,9.160,9.180,9.130,497878.000,sh601985,中国核电
2025-08-05,9.170,9.170,9.190,9.150,579955.000,sh601985,中国核电
2025-08-06,9.180,9.180,9.190,9.160,643195.000,sh601985,中国核电
2025-08-07,9.170,9.170,9.180,9.150,602757.000,sh601985,中国核电
2025-08-08,9.170,9.160,9.190,9.150,707910.000,sh601985,中国核电
2025-08-11,9.170,9.160,9.170,9.130,638732.000,sh601985,中国核电
2025-08-12,9.160,9.160,9.180,9.150,611363.000,sh601985,中国核电
2025-08-13,9.170,9.140,9.170,9.140,785098.000,sh601985,中国核电
2025-08-14,9.150,9.110,9.160,9.100,853701.000,sh601985,中国核电
2025-08-15,9.100,9.060,9.110,9.050,1172386.000,sh601985,中国核电
2025-08-18,9.050,9.060,9.120,9.040,1246690.000,sh601985,中国核电
2025-08-19,9.050,9.060,9.090,9.040,872817.000,sh601985,中国核电
2025-08-20,9.040,9.060,9.060,9.020,743628.000,sh601985,中国核电
2025-08-21,9.060,9.160,9.170,9.040,1341112.000,sh601985,中国核电
2025-08-22,9.150,9.150,9.160,9.090,993644.000,sh601985,中国核电
2025-08-25,9.160,9.270,9.280,9.150,1682579.000,sh601985,中国核电
2025-08-26,9.270,9.250,9.270,9.200,884136.000,sh601985,中国核电
2025-08-27,9.220,9.070,9.280,9.060,1818217.000,sh601985,中国核电
2025-08-28,9.050,9.030,9.070,8.910,1840764.000,sh601985,中国核电
2025-08-29,9.030,8.910,9.130,8.870,3170587.000,sh601985,中国核电
2025-09-01,8.920,8.810,8.930,8.770,1794719.000,sh601985,中国核电
2025-09-02,8.810,8.880,8.890,8.780,1364113.000,sh601985,中国核电
2025-09-03,8.870,8.760,8.880,8.730,1059322.000,sh601985,中国核电
2025-09-04,8.730,8.780,8.790,8.660,1203172.000,sh601985,中国核电
2025-09-05,8.750,8.740,8.750,8.690,675668.000,sh601985,中国核电
2025-09-08,8.740,8.800,8.820,8.720,1081578.000,sh601985,中国核电
2025-09-09,8.800,8.780,8.820,8.760,666962.000,sh601985,中国核电
2025-09-10,8.790,8.770,8.790,8.750,580376.000,sh601985,中国核电
2025-09-11,8.770,8.810,8.810,8.720,920581.000,sh601985,中国核电
2025-09-12,8.800,8.800,8.880,8.760,1090534.000,sh601985,中国核电
2025-09-15,8.800,8.830,8.840,8.760,700175.000,sh601985,中国核电
2025-09-16,8.860,8.830,8.860,8.780,647580.000,sh601985,中国核电
2025-09-17,8.830,8.860,8.870,8.780,801042.000,sh601985,中国核电
2025-09-18,8.860,8.710,8.870,8.680,1305275.000,sh601985,中国核电
2025-09-19,8.700,8.500,8.730,8.500,1340858.000,sh601985,中国核电
2025-09-22,8.560,8.460,8.590,8.400,1226707.000,sh601985,中国核电
2025-09-23,8.450,8.530,8.570,8.370,1058180.000,sh601985,中国核电
2025-09-24,8.500,8.490,8.540,8.450,790243.000,sh601985,中国核电
2025-09-25,8.500,8.520,8.540,8.470,755044.000,sh601985,中国核电
2025-09-26,8.520,8.630,8.660,8.500,1092529.000,sh601985,中国核电
2025-09-29,8.640,8.720,8.750,8.570,982568.000,sh601985,中国核电
2025-09-30,8.710,8.710,8.720,8.630,765056.000,sh601985,中国核电
2025-10-09,8.880,9.110,9.110,8.880,3084250.000,sh601985,中国核电
2025-10-10,9.100,8.990,9.100,8.950,1772462.000,sh601985,中国核电
2025-10-13,8.880,9.070,9.080,8.850,1740190.000,sh601985,中国核电
2025-10-14,9.090,9.190,9.380,9.040,2833399.000,sh601985,中国核电
2025-10-15,9.180,9.120,9.230,9.040,1554174.000,sh601985,中国核电
2025-10-16,9.130,9.170,9.200,9.050,1471231.000,sh601985,中国核电
2025-10-17,9.210,9.040,9.210,9.010,1191458.000,sh601985,中国核电
2025-10-20,9.050,9.060,9.110,8.900,1515275.000,sh601985,中国核电
2025-10-21,9.050,9.050,9.130,9.040,899473.000,sh601985,中国核电
2025-10-22,9.040,9.050,9.080,9.010,815589.000,sh601985,中国核电
2025-10-23,9.040,9.130,9.130,9.020,1113335.000,sh601985,中国核电
2025-10-24,9.120,9.090,9.130,9.040,849040.000,sh601985,中国核电
2025-10-27,9.110,9.470,9.600,9.090,4253776.000,sh601985,中国核电
2025-10-28,9.480,9.390,9.500,9.360,1809857.000,sh601985,中国核电
2025-10-29,9.390,9.510,9.600,9.320,2283588.000,sh601985,中国核电
2025-10-30,9.370,9.380,9.450,9.230,2293750.000,sh601985,中国核电
2025-10-31,9.380,8.980,9.380,8.980,3121605.000,sh601985,中国核电
2025-11-03,9.080,9.100,9.180,9.010,1573758.000,sh601985,中国核电
2025-11-04,9.100,9.060,9.180,9.030,1164379.000,sh601985,中国核电
2025-11-05,9.010,9.100,9.130,8.920,1221844.000,sh601985,中国核电
2025-11-06,9.100,9.170,9.260,9.080,1491173.000,sh601985,中国核电
2025-11-07,9.150,9.090,9.210,9.080,1030123.000,sh601985,中国核电
2025-11-10,9.090,9.100,9.120,9.050,948532.000,sh601985,中国核电
2025-11-11,9.110,9.060,9.120,9.030,929002.000,sh601985,中国核电
2025-11-12,9.050,8.980,9.070,8.960,1107237.000,sh601985,中国核电
2025-11-13,8.970,9.000,9.000,8.930,897776.000,sh601985,中国核电
2025-11-14,8.990,8.910,9.000,8.910,756986.000,sh601985,中国核电
2025-11-17,8.900,8.820,8.920,8.800,955183.000,sh601985,中国核电
2025-11-18,8.800,8.800,8.850,8.770,568262.000,sh601985,中国核电
2025-11-19,8.780,8.730,8.810,8.700,938803.000,sh601985,中国核电
2025-11-20,8.750,8.750,8.830,8.740,642014.000,sh601985,中国核电
2025-11-21,8.730,8.660,8.730,8.630,937492.000,sh601985,中国核电
2025-11-24,8.700,8.710,8.730,8.660,609720.000,sh601985,中国核电
2025-11-25,8.720,8.700,8.740,8.680,652938.000,sh601985,中国核电
2025-11-26,8.700,8.640,8.710,8.630,646534.000,sh601985,中国核电
2025-11-27,8.630,8.600,8.650,8.600,620125.000,sh601985,中国核电
2025-11-28,8.600,8.630,8.630,8.560,454006.000,sh601985,中国核电
2025-12-01,8.610,8.710,8.710,8.580,884181.000,sh601985,中国核电
2025-12-02,8.700,8.700,8.730,8.670,488790.000,sh601985,中国核电
2025-12-03,8.700,8.700,8.760,8.680,585379.000,sh601985,中国核电
2025-12-04,8.69,8.67,8.72,8.66,424175,sh601985,中国核电
