,open,high,low,close,volume,code,name
2024-11-26,6.38,6.47,6.34,6.43,93201764.0,sh601728,中国电信
2024-11-27,6.4,6.57,6.4,6.53,136050399.0,sh601728,中国电信
2024-11-28,6.53,6.56,6.42,6.44,101523862.0,sh601728,中国电信
2024-11-29,6.44,6.53,6.44,6.47,104271689.0,sh601728,中国电信
2024-12-02,6.45,6.5,6.44,6.49,94151507.0,sh601728,中国电信
2024-12-03,6.48,6.54,6.45,6.53,96141488.0,sh601728,中国电信
2024-12-04,6.52,6.71,6.49,6.66,181523801.0,sh601728,中国电信
2024-12-05,6.68,6.74,6.6,6.62,97851257.0,sh601728,中国电信
2024-12-06,6.63,6.69,6.56,6.63,136911105.0,sh601728,中国电信
2024-12-09,6.63,6.8,6.61,6.73,146948912.0,sh601728,中国电信
2024-12-10,6.79,6.84,6.68,6.7,144302199.0,sh601728,中国电信
2024-12-11,6.7,6.74,6.64,6.72,128209387.0,sh601728,中国电信
2024-12-12,6.7,6.85,6.69,6.82,166202152.0,sh601728,中国电信
2024-12-13,6.82,6.89,6.75,6.79,168451954.0,sh601728,中国电信
2024-12-16,6.79,7.02,6.79,6.98,207125089.0,sh601728,中国电信
2024-12-17,6.98,7.2,6.96,6.98,165815344.0,sh601728,中国电信
2024-12-18,6.93,7.11,6.93,7.01,150216072.0,sh601728,中国电信
2024-12-19,6.96,7.17,6.95,7.09,124277107.0,sh601728,中国电信
2024-12-20,7.05,7.12,7.01,7.05,96941350.0,sh601728,中国电信
2024-12-23,7.05,7.13,7.02,7.06,129944325.0,sh601728,中国电信
2024-12-24,7.06,7.1,6.97,7.09,108406789.0,sh601728,中国电信
2024-12-25,7.09,7.3,7.08,7.21,142479320.0,sh601728,中国电信
2024-12-26,7.23,7.26,7.04,7.23,123898300.0,sh601728,中国电信
2024-12-27,7.18,7.26,7.1,7.17,102501578.0,sh601728,中国电信
2024-12-30,7.17,7.3,7.15,7.26,103354169.0,sh601728,中国电信
2024-12-31,7.28,7.35,7.22,7.22,102490712.0,sh601728,中国电信
2025-01-02,7.22,7.28,7.03,7.11,173702497.0,sh601728,中国电信
2025-01-03,7.11,7.18,6.94,7.01,126316039.0,sh601728,中国电信
2025-01-06,6.98,7.04,6.9,7.0,97866481.0,sh601728,中国电信
2025-01-07,6.99,7.02,6.92,7.0,64736122.0,sh601728,中国电信
2025-01-08,6.98,7.17,6.94,7.16,110683800.0,sh601728,中国电信
2025-01-09,7.15,7.17,7.05,7.07,66860900.0,sh601728,中国电信
2025-01-10,7.07,7.08,6.97,6.98,60493772.0,sh601728,中国电信
2025-01-13,6.92,6.98,6.75,6.83,107490691.0,sh601728,中国电信
2025-01-14,6.83,7.03,6.81,6.89,87930900.0,sh601728,中国电信
2025-01-15,6.9,7.03,6.86,6.88,67527700.0,sh601728,中国电信
2025-01-16,6.88,6.99,6.85,6.95,76343662.0,sh601728,中国电信
2025-01-17,6.94,7.04,6.89,6.94,58367300.0,sh601728,中国电信
2025-01-20,6.95,7.0,6.86,6.87,66278000.0,sh601728,中国电信
2025-01-21,6.88,6.89,6.67,6.69,133575550.0,sh601728,中国电信
2025-01-22,6.7,6.8,6.63,6.76,86575348.0,sh601728,中国电信
2025-01-23,6.79,6.96,6.78,6.85,94403170.0,sh601728,中国电信
2025-01-24,6.82,7.0,6.82,6.91,81601789.0,sh601728,中国电信
2025-01-27,6.94,7.11,6.89,7.06,87660565.0,sh601728,中国电信
2025-02-05,7.09,7.15,6.92,6.97,101957662.0,sh601728,中国电信
2025-02-06,7.01,7.12,6.93,7.09,135417706.0,sh601728,中国电信
2025-02-07,7.07,7.33,7.01,7.13,130756430.0,sh601728,中国电信
2025-02-10,7.3,7.84,7.27,7.6,446633226.0,sh601728,中国电信
2025-02-11,7.58,8.07,7.51,7.8,471841456.0,sh601728,中国电信
2025-02-12,7.72,7.79,7.59,7.74,284932695.0,sh601728,中国电信
2025-02-13,7.7,8.01,7.7,7.76,306191787.0,sh601728,中国电信
2025-02-14,7.65,8.01,7.59,7.9,388428870.0,sh601728,中国电信
2025-02-17,8.12,8.43,8.0,8.15,567924975.0,sh601728,中国电信
2025-02-18,8.15,8.4,8.08,8.15,329727427.0,sh601728,中国电信
2025-02-19,8.18,8.34,8.01,8.06,269059033.0,sh601728,中国电信
2025-02-20,7.96,8.05,7.77,7.82,248738627.0,sh601728,中国电信
2025-02-21,7.98,8.6,7.95,8.6,476816543.0,sh601728,中国电信
2025-02-24,8.6,8.61,8.29,8.36,381932267.0,sh601728,中国电信
2025-02-25,8.18,8.33,8.06,8.12,197208467.0,sh601728,中国电信
2025-02-26,8.28,8.32,8.0,8.06,169885454.0,sh601728,中国电信
2025-02-27,8.07,8.12,7.81,7.9,192587058.0,sh601728,中国电信
2025-02-28,7.88,7.93,7.73,7.75,149412948.0,sh601728,中国电信
2025-03-03,7.8,8.08,7.8,7.92,190224204.0,sh601728,中国电信
2025-03-04,7.86,7.92,7.75,7.8,121367302.0,sh601728,中国电信
2025-03-05,7.8,8.08,7.79,8.04,162310024.0,sh601728,中国电信
2025-03-06,8.11,8.3,8.03,8.26,218164462.0,sh601728,中国电信
2025-03-07,8.19,8.41,8.17,8.22,115487367.0,sh601728,中国电信
2025-03-10,8.22,8.23,7.94,7.96,152394351.0,sh601728,中国电信
2025-03-11,7.83,8.04,7.83,8.04,111924363.0,sh601728,中国电信
2025-03-12,8.05,8.08,7.78,7.93,163973455.0,sh601728,中国电信
2025-03-13,7.91,7.98,7.78,7.83,114216348.0,sh601728,中国电信
2025-03-14,7.8,7.96,7.74,7.82,158539882.0,sh601728,中国电信
2025-03-17,7.82,7.88,7.73,7.81,104111350.0,sh601728,中国电信
2025-03-18,7.83,7.95,7.8,7.86,123711809.0,sh601728,中国电信
2025-03-19,7.85,7.85,7.6,7.64,158721063.0,sh601728,中国电信
2025-03-20,7.61,7.64,7.49,7.51,121938832.0,sh601728,中国电信
2025-03-21,7.51,7.62,7.48,7.52,116339471.0,sh601728,中国电信
2025-03-24,7.51,7.65,7.5,7.61,128787557.0,sh601728,中国电信
2025-03-25,7.62,7.64,7.51,7.57,93199695.0,sh601728,中国电信
2025-03-26,7.59,7.73,7.55,7.65,129302867.0,sh601728,中国电信
2025-03-27,7.67,7.84,7.63,7.71,119508400.0,sh601728,中国电信
2025-03-28,7.72,7.74,7.61,7.72,80363095.0,sh601728,中国电信
2025-03-31,7.7,7.91,7.67,7.85,147523243.0,sh601728,中国电信
2025-04-01,7.85,7.87,7.71,7.81,98649368.0,sh601728,中国电信
2025-04-02,7.78,7.9,7.76,7.88,80060137.0,sh601728,中国电信
2025-04-03,7.85,8.06,7.83,8.03,118706727.0,sh601728,中国电信
2025-04-07,7.82,8.02,7.6,7.87,255495936.0,sh601728,中国电信
2025-04-08,7.86,8.22,7.82,8.22,246797667.0,sh601728,中国电信
2025-04-09,8.2,8.31,8.03,8.3,232545465.0,sh601728,中国电信
2025-04-10,8.3,8.3,7.95,8.18,255219606.0,sh601728,中国电信
2025-04-11,8.05,8.05,7.9,7.93,169246058.0,sh601728,中国电信
2025-04-14,7.9,7.93,7.73,7.89,139589954.0,sh601728,中国电信
2025-04-15,7.89,8.0,7.85,7.98,134808698.0,sh601728,中国电信
2025-04-16,7.97,8.12,7.92,8.12,176576911.0,sh601728,中国电信
2025-04-17,8.07,8.13,7.96,8.06,125005616.0,sh601728,中国电信
2025-04-18,7.99,8.03,7.92,7.97,70921844.0,sh601728,中国电信
2025-04-21,7.94,8.0,7.9,7.93,75649100.0,sh601728,中国电信
2025-04-22,7.92,7.98,7.86,7.87,105819809.0,sh601728,中国电信
2025-04-23,7.87,7.88,7.75,7.76,120665737.0,sh601728,中国电信
2025-04-24,7.76,7.77,7.71,7.77,79896055.0,sh601728,中国电信
2025-04-25,7.77,7.8,7.67,7.7,88576201.0,sh601728,中国电信
2025-04-28,7.6,7.79,7.57,7.76,121006120.0,sh601728,中国电信
2025-04-29,7.76,7.81,7.7,7.73,79812477.0,sh601728,中国电信
2025-04-30,7.74,7.75,7.68,7.69,69882360.0,sh601728,中国电信
2025-05-06,7.72,7.83,7.65,7.78,131029346.0,sh601728,中国电信
2025-05-07,7.85,7.91,7.74,7.91,145872385.0,sh601728,中国电信
2025-05-08,7.86,7.9,7.8,7.81,85953667.0,sh601728,中国电信
2025-05-09,7.8,7.86,7.78,7.81,86014400.0,sh601728,中国电信
2025-05-12,7.82,7.84,7.74,7.8,97048041.0,sh601728,中国电信
2025-05-13,7.8,7.81,7.75,7.76,75024894.0,sh601728,中国电信
2025-05-14,7.75,7.88,7.74,7.87,113272042.0,sh601728,中国电信
2025-05-15,7.86,7.93,7.82,7.92,93605904.0,sh601728,中国电信
2025-05-16,7.88,7.91,7.68,7.82,143902284.0,sh601728,中国电信
2025-05-19,7.77,7.79,7.74,7.77,74258324.0,sh601728,中国电信
2025-05-20,7.77,7.96,7.77,7.86,156280283.0,sh601728,中国电信
2025-05-21,7.86,7.95,7.86,7.92,84492300.0,sh601728,中国电信
2025-05-22,7.92,7.94,7.86,7.9,48002100.0,sh601728,中国电信
2025-05-23,7.9,7.98,7.86,7.92,84390100.0,sh601728,中国电信
2025-05-26,7.92,7.94,7.82,7.85,62786100.0,sh601728,中国电信
