date,open,high,low,close,volume,code,name
2024-11-25,6.072,6.102,6.212,6.052,2094832.000,sh600028,中国石化
2024-11-26,6.062,6.132,6.142,5.992,1392899.000,sh600028,中国石化
2024-11-27,6.132,6.152,6.152,6.092,1266794.000,sh600028,中国石化
2024-11-28,6.142,6.172,6.192,6.122,1159044.000,sh600028,中国石化
2024-11-29,6.182,6.132,6.202,6.132,1278034.000,sh600028,中国石化
2024-12-02,6.112,6.082,6.122,6.062,1601898.000,sh600028,中国石化
2024-12-03,6.082,6.122,6.122,6.052,1358056.000,sh600028,中国石化
2024-12-04,6.122,6.252,6.272,6.102,2960817.000,sh600028,中国石化
2024-12-05,6.222,6.162,6.242,6.142,1264709.000,sh600028,中国石化
2024-12-06,6.142,6.182,6.222,6.142,1191781.000,sh600028,中国石化
2024-12-09,6.172,6.242,6.252,6.142,1312229.000,sh600028,中国石化
2024-12-10,6.292,6.212,6.322,6.212,1646687.000,sh600028,中国石化
2024-12-11,6.212,6.212,6.242,6.192,1031051.000,sh600028,中国石化
2024-12-12,6.222,6.232,6.252,6.202,1260655.000,sh600028,中国石化
2024-12-13,6.202,6.132,6.212,6.112,2200321.000,sh600028,中国石化
2024-12-16,6.132,6.222,6.242,6.132,1661248.000,sh600028,中国石化
2024-12-17,6.202,6.212,6.292,6.192,1338203.000,sh600028,中国石化
2024-12-18,6.232,6.282,6.332,6.232,1589834.000,sh600028,中国石化
2024-12-19,6.262,6.232,6.322,6.212,1231859.000,sh600028,中国石化
2024-12-20,6.242,6.152,6.252,6.152,1329524.000,sh600028,中国石化
2024-12-23,6.162,6.312,6.332,6.162,2552757.000,sh600028,中国石化
2024-12-24,6.272,6.382,6.422,6.262,1811701.000,sh600028,中国石化
2024-12-25,6.382,6.532,6.532,6.382,2084357.000,sh600028,中国石化
2024-12-26,6.512,6.442,6.532,6.392,1611223.000,sh600028,中国石化
2024-12-27,6.432,6.422,6.482,6.342,1320606.000,sh600028,中国石化
2024-12-30,6.392,6.492,6.512,6.392,1392516.000,sh600028,中国石化
2024-12-31,6.472,6.452,6.552,6.432,1708796.000,sh600028,中国石化
2025-01-02,6.442,6.332,6.502,6.292,1719787.000,sh600028,中国石化
2025-01-03,6.352,6.342,6.422,6.312,1621873.000,sh600028,中国石化
2025-01-06,6.362,6.332,6.382,6.242,1294696.000,sh600028,中国石化
2025-01-07,6.322,6.302,6.332,6.252,925315.000,sh600028,中国石化
