date,open,high,low,close,volume,code,name
2024-11-25,7.580,7.560,7.680,7.530,1515802.000,sh601857,中国石油
2024-11-26,7.500,7.550,7.560,7.370,1313713.000,sh601857,中国石油
2024-11-27,7.510,7.560,7.570,7.470,960155.000,sh601857,中国石油
2024-11-28,7.550,7.560,7.590,7.520,756555.000,sh601857,中国石油
2024-11-29,7.570,7.570,7.640,7.560,1291504.000,sh601857,中国石油
2024-12-02,7.590,7.550,7.600,7.520,1300252.000,sh601857,中国石油
2024-12-03,7.540,7.630,7.630,7.510,1599734.000,sh601857,中国石油
2024-12-04,7.630,7.970,7.980,7.630,4325550.000,sh601857,中国石油
2024-12-05,7.850,7.820,7.910,7.790,1827162.000,sh601857,中国石油
2024-12-06,7.810,7.850,7.920,7.800,1598333.000,sh601857,中国石油
2024-12-09,7.820,7.960,8.010,7.770,2126592.000,sh601857,中国石油
2024-12-10,8.060,7.890,8.110,7.880,1914230.000,sh601857,中国石油
2024-12-11,7.870,7.980,8.000,7.860,1503909.000,sh601857,中国石油
2024-12-12,7.990,7.980,8.070,7.950,1392178.000,sh601857,中国石油
2024-12-13,7.940,7.810,7.960,7.800,1627296.000,sh601857,中国石油
2024-12-16,7.790,7.980,8.020,7.780,2072055.000,sh601857,中国石油
2024-12-17,7.960,8.010,8.120,7.960,1625591.000,sh601857,中国石油
2024-12-18,8.050,8.040,8.120,8.010,1324767.000,sh601857,中国石油
2024-12-19,7.990,7.950,8.080,7.930,1261274.000,sh601857,中国石油
2024-12-20,7.940,7.870,7.970,7.860,1060721.000,sh601857,中国石油
2024-12-23,7.910,8.110,8.150,7.900,2236033.000,sh601857,中国石油
2024-12-24,8.070,8.310,8.350,8.030,2386243.000,sh601857,中国石油
2024-12-25,8.290,8.550,8.580,8.280,2503521.000,sh601857,中国石油
2024-12-26,8.550,8.500,8.550,8.380,1845507.000,sh601857,中国石油
2024-12-27,8.510,8.450,8.600,8.340,1451990.000,sh601857,中国石油
2024-12-30,8.450,8.530,8.610,8.440,1459250.000,sh601857,中国石油
