,open,high,low,close,volume,code,name
2024-11-12,39.22,39.66,38.88,38.91,35772296.0,sh601088,中国神华
2024-11-13,38.77,39.9,38.67,39.37,35778306.0,sh601088,中国神华
2024-11-14,39.11,40.1,38.93,39.61,33176988.0,sh601088,中国神华
2024-11-15,39.58,40.4,39.2,40.14,41347455.0,sh601088,中国神华
2024-11-18,39.99,41.5,39.93,41.43,57225124.0,sh601088,中国神华
2024-11-19,41.43,41.64,40.66,41.11,34989650.0,sh601088,中国神华
2024-11-20,40.85,41.24,40.8,41.04,22181812.0,sh601088,中国神华
2024-11-21,40.96,41.56,40.9,41.19,20264111.0,sh601088,中国神华
2024-11-22,41.19,41.32,39.8,39.8,27344613.0,sh601088,中国神华
2024-11-25,40.18,40.37,39.5,40.11,23738154.0,sh601088,中国神华
2024-11-26,39.63,40.12,39.15,39.8,18937511.0,sh601088,中国神华
2024-11-27,39.81,40.67,39.65,40.6,25259747.0,sh601088,中国神华
2024-11-28,40.59,40.74,40.18,40.27,15727994.0,sh601088,中国神华
2024-11-29,40.48,40.58,39.9,39.96,18674429.0,sh601088,中国神华
2024-12-02,39.8,39.92,39.1,39.61,37189672.0,sh601088,中国神华
2024-12-03,39.5,40.24,39.41,40.23,26866838.0,sh601088,中国神华
2024-12-04,39.98,42.3,39.9,42.1,58311699.0,sh601088,中国神华
2024-12-05,41.99,42.25,41.67,41.92,23911350.0,sh601088,中国神华
2024-12-06,41.97,42.68,41.9,42.34,26569423.0,sh601088,中国神华
2024-12-09,41.9,42.98,41.51,42.5,24503449.0,sh601088,中国神华
2024-12-10,43.41,43.66,42.11,42.54,34904684.0,sh601088,中国神华
2024-12-11,42.54,43.4,42.43,43.38,29090148.0,sh601088,中国神华
2024-12-12,43.27,43.4,42.52,43.11,25901216.0,sh601088,中国神华
2024-12-13,42.96,43.13,42.34,42.6,43169576.0,sh601088,中国神华
2024-12-16,42.35,43.59,42.35,43.45,36796839.0,sh601088,中国神华
2024-12-17,43.33,44.2,42.72,42.8,29378460.0,sh601088,中国神华
2024-12-18,43.18,43.85,42.93,43.06,28246607.0,sh601088,中国神华
2024-12-19,42.72,43.35,42.5,42.61,17271439.0,sh601088,中国神华
2024-12-20,42.6,42.72,41.05,41.34,40108006.0,sh601088,中国神华
2024-12-23,41.2,42.17,40.98,41.78,33490704.0,sh601088,中国神华
2024-12-24,41.7,41.98,41.16,41.74,19596957.0,sh601088,中国神华
2024-12-25,41.82,43.26,41.74,42.9,28346879.0,sh601088,中国神华
2024-12-26,42.68,43.09,42.1,42.13,22177671.0,sh601088,中国神华
2024-12-27,42.18,42.53,41.68,42.19,18649827.0,sh601088,中国神华
2024-12-30,42.4,43.29,42.4,42.78,21762071.0,sh601088,中国神华
2024-12-31,42.9,43.97,42.7,43.48,35871662.0,sh601088,中国神华
2025-01-02,43.34,43.99,42.3,42.59,30361375.0,sh601088,中国神华
2025-01-03,42.92,43.01,41.97,42.07,24085702.0,sh601088,中国神华
2025-01-06,42.2,42.33,41.42,41.81,21589723.0,sh601088,中国神华
2025-01-07,41.83,41.92,40.78,41.1,21845858.0,sh601088,中国神华
2025-01-08,40.95,41.55,40.5,40.88,28457714.0,sh601088,中国神华
2025-01-09,40.5,40.66,39.5,39.57,40424668.0,sh601088,中国神华
2025-01-10,39.5,39.93,38.9,39.18,28488322.0,sh601088,中国神华
2025-01-13,39.23,39.51,38.76,38.89,24330736.0,sh601088,中国神华
2025-01-14,39.2,39.32,38.69,39.32,30813871.0,sh601088,中国神华
2025-01-15,39.18,39.93,38.96,39.21,29639657.0,sh601088,中国神华
2025-01-16,39.35,39.92,39.05,39.7,31088895.0,sh601088,中国神华
2025-01-17,39.68,40.06,39.47,39.61,25120232.0,sh601088,中国神华
2025-01-20,39.7,39.7,38.7,38.74,35852623.0,sh601088,中国神华
2025-01-21,38.78,38.88,38.1,38.21,25468980.0,sh601088,中国神华
2025-01-22,38.49,38.5,37.91,38.09,23779006.0,sh601088,中国神华
2025-01-23,38.35,38.98,38.17,38.41,25459581.0,sh601088,中国神华
2025-01-24,38.62,39.4,38.2,39.08,36208147.0,sh601088,中国神华
2025-01-27,39.1,40.1,39.09,40.0,29457006.0,sh601088,中国神华
2025-02-05,40.0,40.0,38.41,38.82,34045080.0,sh601088,中国神华
2025-02-06,38.82,38.95,38.41,38.95,21866873.0,sh601088,中国神华
2025-02-07,38.8,38.97,38.51,38.89,26659225.0,sh601088,中国神华
2025-02-10,38.7,38.85,38.46,38.59,23816230.0,sh601088,中国神华
2025-02-11,38.54,38.97,38.38,38.55,24355584.0,sh601088,中国神华
2025-02-12,38.56,38.56,38.03,38.22,30660311.0,sh601088,中国神华
2025-02-13,38.24,38.45,38.02,38.11,29750047.0,sh601088,中国神华
2025-02-14,38.17,38.21,37.92,38.13,28187397.0,sh601088,中国神华
2025-02-17,38.1,38.1,37.12,37.28,60759882.0,sh601088,中国神华
2025-02-18,37.0,37.29,36.5,36.61,56134671.0,sh601088,中国神华
2025-02-19,36.62,36.63,36.02,36.1,45129839.0,sh601088,中国神华
2025-02-20,36.0,36.3,35.73,36.21,34844239.0,sh601088,中国神华
2025-02-21,36.17,36.24,35.28,35.38,62451008.0,sh601088,中国神华
2025-02-24,35.08,36.1,34.78,35.76,64893459.0,sh601088,中国神华
2025-02-25,35.53,36.59,35.44,35.63,63888678.0,sh601088,中国神华
2025-02-26,35.63,36.08,35.33,35.54,33014321.0,sh601088,中国神华
2025-02-27,35.4,35.88,34.85,35.74,46893208.0,sh601088,中国神华
2025-02-28,35.68,35.88,35.44,35.45,35589052.0,sh601088,中国神华
2025-03-03,35.58,35.92,35.4,35.54,27862063.0,sh601088,中国神华
2025-03-04,35.4,35.54,35.13,35.35,21458015.0,sh601088,中国神华
2025-03-05,35.26,35.73,35.01,35.73,32633112.0,sh601088,中国神华
2025-03-06,35.69,35.69,35.23,35.49,29250385.0,sh601088,中国神华
2025-03-07,35.49,36.18,35.4,35.89,42731841.0,sh601088,中国神华
2025-03-10,35.8,36.52,35.78,36.1,32106046.0,sh601088,中国神华
2025-03-11,36.08,36.45,35.8,36.43,31166826.0,sh601088,中国神华
2025-03-12,36.35,36.35,35.8,35.93,25021551.0,sh601088,中国神华
2025-03-13,35.94,37.57,35.93,37.22,84155323.0,sh601088,中国神华
2025-03-14,37.1,37.5,37.03,37.17,43887907.0,sh601088,中国神华
2025-03-17,37.16,37.46,37.0,37.03,28785645.0,sh601088,中国神华
2025-03-18,36.98,36.98,36.59,36.68,24126961.0,sh601088,中国神华
2025-03-19,36.68,36.91,36.52,36.68,20882110.0,sh601088,中国神华
2025-03-20,36.78,37.15,36.7,36.75,22858993.0,sh601088,中国神华
2025-03-21,36.62,37.15,36.62,36.62,29294231.0,sh601088,中国神华
2025-03-24,36.9,37.48,36.67,37.12,41665708.0,sh601088,中国神华
2025-03-25,37.12,38.1,36.97,37.75,58279682.0,sh601088,中国神华
2025-03-26,37.76,38.13,37.45,38.03,36848469.0,sh601088,中国神华
2025-03-27,37.94,38.27,37.79,37.98,23202680.0,sh601088,中国神华
2025-03-28,37.89,37.99,37.6,37.83,18915606.0,sh601088,中国神华
2025-03-31,37.72,38.37,37.64,38.35,35510316.0,sh601088,中国神华
2025-04-01,38.29,38.76,38.25,38.65,23504026.0,sh601088,中国神华
2025-04-02,38.74,38.74,38.31,38.65,19421142.0,sh601088,中国神华
2025-04-03,38.22,39.03,38.21,38.96,24685855.0,sh601088,中国神华
2025-04-07,38.02,38.48,36.8,37.34,71366078.0,sh601088,中国神华
2025-04-08,37.75,39.18,37.38,39.18,64116748.0,sh601088,中国神华
2025-04-09,38.87,39.67,38.4,39.46,63588646.0,sh601088,中国神华
2025-04-10,39.23,39.23,38.04,38.99,47185190.0,sh601088,中国神华
2025-04-11,38.88,38.89,37.81,38.02,38592757.0,sh601088,中国神华
2025-04-14,37.98,38.71,37.66,38.6,32344371.0,sh601088,中国神华
2025-04-15,38.34,38.86,38.33,38.6,24579300.0,sh601088,中国神华
2025-04-16,38.59,39.46,38.3,39.46,41901417.0,sh601088,中国神华
2025-04-17,39.31,39.31,38.88,39.28,19005768.0,sh601088,中国神华
2025-04-18,39.04,39.51,38.83,39.2,22023137.0,sh601088,中国神华
2025-04-21,39.14,39.43,38.76,38.92,20496036.0,sh601088,中国神华
2025-04-22,38.79,39.11,38.64,38.64,17289168.0,sh601088,中国神华
2025-04-23,38.61,38.76,38.4,38.54,18606625.0,sh601088,中国神华
2025-04-24,38.5,39.02,38.45,38.94,23694561.0,sh601088,中国神华
2025-04-25,38.81,38.85,38.4,38.68,24743468.0,sh601088,中国神华
2025-04-28,37.96,38.33,37.09,38.0,46487659.0,sh601088,中国神华
2025-04-29,37.85,38.28,37.74,38.27,21136799.0,sh601088,中国神华
2025-04-30,38.2,38.58,37.75,38.3,22259772.0,sh601088,中国神华
2025-05-06,38.5,38.5,37.91,38.35,21263342.0,sh601088,中国神华
2025-05-07,39.35,39.35,38.2,38.78,22750087.0,sh601088,中国神华
2025-05-08,38.48,38.89,38.41,38.55,16193843.0,sh601088,中国神华
2025-05-09,38.49,39.1,38.48,38.84,22571597.0,sh601088,中国神华
