,open,high,low,close,volume,code,name
2024-11-26,103.5,105.6,103.22,105.42,13297139.0,sh600941,中国移动
2024-11-27,105.42,106.69,105.15,106.36,12861649.0,sh600941,中国移动
2024-11-28,105.92,106.6,105.4,106.05,8243346.0,sh600941,中国移动
2024-11-29,106.11,108.13,105.7,106.38,13458340.0,sh600941,中国移动
2024-12-02,105.9,106.28,104.81,105.47,10717658.0,sh600941,中国移动
2024-12-03,105.3,107.09,104.98,106.96,11342875.0,sh600941,中国移动
2024-12-04,106.85,108.66,106.6,108.1,11719547.0,sh600941,中国移动
2024-12-05,108.0,108.57,107.11,107.45,9174921.0,sh600941,中国移动
2024-12-06,107.0,108.2,107.0,107.22,9782535.0,sh600941,中国移动
2024-12-09,107.23,108.52,106.3,107.29,11180209.0,sh600941,中国移动
2024-12-10,107.3,108.0,106.33,106.9,17127131.0,sh600941,中国移动
2024-12-11,106.6,107.12,106.06,106.58,8776183.0,sh600941,中国移动
2024-12-12,106.39,107.78,106.2,107.7,9215483.0,sh600941,中国移动
2024-12-13,107.7,109.65,107.08,108.79,18029085.0,sh600941,中国移动
2024-12-16,108.63,113.0,108.6,112.15,25034576.0,sh600941,中国移动
2024-12-17,112.84,114.98,111.11,111.28,14057773.0,sh600941,中国移动
2024-12-18,111.18,114.78,111.18,113.98,11277282.0,sh600941,中国移动
2024-12-19,113.6,114.99,112.68,113.85,9860900.0,sh600941,中国移动
2024-12-20,113.0,113.7,111.1,111.4,12321388.0,sh600941,中国移动
2024-12-23,111.43,114.5,111.43,113.85,10650536.0,sh600941,中国移动
2024-12-24,113.41,115.5,113.04,114.89,10244629.0,sh600941,中国移动
2024-12-25,114.78,116.88,114.5,115.59,10741464.0,sh600941,中国移动
2024-12-26,115.5,115.57,113.03,114.38,12050699.0,sh600941,中国移动
2024-12-27,114.36,114.88,113.65,114.6,5378096.0,sh600941,中国移动
2024-12-30,114.25,116.78,114.14,116.36,11718106.0,sh600941,中国移动
2024-12-31,116.23,119.51,116.01,118.16,15282087.0,sh600941,中国移动
2025-01-02,117.92,118.65,113.55,115.0,15127657.0,sh600941,中国移动
2025-01-03,114.11,114.9,112.62,114.08,11255924.0,sh600941,中国移动
2025-01-06,114.47,115.35,110.27,111.15,16994942.0,sh600941,中国移动
2025-01-07,110.9,111.49,108.21,111.23,15475292.0,sh600941,中国移动
2025-01-08,110.6,112.48,109.83,111.88,13695322.0,sh600941,中国移动
2025-01-09,111.7,111.7,109.18,110.05,8720920.0,sh600941,中国移动
2025-01-10,110.0,110.59,108.91,109.3,8861201.0,sh600941,中国移动
2025-01-13,109.0,110.46,107.29,108.4,10647790.0,sh600941,中国移动
