,open,high,low,close,volume,code,name
2024-11-26,5.12,5.2,5.09,5.1,402254529.0,sh600050,中国联通
2024-11-27,5.08,5.23,5.06,5.22,479178889.0,sh600050,中国联通
2024-11-28,5.19,5.2,5.11,5.12,338037592.0,sh600050,中国联通
2024-11-29,5.14,5.2,5.12,5.15,361009928.0,sh600050,中国联通
2024-12-02,5.11,5.17,5.11,5.15,410022302.0,sh600050,中国联通
2024-12-03,5.14,5.18,5.1,5.17,385101530.0,sh600050,中国联通
2024-12-04,5.15,5.24,5.12,5.19,499935585.0,sh600050,中国联通
2024-12-05,5.17,5.28,5.15,5.17,386974721.0,sh600050,中国联通
2024-12-06,5.16,5.22,5.16,5.2,331976184.0,sh600050,中国联通
2024-12-09,5.21,5.45,5.19,5.35,677888077.0,sh600050,中国联通
2024-12-10,5.4,5.44,5.28,5.3,564348561.0,sh600050,中国联通
2024-12-11,5.29,5.31,5.25,5.29,311464734.0,sh600050,中国联通
2024-12-12,5.28,5.33,5.25,5.33,353657271.0,sh600050,中国联通
2024-12-13,5.3,5.31,5.22,5.22,554240899.0,sh600050,中国联通
2024-12-16,5.23,5.32,5.22,5.25,472490227.0,sh600050,中国联通
2024-12-17,5.24,5.35,5.22,5.24,426260644.0,sh600050,中国联通
2024-12-18,5.29,5.38,5.26,5.32,461710465.0,sh600050,中国联通
2024-12-19,5.27,5.39,5.25,5.36,428039729.0,sh600050,中国联通
2024-12-20,5.34,5.36,5.26,5.27,352772772.0,sh600050,中国联通
2024-12-23,5.26,5.37,5.25,5.31,415912977.0,sh600050,中国联通
2024-12-24,5.29,5.35,5.29,5.35,313085848.0,sh600050,中国联通
2024-12-25,5.36,5.56,5.35,5.44,675408945.0,sh600050,中国联通
2024-12-26,5.46,5.46,5.32,5.39,445345521.0,sh600050,中国联通
2024-12-27,5.36,5.4,5.34,5.37,298777659.0,sh600050,中国联通
2024-12-30,5.35,5.41,5.34,5.41,341184790.0,sh600050,中国联通
2024-12-31,5.4,5.44,5.31,5.31,449962694.0,sh600050,中国联通
2025-01-02,5.31,5.31,4.99,5.02,631693535.0,sh600050,中国联通
2025-01-03,5.01,5.03,4.88,4.92,375128370.0,sh600050,中国联通
