date,open,high,low,close,volume,code,name
2024-11-19,36.470,36.010,36.780,35.270,600985.000,sh600150,中国船舶
2024-11-20,36.010,36.000,36.060,35.550,371547.000,sh600150,中国船舶
2024-11-21,35.990,36.080,36.330,35.840,305508.000,sh600150,中国船舶
2024-11-22,36.100,34.920,36.110,34.830,455521.000,sh600150,中国船舶
2024-11-25,34.910,34.860,35.530,34.560,364783.000,sh600150,中国船舶
2024-11-26,34.950,34.960,35.230,34.700,251458.000,sh600150,中国船舶
2024-11-27,35.050,35.630,35.690,34.680,398294.000,sh600150,中国船舶
2024-11-28,35.620,35.020,35.620,34.960,324824.000,sh600150,中国船舶
2024-11-29,34.870,35.070,35.220,34.710,382171.000,sh600150,中国船舶
2024-12-02,35.060,35.990,36.250,34.980,578520.000,sh600150,中国船舶
2024-12-03,36.000,35.630,36.000,35.350,343099.000,sh600150,中国船舶
2024-12-04,35.650,35.570,35.910,35.150,328686.000,sh600150,中国船舶
2024-12-05,35.550,35.270,35.550,35.100,289849.000,sh600150,中国船舶
2024-12-06,35.080,35.300,35.500,35.010,340905.000,sh600150,中国船舶
2024-12-09,35.210,35.350,35.510,34.880,363620.000,sh600150,中国船舶
2024-12-10,36.150,35.360,36.240,35.330,490530.000,sh600150,中国船舶
2024-12-11,35.200,35.230,35.320,35.030,258879.000,sh600150,中国船舶
2024-12-12,35.210,35.380,35.540,34.980,352377.000,sh600150,中国船舶
2024-12-13,35.220,34.450,35.230,34.440,505325.000,sh600150,中国船舶
2024-12-16,34.350,34.540,34.750,33.830,430086.000,sh600150,中国船舶
2024-12-17,34.540,35.620,36.250,34.450,1009162.000,sh600150,中国船舶
2024-12-18,35.940,35.820,36.800,35.620,863039.000,sh600150,中国船舶
2024-12-19,35.360,36.000,36.350,35.250,512193.000,sh600150,中国船舶
2024-12-20,35.880,35.420,35.960,35.420,414097.000,sh600150,中国船舶
2024-12-23,35.400,35.930,36.270,35.050,530492.000,sh600150,中国船舶
2024-12-24,35.830,35.870,35.990,35.560,330315.000,sh600150,中国船舶
2024-12-25,36.000,35.700,36.150,35.520,347347.000,sh600150,中国船舶
2024-12-26,35.630,35.550,35.800,35.450,269354.000,sh600150,中国船舶
2024-12-27,35.450,36.190,36.520,35.440,692748.000,sh600150,中国船舶
2024-12-30,36.400,36.190,36.690,36.010,408037.000,sh600150,中国船舶
2024-12-31,36.060,35.710,36.600,35.570,485962.000,sh600150,中国船舶
2025-01-02,35.640,34.320,35.810,34.030,609966.000,sh600150,中国船舶
2025-01-03,34.230,33.480,34.320,33.330,450413.000,sh600150,中国船舶
2025-01-06,33.330,32.830,33.800,32.520,433309.000,sh600150,中国船舶
2025-01-07,32.860,33.150,33.190,32.560,296229.000,sh600150,中国船舶
2025-01-08,33.750,33.770,34.040,33.100,488971.000,sh600150,中国船舶
2025-01-09,33.760,33.180,33.760,33.160,331457.000,sh600150,中国船舶
