,open,high,low,close,volume,code,name
2024-11-26,9.16,9.23,9.1,9.13,42432205.0,sh601186,中国铁建
2024-11-27,9.12,9.2,9.05,9.2,54244983.0,sh601186,中国铁建
2024-11-28,9.18,9.3,9.16,9.21,57875584.0,sh601186,中国铁建
2024-11-29,9.19,9.32,9.19,9.25,57096041.0,sh601186,中国铁建
2024-12-02,9.25,9.48,9.2,9.42,92974663.0,sh601186,中国铁建
2024-12-03,9.37,9.64,9.37,9.62,102374653.0,sh601186,中国铁建
2024-12-04,9.57,9.61,9.45,9.48,63986283.0,sh601186,中国铁建
2024-12-05,9.45,9.64,9.44,9.5,52971738.0,sh601186,中国铁建
2024-12-06,9.5,9.59,9.48,9.56,65997853.0,sh601186,中国铁建
2024-12-09,9.52,9.53,9.34,9.41,74861011.0,sh601186,中国铁建
2024-12-10,9.68,9.68,9.4,9.41,91187164.0,sh601186,中国铁建
2024-12-11,9.39,9.46,9.36,9.4,53787793.0,sh601186,中国铁建
2024-12-12,9.41,9.42,9.31,9.41,57573705.0,sh601186,中国铁建
2024-12-13,9.36,9.37,9.17,9.17,67005094.0,sh601186,中国铁建
2024-12-16,9.17,9.23,9.1,9.21,49061185.0,sh601186,中国铁建
2024-12-17,9.22,9.25,9.13,9.16,38788945.0,sh601186,中国铁建
2024-12-18,9.41,9.57,9.3,9.33,114603006.0,sh601186,中国铁建
2024-12-19,9.23,9.34,9.21,9.31,58163082.0,sh601186,中国铁建
2024-12-20,9.31,9.34,9.23,9.24,46486907.0,sh601186,中国铁建
2024-12-23,9.24,9.42,9.22,9.32,79699745.0,sh601186,中国铁建
2024-12-24,9.35,9.4,9.31,9.39,47005700.0,sh601186,中国铁建
2024-12-25,9.42,9.53,9.37,9.45,73950470.0,sh601186,中国铁建
2024-12-26,9.42,9.42,9.27,9.3,57231198.0,sh601186,中国铁建
2024-12-27,9.28,9.34,9.25,9.32,42334888.0,sh601186,中国铁建
2024-12-30,9.31,9.37,9.28,9.35,42067389.0,sh601186,中国铁建
2024-12-31,9.35,9.37,9.17,9.17,59256487.0,sh601186,中国铁建
2025-01-02,9.17,9.18,8.74,8.79,91540837.0,sh601186,中国铁建
2025-01-03,8.75,8.88,8.65,8.68,53265595.0,sh601186,中国铁建
2025-01-06,8.69,8.7,8.51,8.66,49422900.0,sh601186,中国铁建
