date,open,high,low,close,volume,code,name
2024-11-25,4.678,4.668,4.728,4.658,1714040.000,sh601988,中国银行
2024-11-26,4.668,4.748,4.758,4.638,1972688.000,sh601988,中国银行
2024-11-27,4.738,4.798,4.808,4.738,2303339.000,sh601988,中国银行
2024-11-28,4.778,4.788,4.818,4.758,1401859.000,sh601988,中国银行
2024-11-29,4.798,4.768,4.858,4.768,2008632.000,sh601988,中国银行
2024-12-02,4.768,4.768,4.778,4.718,1682689.000,sh601988,中国银行
2024-12-03,4.768,4.848,4.858,4.748,2308576.000,sh601988,中国银行
2024-12-04,4.838,4.868,4.878,4.818,1656670.000,sh601988,中国银行
2024-12-05,4.848,4.838,4.908,4.838,1411084.000,sh601988,中国银行
2024-12-06,4.838,4.858,4.898,4.828,2243961.000,sh601988,中国银行
2024-12-09,4.858,4.908,4.928,4.828,2093927.000,sh601988,中国银行
2024-12-10,4.948,4.968,4.998,4.888,2227808.000,sh601988,中国银行
2024-12-11,4.968,4.888,5.008,4.888,1915186.000,sh601988,中国银行
2024-12-12,4.898,4.958,4.968,4.878,1843781.000,sh601988,中国银行
2024-12-13,4.948,4.938,4.978,4.898,2237834.000,sh601988,中国银行
2024-12-16,4.948,5.018,5.058,4.948,2345198.000,sh601988,中国银行
2024-12-17,5.028,5.038,5.078,5.008,1826638.000,sh601988,中国银行
2024-12-18,5.038,5.038,5.098,5.008,2029799.000,sh601988,中国银行
2024-12-19,5.028,4.988,5.058,4.958,2007497.000,sh601988,中国银行
2024-12-20,4.998,5.018,5.068,4.998,1670060.000,sh601988,中国银行
2024-12-23,5.018,5.118,5.158,5.008,2597728.000,sh601988,中国银行
2024-12-24,5.138,5.188,5.198,5.098,2108741.000,sh601988,中国银行
2024-12-25,5.188,5.268,5.348,5.178,2655333.000,sh601988,中国银行
2024-12-26,5.268,5.258,5.288,5.148,2366880.000,sh601988,中国银行
2024-12-27,5.248,5.238,5.298,5.118,2109122.000,sh601988,中国银行
2024-12-30,5.218,5.288,5.298,5.208,1993781.000,sh601988,中国银行
2024-12-31,5.278,5.268,5.348,5.258,2438728.000,sh601988,中国银行
2025-01-02,5.268,5.128,5.318,5.088,2678096.000,sh601988,中国银行
2025-01-03,5.128,5.108,5.158,5.018,2301716.000,sh601988,中国银行
2025-01-06,5.108,5.148,5.168,4.968,2285666.000,sh601988,中国银行
2025-01-07,5.148,5.218,5.238,5.098,1858052.000,sh601988,中国银行
2025-01-08,5.218,5.278,5.318,5.188,2256535.000,sh601988,中国银行
2025-01-09,5.268,5.218,5.278,5.168,1644781.000,sh601988,中国银行
2025-01-10,5.228,5.208,5.238,5.128,1642009.000,sh601988,中国银行
2025-01-13,5.168,5.108,5.208,5.058,1857741.000,sh601988,中国银行
2025-01-14,5.118,5.188,5.198,5.108,1577528.000,sh601988,中国银行
2025-01-15,5.188,5.208,5.308,5.168,1961078.000,sh601988,中国银行
2025-01-16,5.228,5.238,5.258,5.178,1290913.000,sh601988,中国银行
2025-01-17,5.238,5.208,5.268,5.198,1263398.000,sh601988,中国银行
2025-01-20,5.218,5.168,5.228,5.158,1313381.000,sh601988,中国银行
