date,open,high,low,close,volume,code,name
2024-11-18,95.700,92.300,97.500,91.370,82897403.000,sh688981,中芯国际
2024-11-19,92.100,94.900,95.390,90.220,83159684.000,sh688981,中芯国际
2024-11-20,94.000,93.280,94.570,92.600,58507495.000,sh688981,中芯国际
2024-11-21,93.000,93.500,94.900,92.500,56197106.000,sh688981,中芯国际
2024-11-22,94.700,88.770,95.500,88.550,79240108.000,sh688981,中芯国际
2024-11-25,88.760,86.160,88.770,84.520,76905909.000,sh688981,中芯国际
2024-11-26,85.970,85.100,86.660,85.030,35363542.000,sh688981,中芯国际
2024-11-27,84.650,88.000,89.040,83.130,77430532.000,sh688981,中芯国际
2024-11-28,88.200,87.080,90.300,86.830,61110137.000,sh688981,中芯国际
2024-11-29,86.830,90.100,93.450,85.640,87940358.000,sh688981,中芯国际
2024-12-02,89.900,89.490,90.690,88.010,64010784.000,sh688981,中芯国际
2024-12-03,89.670,87.230,90.350,86.030,58676009.000,sh688981,中芯国际
2024-12-04,90.530,87.670,91.000,87.250,68106713.000,sh688981,中芯国际
2024-12-05,86.200,87.000,88.260,86.140,39595741.000,sh688981,中芯国际
2024-12-06,86.500,88.930,89.690,86.300,54044117.000,sh688981,中芯国际
2024-12-09,88.060,86.780,88.750,85.990,42411257.000,sh688981,中芯国际
2024-12-10,91.490,88.000,91.990,87.790,69668121.000,sh688981,中芯国际
2024-12-11,87.110,86.820,88.330,86.500,40065377.000,sh688981,中芯国际
2024-12-12,87.160,87.170,88.200,85.690,44489757.000,sh688981,中芯国际
2024-12-13,86.810,82.990,86.810,82.850,82003231.000,sh688981,中芯国际
2024-12-16,82.300,81.500,83.200,81.210,47629570.000,sh688981,中芯国际
2024-12-17,81.350,82.190,83.100,81.310,40662192.000,sh688981,中芯国际
2024-12-18,82.820,83.400,83.950,82.090,48400022.000,sh688981,中芯国际
2024-12-19,82.300,85.440,86.530,81.880,67399207.000,sh688981,中芯国际
2024-12-20,85.070,94.280,98.800,85.070,176770271.000,sh688981,中芯国际
2024-12-23,93.690,95.180,99.200,93.600,145675567.000,sh688981,中芯国际
2024-12-24,95.990,96.860,97.340,92.990,91204508.000,sh688981,中芯国际
2024-12-25,96.480,97.990,99.800,96.380,98532907.000,sh688981,中芯国际
2024-12-26,98.000,96.730,98.880,96.150,71104586.000,sh688981,中芯国际
2024-12-27,96.780,97.510,102.370,96.490,114471630.000,sh688981,中芯国际
2024-12-30,96.600,99.290,100.530,96.000,90657304.000,sh688981,中芯国际
2024-12-31,99.000,94.620,99.580,94.590,87823797.000,sh688981,中芯国际
2025-01-02,93.810,89.960,95.090,88.500,84971056.000,sh688981,中芯国际
2025-01-03,90.100,88.310,91.130,87.530,61288981.000,sh688981,中芯国际
2025-01-06,88.840,86.940,89.600,85.720,43831308.000,sh688981,中芯国际
2025-01-07,87.100,90.600,90.750,86.000,67214796.000,sh688981,中芯国际
2025-01-08,88.880,88.820,91.280,85.990,68790730.000,sh688981,中芯国际
2025-01-09,88.400,91.320,93.330,88.100,72416451.000,sh688981,中芯国际
2025-01-10,90.850,93.180,96.680,90.850,89988928.000,sh688981,中芯国际
2025-01-13,91.000,95.020,95.860,89.880,68025640.000,sh688981,中芯国际
2025-01-14,96.950,98.770,99.580,94.450,92888106.000,sh688981,中芯国际
2025-01-15,97.500,99.550,102.290,97.300,77659234.000,sh688981,中芯国际
2025-01-16,102.180,96.600,104.460,96.600,103477465.000,sh688981,中芯国际
2025-01-17,96.510,102.700,104.770,96.510,109403228.000,sh688981,中芯国际
2025-01-20,102.980,101.050,103.000,100.300,59667259.000,sh688981,中芯国际
2025-01-21,101.500,101.840,104.350,101.100,74435300.000,sh688981,中芯国际
2025-01-22,101.300,100.240,103.220,99.500,61641241.000,sh688981,中芯国际
2025-01-23,102.800,96.840,103.870,96.700,86850578.000,sh688981,中芯国际
2025-01-24,97.160,97.850,98.620,96.770,47198275.000,sh688981,中芯国际
2025-01-27,98.380,93.940,98.390,93.900,52844572.000,sh688981,中芯国际
2025-02-05,100.160,101.370,102.840,99.440,97756780.000,sh688981,中芯国际
2025-02-06,100.110,104.430,106.430,99.660,89396981.000,sh688981,中芯国际
2025-02-07,104.420,102.530,105.270,100.080,93254065.000,sh688981,中芯国际
2025-02-10,102.800,103.850,104.520,101.010,66856305.000,sh688981,中芯国际
2025-02-11,103.600,100.860,103.700,100.360,54448990.000,sh688981,中芯国际
2025-02-12,101.500,104.320,104.440,99.410,97586005.000,sh688981,中芯国际
2025-02-13,104.770,101.110,104.960,100.890,69064629.000,sh688981,中芯国际
2025-02-14,99.960,99.080,100.870,98.160,56713536.000,sh688981,中芯国际
2025-02-17,99.300,101.000,102.450,99.300,58094181.000,sh688981,中芯国际
2025-02-18,101.010,98.280,101.270,98.170,50546212.000,sh688981,中芯国际
2025-02-19,97.950,101.940,102.580,97.910,70074653.000,sh688981,中芯国际
2025-02-20,101.000,99.210,101.400,98.880,56493994.000,sh688981,中芯国际
2025-02-21,99.600,103.980,105.920,99.600,123386761.000,sh688981,中芯国际
2025-02-24,103.000,103.400,106.860,102.000,74722539.000,sh688981,中芯国际
2025-02-25,100.880,101.280,103.940,100.110,71172236.000,sh688981,中芯国际
2025-02-26,102.860,104.000,105.500,100.060,88991060.000,sh688981,中芯国际
2025-02-27,103.130,102.440,105.210,100.440,69790787.000,sh688981,中芯国际
