,open,high,low,close,volume,code,name
2024-11-26,13.81,13.93,13.56,13.83,109108141.0,sh601919,中远海控
2024-11-27,13.69,13.9,13.5,13.89,85098558.0,sh601919,中远海控
2024-11-28,13.91,13.93,13.54,13.57,82154139.0,sh601919,中远海控
2024-11-29,13.57,13.7,13.52,13.59,76284146.0,sh601919,中远海控
2024-12-02,13.68,13.92,13.68,13.9,86499188.0,sh601919,中远海控
2024-12-03,13.93,14.24,13.92,14.24,104082714.0,sh601919,中远海控
2024-12-04,14.15,14.26,14.01,14.19,67807259.0,sh601919,中远海控
2024-12-05,14.17,14.2,14.02,14.06,49412460.0,sh601919,中远海控
2024-12-06,14.1,14.23,14.08,14.14,56863503.0,sh601919,中远海控
2024-12-09,14.1,14.18,13.99,14.15,60766826.0,sh601919,中远海控
2024-12-10,14.41,14.48,14.05,14.09,97640966.0,sh601919,中远海控
2024-12-11,14.09,14.23,14.03,14.22,76576804.0,sh601919,中远海控
2024-12-12,14.17,14.65,14.16,14.51,141065230.0,sh601919,中远海控
2024-12-13,14.48,14.52,14.27,14.27,130864110.0,sh601919,中远海控
2024-12-16,14.45,14.85,14.43,14.68,158741247.0,sh601919,中远海控
2024-12-17,14.78,15.24,14.78,14.94,199639911.0,sh601919,中远海控
2024-12-18,14.92,15.14,14.86,14.98,112261442.0,sh601919,中远海控
2024-12-19,14.8,14.94,14.72,14.8,95463866.0,sh601919,中远海控
2024-12-20,14.8,14.87,14.46,14.48,98907357.0,sh601919,中远海控
2024-12-23,14.49,14.8,14.49,14.69,83309144.0,sh601919,中远海控
2024-12-24,14.8,15.22,14.76,15.07,165882083.0,sh601919,中远海控
2024-12-25,15.09,15.19,14.97,15.05,75083669.0,sh601919,中远海控
2024-12-26,15.08,15.12,14.88,15.1,71962361.0,sh601919,中远海控
2024-12-27,15.09,15.23,14.95,15.2,97881024.0,sh601919,中远海控
2024-12-30,15.2,15.75,15.2,15.7,168168910.0,sh601919,中远海控
2024-12-31,15.7,15.79,15.47,15.5,124741083.0,sh601919,中远海控
2025-01-02,15.55,15.67,14.94,15.03,143750848.0,sh601919,中远海控
2025-01-03,15.1,15.29,14.9,14.96,103490908.0,sh601919,中远海控
2025-01-06,15.09,15.14,14.69,14.95,89848447.0,sh601919,中远海控
2025-01-07,14.77,14.88,14.52,14.76,92787531.0,sh601919,中远海控
2025-01-08,14.72,15.05,14.58,14.71,98355312.0,sh601919,中远海控
2025-01-09,14.5,14.52,14.06,14.13,138322539.0,sh601919,中远海控
2025-01-10,14.26,14.28,14.09,14.14,71397188.0,sh601919,中远海控
2025-01-13,14.31,14.44,14.14,14.19,104628761.0,sh601919,中远海控
2025-01-14,14.19,14.55,14.15,14.49,98902182.0,sh601919,中远海控
2025-01-15,14.52,14.76,14.38,14.51,101669277.0,sh601919,中远海控
2025-01-16,14.4,14.59,14.31,14.41,88343115.0,sh601919,中远海控
2025-01-17,14.38,14.45,14.26,14.28,61696932.0,sh601919,中远海控
2025-01-20,14.35,14.38,14.13,14.16,80958885.0,sh601919,中远海控
2025-01-21,14.17,14.22,14.01,14.11,65535930.0,sh601919,中远海控
2025-01-22,14.1,14.1,13.97,14.05,56664756.0,sh601919,中远海控
2025-01-23,14.18,14.37,14.18,14.31,103184168.0,sh601919,中远海控
2025-01-24,14.3,14.33,14.2,14.26,63618041.0,sh601919,中远海控
2025-01-27,14.25,14.45,14.25,14.27,69575205.0,sh601919,中远海控
2025-02-05,14.27,14.27,14.03,14.09,83172763.0,sh601919,中远海控
2025-02-06,14.1,14.16,14.05,14.15,56701617.0,sh601919,中远海控
2025-02-07,14.16,14.64,14.1,14.6,131981027.0,sh601919,中远海控
2025-02-10,14.54,14.54,14.36,14.37,90667438.0,sh601919,中远海控
2025-02-11,14.47,14.69,14.46,14.63,104397249.0,sh601919,中远海控
2025-02-12,14.63,14.9,14.53,14.64,84040538.0,sh601919,中远海控
2025-02-13,14.59,14.65,14.52,14.56,56438689.0,sh601919,中远海控
2025-02-14,14.6,14.65,14.49,14.63,57414308.0,sh601919,中远海控
2025-02-17,14.67,14.82,14.6,14.81,88452000.0,sh601919,中远海控
2025-02-18,14.82,14.86,14.59,14.63,69047122.0,sh601919,中远海控
2025-02-19,14.64,14.69,14.49,14.53,69530350.0,sh601919,中远海控
2025-02-20,14.5,14.5,14.27,14.35,68214277.0,sh601919,中远海控
2025-02-21,14.39,14.44,14.29,14.35,64683041.0,sh601919,中远海控
2025-02-24,14.01,14.01,13.58,13.98,150564364.0,sh601919,中远海控
2025-02-25,13.88,13.96,13.77,13.79,73485989.0,sh601919,中远海控
2025-02-26,13.78,13.97,13.77,13.82,73182261.0,sh601919,中远海控
2025-02-27,13.8,13.82,13.68,13.75,64366152.0,sh601919,中远海控
2025-02-28,13.72,13.81,13.61,13.62,73338048.0,sh601919,中远海控
2025-03-03,13.62,13.66,13.48,13.52,71544103.0,sh601919,中远海控
2025-03-04,13.48,13.61,13.46,13.6,47553629.0,sh601919,中远海控
2025-03-05,13.6,13.72,13.56,13.7,57913187.0,sh601919,中远海控
2025-03-06,13.71,13.79,13.64,13.77,61533811.0,sh601919,中远海控
2025-03-07,13.74,13.84,13.68,13.74,51367985.0,sh601919,中远海控
2025-03-10,13.68,13.79,13.58,13.78,60903556.0,sh601919,中远海控
2025-03-11,13.67,13.8,13.64,13.8,47494991.0,sh601919,中远海控
2025-03-12,13.84,14.12,13.78,14.1,96267727.0,sh601919,中远海控
2025-03-13,14.06,14.22,14.0,14.05,76737962.0,sh601919,中远海控
2025-03-14,14.06,14.26,14.05,14.22,74448958.0,sh601919,中远海控
2025-03-17,14.27,14.33,14.21,14.29,66448608.0,sh601919,中远海控
2025-03-18,14.29,14.44,14.14,14.38,77425554.0,sh601919,中远海控
2025-03-19,14.31,14.38,14.21,14.26,54338535.0,sh601919,中远海控
2025-03-20,14.26,14.56,14.24,14.45,80219812.0,sh601919,中远海控
2025-03-21,14.4,14.54,14.2,14.26,78145180.0,sh601919,中远海控
2025-03-24,14.5,14.72,14.42,14.6,153808932.0,sh601919,中远海控
2025-03-25,14.6,14.68,14.52,14.66,87013439.0,sh601919,中远海控
2025-03-26,14.68,14.68,14.47,14.53,74424758.0,sh601919,中远海控
2025-03-27,14.53,14.66,14.46,14.49,62705985.0,sh601919,中远海控
2025-03-28,14.5,14.52,14.37,14.45,54200096.0,sh601919,中远海控
2025-03-31,14.42,14.65,14.38,14.55,78081465.0,sh601919,中远海控
2025-04-01,14.55,14.58,14.45,14.53,49580863.0,sh601919,中远海控
2025-04-02,14.53,14.65,14.5,14.59,51586718.0,sh601919,中远海控
2025-04-03,14.35,14.35,14.04,14.16,122293171.0,sh601919,中远海控
2025-04-07,12.98,13.2,12.74,12.74,221371899.0,sh601919,中远海控
2025-04-08,13.03,13.32,12.96,13.29,187157234.0,sh601919,中远海控
2025-04-09,13.3,13.49,13.06,13.49,139442732.0,sh601919,中远海控
2025-04-10,14.09,14.15,13.75,14.12,151322664.0,sh601919,中远海控
2025-04-11,14.12,14.12,13.95,14.0,78918404.0,sh601919,中远海控
2025-04-14,13.95,14.2,13.95,14.16,81785409.0,sh601919,中远海控
2025-04-15,14.18,14.26,14.09,14.26,62171239.0,sh601919,中远海控
2025-04-16,14.25,14.35,14.13,14.35,77140452.0,sh601919,中远海控
2025-04-17,14.29,14.3,14.11,14.23,69971822.0,sh601919,中远海控
2025-04-18,14.12,14.29,14.09,14.22,43708634.0,sh601919,中远海控
2025-04-21,14.17,14.27,14.15,14.18,44785115.0,sh601919,中远海控
2025-04-22,14.17,14.22,14.14,14.17,40017280.0,sh601919,中远海控
