date,open,high,low,close,volume,code,name
2024-11-11,37.420,38.120,38.240,37.320,361215.000,sh601995,中金公司
2024-11-12,38.130,37.300,38.640,36.910,415171.000,sh601995,中金公司
2024-11-13,37.150,39.280,40.680,36.910,806342.000,sh601995,中金公司
2024-11-14,38.700,38.910,40.970,38.520,843008.000,sh601995,中金公司
2024-11-15,38.830,37.150,39.990,37.020,562182.000,sh601995,中金公司
2024-11-18,37.000,35.870,37.210,35.670,373481.000,sh601995,中金公司
2024-11-19,35.910,36.000,36.450,35.290,292400.000,sh601995,中金公司
2024-11-20,35.730,35.950,36.320,35.670,263255.000,sh601995,中金公司
2024-11-21,35.910,36.230,36.540,35.740,237532.000,sh601995,中金公司
2024-11-22,36.020,34.500,36.430,34.420,298990.000,sh601995,中金公司
2024-11-25,34.700,34.460,34.740,33.820,225414.000,sh601995,中金公司
2024-11-26,34.270,34.310,35.020,34.220,166804.000,sh601995,中金公司
2024-11-27,34.320,34.840,34.850,33.960,186623.000,sh601995,中金公司
2024-11-28,34.940,34.770,35.120,34.640,175879.000,sh601995,中金公司
2024-11-29,34.640,35.380,36.220,34.490,286509.000,sh601995,中金公司
2024-12-02,35.260,36.320,36.470,35.170,291163.000,sh601995,中金公司
2024-12-03,36.370,36.120,36.390,35.820,170535.000,sh601995,中金公司
2024-12-04,36.140,35.800,36.300,35.560,157927.000,sh601995,中金公司
2024-12-05,35.620,36.040,36.360,35.530,138151.000,sh601995,中金公司
2024-12-06,36.110,37.010,37.270,36.020,309279.000,sh601995,中金公司
2024-12-09,36.720,36.820,37.210,36.480,204119.000,sh601995,中金公司
2024-12-10,38.610,36.830,38.620,36.800,367712.000,sh601995,中金公司
2024-12-11,36.920,36.510,37.120,36.430,182042.000,sh601995,中金公司
2024-12-12,36.580,36.740,37.190,36.140,246280.000,sh601995,中金公司
2024-12-13,36.430,35.830,36.500,35.830,367995.000,sh601995,中金公司
2024-12-16,35.920,35.480,36.120,35.370,154211.000,sh601995,中金公司
2024-12-17,35.390,35.350,35.780,35.270,129668.000,sh601995,中金公司
2024-12-18,35.500,35.230,35.570,35.180,108670.000,sh601995,中金公司
2024-12-19,35.000,34.950,35.120,34.700,133245.000,sh601995,中金公司
2024-12-20,34.930,35.300,35.480,34.930,124242.000,sh601995,中金公司
2024-12-23,35.070,34.730,35.560,34.640,123880.000,sh601995,中金公司
2024-12-24,34.800,35.180,35.370,34.710,130857.000,sh601995,中金公司
2024-12-25,35.170,35.120,35.520,34.850,126565.000,sh601995,中金公司
2024-12-26,35.020,35.090,35.240,34.790,111293.000,sh601995,中金公司
2024-12-27,35.160,35.080,35.670,35.020,164959.000,sh601995,中金公司
2024-12-30,35.020,35.170,35.270,34.930,118851.000,sh601995,中金公司
2024-12-31,35.180,33.600,35.210,33.600,204179.000,sh601995,中金公司
2025-01-02,33.440,32.380,33.500,31.990,216450.000,sh601995,中金公司
2025-01-03,32.360,31.340,32.500,31.260,173097.000,sh601995,中金公司
2025-01-06,31.210,31.320,31.480,30.860,126277.000,sh601995,中金公司
2025-01-07,31.310,31.460,31.510,31.090,100197.000,sh601995,中金公司
2025-01-08,31.490,31.130,31.490,30.630,123667.000,sh601995,中金公司
2025-01-09,31.130,30.950,31.270,30.950,86175.000,sh601995,中金公司
2025-01-10,30.950,30.550,31.150,30.550,84078.000,sh601995,中金公司
2025-01-13,30.260,30.560,30.690,30.220,94354.000,sh601995,中金公司
2025-01-14,30.610,31.710,31.770,30.390,191788.000,sh601995,中金公司
2025-01-15,31.440,31.300,31.610,31.210,111834.000,sh601995,中金公司
2025-01-16,31.400,31.260,31.840,31.080,105604.000,sh601995,中金公司
2025-01-17,31.110,31.380,31.560,31.080,74709.000,sh601995,中金公司
2025-01-20,31.750,31.570,31.770,31.450,111165.000,sh601995,中金公司
2025-01-21,31.710,31.630,31.850,31.450,73624.000,sh601995,中金公司
2025-01-22,31.580,31.410,31.690,31.240,72121.000,sh601995,中金公司
2025-01-23,31.900,31.510,32.450,31.510,162937.000,sh601995,中金公司
2025-01-24,31.420,31.720,31.790,31.360,104436.000,sh601995,中金公司
2025-01-27,31.710,31.090,31.820,31.060,114375.000,sh601995,中金公司
2025-02-05,31.320,31.340,31.570,31.160,87574.000,sh601995,中金公司
