,open,high,low,close,volume,code,name
2024-11-26,143.5,146.6,142.5,144.8,17535782.0,sz000858,五粮液
2024-11-27,144.77,147.89,143.58,147.05,20024978.0,sz000858,五粮液
2024-11-28,145.0,146.95,143.8,144.0,19045387.0,sz000858,五粮液
2024-11-29,145.02,149.69,144.4,146.77,28727796.0,sz000858,五粮液
2024-12-02,147.13,148.43,145.56,147.4,17976352.0,sz000858,五粮液
2024-12-03,147.7,147.77,146.2,146.99,14014314.0,sz000858,五粮液
2024-12-04,146.9,146.94,144.77,145.73,14843403.0,sz000858,五粮液
2024-12-05,145.0,145.66,144.51,145.03,10321021.0,sz000858,五粮液
2024-12-06,144.66,148.0,144.66,146.44,18754575.0,sz000858,五粮液
2024-12-09,146.45,147.41,145.15,145.76,14542425.0,sz000858,五粮液
2024-12-10,153.0,154.88,148.9,149.1,46326278.0,sz000858,五粮液
2024-12-11,148.02,151.5,148.02,149.4,19999335.0,sz000858,五粮液
2024-12-12,149.44,152.0,148.47,151.82,25365291.0,sz000858,五粮液
2024-12-13,150.35,150.68,148.0,148.04,28422742.0,sz000858,五粮液
2024-12-16,148.03,148.04,144.02,144.59,26477262.0,sz000858,五粮液
2024-12-17,144.58,146.75,143.6,144.89,15949283.0,sz000858,五粮液
2024-12-18,145.0,146.28,144.56,145.2,12067558.0,sz000858,五粮液
2024-12-19,144.1,144.41,143.31,143.55,15198227.0,sz000858,五粮液
2024-12-20,143.7,144.47,142.72,143.21,17283558.0,sz000858,五粮液
2024-12-23,142.32,143.94,142.25,142.45,14260102.0,sz000858,五粮液
2024-12-24,142.35,143.5,141.71,143.48,14333019.0,sz000858,五粮液
2024-12-25,143.48,143.88,142.58,143.08,9613952.0,sz000858,五粮液
2024-12-26,143.12,143.23,141.85,142.49,10476825.0,sz000858,五粮液
2024-12-27,142.6,142.95,141.57,142.52,13445059.0,sz000858,五粮液
2024-12-30,142.02,143.17,141.0,141.21,16367180.0,sz000858,五粮液
2024-12-31,141.22,143.6,140.01,140.04,24521867.0,sz000858,五粮液
2025-01-02,140.0,140.0,136.3,136.99,25564735.0,sz000858,五粮液
2025-01-03,137.08,137.96,134.75,135.4,16823014.0,sz000858,五粮液
2025-01-06,131.9,133.96,130.38,130.83,27943013.0,sz000858,五粮液
2025-01-07,131.2,131.66,129.6,130.85,19018740.0,sz000858,五粮液
2025-01-08,130.86,131.74,128.02,129.7,19287619.0,sz000858,五粮液
2025-01-09,129.91,132.35,128.15,130.58,15918343.0,sz000858,五粮液
2025-01-10,130.5,130.83,128.6,128.6,13537786.0,sz000858,五粮液
2025-01-13,127.32,129.5,126.96,129.2,12149103.0,sz000858,五粮液
2025-01-14,129.3,133.3,128.9,133.02,22862469.0,sz000858,五粮液
2025-01-15,133.3,133.68,132.22,132.77,12812277.0,sz000858,五粮液
2025-01-16,133.4,134.3,131.06,131.48,16309620.0,sz000858,五粮液
2025-01-17,132.0,133.88,131.55,132.3,15245016.0,sz000858,五粮液
2025-01-20,132.88,135.49,132.73,134.3,19417359.0,sz000858,五粮液
2025-01-21,134.85,135.0,132.8,133.39,13279686.0,sz000858,五粮液
2025-01-22,132.95,133.0,130.13,130.35,17418217.0,sz000858,五粮液
2025-01-23,129.0,130.99,128.47,128.65,18448933.0,sz000858,五粮液
2025-01-24,127.8,128.58,126.49,127.72,18943572.0,sz000858,五粮液
2025-01-27,128.0,128.55,127.1,127.2,12653510.0,sz000858,五粮液
2025-02-05,127.55,127.88,124.51,125.01,18691574.0,sz000858,五粮液
2025-02-06,124.8,126.39,124.69,125.9,13819081.0,sz000858,五粮液
2025-02-07,126.0,128.88,125.12,127.63,23247330.0,sz000858,五粮液
