,open,high,low,close,volume,code,name
2024-11-26,7.13,7.34,7.12,7.33,202704089.0,sh601328,交通银行
2024-11-27,7.32,7.48,7.31,7.47,160279456.0,sh601328,交通银行
2024-11-28,7.45,7.51,7.37,7.43,99190028.0,sh601328,交通银行
2024-11-29,7.45,7.5,7.32,7.33,120959375.0,sh601328,交通银行
2024-12-02,7.31,7.33,7.2,7.24,175128589.0,sh601328,交通银行
2024-12-03,7.22,7.37,7.21,7.35,180315583.0,sh601328,交通银行
2024-12-04,7.33,7.4,7.27,7.36,145786934.0,sh601328,交通银行
2024-12-05,7.34,7.41,7.31,7.31,105181498.0,sh601328,交通银行
2024-12-06,7.31,7.42,7.3,7.37,149035430.0,sh601328,交通银行
2024-12-09,7.38,7.43,7.32,7.4,139729232.0,sh601328,交通银行
2024-12-10,7.48,7.57,7.41,7.5,221644431.0,sh601328,交通银行
2024-12-11,7.49,7.56,7.32,7.33,215194756.0,sh601328,交通银行
2024-12-12,7.34,7.46,7.31,7.45,198880949.0,sh601328,交通银行
2024-12-13,7.42,7.44,7.28,7.31,375041144.0,sh601328,交通银行
2024-12-16,7.3,7.5,7.3,7.42,266468552.0,sh601328,交通银行
2024-12-17,7.41,7.5,7.39,7.39,152155151.0,sh601328,交通银行
2024-12-18,7.43,7.56,7.42,7.52,167082738.0,sh601328,交通银行
2024-12-19,7.5,7.59,7.44,7.49,138031375.0,sh601328,交通银行
2024-12-20,7.49,7.6,7.48,7.5,142405205.0,sh601328,交通银行
2024-12-23,7.52,7.72,7.5,7.68,189028488.0,sh601328,交通银行
2024-12-24,7.66,7.74,7.61,7.73,137013364.0,sh601328,交通银行
2024-12-25,7.74,7.86,7.69,7.74,166199235.0,sh601328,交通银行
2024-12-26,7.73,7.74,7.6,7.7,130529288.0,sh601328,交通银行
2024-12-27,7.69,7.75,7.54,7.71,139945497.0,sh601328,交通银行
2024-12-30,7.68,7.84,7.68,7.82,161335228.0,sh601328,交通银行
2024-12-31,7.8,7.89,7.75,7.77,143873495.0,sh601328,交通银行
2025-01-02,7.78,7.84,7.5,7.53,205151194.0,sh601328,交通银行
2025-01-03,7.56,7.6,7.41,7.43,154818650.0,sh601328,交通银行
2025-01-06,7.49,7.49,7.28,7.41,183389142.0,sh601328,交通银行
2025-01-07,7.41,7.48,7.34,7.46,143346007.0,sh601328,交通银行
2025-01-08,7.45,7.58,7.44,7.52,153392292.0,sh601328,交通银行
2025-01-09,7.52,7.53,7.39,7.4,129174650.0,sh601328,交通银行
2025-01-10,7.42,7.46,7.32,7.4,116161695.0,sh601328,交通银行
2025-01-13,7.37,7.4,7.22,7.27,135245894.0,sh601328,交通银行
2025-01-14,7.3,7.4,7.26,7.36,118269670.0,sh601328,交通银行
2025-01-15,7.36,7.58,7.36,7.41,147023711.0,sh601328,交通银行
2025-01-16,7.45,7.46,7.37,7.43,101416548.0,sh601328,交通银行
2025-01-17,7.42,7.43,7.27,7.28,192904714.0,sh601328,交通银行
2025-01-20,7.31,7.35,7.25,7.28,114797845.0,sh601328,交通银行
2025-01-21,7.3,7.35,7.26,7.29,93119271.0,sh601328,交通银行
2025-01-22,7.29,7.3,7.14,7.17,163085022.0,sh601328,交通银行
2025-01-23,7.22,7.42,7.21,7.4,241749859.0,sh601328,交通银行
2025-01-24,7.26,7.26,7.1,7.17,166023206.0,sh601328,交通银行
2025-01-27,7.19,7.29,7.18,7.25,152541394.0,sh601328,交通银行
2025-02-05,7.3,7.31,7.15,7.17,142728382.0,sh601328,交通银行
2025-02-06,7.16,7.23,7.14,7.16,104201687.0,sh601328,交通银行
2025-02-07,7.17,7.18,7.1,7.12,169056057.0,sh601328,交通银行
2025-02-10,7.12,7.19,7.1,7.12,123274351.0,sh601328,交通银行
2025-02-11,7.14,7.2,7.13,7.19,129636994.0,sh601328,交通银行
2025-02-12,7.19,7.27,7.15,7.26,132441448.0,sh601328,交通银行
2025-02-13,7.24,7.34,7.24,7.32,124553576.0,sh601328,交通银行
2025-02-14,7.32,7.34,7.26,7.34,91845386.0,sh601328,交通银行
2025-02-17,7.34,7.37,7.25,7.36,126139848.0,sh601328,交通银行
2025-02-18,7.34,7.48,7.34,7.44,154060075.0,sh601328,交通银行
2025-02-19,7.43,7.48,7.39,7.43,101946704.0,sh601328,交通银行
2025-02-20,7.42,7.45,7.38,7.42,79574560.0,sh601328,交通银行
2025-02-21,7.44,7.45,7.3,7.37,124357310.0,sh601328,交通银行
2025-02-24,7.35,7.4,7.26,7.28,137871547.0,sh601328,交通银行
2025-02-25,7.27,7.3,7.15,7.18,147501265.0,sh601328,交通银行
2025-02-26,7.2,7.29,7.19,7.2,96431569.0,sh601328,交通银行
2025-02-27,7.22,7.28,7.16,7.26,106339804.0,sh601328,交通银行
2025-02-28,7.27,7.32,7.21,7.21,136950323.0,sh601328,交通银行
2025-03-03,7.23,7.24,7.12,7.2,129509656.0,sh601328,交通银行
2025-03-04,7.18,7.21,7.14,7.14,90078273.0,sh601328,交通银行
2025-03-05,7.14,7.29,7.13,7.27,149928582.0,sh601328,交通银行
2025-03-06,7.26,7.27,7.18,7.21,125395189.0,sh601328,交通银行
2025-03-07,7.22,7.24,7.17,7.17,90173238.0,sh601328,交通银行
2025-03-10,7.18,7.19,7.08,7.1,163041482.0,sh601328,交通银行
2025-03-11,7.08,7.19,7.06,7.18,142145297.0,sh601328,交通银行
2025-03-12,7.16,7.18,7.11,7.11,93508081.0,sh601328,交通银行
2025-03-13,7.11,7.15,7.1,7.12,99339780.0,sh601328,交通银行
2025-03-14,7.14,7.23,7.12,7.17,177681593.0,sh601328,交通银行
2025-03-17,7.19,7.27,7.18,7.23,137582187.0,sh601328,交通银行
2025-03-18,7.25,7.27,7.21,7.22,96403354.0,sh601328,交通银行
2025-03-19,7.23,7.31,7.23,7.31,138846743.0,sh601328,交通银行
2025-03-20,7.33,7.33,7.21,7.23,152787379.0,sh601328,交通银行
2025-03-21,7.24,7.26,7.21,7.21,132578879.0,sh601328,交通银行
2025-03-24,7.25,7.45,7.25,7.44,314996485.0,sh601328,交通银行
2025-03-25,7.43,7.52,7.42,7.44,138869131.0,sh601328,交通银行
2025-03-26,7.44,7.48,7.4,7.44,89576624.0,sh601328,交通银行
2025-03-27,7.44,7.51,7.44,7.44,85130900.0,sh601328,交通银行
2025-03-28,7.46,7.46,7.35,7.36,112225590.0,sh601328,交通银行
2025-03-31,7.43,7.53,7.31,7.45,227238444.0,sh601328,交通银行
2025-04-01,7.41,7.49,7.35,7.41,139480372.0,sh601328,交通银行
2025-04-02,7.39,7.58,7.39,7.58,167344227.0,sh601328,交通银行
2025-04-03,7.5,7.68,7.5,7.67,131902287.0,sh601328,交通银行
2025-04-07,7.41,7.63,7.13,7.29,424856449.0,sh601328,交通银行
2025-04-08,7.29,7.39,7.22,7.34,302416802.0,sh601328,交通银行
2025-04-09,7.3,7.38,7.22,7.32,226584836.0,sh601328,交通银行
2025-04-10,7.34,7.36,7.27,7.3,147535412.0,sh601328,交通银行
2025-04-11,7.34,7.39,7.29,7.37,141757754.0,sh601328,交通银行
2025-04-14,7.39,7.59,7.38,7.56,186285737.0,sh601328,交通银行
2025-04-15,7.56,7.71,7.55,7.7,171928084.0,sh601328,交通银行
2025-04-16,7.7,7.79,7.66,7.77,196182870.0,sh601328,交通银行
2025-04-17,7.74,7.77,7.63,7.7,134614354.0,sh601328,交通银行
2025-04-18,7.53,7.63,7.52,7.57,116007790.0,sh601328,交通银行
2025-04-21,7.56,7.7,7.5,7.5,119833951.0,sh601328,交通银行
2025-04-22,7.5,7.6,7.49,7.56,90903245.0,sh601328,交通银行
2025-04-23,7.57,7.59,7.5,7.51,98050976.0,sh601328,交通银行
2025-04-24,7.53,7.64,7.52,7.62,110095285.0,sh601328,交通银行
2025-04-25,7.63,7.66,7.51,7.58,98528474.0,sh601328,交通银行
2025-04-28,7.57,7.64,7.55,7.61,80328876.0,sh601328,交通银行
2025-04-29,7.6,7.65,7.56,7.57,76744919.0,sh601328,交通银行
2025-04-30,7.58,7.6,7.4,7.47,142960589.0,sh601328,交通银行
2025-05-06,7.49,7.49,7.36,7.41,123838172.0,sh601328,交通银行
2025-05-07,7.44,7.49,7.38,7.48,122665214.0,sh601328,交通银行
2025-05-08,7.47,7.55,7.45,7.46,101815589.0,sh601328,交通银行
2025-05-09,7.46,7.54,7.46,7.51,108048403.0,sh601328,交通银行
2025-05-12,7.52,7.64,7.49,7.6,152887057.0,sh601328,交通银行
2025-05-13,7.59,7.68,7.56,7.67,123684783.0,sh601328,交通银行
2025-05-14,7.65,7.76,7.62,7.72,149826043.0,sh601328,交通银行
2025-05-15,7.72,7.78,7.67,7.68,106163622.0,sh601328,交通银行
2025-05-16,7.69,7.71,7.53,7.58,140596456.0,sh601328,交通银行
2025-05-19,7.58,7.65,7.57,7.57,110772729.0,sh601328,交通银行
2025-05-20,7.61,7.69,7.59,7.61,103384298.0,sh601328,交通银行
2025-05-21,7.62,7.75,7.61,7.69,125514227.0,sh601328,交通银行
2025-05-22,7.71,7.77,7.68,7.77,90127087.0,sh601328,交通银行
2025-05-23,7.77,7.82,7.66,7.67,96519407.0,sh601328,交通银行
2025-05-26,7.66,7.73,7.6,7.63,101277522.0,sh601328,交通银行
2025-05-27,7.64,7.72,7.62,7.63,92358407.0,sh601328,交通银行
2025-05-28,7.63,7.66,7.53,7.58,92053647.0,sh601328,交通银行
2025-05-29,7.59,7.6,7.52,7.54,100341718.0,sh601328,交通银行
2025-05-30,7.55,7.64,7.52,7.6,117511296.0,sh601328,交通银行
2025-06-03,7.58,7.75,7.57,7.7,122033534.0,sh601328,交通银行
2025-06-04,7.72,7.75,7.68,7.69,89611712.0,sh601328,交通银行
2025-06-05,7.69,7.72,7.62,7.68,100382763.0,sh601328,交通银行
2025-06-06,7.69,7.74,7.66,7.69,76999267.0,sh601328,交通银行
2025-06-09,7.71,7.72,7.62,7.67,121989333.0,sh601328,交通银行
2025-06-10,7.66,7.8,7.65,7.7,155067136.0,sh601328,交通银行
2025-06-11,7.71,7.76,7.68,7.71,81711966.0,sh601328,交通银行
2025-06-12,7.71,7.74,7.67,7.72,79176876.0,sh601328,交通银行
2025-06-13,7.72,7.75,7.67,7.69,108207364.0,sh601328,交通银行
2025-06-16,7.68,7.76,7.64,7.76,117213555.0,sh601328,交通银行
2025-06-17,7.76,7.78,7.72,7.75,103050614.0,sh601328,交通银行
2025-06-18,7.75,7.78,7.72,7.78,116747043.0,sh601328,交通银行
2025-06-19,7.77,7.82,7.73,7.78,124717715.0,sh601328,交通银行
2025-06-20,7.78,7.95,7.76,7.94,204614379.0,sh601328,交通银行
2025-06-23,7.94,8.14,7.83,8.06,281982587.0,sh601328,交通银行
2025-06-24,8.08,8.24,8.07,8.19,271299912.0,sh601328,交通银行
2025-06-25,8.19,8.33,8.14,8.32,222517377.0,sh601328,交通银行
2025-06-26,8.3,8.34,8.24,8.31,198320542.0,sh601328,交通银行
2025-06-27,8.28,8.3,8.02,8.04,261314857.0,sh601328,交通银行
2025-06-30,8.02,8.08,7.97,8.0,138635419.0,sh601328,交通银行
2025-07-01,8.04,8.14,8.03,8.1,114222198.0,sh601328,交通银行
2025-07-02,8.13,8.17,8.11,8.11,93253880.0,sh601328,交通银行
2025-07-03,8.11,8.15,8.05,8.07,84767547.0,sh601328,交通银行
2025-07-04,8.07,8.27,8.06,8.22,140757446.0,sh601328,交通银行
2025-07-07,8.21,8.23,8.13,8.17,103813237.0,sh601328,交通银行
2025-07-08,8.18,8.22,8.15,8.16,100874028.0,sh601328,交通银行
