date,open,high,low,close,volume,code,name
2024-11-26,4.140,4.140,4.190,4.130,4207392.000,sz000725,京东方A
2024-11-27,4.140,4.250,4.260,4.100,5698235.000,sz000725,京东方A
2024-11-28,4.250,4.210,4.260,4.200,3450279.000,sz000725,京东方A
2024-11-29,4.210,4.250,4.280,4.200,4272207.000,sz000725,京东方A
2024-12-02,4.260,4.270,4.290,4.250,4299433.000,sz000725,京东方A
2024-12-03,4.270,4.260,4.280,4.230,3951050.000,sz000725,京东方A
2024-12-04,4.260,4.210,4.270,4.200,4497922.000,sz000725,京东方A
2024-12-05,4.200,4.210,4.230,4.190,3359816.000,sz000725,京东方A
2024-12-06,4.210,4.260,4.270,4.200,4792842.000,sz000725,京东方A
2024-12-09,4.260,4.240,4.280,4.210,4294867.000,sz000725,京东方A
2024-12-10,4.310,4.300,4.360,4.280,7646782.000,sz000725,京东方A
2024-12-11,4.290,4.340,4.350,4.260,5807745.000,sz000725,京东方A
2024-12-12,4.340,4.340,4.370,4.310,5101244.000,sz000725,京东方A
2024-12-13,4.330,4.310,4.390,4.290,7004939.000,sz000725,京东方A
2024-12-16,4.300,4.250,4.330,4.240,4272092.000,sz000725,京东方A
2024-12-17,4.250,4.280,4.330,4.250,4629897.000,sz000725,京东方A
2024-12-18,4.280,4.330,4.380,4.280,5273382.000,sz000725,京东方A
2024-12-19,4.320,4.380,4.380,4.290,4906219.000,sz000725,京东方A
2024-12-20,4.370,4.340,4.390,4.330,4193876.000,sz000725,京东方A
2024-12-23,4.360,4.310,4.450,4.310,6394103.000,sz000725,京东方A
2024-12-24,4.320,4.350,4.360,4.300,4579971.000,sz000725,京东方A
2024-12-25,4.350,4.330,4.360,4.290,3175484.000,sz000725,京东方A
2024-12-26,4.320,4.330,4.350,4.300,3062417.000,sz000725,京东方A
2024-12-27,4.320,4.290,4.340,4.290,4353240.000,sz000725,京东方A
2024-12-30,4.310,4.400,4.410,4.290,8003195.000,sz000725,京东方A
2024-12-31,4.390,4.340,4.420,4.330,7213835.000,sz000725,京东方A
2025-01-02,4.340,4.190,4.350,4.160,7504077.000,sz000725,京东方A
2025-01-03,4.190,4.150,4.240,4.150,4851162.000,sz000725,京东方A
2025-01-06,4.150,4.130,4.170,4.080,4235027.000,sz000725,京东方A
2025-01-07,4.140,4.380,4.430,4.130,11153586.000,sz000725,京东方A
2025-01-08,4.330,4.270,4.340,4.190,7548917.000,sz000725,京东方A
2025-01-09,4.240,4.260,4.300,4.230,2945515.000,sz000725,京东方A
2025-01-10,4.260,4.150,4.270,4.150,3857113.000,sz000725,京东方A
2025-01-13,4.130,4.110,4.140,4.090,3092479.000,sz000725,京东方A
2025-01-14,4.110,4.270,4.270,4.110,5065819.000,sz000725,京东方A
2025-01-15,4.240,4.210,4.250,4.180,2949907.000,sz000725,京东方A
2025-01-16,4.240,4.260,4.290,4.210,3556938.000,sz000725,京东方A
2025-01-17,4.250,4.290,4.310,4.230,3368835.000,sz000725,京东方A
2025-01-20,4.330,4.340,4.380,4.320,4035268.000,sz000725,京东方A
2025-01-21,4.400,4.450,4.470,4.360,8106099.000,sz000725,京东方A
2025-01-22,4.440,4.440,4.470,4.400,3853058.000,sz000725,京东方A
2025-01-23,4.450,4.400,4.470,4.380,5450246.000,sz000725,京东方A
2025-01-24,4.400,4.430,4.480,4.390,4434578.000,sz000725,京东方A
2025-01-27,4.450,4.410,4.460,4.410,2905405.000,sz000725,京东方A
2025-02-05,4.440,4.460,4.460,4.380,4189915.000,sz000725,京东方A
2025-02-06,4.440,4.490,4.510,4.410,4505377.000,sz000725,京东方A
2025-02-07,4.480,4.490,4.530,4.450,4700790.000,sz000725,京东方A
2025-02-10,4.490,4.460,4.500,4.410,4823241.000,sz000725,京东方A
2025-02-11,4.460,4.450,4.470,4.430,2894812.000,sz000725,京东方A
2025-02-12,4.460,4.500,4.500,4.400,4459597.000,sz000725,京东方A
2025-02-13,4.490,4.460,4.510,4.410,4466314.000,sz000725,京东方A
2025-02-14,4.440,4.530,4.550,4.430,5942907.000,sz000725,京东方A
2025-02-17,4.540,4.540,4.590,4.520,5267145.000,sz000725,京东方A
2025-02-18,4.530,4.480,4.630,4.460,5816052.000,sz000725,京东方A
2025-02-19,4.490,4.450,4.530,4.410,5618532.000,sz000725,京东方A
2025-02-20,4.440,4.450,4.490,4.400,4539113.000,sz000725,京东方A
2025-02-21,4.440,4.490,4.510,4.420,5219486.000,sz000725,京东方A
2025-02-24,4.510,4.520,4.540,4.460,4550670.000,sz000725,京东方A
2025-02-25,4.500,4.500,4.520,4.430,4927768.000,sz000725,京东方A
2025-02-26,4.500,4.430,4.520,4.410,5703477.000,sz000725,京东方A
2025-02-27,4.430,4.330,4.440,4.300,6358060.000,sz000725,京东方A
2025-02-28,4.320,4.260,4.330,4.230,4861672.000,sz000725,京东方A
2025-03-03,4.270,4.290,4.340,4.250,4102534.000,sz000725,京东方A
2025-03-04,4.290,4.320,4.350,4.270,3624365.000,sz000725,京东方A
2025-03-05,4.310,4.330,4.350,4.280,3054370.000,sz000725,京东方A
2025-03-06,4.350,4.400,4.420,4.330,4438924.000,sz000725,京东方A
2025-03-07,4.390,4.370,4.400,4.360,2883547.000,sz000725,京东方A
2025-03-10,4.370,4.350,4.400,4.330,2889046.000,sz000725,京东方A
2025-03-11,4.320,4.350,4.350,4.310,2711480.000,sz000725,京东方A
2025-03-12,4.350,4.310,4.370,4.310,2930826.000,sz000725,京东方A
2025-03-13,4.310,4.260,4.320,4.250,3371209.000,sz000725,京东方A
2025-03-14,4.270,4.350,4.350,4.270,3845943.000,sz000725,京东方A
2025-03-17,4.370,4.330,4.370,4.320,2874720.000,sz000725,京东方A
2025-03-18,4.340,4.350,4.370,4.330,3330445.000,sz000725,京东方A
2025-03-19,4.350,4.300,4.360,4.290,3282133.000,sz000725,京东方A
2025-03-20,4.320,4.260,4.330,4.260,3419592.000,sz000725,京东方A
2025-03-21,4.260,4.200,4.280,4.180,4717855.000,sz000725,京东方A
2025-03-24,4.200,4.220,4.240,4.190,3524175.000,sz000725,京东方A
2025-03-25,4.220,4.170,4.220,4.170,3126968.000,sz000725,京东方A
2025-03-26,4.180,4.170,4.200,4.160,2357396.000,sz000725,京东方A
2025-03-27,4.160,4.160,4.190,4.140,2916321.000,sz000725,京东方A
2025-03-28,4.160,4.160,4.170,4.130,2513279.000,sz000725,京东方A
2025-03-31,4.150,4.100,4.160,4.090,3440480.000,sz000725,京东方A
2025-04-01,4.110,4.150,4.160,4.110,2849254.000,sz000725,京东方A
2025-04-02,4.150,4.160,4.170,4.130,2182328.000,sz000725,京东方A
2025-04-03,4.130,4.110,4.150,4.080,3211699.000,sz000725,京东方A
2025-04-07,3.880,3.690,3.880,3.690,8060229.000,sz000725,京东方A
2025-04-08,3.680,3.690,3.730,3.650,7146265.000,sz000725,京东方A
2025-04-09,3.650,3.680,3.710,3.590,7018122.000,sz000725,京东方A
2025-04-10,3.780,3.740,3.810,3.740,5964413.000,sz000725,京东方A
2025-04-11,3.710,3.710,3.740,3.680,5463040.000,sz000725,京东方A
2025-04-14,3.810,3.750,3.840,3.750,6888630.000,sz000725,京东方A
2025-04-15,3.740,3.730,3.750,3.680,4316487.000,sz000725,京东方A
2025-04-16,3.760,3.760,3.780,3.710,4333293.000,sz000725,京东方A
2025-04-17,3.740,3.760,3.780,3.730,3284249.000,sz000725,京东方A
2025-04-18,3.750,3.770,3.790,3.750,2700297.000,sz000725,京东方A
2025-04-21,3.780,3.780,3.790,3.760,2573607.000,sz000725,京东方A
2025-04-22,3.830,3.790,3.840,3.780,4759985.000,sz000725,京东方A
2025-04-23,3.810,3.780,3.830,3.770,3876554.000,sz000725,京东方A
2025-04-24,3.780,3.750,3.790,3.750,2777660.000,sz000725,京东方A
2025-04-25,3.760,3.810,3.820,3.750,4236532.000,sz000725,京东方A
2025-04-28,3.810,3.790,3.810,3.770,2257684.000,sz000725,京东方A
2025-04-29,3.780,3.770,3.800,3.760,2563898.000,sz000725,京东方A
2025-04-30,3.780,3.790,3.800,3.770,2381405.000,sz000725,京东方A
2025-05-06,3.800,3.830,3.840,3.790,3802575.000,sz000725,京东方A
2025-05-07,3.870,3.820,3.890,3.810,3661340.000,sz000725,京东方A
2025-05-08,3.820,3.830,3.840,3.810,3112504.000,sz000725,京东方A
2025-05-09,3.830,3.810,3.840,3.800,2863731.000,sz000725,京东方A
2025-05-12,3.840,3.880,3.890,3.830,4519291.000,sz000725,京东方A
2025-05-13,3.930,3.870,3.930,3.860,3624087.000,sz000725,京东方A
2025-05-14,3.870,3.900,3.910,3.840,3642217.000,sz000725,京东方A
2025-05-15,3.900,3.840,3.900,3.840,3457794.000,sz000725,京东方A
2025-05-16,3.830,3.840,3.850,3.820,2500455.000,sz000725,京东方A
2025-05-19,3.830,3.830,3.840,3.810,2632981.000,sz000725,京东方A
2025-05-20,3.830,3.850,3.860,3.820,2741155.000,sz000725,京东方A
2025-05-21,3.860,3.830,3.860,3.830,2029463.000,sz000725,京东方A
2025-05-22,3.830,3.820,3.850,3.810,2423578.000,sz000725,京东方A
2025-05-23,3.820,3.770,3.830,3.770,3118044.000,sz000725,京东方A
2025-05-26,3.770,3.780,3.810,3.770,2326841.000,sz000725,京东方A
2025-05-27,3.780,3.780,3.790,3.760,2236090.000,sz000725,京东方A
2025-05-28,3.790,3.770,3.830,3.770,3189445.000,sz000725,京东方A
2025-05-29,3.780,3.800,3.810,3.770,2711637.000,sz000725,京东方A
