date,open,high,low,close,volume,code,name
2024-11-25,5.403,5.353,5.453,5.313,1325822.000,sh601816,京沪高铁
2024-11-26,5.343,5.393,5.423,5.323,976424.000,sh601816,京沪高铁
2024-11-27,5.403,5.493,5.493,5.373,1209784.000,sh601816,京沪高铁
2024-11-28,5.483,5.573,5.593,5.463,1609062.000,sh601816,京沪高铁
2024-11-29,5.573,5.573,5.603,5.533,1292190.000,sh601816,京沪高铁
2024-12-02,5.693,5.873,5.973,5.683,5754870.000,sh601816,京沪高铁
2024-12-03,5.893,6.053,6.063,5.853,2891312.000,sh601816,京沪高铁
2024-12-04,6.043,6.043,6.053,5.893,2161429.000,sh601816,京沪高铁
2024-12-05,6.003,6.053,6.113,5.993,1732131.000,sh601816,京沪高铁
2024-12-06,6.093,6.093,6.123,6.023,1689898.000,sh601816,京沪高铁
2024-12-09,6.093,6.203,6.233,6.013,2035133.000,sh601816,京沪高铁
2024-12-10,6.303,6.163,6.303,6.153,2011831.000,sh601816,京沪高铁
2024-12-11,6.193,6.063,6.203,6.013,2543213.000,sh601816,京沪高铁
2024-12-12,6.073,6.213,6.233,6.063,2872581.000,sh601816,京沪高铁
2024-12-13,6.143,6.003,6.213,5.923,7690074.000,sh601816,京沪高铁
2024-12-16,6.003,6.073,6.113,5.893,3079355.000,sh601816,京沪高铁
2024-12-17,6.043,6.033,6.103,6.003,1890580.000,sh601816,京沪高铁
2024-12-18,6.053,6.033,6.083,5.993,1279646.000,sh601816,京沪高铁
2024-12-19,6.013,5.983,6.033,5.953,1184155.000,sh601816,京沪高铁
2024-12-20,6.003,5.903,6.003,5.893,1180492.000,sh601816,京沪高铁
2024-12-23,5.893,5.983,6.023,5.873,1510014.000,sh601816,京沪高铁
2024-12-24,5.973,6.003,6.023,5.853,1319494.000,sh601816,京沪高铁
2024-12-25,5.993,6.083,6.103,5.993,1273500.000,sh601816,京沪高铁
2024-12-26,6.103,6.033,6.113,6.003,907027.000,sh601816,京沪高铁
2024-12-27,6.053,6.073,6.103,6.003,884596.000,sh601816,京沪高铁
2024-12-30,6.093,6.123,6.193,6.063,1348038.000,sh601816,京沪高铁
2024-12-31,6.113,6.003,6.163,6.003,1138514.000,sh601816,京沪高铁
2025-01-02,6.013,5.873,6.053,5.823,1318146.000,sh601816,京沪高铁
2025-01-03,5.893,5.803,5.913,5.753,986465.000,sh601816,京沪高铁
2025-01-06,5.823,5.763,5.843,5.703,843611.000,sh601816,京沪高铁
2025-01-07,5.773,5.723,5.803,5.673,741365.000,sh601816,京沪高铁
