,open,high,low,close,volume,code,name
2024-11-26,28.28,28.9,28.17,28.57,34108379.0,sh600887,伊利股份
2024-11-27,28.5,28.98,28.4,28.87,30222719.0,sh600887,伊利股份
2024-11-28,28.88,28.97,28.39,28.51,28601441.0,sh600887,伊利股份
2024-11-29,28.55,29.0,28.42,28.58,33632214.0,sh600887,伊利股份
2024-12-02,28.52,29.18,28.48,28.82,43989746.0,sh600887,伊利股份
2024-12-03,28.82,29.34,28.55,29.26,45511276.0,sh600887,伊利股份
2024-12-04,29.15,29.25,28.82,29.11,31142850.0,sh600887,伊利股份
2024-12-05,28.85,29.09,28.76,28.84,26888700.0,sh600887,伊利股份
2024-12-06,28.84,29.36,28.78,29.24,40929846.0,sh600887,伊利股份
2024-12-09,29.22,29.26,28.58,28.82,52747886.0,sh600887,伊利股份
2024-12-10,29.5,30.1,29.4,29.52,80771890.0,sh600887,伊利股份
2024-12-11,29.42,30.0,29.37,29.77,47434251.0,sh600887,伊利股份
2024-12-12,29.74,30.26,29.57,30.23,68199214.0,sh600887,伊利股份
2024-12-13,30.0,30.0,29.18,29.25,83244704.0,sh600887,伊利股份
2024-12-16,29.32,29.49,28.89,29.2,43134419.0,sh600887,伊利股份
2024-12-17,29.09,29.85,28.93,29.61,47201209.0,sh600887,伊利股份
2024-12-18,29.74,29.87,29.5,29.61,28036626.0,sh600887,伊利股份
2024-12-19,29.52,29.73,29.25,29.37,27558103.0,sh600887,伊利股份
2024-12-20,29.48,29.56,29.13,29.2,29670829.0,sh600887,伊利股份
2024-12-23,29.1,29.8,29.05,29.6,43942782.0,sh600887,伊利股份
2024-12-24,29.51,30.14,29.51,30.1,48018816.0,sh600887,伊利股份
2024-12-25,30.1,30.17,29.82,29.93,32048433.0,sh600887,伊利股份
2024-12-26,29.93,30.04,29.79,29.97,27272709.0,sh600887,伊利股份
2024-12-27,29.96,30.21,29.75,30.15,38679079.0,sh600887,伊利股份
2024-12-30,30.0,30.3,29.9,30.08,33846235.0,sh600887,伊利股份
2024-12-31,29.98,30.65,29.96,30.18,67772117.0,sh600887,伊利股份
2025-01-02,30.1,30.48,29.36,29.56,54547978.0,sh600887,伊利股份
2025-01-03,29.5,29.73,29.2,29.3,40909746.0,sh600887,伊利股份
2025-01-06,29.25,29.38,28.8,29.04,37934901.0,sh600887,伊利股份
2025-01-07,28.85,29.17,28.75,28.88,31890433.0,sh600887,伊利股份
2025-01-08,28.95,29.45,28.56,29.15,39956094.0,sh600887,伊利股份
2025-01-09,29.0,29.45,28.8,28.96,28997638.0,sh600887,伊利股份
2025-01-10,28.96,29.09,28.53,28.53,31166635.0,sh600887,伊利股份
2025-01-13,28.44,28.84,28.26,28.45,30201533.0,sh600887,伊利股份
2025-01-14,28.39,28.95,28.21,28.65,37523132.0,sh600887,伊利股份
2025-01-15,28.7,28.83,28.38,28.46,26884092.0,sh600887,伊利股份
2025-01-16,28.57,28.68,28.23,28.33,30914604.0,sh600887,伊利股份
2025-01-17,28.18,28.58,28.06,28.4,24748651.0,sh600887,伊利股份
2025-01-20,28.62,28.78,27.8,27.8,49779648.0,sh600887,伊利股份
2025-01-21,27.83,27.89,27.11,27.57,53372120.0,sh600887,伊利股份
2025-01-22,27.49,27.6,27.15,27.4,37674662.0,sh600887,伊利股份
2025-01-23,27.55,27.9,27.3,27.56,32169839.0,sh600887,伊利股份
2025-01-24,27.48,27.87,27.4,27.59,35463995.0,sh600887,伊利股份
2025-01-27,27.59,28.05,27.59,27.83,47803280.0,sh600887,伊利股份
2025-02-05,27.72,27.85,26.85,26.85,58641824.0,sh600887,伊利股份
2025-02-06,26.84,27.21,26.81,27.05,35193262.0,sh600887,伊利股份
2025-02-07,27.07,27.53,26.85,27.31,42135207.0,sh600887,伊利股份
2025-02-10,27.32,27.35,26.85,27.13,56316353.0,sh600887,伊利股份
2025-02-11,27.15,27.21,26.88,26.95,35131073.0,sh600887,伊利股份
2025-02-12,26.89,27.2,26.82,27.14,32897065.0,sh600887,伊利股份
2025-02-13,27.14,27.78,27.08,27.5,64481638.0,sh600887,伊利股份
