,open,high,low,close,volume,code,name
2024-11-26,3.54,3.61,3.51,3.59,154200370.0,sh601818,光大银行
2024-11-27,3.58,3.62,3.55,3.62,140102567.0,sh601818,光大银行
2024-11-28,3.61,3.64,3.59,3.62,112381388.0,sh601818,光大银行
2024-11-29,3.62,3.66,3.6,3.6,174104255.0,sh601818,光大银行
2024-12-02,3.61,3.62,3.57,3.6,163237968.0,sh601818,光大银行
2024-12-03,3.59,3.69,3.58,3.69,230260477.0,sh601818,光大银行
2024-12-04,3.68,3.72,3.64,3.71,159276201.0,sh601818,光大银行
2024-12-05,3.7,3.74,3.67,3.68,146604504.0,sh601818,光大银行
2024-12-06,3.68,3.75,3.67,3.73,157194458.0,sh601818,光大银行
2024-12-09,3.72,3.76,3.69,3.74,143009681.0,sh601818,光大银行
2024-12-10,3.78,3.8,3.73,3.75,187834134.0,sh601818,光大银行
2024-12-11,3.75,3.76,3.68,3.69,196139596.0,sh601818,光大银行
2024-12-12,3.7,3.78,3.69,3.78,195699505.0,sh601818,光大银行
2024-12-13,3.76,3.77,3.7,3.72,207041356.0,sh601818,光大银行
2024-12-16,3.7,3.76,3.7,3.73,159900156.0,sh601818,光大银行
2024-12-17,3.72,3.75,3.67,3.68,154723684.0,sh601818,光大银行
2024-12-18,3.71,3.83,3.71,3.77,252074700.0,sh601818,光大银行
2024-12-19,3.75,3.79,3.71,3.72,173663721.0,sh601818,光大银行
2024-12-20,3.73,3.75,3.69,3.7,133605319.0,sh601818,光大银行
2024-12-23,3.7,3.8,3.7,3.76,209676614.0,sh601818,光大银行
2024-12-24,3.77,3.82,3.75,3.8,151488858.0,sh601818,光大银行
2024-12-25,3.81,3.85,3.79,3.83,146358223.0,sh601818,光大银行
2024-12-26,3.82,3.83,3.77,3.81,120083261.0,sh601818,光大银行
2024-12-27,3.81,3.84,3.74,3.82,163176891.0,sh601818,光大银行
2024-12-30,3.82,3.92,3.81,3.91,222112291.0,sh601818,光大银行
2024-12-31,3.91,3.97,3.86,3.87,221292879.0,sh601818,光大银行
2025-01-02,3.87,3.9,3.71,3.73,319356492.0,sh601818,光大银行
2025-01-03,3.75,3.77,3.67,3.71,203436642.0,sh601818,光大银行
2025-01-06,3.71,3.72,3.62,3.72,184451145.0,sh601818,光大银行
2025-01-07,3.72,3.74,3.68,3.73,133056822.0,sh601818,光大银行
2025-01-08,3.73,3.78,3.71,3.74,182623200.0,sh601818,光大银行
2025-01-09,3.74,3.74,3.65,3.68,165301092.0,sh601818,光大银行
2025-01-10,3.68,3.71,3.61,3.68,182781783.0,sh601818,光大银行
2025-01-13,3.66,3.66,3.59,3.61,182133547.0,sh601818,光大银行
2025-01-14,3.62,3.68,3.6,3.67,163693392.0,sh601818,光大银行
2025-01-15,3.68,3.76,3.67,3.69,150281884.0,sh601818,光大银行
2025-01-16,3.72,3.76,3.7,3.73,134736580.0,sh601818,光大银行
2025-01-17,3.73,3.75,3.68,3.71,108879698.0,sh601818,光大银行
2025-01-20,3.72,3.78,3.68,3.76,184295893.0,sh601818,光大银行
2025-01-21,3.77,3.81,3.74,3.78,144764800.0,sh601818,光大银行
2025-01-22,3.67,3.69,3.62,3.65,178225747.0,sh601818,光大银行
2025-01-23,3.67,3.88,3.67,3.87,363403427.0,sh601818,光大银行
2025-01-24,3.89,3.9,3.75,3.87,246552659.0,sh601818,光大银行
2025-01-27,3.84,3.91,3.84,3.87,132591300.0,sh601818,光大银行
2025-02-05,3.86,3.88,3.75,3.78,169207585.0,sh601818,光大银行
2025-02-06,3.78,3.83,3.75,3.77,132654741.0,sh601818,光大银行
2025-02-07,3.78,3.79,3.74,3.75,143701433.0,sh601818,光大银行
2025-02-10,3.75,3.79,3.73,3.75,124356076.0,sh601818,光大银行
2025-02-11,3.75,3.78,3.74,3.75,114279742.0,sh601818,光大银行
2025-02-12,3.76,3.77,3.73,3.76,106927888.0,sh601818,光大银行
2025-02-13,3.75,3.79,3.75,3.77,119883016.0,sh601818,光大银行
2025-02-14,3.77,3.79,3.74,3.78,108469216.0,sh601818,光大银行
2025-02-17,3.78,3.79,3.75,3.78,131226179.0,sh601818,光大银行
2025-02-18,3.77,3.87,3.77,3.84,186885103.0,sh601818,光大银行
2025-02-19,3.84,3.87,3.81,3.83,115642673.0,sh601818,光大银行
2025-02-20,3.83,3.87,3.82,3.85,112933585.0,sh601818,光大银行
2025-02-21,3.85,3.86,3.79,3.79,141694620.0,sh601818,光大银行
2025-02-24,3.78,3.8,3.75,3.77,114839250.0,sh601818,光大银行
2025-02-25,3.76,3.79,3.72,3.74,117128251.0,sh601818,光大银行
2025-02-26,3.74,3.78,3.73,3.75,104918188.0,sh601818,光大银行
2025-02-27,3.75,3.8,3.73,3.79,133807510.0,sh601818,光大银行
2025-02-28,3.78,3.8,3.76,3.76,114321199.0,sh601818,光大银行
2025-03-03,3.76,3.77,3.71,3.75,148152370.0,sh601818,光大银行
2025-03-04,3.75,3.77,3.73,3.76,105108215.0,sh601818,光大银行
2025-03-05,3.75,3.85,3.75,3.85,173409716.0,sh601818,光大银行
2025-03-06,3.85,3.86,3.79,3.8,126893477.0,sh601818,光大银行
2025-03-07,3.81,3.83,3.78,3.8,98022589.0,sh601818,光大银行
2025-03-10,3.79,3.8,3.73,3.74,151509470.0,sh601818,光大银行
2025-03-11,3.73,3.75,3.72,3.75,103188398.0,sh601818,光大银行
2025-03-12,3.75,3.79,3.72,3.78,113094398.0,sh601818,光大银行
2025-03-13,3.78,3.81,3.77,3.8,108972091.0,sh601818,光大银行
2025-03-14,3.81,3.9,3.8,3.86,206197194.0,sh601818,光大银行
2025-03-17,3.88,3.9,3.86,3.87,119728311.0,sh601818,光大银行
2025-03-18,3.89,3.89,3.84,3.86,91608400.0,sh601818,光大银行
2025-03-19,3.86,3.91,3.84,3.9,104877675.0,sh601818,光大银行
2025-03-20,3.9,3.93,3.88,3.9,82827738.0,sh601818,光大银行
2025-03-21,3.89,3.91,3.82,3.84,116712000.0,sh601818,光大银行
2025-03-24,3.84,3.86,3.83,3.84,105539191.0,sh601818,光大银行
2025-03-25,3.85,3.87,3.84,3.86,94522292.0,sh601818,光大银行
2025-03-26,3.86,3.87,3.8,3.81,116432052.0,sh601818,光大银行
2025-03-27,3.81,3.86,3.81,3.84,105962215.0,sh601818,光大银行
2025-03-28,3.84,3.85,3.8,3.82,94331011.0,sh601818,光大银行
2025-03-31,3.81,3.82,3.72,3.78,184880222.0,sh601818,光大银行
2025-04-01,3.77,3.79,3.7,3.74,216926312.0,sh601818,光大银行
2025-04-02,3.73,3.83,3.73,3.81,219359243.0,sh601818,光大银行
2025-04-03,3.78,3.84,3.78,3.82,112041579.0,sh601818,光大银行
2025-04-07,3.75,3.76,3.51,3.59,344035545.0,sh601818,光大银行
2025-04-08,3.57,3.66,3.57,3.66,265379613.0,sh601818,光大银行
2025-04-09,3.65,3.66,3.57,3.65,196489606.0,sh601818,光大银行
2025-04-10,3.67,3.68,3.62,3.64,155333343.0,sh601818,光大银行
2025-04-11,3.65,3.66,3.63,3.65,112520470.0,sh601818,光大银行
2025-04-14,3.66,3.72,3.65,3.7,138313256.0,sh601818,光大银行
2025-04-15,3.7,3.74,3.69,3.72,161945364.0,sh601818,光大银行
2025-04-16,3.73,3.81,3.71,3.79,235531539.0,sh601818,光大银行
2025-04-17,3.8,3.82,3.73,3.82,148806980.0,sh601818,光大银行
2025-04-18,3.8,3.83,3.78,3.81,105446100.0,sh601818,光大银行
2025-04-21,3.8,3.84,3.75,3.76,123941295.0,sh601818,光大银行
2025-04-22,3.76,3.83,3.75,3.82,133076801.0,sh601818,光大银行
2025-04-23,3.82,3.83,3.78,3.78,102892093.0,sh601818,光大银行
2025-04-24,3.78,3.86,3.78,3.85,142348274.0,sh601818,光大银行
2025-04-25,3.85,3.87,3.8,3.81,121316876.0,sh601818,光大银行
2025-04-28,3.82,3.9,3.81,3.89,171663803.0,sh601818,光大银行
2025-04-29,3.89,3.92,3.86,3.89,108913612.0,sh601818,光大银行
2025-04-30,3.88,3.89,3.77,3.78,177445288.0,sh601818,光大银行
2025-05-06,3.8,3.8,3.75,3.77,135279971.0,sh601818,光大银行
2025-05-07,3.82,3.87,3.8,3.87,179725589.0,sh601818,光大银行
2025-05-08,3.86,3.9,3.85,3.87,94504381.0,sh601818,光大银行
2025-05-09,3.87,3.92,3.86,3.9,114513143.0,sh601818,光大银行
2025-05-12,3.92,3.95,3.88,3.9,117643450.0,sh601818,光大银行
2025-05-13,3.91,3.95,3.88,3.95,108376227.0,sh601818,光大银行
2025-05-14,3.94,4.02,3.92,4.0,164401165.0,sh601818,光大银行
2025-05-15,3.99,4.03,3.98,4.0,108015888.0,sh601818,光大银行
2025-05-16,4.0,4.01,3.92,3.96,99516700.0,sh601818,光大银行
2025-05-19,3.97,4.02,3.95,3.96,92320223.0,sh601818,光大银行
2025-05-20,3.97,4.0,3.95,3.96,92463940.0,sh601818,光大银行
2025-05-21,3.97,4.01,3.96,3.99,83017995.0,sh601818,光大银行
2025-05-22,3.99,4.05,3.96,4.05,113955356.0,sh601818,光大银行
2025-05-23,4.05,4.07,3.99,4.0,103259758.0,sh601818,光大银行
2025-05-26,3.99,4.02,3.95,3.96,115052741.0,sh601818,光大银行
2025-05-27,3.96,4.0,3.95,3.98,96712310.0,sh601818,光大银行
2025-05-28,3.97,3.99,3.92,3.96,92444052.0,sh601818,光大银行
2025-05-29,3.96,3.97,3.93,3.94,100702700.0,sh601818,光大银行
2025-05-30,3.94,3.98,3.93,3.97,129462052.0,sh601818,光大银行
2025-06-03,3.96,4.06,3.95,4.03,157406280.0,sh601818,光大银行
2025-06-04,4.04,4.08,4.03,4.05,127021108.0,sh601818,光大银行
2025-06-05,4.07,4.09,4.0,4.01,111783165.0,sh601818,光大银行
2025-06-06,4.02,4.05,3.99,4.0,112135800.0,sh601818,光大银行
2025-06-09,4.0,4.01,3.95,4.0,148884124.0,sh601818,光大银行
2025-06-10,4.0,4.08,3.99,4.05,190869792.0,sh601818,光大银行
2025-06-11,4.05,4.08,4.03,4.07,109797397.0,sh601818,光大银行
2025-06-12,4.07,4.1,4.04,4.09,103361524.0,sh601818,光大银行
2025-06-13,4.09,4.11,4.02,4.02,147463359.0,sh601818,光大银行
2025-06-16,4.03,4.08,4.01,4.08,114288936.0,sh601818,光大银行
2025-06-17,4.08,4.1,4.05,4.07,106162590.0,sh601818,光大银行
2025-06-18,4.08,4.11,4.05,4.1,125959588.0,sh601818,光大银行
2025-06-19,4.09,4.11,4.05,4.08,107572956.0,sh601818,光大银行
2025-06-20,4.08,4.18,4.07,4.16,154025637.0,sh601818,光大银行
2025-06-23,4.15,4.25,4.09,4.23,191447910.0,sh601818,光大银行
2025-06-24,4.22,4.26,4.17,4.25,166827492.0,sh601818,光大银行
2025-06-25,4.24,4.26,4.17,4.24,161870380.0,sh601818,光大银行
2025-06-26,4.23,4.3,4.19,4.28,163950721.0,sh601818,光大银行
2025-06-27,4.27,4.34,4.13,4.15,291002055.0,sh601818,光大银行
2025-06-30,4.13,4.17,4.12,4.15,151249836.0,sh601818,光大银行
2025-07-01,4.16,4.22,4.15,4.2,126264409.0,sh601818,光大银行
2025-07-02,4.21,4.26,4.2,4.22,127187300.0,sh601818,光大银行
2025-07-03,4.22,4.26,4.2,4.25,127722600.0,sh601818,光大银行
2025-07-04,4.25,4.4,4.24,4.38,223699384.0,sh601818,光大银行
2025-07-07,4.38,4.45,4.37,4.44,152668929.0,sh601818,光大银行
2025-07-08,4.44,4.47,4.39,4.41,130874601.0,sh601818,光大银行
2025-07-09,4.42,4.46,4.4,4.43,112119041.0,sh601818,光大银行
2025-07-10,4.42,4.5,4.41,4.44,206705007.0,sh601818,光大银行
2025-07-11,4.44,4.5,4.34,4.34,284352532.0,sh601818,光大银行
2025-07-14,4.35,4.46,4.34,4.39,198209474.0,sh601818,光大银行
2025-07-15,4.4,4.43,4.31,4.35,154702824.0,sh601818,光大银行
2025-07-16,4.36,4.37,4.28,4.31,175665864.0,sh601818,光大银行
2025-07-17,4.31,4.33,4.26,4.27,127999261.0,sh601818,光大银行
2025-07-18,4.28,4.33,4.27,4.3,141636436.0,sh601818,光大银行
2025-07-21,4.3,4.32,4.26,4.27,141331097.0,sh601818,光大银行
2025-07-22,4.27,4.28,4.19,4.24,189618324.0,sh601818,光大银行
2025-07-23,4.24,4.29,4.22,4.24,177077228.0,sh601818,光大银行
2025-07-24,4.18,4.19,4.12,4.13,198450100.0,sh601818,光大银行
2025-07-25,4.13,4.16,4.08,4.08,174138350.0,sh601818,光大银行
2025-07-28,4.08,4.14,4.07,4.09,152445915.0,sh601818,光大银行
2025-07-29,4.09,4.12,4.05,4.05,151636901.0,sh601818,光大银行
2025-07-30,4.05,4.12,4.04,4.08,154462030.0,sh601818,光大银行
2025-07-31,4.07,4.09,4.0,4.05,181955567.0,sh601818,光大银行
2025-08-01,4.06,4.08,4.0,4.05,157970702.0,sh601818,光大银行
2025-08-04,4.03,4.09,4.03,4.06,132314157.0,sh601818,光大银行
2025-08-05,4.06,4.14,4.05,4.12,191825059.0,sh601818,光大银行
2025-08-06,4.13,4.15,4.1,4.12,130261367.0,sh601818,光大银行
2025-08-07,4.12,4.15,4.08,4.13,144777559.0,sh601818,光大银行
2025-08-08,4.13,4.2,4.13,4.15,157139616.0,sh601818,光大银行
2025-08-11,4.14,4.16,4.06,4.06,211724460.0,sh601818,光大银行
2025-08-12,4.07,4.14,4.07,4.1,213969546.0,sh601818,光大银行
2025-08-13,4.11,4.12,4.04,4.04,220779683.0,sh601818,光大银行
2025-08-14,4.05,4.08,4.04,4.04,136192329.0,sh601818,光大银行
2025-08-15,4.05,4.05,3.91,3.93,327813759.0,sh601818,光大银行
2025-08-18,3.94,3.96,3.92,3.94,163516612.0,sh601818,光大银行
2025-08-19,3.94,3.96,3.92,3.93,138493151.0,sh601818,光大银行
2025-08-20,3.93,3.97,3.91,3.95,140278826.0,sh601818,光大银行
2025-08-21,3.95,3.99,3.93,3.98,148290726.0,sh601818,光大银行
