date,open,high,low,close,volume,code,name
2024-11-25,16.850,16.700,16.930,16.650,645260.000,sh601166,兴业银行
2024-11-26,16.690,16.900,16.990,16.610,624652.000,sh601166,兴业银行
2024-11-27,16.890,17.050,17.060,16.740,479128.000,sh601166,兴业银行
2024-11-28,17.050,16.970,17.100,16.840,476988.000,sh601166,兴业银行
2024-11-29,17.000,16.990,17.170,16.970,708222.000,sh601166,兴业银行
2024-12-02,16.990,17.130,17.170,16.940,581067.000,sh601166,兴业银行
2024-12-03,17.120,17.390,17.390,17.060,744987.000,sh601166,兴业银行
2024-12-04,17.380,17.360,17.460,17.140,672370.000,sh601166,兴业银行
2024-12-05,17.300,17.200,17.360,17.170,437532.000,sh601166,兴业银行
2024-12-06,17.230,17.430,17.570,17.220,702704.000,sh601166,兴业银行
2024-12-09,17.430,17.480,17.580,17.320,584094.000,sh601166,兴业银行
2024-12-10,17.820,17.620,17.910,17.610,938826.000,sh601166,兴业银行
2024-12-11,17.670,17.490,17.750,17.450,626747.000,sh601166,兴业银行
2024-12-12,17.500,17.690,17.780,17.460,692184.000,sh601166,兴业银行
2024-12-13,17.620,17.090,17.650,17.090,1131967.000,sh601166,兴业银行
2024-12-16,17.120,17.160,17.310,17.120,544176.000,sh601166,兴业银行
2024-12-17,17.140,17.300,17.370,17.110,570435.000,sh601166,兴业银行
2024-12-18,17.350,17.540,17.620,17.330,692378.000,sh601166,兴业银行
2024-12-19,17.450,17.480,17.620,17.410,548275.000,sh601166,兴业银行
2024-12-20,17.470,17.460,17.630,17.400,653240.000,sh601166,兴业银行
2024-12-23,17.460,17.760,17.860,17.460,971536.000,sh601166,兴业银行
2024-12-24,17.770,17.920,17.980,17.760,827211.000,sh601166,兴业银行
2024-12-25,17.950,18.130,18.210,17.920,745274.000,sh601166,兴业银行
2024-12-26,18.100,18.160,18.190,17.950,577986.000,sh601166,兴业银行
2024-12-27,18.170,18.290,18.290,17.940,708825.000,sh601166,兴业银行
2024-12-30,18.300,18.490,18.560,18.300,724250.000,sh601166,兴业银行
2024-12-31,18.430,18.100,18.540,18.100,813366.000,sh601166,兴业银行
2025-01-02,18.150,17.860,18.290,17.770,951277.000,sh601166,兴业银行
2025-01-03,17.870,17.860,18.090,17.740,736913.000,sh601166,兴业银行
2025-01-06,17.950,18.150,18.190,17.640,844271.000,sh601166,兴业银行
2025-01-07,18.090,18.370,18.490,18.080,694614.000,sh601166,兴业银行
2025-01-08,18.370,18.580,18.740,18.340,844443.000,sh601166,兴业银行
2025-01-09,18.620,18.550,18.680,18.270,641164.000,sh601166,兴业银行
2025-01-10,18.600,18.520,18.720,18.310,650177.000,sh601166,兴业银行
2025-01-13,18.380,18.230,18.500,18.060,638705.000,sh601166,兴业银行
2025-01-14,18.270,18.550,18.620,18.160,777593.000,sh601166,兴业银行
2025-01-15,18.570,18.740,19.020,18.500,783713.000,sh601166,兴业银行
2025-01-16,18.940,18.930,18.990,18.660,703283.000,sh601166,兴业银行
2025-01-17,18.920,18.840,19.030,18.740,512628.000,sh601166,兴业银行
2025-01-20,18.980,18.820,19.070,18.780,561583.000,sh601166,兴业银行
2025-01-21,18.890,18.900,19.100,18.710,573614.000,sh601166,兴业银行
2025-01-22,18.930,18.450,18.940,18.440,703030.000,sh601166,兴业银行
2025-01-23,18.600,19.080,19.130,18.590,994136.000,sh601166,兴业银行
2025-01-24,19.020,19.170,19.260,18.870,721448.000,sh601166,兴业银行
2025-01-27,19.260,19.250,19.440,19.160,669851.000,sh601166,兴业银行
2025-02-05,19.420,19.070,19.420,19.000,569414.000,sh601166,兴业银行
2025-02-06,19.030,19.180,19.290,18.960,529925.000,sh601166,兴业银行
2025-02-07,19.120,19.060,19.240,19.010,620197.000,sh601166,兴业银行
2025-02-10,19.060,19.290,19.570,18.960,771457.000,sh601166,兴业银行
2025-02-11,19.300,19.290,19.480,19.230,434902.000,sh601166,兴业银行
2025-02-12,19.340,19.740,19.810,19.230,726420.000,sh601166,兴业银行
2025-02-13,19.700,19.660,19.890,19.640,457215.000,sh601166,兴业银行
2025-02-14,19.690,20.100,20.120,19.600,811008.000,sh601166,兴业银行
2025-02-17,20.040,19.890,20.090,19.700,673914.000,sh601166,兴业银行
2025-02-18,19.790,19.990,20.160,19.760,590479.000,sh601166,兴业银行
2025-02-19,19.930,19.940,20.030,19.850,432591.000,sh601166,兴业银行
2025-02-20,19.950,19.780,19.970,19.750,404954.000,sh601166,兴业银行
2025-02-21,19.860,19.610,19.860,19.450,607646.000,sh601166,兴业银行
2025-02-24,19.510,19.430,19.650,19.370,506186.000,sh601166,兴业银行
2025-02-25,19.370,19.350,19.490,19.270,485183.000,sh601166,兴业银行
2025-02-26,19.430,19.380,19.740,19.360,512125.000,sh601166,兴业银行
2025-02-27,19.390,19.860,19.880,19.290,643982.000,sh601166,兴业银行
2025-02-28,19.800,19.690,20.030,19.690,639372.000,sh601166,兴业银行
2025-03-03,19.850,19.690,19.890,19.550,461078.000,sh601166,兴业银行
2025-03-04,19.640,19.760,19.920,19.640,399199.000,sh601166,兴业银行
2025-03-05,19.770,20.040,20.100,19.720,632939.000,sh601166,兴业银行
2025-03-06,20.050,20.070,20.130,19.840,560515.000,sh601166,兴业银行
2025-03-07,20.110,20.300,20.370,20.040,642880.000,sh601166,兴业银行
2025-03-10,20.240,19.940,20.280,19.890,605542.000,sh601166,兴业银行
2025-03-11,19.880,20.240,20.240,19.880,560076.000,sh601166,兴业银行
2025-03-12,20.220,20.160,20.410,20.090,403868.000,sh601166,兴业银行
2025-03-13,20.190,20.290,20.450,20.160,592419.000,sh601166,兴业银行
2025-03-14,20.340,20.700,20.820,20.290,990998.000,sh601166,兴业银行
2025-03-17,20.790,20.840,20.930,20.670,543790.000,sh601166,兴业银行
2025-03-18,20.820,20.770,20.880,20.710,324110.000,sh601166,兴业银行
2025-03-19,20.770,21.320,21.380,20.760,809341.000,sh601166,兴业银行
2025-03-20,21.350,21.240,21.420,21.050,618912.000,sh601166,兴业银行
2025-03-21,21.140,20.570,21.280,20.530,807332.000,sh601166,兴业银行
2025-03-24,20.570,20.770,20.840,20.570,429974.000,sh601166,兴业银行
2025-03-25,20.780,20.720,20.920,20.660,316396.000,sh601166,兴业银行
2025-03-26,20.650,20.420,20.760,20.350,604397.000,sh601166,兴业银行
2025-03-27,20.430,20.440,20.700,20.400,383656.000,sh601166,兴业银行
2025-03-28,20.490,20.470,20.590,20.360,386115.000,sh601166,兴业银行
2025-03-31,20.500,20.540,20.660,20.290,562278.000,sh601166,兴业银行
2025-04-01,20.520,20.200,20.540,20.090,613001.000,sh601166,兴业银行
2025-04-02,20.140,20.190,20.380,20.130,384626.000,sh601166,兴业银行
2025-04-03,19.980,20.120,20.270,19.930,396031.000,sh601166,兴业银行
2025-04-07,19.240,19.070,19.690,18.610,1741399.000,sh601166,兴业银行
2025-04-08,19.070,19.750,19.820,18.970,1563775.000,sh601166,兴业银行
2025-04-09,19.640,19.330,19.740,19.220,941606.000,sh601166,兴业银行
2025-04-10,19.460,19.700,19.880,19.300,683322.000,sh601166,兴业银行
2025-04-11,19.670,19.690,19.790,19.490,454120.000,sh601166,兴业银行
2025-04-14,19.740,19.740,19.940,19.690,461712.000,sh601166,兴业银行
2025-04-15,19.780,20.050,20.100,19.760,494184.000,sh601166,兴业银行
2025-04-16,19.970,20.070,20.210,19.810,645819.000,sh601166,兴业银行
2025-04-17,19.990,19.970,20.090,19.770,483191.000,sh601166,兴业银行
2025-04-18,19.970,20.330,20.420,19.960,516229.000,sh601166,兴业银行
2025-04-21,20.290,20.020,20.490,20.020,472601.000,sh601166,兴业银行
2025-04-22,20.020,19.970,20.140,19.940,351034.000,sh601166,兴业银行
2025-04-23,20.040,19.890,20.060,19.800,360548.000,sh601166,兴业银行
2025-04-24,19.840,20.090,20.120,19.840,376957.000,sh601166,兴业银行
2025-04-25,20.110,19.880,20.170,19.850,368368.000,sh601166,兴业银行
2025-04-28,19.950,20.030,20.120,19.880,380771.000,sh601166,兴业银行
2025-04-29,20.010,19.960,20.160,19.940,334685.000,sh601166,兴业银行
2025-04-30,19.870,19.810,19.880,19.530,574757.000,sh601166,兴业银行
2025-05-06,19.990,19.670,19.990,19.670,470069.000,sh601166,兴业银行
2025-05-07,19.840,19.980,20.020,19.750,527321.000,sh601166,兴业银行
2025-05-08,20.040,20.470,20.620,19.990,723859.000,sh601166,兴业银行
2025-05-09,20.460,21.040,21.080,20.460,821624.000,sh601166,兴业银行
2025-05-12,21.040,21.220,21.530,20.920,862343.000,sh601166,兴业银行
2025-05-13,21.270,21.490,21.510,21.050,758636.000,sh601166,兴业银行
2025-05-14,21.400,21.870,21.970,21.390,900991.000,sh601166,兴业银行
2025-05-15,21.930,21.830,22.080,21.740,595404.000,sh601166,兴业银行
2025-05-16,21.820,21.640,21.900,21.520,481783.000,sh601166,兴业银行
2025-05-19,21.790,21.660,21.890,21.610,454135.000,sh601166,兴业银行
2025-05-20,21.730,21.460,21.870,21.400,498767.000,sh601166,兴业银行
2025-05-21,21.590,21.650,21.810,21.450,449312.000,sh601166,兴业银行
2025-05-22,21.640,21.840,21.880,21.600,387714.000,sh601166,兴业银行
2025-05-23,21.820,21.750,21.920,21.670,409252.000,sh601166,兴业银行
2025-05-26,21.750,21.560,21.820,21.510,392893.000,sh601166,兴业银行
2025-05-27,21.730,21.700,21.870,21.620,405719.000,sh601166,兴业银行
2025-05-28,21.730,21.480,21.780,21.420,372491.000,sh601166,兴业银行
2025-05-29,21.540,21.590,21.790,21.410,480047.000,sh601166,兴业银行
2025-05-30,21.650,21.580,21.820,21.470,499690.000,sh601166,兴业银行
2025-06-03,21.990,22.650,22.890,21.840,1527291.000,sh601166,兴业银行
2025-06-04,22.690,22.560,22.810,22.500,503112.000,sh601166,兴业银行
2025-06-05,22.560,22.460,22.680,22.370,456161.000,sh601166,兴业银行
2025-06-06,22.560,22.500,22.790,22.440,459982.000,sh601166,兴业银行
2025-06-09,22.600,22.740,22.810,22.530,569928.000,sh601166,兴业银行
2025-06-10,22.840,22.750,23.270,22.660,784888.000,sh601166,兴业银行
2025-06-11,22.820,22.920,23.260,22.750,574617.000,sh601166,兴业银行
2025-06-12,22.940,22.800,23.050,22.740,711438.000,sh601166,兴业银行
2025-06-13,22.810,22.440,22.880,22.390,1817196.000,sh601166,兴业银行
2025-06-16,22.540,22.900,22.940,22.470,727632.000,sh601166,兴业银行
2025-06-17,22.940,22.750,23.090,22.730,495532.000,sh601166,兴业银行
2025-06-18,22.750,22.850,22.920,22.590,536775.000,sh601166,兴业银行
2025-06-19,22.870,22.740,22.930,22.680,524856.000,sh601166,兴业银行
2025-06-20,22.950,23.160,23.280,22.830,790045.000,sh601166,兴业银行
2025-06-23,23.160,23.750,23.770,23.030,781182.000,sh601166,兴业银行
2025-06-24,23.660,23.850,24.160,23.600,779732.000,sh601166,兴业银行
2025-06-25,23.850,24.060,24.130,23.560,604484.000,sh601166,兴业银行
2025-06-26,24.010,24.180,24.260,23.850,657604.000,sh601166,兴业银行
2025-06-27,24.180,23.560,24.220,23.430,890620.000,sh601166,兴业银行
2025-06-30,23.420,23.340,23.560,23.200,533900.000,sh601166,兴业银行
2025-07-01,23.530,23.550,23.720,23.350,486559.000,sh601166,兴业银行
2025-07-02,23.650,23.900,24.000,23.480,598592.000,sh601166,兴业银行
2025-07-03,23.900,24.070,24.130,23.670,494187.000,sh601166,兴业银行
2025-07-04,24.070,24.830,25.000,23.960,1009390.000,sh601166,兴业银行
2025-07-07,24.830,25.120,25.150,24.740,611801.000,sh601166,兴业银行
2025-07-08,25.060,25.140,25.190,24.860,526754.000,sh601166,兴业银行
2025-07-09,25.100,25.080,25.150,24.820,546565.000,sh601166,兴业银行
2025-07-10,25.010,24.940,25.450,24.940,842925.000,sh601166,兴业银行
2025-07-11,25.130,24.450,25.180,24.450,1277581.000,sh601166,兴业银行
2025-07-14,24.580,24.690,24.880,24.460,798195.000,sh601166,兴业银行
2025-07-15,24.700,24.430,24.770,24.250,585200.000,sh601166,兴业银行
2025-07-16,24.440,24.310,24.510,24.020,585385.000,sh601166,兴业银行
2025-07-17,24.300,24.290,24.500,24.210,489326.000,sh601166,兴业银行
2025-07-18,24.390,24.420,24.650,24.290,525200.000,sh601166,兴业银行
2025-07-21,24.420,24.010,24.470,24.000,724599.000,sh601166,兴业银行
2025-07-22,24.020,23.850,24.120,23.710,884209.000,sh601166,兴业银行
2025-07-23,23.850,23.790,24.100,23.710,779441.000,sh601166,兴业银行
2025-07-24,23.780,23.320,23.790,23.240,993263.000,sh601166,兴业银行
2025-07-25,23.180,23.170,23.350,23.000,828381.000,sh601166,兴业银行
2025-07-28,23.200,22.960,23.300,22.920,733992.000,sh601166,兴业银行
2025-07-29,22.970,22.710,23.070,22.670,756036.000,sh601166,兴业银行
2025-07-30,22.720,22.770,22.990,22.670,738517.000,sh601166,兴业银行
2025-07-31,22.800,22.640,22.880,22.490,715313.000,sh601166,兴业银行
2025-08-01,22.600,22.530,22.770,22.360,635035.000,sh601166,兴业银行
2025-08-04,22.530,22.780,23.070,22.500,712914.000,sh601166,兴业银行
2025-08-05,22.780,23.090,23.220,22.710,820304.000,sh601166,兴业银行
2025-08-06,23.090,22.980,23.280,22.920,553475.000,sh601166,兴业银行
2025-08-07,23.000,23.070,23.250,22.860,567574.000,sh601166,兴业银行
2025-08-08,23.180,23.060,23.220,23.000,410842.000,sh601166,兴业银行
2025-08-11,23.040,22.880,23.100,22.820,572557.000,sh601166,兴业银行
2025-08-12,22.890,22.990,23.250,22.890,598124.000,sh601166,兴业银行
2025-08-13,23.080,22.800,23.220,22.800,613422.000,sh601166,兴业银行
2025-08-14,22.810,22.730,22.960,22.610,629366.000,sh601166,兴业银行
2025-08-15,22.700,22.320,22.720,22.190,1009323.000,sh601166,兴业银行
2025-08-18,22.310,22.620,22.630,22.230,790749.000,sh601166,兴业银行
2025-08-19,22.620,22.550,22.690,22.420,464354.000,sh601166,兴业银行
2025-08-20,22.540,22.590,22.730,22.410,517479.000,sh601166,兴业银行
2025-08-21,22.590,22.610,22.670,22.450,453809.000,sh601166,兴业银行
2025-08-22,22.580,22.770,22.830,22.500,640809.000,sh601166,兴业银行
2025-08-25,22.780,22.950,22.970,22.710,617577.000,sh601166,兴业银行
2025-08-26,22.900,22.880,23.040,22.800,526531.000,sh601166,兴业银行
2025-08-27,22.850,22.500,22.960,22.440,688557.000,sh601166,兴业银行
2025-08-28,22.550,22.770,22.880,22.410,715184.000,sh601166,兴业银行
2025-08-29,22.700,22.410,22.850,22.360,1103675.000,sh601166,兴业银行
2025-09-01,22.500,21.810,22.500,21.800,1019475.000,sh601166,兴业银行
2025-09-02,21.800,21.990,22.000,21.650,974915.000,sh601166,兴业银行
2025-09-03,21.990,21.720,22.190,21.600,813434.000,sh601166,兴业银行
2025-09-04,21.700,21.920,22.040,21.390,1032059.000,sh601166,兴业银行
2025-09-05,21.860,21.750,21.900,21.660,512887.000,sh601166,兴业银行
2025-09-08,21.660,21.460,21.800,21.400,681393.000,sh601166,兴业银行
2025-09-09,21.470,21.520,21.570,21.410,451937.000,sh601166,兴业银行
2025-09-10,21.530,21.500,21.640,21.430,394780.000,sh601166,兴业银行
2025-09-11,21.510,21.840,21.880,21.420,693894.000,sh601166,兴业银行
2025-09-12,21.860,21.420,22.000,21.400,871443.000,sh601166,兴业银行
2025-09-15,21.400,21.070,21.430,20.990,817576.000,sh601166,兴业银行
2025-09-16,21.080,20.700,21.290,20.670,1098591.000,sh601166,兴业银行
2025-09-17,20.710,20.590,20.990,20.510,1216993.000,sh601166,兴业银行
2025-09-18,20.630,20.250,20.740,20.180,1326465.000,sh601166,兴业银行
2025-09-19,20.280,20.290,20.460,20.110,902440.000,sh601166,兴业银行
2025-09-22,20.350,20.130,20.440,20.100,522176.000,sh601166,兴业银行
2025-09-23,20.130,20.410,20.530,19.940,1186147.000,sh601166,兴业银行
2025-09-24,20.390,20.240,20.630,20.170,851939.000,sh601166,兴业银行
2025-09-25,20.230,20.210,20.360,20.020,735592.000,sh601166,兴业银行
2025-09-26,20.250,20.320,20.420,20.010,751354.000,sh601166,兴业银行
2025-09-29,20.260,20.050,20.500,20.050,1288720.000,sh601166,兴业银行
2025-09-30,20.090,19.850,20.130,19.790,1422285.000,sh601166,兴业银行
2025-10-09,19.890,19.670,19.920,19.650,1422041.000,sh601166,兴业银行
2025-10-10,19.660,19.690,19.940,19.640,1224887.000,sh601166,兴业银行
2025-10-13,19.560,19.700,19.860,19.350,1186448.000,sh601166,兴业银行
2025-10-14,19.650,20.230,20.230,19.610,1674256.000,sh601166,兴业银行
2025-10-15,20.200,20.310,20.410,20.100,1218771.000,sh601166,兴业银行
2025-10-16,20.300,20.450,20.530,20.120,1040839.000,sh601166,兴业银行
2025-10-17,20.430,20.190,20.620,20.150,1026705.000,sh601166,兴业银行
2025-10-20,20.220,20.260,20.350,19.960,733317.000,sh601166,兴业银行
2025-10-21,20.260,20.160,20.360,20.130,713193.000,sh601166,兴业银行
2025-10-22,20.160,20.400,20.590,20.130,1052978.000,sh601166,兴业银行
2025-10-23,20.430,20.760,20.880,20.430,1288925.000,sh601166,兴业银行
2025-10-24,20.720,20.600,20.860,20.580,871084.000,sh601166,兴业银行
2025-10-27,20.560,20.430,20.640,20.360,868098.000,sh601166,兴业银行
2025-10-28,20.500,20.420,20.540,20.250,678051.000,sh601166,兴业银行
2025-10-29,20.350,20.010,20.350,19.980,931097.000,sh601166,兴业银行
2025-10-30,20.010,20.030,20.180,19.920,853522.000,sh601166,兴业银行
2025-10-31,20.100,20.230,20.280,20.090,887862.000,sh601166,兴业银行
2025-11-03,20.290,20.560,20.650,20.260,990849.000,sh601166,兴业银行
2025-11-04,20.610,21.140,21.360,20.570,1684893.000,sh601166,兴业银行
2025-11-05,21.260,21.220,21.450,21.110,1094260.000,sh601166,兴业银行
2025-11-06,21.150,21.160,21.370,21.020,873787.000,sh601166,兴业银行
2025-11-07,21.280,21.170,21.470,21.120,758866.000,sh601166,兴业银行
2025-11-10,21.170,21.180,21.320,21.050,620422.000,sh601166,兴业银行
