,open,high,low,close,volume,code,name
2024-11-26,6.9,7.03,6.86,6.87,69274772.0,sz002027,分众传媒
2024-11-27,6.83,6.99,6.77,6.97,85652092.0,sz002027,分众传媒
2024-11-28,7.0,7.0,6.8,6.82,88644676.0,sz002027,分众传媒
2024-11-29,6.83,7.0,6.8,6.9,95830935.0,sz002027,分众传媒
2024-12-02,6.92,7.03,6.86,6.98,99892126.0,sz002027,分众传媒
2024-12-03,6.98,7.12,6.89,7.02,116967183.0,sz002027,分众传媒
2024-12-04,6.98,7.06,6.93,7.0,75732274.0,sz002027,分众传媒
2024-12-05,6.98,7.14,6.97,7.09,103165911.0,sz002027,分众传媒
2024-12-06,7.09,7.11,6.98,7.03,110533680.0,sz002027,分众传媒
2024-12-09,7.04,7.05,6.8,6.88,196608075.0,sz002027,分众传媒
2024-12-10,7.05,7.3,7.02,7.05,213939000.0,sz002027,分众传媒
2024-12-11,7.03,7.11,6.93,6.99,121830756.0,sz002027,分众传媒
2024-12-12,7.01,7.04,6.9,7.04,153300163.0,sz002027,分众传媒
2024-12-13,6.98,7.09,6.93,6.95,165867368.0,sz002027,分众传媒
2024-12-16,6.96,7.08,6.88,6.9,142580241.0,sz002027,分众传媒
2024-12-17,6.9,7.0,6.87,6.9,103904922.0,sz002027,分众传媒
2024-12-18,6.91,7.07,6.89,6.95,105243039.0,sz002027,分众传媒
2024-12-19,6.92,6.93,6.82,6.92,85547782.0,sz002027,分众传媒
2024-12-20,6.92,7.01,6.88,6.92,75624835.0,sz002027,分众传媒
2024-12-23,6.92,6.97,6.88,6.88,93667758.0,sz002027,分众传媒
2024-12-24,6.86,7.13,6.84,7.13,179703430.0,sz002027,分众传媒
2024-12-25,7.12,7.18,7.0,7.03,75465823.0,sz002027,分众传媒
2024-12-26,7.01,7.12,7.0,7.06,65721520.0,sz002027,分众传媒
2024-12-27,7.06,7.09,6.85,6.87,135566631.0,sz002027,分众传媒
2024-12-30,6.88,6.96,6.82,6.93,101846006.0,sz002027,分众传媒
2024-12-31,6.93,7.08,6.9,7.03,150008322.0,sz002027,分众传媒
2025-01-02,7.03,7.06,6.85,6.88,143269872.0,sz002027,分众传媒
2025-01-03,6.89,7.05,6.74,6.76,141880677.0,sz002027,分众传媒
2025-01-06,6.75,6.82,6.64,6.69,101240341.0,sz002027,分众传媒
2025-01-07,6.66,6.7,6.55,6.69,105188938.0,sz002027,分众传媒
2025-01-08,6.66,6.75,6.58,6.73,103259439.0,sz002027,分众传媒
2025-01-09,6.74,6.74,6.5,6.55,104551407.0,sz002027,分众传媒
2025-01-10,6.55,6.56,6.43,6.44,76484970.0,sz002027,分众传媒
2025-01-13,6.38,6.46,6.34,6.45,59615617.0,sz002027,分众传媒
2025-01-14,6.45,6.57,6.39,6.54,95442577.0,sz002027,分众传媒
2025-01-15,6.55,6.56,6.45,6.48,69971896.0,sz002027,分众传媒
2025-01-16,6.52,6.57,6.42,6.54,123869836.0,sz002027,分众传媒
2025-01-17,6.52,6.63,6.5,6.57,115360545.0,sz002027,分众传媒
2025-01-20,6.6,6.64,6.36,6.39,161492606.0,sz002027,分众传媒
2025-01-21,6.42,6.51,6.36,6.47,105793328.0,sz002027,分众传媒
2025-01-22,6.43,6.47,6.35,6.37,85897678.0,sz002027,分众传媒
2025-01-23,6.44,6.54,6.41,6.42,134657554.0,sz002027,分众传媒
2025-01-24,6.4,6.57,6.34,6.47,111574563.0,sz002027,分众传媒
2025-01-27,6.5,6.68,6.49,6.62,134159342.0,sz002027,分众传媒
2025-02-05,6.65,6.72,6.54,6.66,91865026.0,sz002027,分众传媒
2025-02-06,6.63,6.68,6.5,6.55,129052340.0,sz002027,分众传媒
2025-02-07,6.54,6.65,6.46,6.57,119915855.0,sz002027,分众传媒
2025-02-10,6.55,6.73,6.54,6.64,133681851.0,sz002027,分众传媒
2025-02-11,6.65,6.71,6.56,6.68,123003406.0,sz002027,分众传媒
2025-02-12,6.66,6.69,6.55,6.61,113038189.0,sz002027,分众传媒
2025-02-13,6.62,6.71,6.52,6.65,151499541.0,sz002027,分众传媒
2025-02-14,6.64,6.82,6.55,6.76,198130816.0,sz002027,分众传媒
2025-02-17,6.79,6.84,6.58,6.61,199783659.0,sz002027,分众传媒
2025-02-18,6.62,6.64,6.33,6.35,244725007.0,sz002027,分众传媒
2025-02-19,6.36,6.39,6.29,6.35,140061196.0,sz002027,分众传媒
2025-02-20,6.36,6.36,6.24,6.3,127417919.0,sz002027,分众传媒
2025-02-21,6.33,6.42,6.21,6.35,272822505.0,sz002027,分众传媒
2025-02-24,6.35,6.65,6.3,6.53,303068224.0,sz002027,分众传媒
2025-02-25,6.49,6.55,6.43,6.46,114089054.0,sz002027,分众传媒
2025-02-26,6.45,6.56,6.43,6.47,117557635.0,sz002027,分众传媒
2025-02-27,6.48,6.52,6.39,6.43,111600797.0,sz002027,分众传媒
2025-02-28,6.4,6.51,6.34,6.35,185558543.0,sz002027,分众传媒
2025-03-03,6.36,6.58,6.33,6.47,178740211.0,sz002027,分众传媒
2025-03-04,6.45,6.54,6.43,6.54,91166484.0,sz002027,分众传媒
2025-03-05,6.53,6.69,6.49,6.62,179359636.0,sz002027,分众传媒
2025-03-06,6.66,6.75,6.59,6.73,131900752.0,sz002027,分众传媒
2025-03-07,6.73,6.75,6.54,6.56,109780971.0,sz002027,分众传媒
