,open,high,low,close,volume,code,name
2024-11-26,1.98,2.02,1.95,1.96,515865807.0,sh600010,包钢股份
2024-11-27,1.95,1.96,1.86,1.93,614817942.0,sh600010,包钢股份
2024-11-28,1.92,1.95,1.91,1.93,441232574.0,sh600010,包钢股份
2024-11-29,1.92,1.94,1.88,1.92,445802959.0,sh600010,包钢股份
2024-12-02,1.91,1.99,1.91,1.98,713194509.0,sh600010,包钢股份
2024-12-03,1.97,2.0,1.95,1.97,514334649.0,sh600010,包钢股份
2024-12-04,2.0,2.03,1.96,1.97,658339619.0,sh600010,包钢股份
2024-12-05,1.96,1.98,1.94,1.97,428684690.0,sh600010,包钢股份
2024-12-06,1.97,2.07,1.96,2.05,1051813562.0,sh600010,包钢股份
2024-12-09,2.08,2.15,2.01,2.03,961768382.0,sh600010,包钢股份
2024-12-10,2.11,2.21,2.04,2.1,1370973916.0,sh600010,包钢股份
2024-12-11,2.07,2.15,2.05,2.11,968302325.0,sh600010,包钢股份
2024-12-12,2.11,2.12,2.03,2.06,815348890.0,sh600010,包钢股份
2024-12-13,2.05,2.08,2.0,2.01,636211113.0,sh600010,包钢股份
2024-12-16,2.01,2.01,1.98,1.98,372089762.0,sh600010,包钢股份
2024-12-17,1.98,1.99,1.94,1.95,393696933.0,sh600010,包钢股份
2024-12-18,1.95,2.0,1.95,1.98,372269920.0,sh600010,包钢股份
2024-12-19,1.96,1.97,1.93,1.96,379249328.0,sh600010,包钢股份
2024-12-20,1.96,1.97,1.94,1.95,283254803.0,sh600010,包钢股份
2024-12-23,1.95,1.95,1.9,1.9,371174688.0,sh600010,包钢股份
2024-12-24,1.9,1.92,1.9,1.92,251710564.0,sh600010,包钢股份
2024-12-25,1.92,1.93,1.88,1.89,280669076.0,sh600010,包钢股份
2024-12-26,1.89,1.91,1.89,1.89,192186415.0,sh600010,包钢股份
2024-12-27,1.89,1.95,1.89,1.92,409256535.0,sh600010,包钢股份
2024-12-30,1.92,1.92,1.89,1.9,288825655.0,sh600010,包钢股份
2024-12-31,1.9,1.91,1.86,1.86,317389360.0,sh600010,包钢股份
2025-01-02,1.86,1.88,1.8,1.81,423627237.0,sh600010,包钢股份
2025-01-03,1.82,1.84,1.76,1.78,450381737.0,sh600010,包钢股份
2025-01-06,1.78,1.84,1.76,1.8,393642106.0,sh600010,包钢股份
2025-01-07,1.8,1.85,1.79,1.83,371400174.0,sh600010,包钢股份
2025-01-08,1.82,1.83,1.75,1.8,392583660.0,sh600010,包钢股份
2025-01-09,1.79,1.82,1.78,1.79,235435790.0,sh600010,包钢股份
2025-01-10,1.8,1.82,1.77,1.77,302112937.0,sh600010,包钢股份
2025-01-13,1.76,1.8,1.75,1.79,272715188.0,sh600010,包钢股份
2025-01-14,1.79,1.85,1.78,1.84,412265728.0,sh600010,包钢股份
2025-01-15,1.83,1.85,1.8,1.82,337387655.0,sh600010,包钢股份
2025-01-16,1.83,1.86,1.8,1.82,384235766.0,sh600010,包钢股份
2025-01-17,1.82,1.83,1.79,1.82,273587180.0,sh600010,包钢股份
2025-01-20,1.83,1.84,1.8,1.8,252823183.0,sh600010,包钢股份
2025-01-21,1.81,1.82,1.78,1.78,201356720.0,sh600010,包钢股份
2025-01-22,1.79,1.79,1.76,1.77,202339462.0,sh600010,包钢股份
2025-01-23,1.79,1.82,1.77,1.77,318863735.0,sh600010,包钢股份
2025-01-24,1.77,1.81,1.76,1.8,377506457.0,sh600010,包钢股份
2025-01-27,1.8,1.86,1.77,1.78,450405590.0,sh600010,包钢股份
2025-02-05,1.8,1.84,1.78,1.81,369135393.0,sh600010,包钢股份
2025-02-06,1.81,1.89,1.8,1.87,729228696.0,sh600010,包钢股份
2025-02-07,1.86,1.9,1.85,1.89,523263136.0,sh600010,包钢股份
2025-02-10,1.89,1.92,1.87,1.89,411751643.0,sh600010,包钢股份
2025-02-11,1.89,1.89,1.85,1.86,370609230.0,sh600010,包钢股份
2025-02-12,1.86,1.87,1.83,1.85,308103388.0,sh600010,包钢股份
2025-02-13,1.86,1.87,1.84,1.84,322705903.0,sh600010,包钢股份
2025-02-14,1.84,1.85,1.81,1.82,335024797.0,sh600010,包钢股份
2025-02-17,1.81,1.84,1.81,1.82,339686049.0,sh600010,包钢股份
2025-02-18,1.82,1.83,1.78,1.78,342923385.0,sh600010,包钢股份
2025-02-19,1.78,1.8,1.77,1.8,260769487.0,sh600010,包钢股份
2025-02-20,1.81,1.92,1.81,1.86,848721873.0,sh600010,包钢股份
2025-02-21,1.85,1.9,1.83,1.84,469399215.0,sh600010,包钢股份
2025-02-24,1.84,1.88,1.84,1.85,338521662.0,sh600010,包钢股份
2025-02-25,1.84,1.87,1.82,1.85,400637353.0,sh600010,包钢股份
2025-02-26,1.86,1.92,1.85,1.91,804522730.0,sh600010,包钢股份
2025-02-27,1.91,1.92,1.84,1.86,535395400.0,sh600010,包钢股份
2025-02-28,1.85,1.87,1.81,1.81,391823476.0,sh600010,包钢股份
2025-03-03,1.84,1.88,1.83,1.84,482051331.0,sh600010,包钢股份
2025-03-04,1.85,1.9,1.84,1.87,582440041.0,sh600010,包钢股份
2025-03-05,1.86,1.87,1.82,1.84,440369645.0,sh600010,包钢股份
2025-03-06,1.84,1.86,1.83,1.84,321484835.0,sh600010,包钢股份
2025-03-07,1.84,1.88,1.83,1.86,470075754.0,sh600010,包钢股份
2025-03-10,1.86,1.87,1.83,1.86,369493506.0,sh600010,包钢股份
2025-03-11,1.84,1.91,1.83,1.91,777236240.0,sh600010,包钢股份
2025-03-12,1.91,1.97,1.89,1.9,661264115.0,sh600010,包钢股份
2025-03-13,1.9,1.97,1.88,1.91,680104891.0,sh600010,包钢股份
2025-03-14,1.93,1.94,1.87,1.9,527804209.0,sh600010,包钢股份
2025-03-17,1.9,1.93,1.88,1.89,477156468.0,sh600010,包钢股份
2025-03-18,1.89,1.91,1.88,1.89,375506623.0,sh600010,包钢股份
2025-03-19,1.88,1.89,1.86,1.87,321396838.0,sh600010,包钢股份
2025-03-20,1.86,1.89,1.86,1.87,292567176.0,sh600010,包钢股份
2025-03-21,1.86,1.89,1.85,1.86,376018238.0,sh600010,包钢股份
2025-03-24,1.86,1.87,1.83,1.85,380100293.0,sh600010,包钢股份
2025-03-25,1.85,1.88,1.84,1.86,318061981.0,sh600010,包钢股份
2025-03-26,1.87,1.89,1.85,1.87,339744954.0,sh600010,包钢股份
2025-03-27,1.87,1.87,1.84,1.85,313485642.0,sh600010,包钢股份
2025-03-28,1.85,1.86,1.81,1.83,428856564.0,sh600010,包钢股份
2025-03-31,1.82,1.83,1.78,1.79,351782123.0,sh600010,包钢股份
2025-04-01,1.79,1.81,1.79,1.8,205008940.0,sh600010,包钢股份
2025-04-02,1.8,1.81,1.79,1.79,160283265.0,sh600010,包钢股份
2025-04-03,1.79,1.81,1.78,1.8,193430729.0,sh600010,包钢股份
2025-04-07,1.78,1.79,1.62,1.65,792821766.0,sh600010,包钢股份
2025-04-08,1.64,1.72,1.63,1.71,572028579.0,sh600010,包钢股份
2025-04-09,1.68,1.75,1.63,1.75,596600036.0,sh600010,包钢股份
2025-04-10,1.75,1.78,1.73,1.76,428576111.0,sh600010,包钢股份
2025-04-11,1.76,1.81,1.75,1.78,479134137.0,sh600010,包钢股份
2025-04-14,1.78,1.8,1.76,1.77,304315986.0,sh600010,包钢股份
2025-04-15,1.77,1.78,1.73,1.75,269218007.0,sh600010,包钢股份
2025-04-16,1.75,1.76,1.73,1.76,245104445.0,sh600010,包钢股份
2025-04-17,1.75,1.77,1.74,1.77,200719612.0,sh600010,包钢股份
2025-04-18,1.76,1.77,1.74,1.76,145647129.0,sh600010,包钢股份
2025-04-21,1.77,1.82,1.76,1.79,383509822.0,sh600010,包钢股份
2025-04-22,1.8,1.81,1.78,1.78,184194712.0,sh600010,包钢股份
2025-04-23,1.79,1.8,1.76,1.77,233052651.0,sh600010,包钢股份
2025-04-24,1.77,1.78,1.75,1.76,181259714.0,sh600010,包钢股份
2025-04-25,1.77,1.8,1.76,1.79,259201008.0,sh600010,包钢股份
2025-04-28,1.78,1.8,1.77,1.78,220058863.0,sh600010,包钢股份
2025-04-29,1.77,1.78,1.75,1.76,252918270.0,sh600010,包钢股份
2025-04-30,1.76,1.77,1.73,1.73,208550750.0,sh600010,包钢股份
2025-05-06,1.75,1.85,1.74,1.83,748862448.0,sh600010,包钢股份
2025-05-07,1.84,1.85,1.8,1.83,389945743.0,sh600010,包钢股份
2025-05-08,1.82,1.83,1.81,1.82,224837408.0,sh600010,包钢股份
2025-05-09,1.82,1.82,1.79,1.8,259449329.0,sh600010,包钢股份
2025-05-12,1.8,1.82,1.78,1.81,311755695.0,sh600010,包钢股份
2025-05-13,1.82,1.83,1.79,1.8,235804923.0,sh600010,包钢股份
2025-05-14,1.79,1.83,1.78,1.81,373597354.0,sh600010,包钢股份
2025-05-15,1.81,1.84,1.8,1.81,415575752.0,sh600010,包钢股份
2025-05-16,1.8,1.81,1.78,1.8,303169778.0,sh600010,包钢股份
2025-05-19,1.79,1.8,1.78,1.79,180834487.0,sh600010,包钢股份
2025-05-20,1.79,1.8,1.78,1.79,182552440.0,sh600010,包钢股份
2025-05-21,1.79,1.8,1.78,1.78,164005860.0,sh600010,包钢股份
2025-05-22,1.78,1.79,1.75,1.76,274314346.0,sh600010,包钢股份
2025-05-23,1.76,1.77,1.74,1.75,178634809.0,sh600010,包钢股份
2025-05-26,1.75,1.76,1.74,1.75,156269806.0,sh600010,包钢股份
2025-05-27,1.76,1.76,1.74,1.75,113679811.0,sh600010,包钢股份
2025-05-28,1.75,1.76,1.73,1.74,151205507.0,sh600010,包钢股份
