,open,high,low,close,volume,code,name
2024-11-26,6.92,6.96,6.85,6.88,26016586.0,sh600011,华能国际
2024-11-27,6.88,6.96,6.8,6.96,31421270.0,sh600011,华能国际
2024-11-28,6.94,6.97,6.88,6.9,27969799.0,sh600011,华能国际
2024-11-29,6.91,6.98,6.88,6.97,39953825.0,sh600011,华能国际
2024-12-02,6.94,7.07,6.93,7.06,38796765.0,sh600011,华能国际
2024-12-03,7.04,7.12,7.0,7.1,32540996.0,sh600011,华能国际
2024-12-04,7.1,7.11,7.05,7.09,28168425.0,sh600011,华能国际
2024-12-05,7.08,7.1,7.04,7.06,22734195.0,sh600011,华能国际
2024-12-06,7.06,7.15,7.05,7.13,35937720.0,sh600011,华能国际
2024-12-09,7.28,7.28,7.11,7.19,60066601.0,sh600011,华能国际
2024-12-10,7.25,7.29,7.1,7.11,60433036.0,sh600011,华能国际
2024-12-11,7.12,7.17,7.09,7.13,34427948.0,sh600011,华能国际
2024-12-12,7.14,7.15,7.08,7.15,47163511.0,sh600011,华能国际
2024-12-13,7.12,7.13,6.99,7.0,51884670.0,sh600011,华能国际
2024-12-16,6.99,7.15,6.99,7.14,58649320.0,sh600011,华能国际
2024-12-17,7.15,7.19,7.04,7.05,41346093.0,sh600011,华能国际
2024-12-18,7.09,7.25,7.05,7.15,68212563.0,sh600011,华能国际
2024-12-19,7.12,7.15,6.97,7.03,61027900.0,sh600011,华能国际
2024-12-20,7.03,7.06,6.87,6.89,63377292.0,sh600011,华能国际
2024-12-23,6.89,7.01,6.86,6.97,55480385.0,sh600011,华能国际
2024-12-24,6.95,7.02,6.9,7.01,46166686.0,sh600011,华能国际
2024-12-25,7.02,7.05,6.9,6.96,48851769.0,sh600011,华能国际
2024-12-26,6.95,6.97,6.75,6.79,88144163.0,sh600011,华能国际
2024-12-27,6.78,6.88,6.75,6.87,51519245.0,sh600011,华能国际
2024-12-30,6.85,6.89,6.82,6.84,38543118.0,sh600011,华能国际
2024-12-31,6.85,6.87,6.77,6.77,40338631.0,sh600011,华能国际
2025-01-02,6.77,6.79,6.52,6.56,59291369.0,sh600011,华能国际
2025-01-03,6.57,6.66,6.55,6.58,41500394.0,sh600011,华能国际
2025-01-06,6.58,6.6,6.5,6.56,33778800.0,sh600011,华能国际
2025-01-07,6.55,6.56,6.46,6.53,33648803.0,sh600011,华能国际
2025-01-08,6.52,6.58,6.47,6.53,36139163.0,sh600011,华能国际
2025-01-09,6.5,6.5,6.4,6.41,36496288.0,sh600011,华能国际
2025-01-10,6.4,6.41,6.23,6.23,45689836.0,sh600011,华能国际
