date,open,high,low,close,volume,code,name
2024-11-25,9.755,9.905,10.055,9.695,837464.000,sh601009,南京银行
2024-11-26,9.865,10.105,10.115,9.865,783814.000,sh601009,南京银行
2024-11-27,10.035,10.225,10.235,9.985,977265.000,sh601009,南京银行
2024-11-28,10.155,10.105,10.245,10.085,693875.000,sh601009,南京银行
2024-11-29,10.085,10.065,10.175,10.015,563201.000,sh601009,南京银行
2024-12-02,10.105,9.945,10.105,9.895,620010.000,sh601009,南京银行
2024-12-03,9.935,10.125,10.125,9.935,561984.000,sh601009,南京银行
2024-12-04,10.105,10.105,10.165,10.035,379079.000,sh601009,南京银行
2024-12-05,10.105,10.065,10.135,10.045,301275.000,sh601009,南京银行
2024-12-06,10.095,10.075,10.155,10.035,413936.000,sh601009,南京银行
2024-12-09,10.065,10.065,10.125,9.995,330440.000,sh601009,南京银行
2024-12-10,10.135,10.065,10.175,9.985,479847.000,sh601009,南京银行
2024-12-11,10.055,10.015,10.095,9.945,525272.000,sh601009,南京银行
2024-12-12,10.005,10.115,10.155,9.995,425269.000,sh601009,南京银行
2024-12-13,10.105,9.995,10.125,9.985,444348.000,sh601009,南京银行
2024-12-16,10.015,10.005,10.095,9.985,369978.000,sh601009,南京银行
2024-12-17,10.005,9.995,10.045,9.945,324668.000,sh601009,南京银行
2024-12-18,10.015,10.025,10.155,9.995,497147.000,sh601009,南京银行
2024-12-19,10.025,10.005,10.095,9.985,321874.000,sh601009,南京银行
2024-12-20,9.995,9.965,10.045,9.955,242167.000,sh601009,南京银行
2024-12-23,9.965,10.075,10.135,9.955,453700.000,sh601009,南京银行
2024-12-24,10.075,10.185,10.195,10.055,436472.000,sh601009,南京银行
2024-12-25,10.165,10.305,10.335,10.155,723943.000,sh601009,南京银行
2024-12-26,10.295,10.175,10.295,10.115,347463.000,sh601009,南京银行
2024-12-27,10.175,10.115,10.225,10.005,447684.000,sh601009,南京银行
2024-12-30,10.115,10.285,10.295,10.105,671349.000,sh601009,南京银行
2024-12-31,10.255,10.145,10.355,10.125,556751.000,sh601009,南京银行
2025-01-02,10.175,9.955,10.245,9.915,598131.000,sh601009,南京银行
2025-01-03,9.955,9.875,10.055,9.855,421321.000,sh601009,南京银行
2025-01-06,9.875,10.025,10.075,9.785,486036.000,sh601009,南京银行
2025-01-07,10.015,10.025,10.055,9.965,253867.000,sh601009,南京银行
2025-01-08,10.025,10.055,10.125,9.975,329999.000,sh601009,南京银行
2025-01-09,10.055,9.995,10.095,9.965,293126.000,sh601009,南京银行
2025-01-10,9.995,10.065,10.125,9.865,374251.000,sh601009,南京银行
2025-01-13,10.025,9.905,10.055,9.865,406785.000,sh601009,南京银行
2025-01-14,9.885,9.975,10.055,9.865,431946.000,sh601009,南京银行
2025-01-15,9.965,10.095,10.195,9.955,446599.000,sh601009,南京银行
2025-01-16,10.115,10.095,10.155,10.025,311274.000,sh601009,南京银行
2025-01-17,10.095,10.065,10.125,9.985,330648.000,sh601009,南京银行
2025-01-20,10.055,10.045,10.175,10.025,296985.000,sh601009,南京银行
2025-01-21,10.095,9.975,10.105,9.945,352524.000,sh601009,南京银行
2025-01-22,9.975,9.805,9.975,9.795,416926.000,sh601009,南京银行
2025-01-23,9.855,10.075,10.095,9.835,437845.000,sh601009,南京银行
2025-01-24,10.045,10.045,10.125,9.885,289074.000,sh601009,南京银行
2025-01-27,10.075,10.185,10.245,10.065,385183.000,sh601009,南京银行
2025-02-05,10.215,10.085,10.235,10.005,393349.000,sh601009,南京银行
2025-02-06,10.085,10.065,10.145,10.005,296195.000,sh601009,南京银行
2025-02-07,10.065,10.045,10.135,9.995,312178.000,sh601009,南京银行
2025-02-10,10.055,9.995,10.075,9.995,285798.000,sh601009,南京银行
2025-02-11,10.005,10.095,10.135,10.005,357171.000,sh601009,南京银行
2025-02-12,10.105,10.085,10.115,10.035,180583.000,sh601009,南京银行
2025-02-13,10.055,10.045,10.095,10.045,192430.000,sh601009,南京银行
2025-02-14,10.045,9.985,10.065,9.955,331791.000,sh601009,南京银行
2025-02-17,9.995,9.945,10.015,9.895,252183.000,sh601009,南京银行
2025-02-18,9.945,9.905,10.015,9.895,452257.000,sh601009,南京银行
2025-02-19,9.895,9.895,9.925,9.855,328283.000,sh601009,南京银行
2025-02-20,9.905,9.865,9.915,9.855,236061.000,sh601009,南京银行
2025-02-21,9.875,9.715,9.885,9.685,472462.000,sh601009,南京银行
2025-02-24,9.715,9.575,9.725,9.545,433314.000,sh601009,南京银行
2025-02-25,9.595,9.495,9.595,9.475,349382.000,sh601009,南京银行
2025-02-26,9.475,9.555,9.625,9.445,288012.000,sh601009,南京银行
2025-02-27,9.555,9.655,9.655,9.495,276746.000,sh601009,南京银行
2025-02-28,9.645,9.595,9.735,9.595,293039.000,sh601009,南京银行
2025-03-03,9.595,9.595,9.645,9.505,282765.000,sh601009,南京银行
2025-03-04,9.575,9.585,9.655,9.565,214531.000,sh601009,南京银行
2025-03-05,9.605,9.685,9.735,9.575,354285.000,sh601009,南京银行
2025-03-06,9.705,9.675,9.705,9.585,306156.000,sh601009,南京银行
2025-03-07,9.675,9.605,9.715,9.605,187707.000,sh601009,南京银行
2025-03-10,9.605,9.555,9.635,9.515,274780.000,sh601009,南京银行
2025-03-11,9.535,9.595,9.595,9.505,223408.000,sh601009,南京银行
2025-03-12,9.575,9.535,9.595,9.515,279851.000,sh601009,南京银行
2025-03-13,9.525,9.605,9.625,9.515,264128.000,sh601009,南京银行
2025-03-14,9.595,9.685,9.695,9.595,343431.000,sh601009,南京银行
2025-03-17,9.685,9.665,9.725,9.665,266817.000,sh601009,南京银行
2025-03-18,9.665,9.625,9.725,9.605,380387.000,sh601009,南京银行
2025-03-19,9.635,9.745,9.755,9.605,501713.000,sh601009,南京银行
2025-03-20,9.735,9.765,9.815,9.725,245396.000,sh601009,南京银行
2025-03-21,9.775,9.725,9.875,9.675,375935.000,sh601009,南京银行
2025-03-24,9.725,9.815,9.845,9.725,292889.000,sh601009,南京银行
2025-03-25,9.805,9.855,9.875,9.795,196916.000,sh601009,南京银行
2025-03-26,9.845,9.775,9.865,9.745,219751.000,sh601009,南京银行
2025-03-27,9.765,9.855,9.875,9.765,224966.000,sh601009,南京银行
2025-03-28,9.855,9.875,9.895,9.805,226082.000,sh601009,南京银行
2025-03-31,9.895,9.825,9.945,9.795,314852.000,sh601009,南京银行
2025-04-01,9.825,9.835,9.915,9.725,283230.000,sh601009,南京银行
2025-04-02,9.845,9.935,9.975,9.805,344851.000,sh601009,南京银行
2025-04-03,9.875,9.995,10.015,9.875,300767.000,sh601009,南京银行
2025-04-07,9.805,9.655,9.875,9.405,758271.000,sh601009,南京银行
2025-04-08,9.655,9.795,9.795,9.615,555055.000,sh601009,南京银行
2025-04-09,9.755,9.745,9.795,9.575,461757.000,sh601009,南京银行
2025-04-10,9.785,9.795,9.825,9.675,433908.000,sh601009,南京银行
2025-04-11,9.765,9.705,9.765,9.645,212084.000,sh601009,南京银行
2025-04-14,9.745,9.785,9.805,9.685,256737.000,sh601009,南京银行
2025-04-15,9.765,9.955,9.955,9.765,348742.000,sh601009,南京银行
2025-04-16,9.955,10.035,10.035,9.905,434574.000,sh601009,南京银行
2025-04-17,9.985,10.025,10.025,9.895,351213.000,sh601009,南京银行
2025-04-18,10.005,10.035,10.045,9.965,269353.000,sh601009,南京银行
2025-04-21,9.985,9.935,10.055,9.925,316329.000,sh601009,南京银行
2025-04-22,9.935,9.935,9.985,9.895,288009.000,sh601009,南京银行
2025-04-23,9.965,9.845,9.975,9.835,328339.000,sh601009,南京银行
2025-04-24,9.845,9.955,9.975,9.845,373562.000,sh601009,南京银行
2025-04-25,9.965,9.915,9.995,9.855,282766.000,sh601009,南京银行
2025-04-28,9.925,10.005,10.035,9.915,415648.000,sh601009,南京银行
2025-04-29,10.025,10.025,10.075,9.995,382788.000,sh601009,南京银行
2025-04-30,10.005,9.915,10.035,9.865,390336.000,sh601009,南京银行
2025-05-06,9.935,9.905,9.945,9.835,341015.000,sh601009,南京银行
2025-05-07,9.955,9.975,9.985,9.925,358821.000,sh601009,南京银行
2025-05-08,9.965,10.085,10.095,9.945,366498.000,sh601009,南京银行
2025-05-09,10.075,10.165,10.185,10.075,696701.000,sh601009,南京银行
2025-05-12,10.145,10.125,10.175,10.065,502852.000,sh601009,南京银行
2025-05-13,10.155,10.185,10.225,10.105,602980.000,sh601009,南京银行
2025-05-14,10.195,10.205,10.285,10.155,717901.000,sh601009,南京银行
2025-05-15,10.175,10.145,10.275,10.145,659967.000,sh601009,南京银行
2025-05-16,10.145,10.135,10.175,10.045,437669.000,sh601009,南京银行
2025-05-19,10.135,10.105,10.215,10.105,371652.000,sh601009,南京银行
2025-05-20,10.135,10.105,10.205,10.095,352627.000,sh601009,南京银行
2025-05-21,10.135,10.255,10.295,10.125,710863.000,sh601009,南京银行
2025-05-22,10.255,10.385,10.385,10.215,774353.000,sh601009,南京银行
2025-05-23,10.375,10.295,10.445,10.275,556622.000,sh601009,南京银行
2025-05-26,10.285,10.185,10.325,10.165,510940.000,sh601009,南京银行
2025-05-27,10.195,10.405,10.425,10.195,688108.000,sh601009,南京银行
2025-05-28,10.405,10.815,10.835,10.405,1547928.000,sh601009,南京银行
2025-05-29,10.735,10.775,10.925,10.725,1190271.000,sh601009,南京银行
2025-05-30,10.815,10.955,11.015,10.785,1021946.000,sh601009,南京银行
2025-06-03,10.945,10.955,11.045,10.845,1139852.000,sh601009,南京银行
2025-06-04,10.955,10.985,11.035,10.875,732507.000,sh601009,南京银行
2025-06-05,10.995,10.715,11.035,10.665,770481.000,sh601009,南京银行
2025-06-06,10.735,10.785,10.875,10.715,639077.000,sh601009,南京银行
2025-06-09,10.785,10.845,10.895,10.695,737049.000,sh601009,南京银行
2025-06-10,10.825,10.935,11.085,10.805,835548.000,sh601009,南京银行
2025-06-11,10.935,10.885,10.995,10.815,452029.000,sh601009,南京银行
2025-06-12,10.875,11.185,11.225,10.825,815144.000,sh601009,南京银行
2025-06-13,11.175,11.205,11.275,11.125,757634.000,sh601009,南京银行
2025-06-16,11.205,11.315,11.345,11.115,685628.000,sh601009,南京银行
2025-06-17,11.325,11.235,11.465,11.195,584538.000,sh601009,南京银行
2025-06-18,11.235,11.395,11.455,11.235,641653.000,sh601009,南京银行
2025-06-19,11.395,11.325,11.485,11.285,531480.000,sh601009,南京银行
2025-06-20,11.315,11.545,11.565,11.315,763046.000,sh601009,南京银行
2025-06-23,11.544,11.544,11.574,11.394,676583.000,sh601009,南京银行
2025-06-24,11.374,11.404,11.464,11.194,1929258.000,sh601009,南京银行
2025-06-25,11.384,11.574,11.604,11.354,1242386.000,sh601009,南京银行
2025-06-26,11.574,11.724,11.804,11.474,904947.000,sh601009,南京银行
2025-06-27,11.744,11.354,11.784,11.244,1170818.000,sh601009,南京银行
2025-06-30,11.264,11.314,11.354,11.184,642969.000,sh601009,南京银行
2025-07-01,11.314,11.634,11.644,11.314,660792.000,sh601009,南京银行
2025-07-02,11.634,11.614,11.784,11.584,540579.000,sh601009,南京银行
2025-07-03,11.634,11.634,11.704,11.574,486303.000,sh601009,南京银行
2025-07-04,11.654,11.764,11.854,11.624,527248.000,sh601009,南京银行
