,open,high,low,close,volume,code,name
2024-11-26,6.48,6.89,6.46,6.56,124880090.0,sh600029,南方航空
2024-11-27,6.6,6.83,6.48,6.78,140767728.0,sh600029,南方航空
2024-11-28,6.76,6.98,6.67,6.79,90297584.0,sh600029,南方航空
2024-11-29,6.79,6.81,6.63,6.76,83039960.0,sh600029,南方航空
2024-12-02,6.71,6.81,6.51,6.64,86790997.0,sh600029,南方航空
2024-12-03,6.64,6.68,6.56,6.58,49267628.0,sh600029,南方航空
2024-12-04,6.56,6.57,6.43,6.47,52247917.0,sh600029,南方航空
2024-12-05,6.46,6.65,6.44,6.64,59331234.0,sh600029,南方航空
2024-12-06,6.67,6.98,6.63,6.97,128548444.0,sh600029,南方航空
2024-12-09,6.95,7.25,6.91,7.14,112257408.0,sh600029,南方航空
2024-12-10,7.3,7.49,7.2,7.24,174055017.0,sh600029,南方航空
2024-12-11,7.23,7.31,7.11,7.27,90021525.0,sh600029,南方航空
2024-12-12,7.3,7.37,7.15,7.19,75217523.0,sh600029,南方航空
2024-12-13,7.21,7.25,7.09,7.15,61598062.0,sh600029,南方航空
2024-12-16,7.13,7.18,6.77,6.81,79184528.0,sh600029,南方航空
2024-12-17,6.79,6.89,6.72,6.8,49082170.0,sh600029,南方航空
2024-12-18,6.83,6.92,6.72,6.79,42415031.0,sh600029,南方航空
2024-12-19,6.75,6.86,6.61,6.8,66219325.0,sh600029,南方航空
2024-12-20,6.82,6.86,6.63,6.67,51931036.0,sh600029,南方航空
2024-12-23,6.69,6.9,6.67,6.77,55609860.0,sh600029,南方航空
2024-12-24,6.75,6.85,6.72,6.82,34919501.0,sh600029,南方航空
2024-12-25,6.68,6.75,6.42,6.62,78422310.0,sh600029,南方航空
2024-12-26,6.58,6.64,6.49,6.52,41776105.0,sh600029,南方航空
2024-12-27,6.52,6.7,6.5,6.66,59429843.0,sh600029,南方航空
2024-12-30,6.58,6.74,6.5,6.58,63604511.0,sh600029,南方航空
2024-12-31,6.59,6.63,6.48,6.49,43675082.0,sh600029,南方航空
2025-01-02,6.44,6.51,6.31,6.34,56405497.0,sh600029,南方航空
2025-01-03,6.35,6.49,6.29,6.33,51964450.0,sh600029,南方航空
2025-01-06,6.31,6.36,6.13,6.19,55634629.0,sh600029,南方航空
2025-01-07,6.21,6.27,6.13,6.2,41068550.0,sh600029,南方航空
2025-01-08,6.18,6.2,6.08,6.13,54214957.0,sh600029,南方航空
2025-01-09,6.14,6.25,6.1,6.2,43245798.0,sh600029,南方航空
2025-01-10,6.2,6.35,6.11,6.11,43947021.0,sh600029,南方航空
2025-01-13,6.08,6.1,5.85,6.03,99508243.0,sh600029,南方航空
2025-01-14,6.04,6.46,6.03,6.43,80349108.0,sh600029,南方航空
2025-01-15,6.43,6.45,6.34,6.36,35635186.0,sh600029,南方航空
2025-01-16,6.4,6.5,6.3,6.35,39349207.0,sh600029,南方航空
2025-01-17,6.35,6.51,6.29,6.34,56217891.0,sh600029,南方航空
2025-01-20,6.4,6.47,6.27,6.28,62488299.0,sh600029,南方航空
2025-01-21,6.41,6.53,6.31,6.41,71115701.0,sh600029,南方航空
2025-01-22,6.36,6.39,6.16,6.28,48714371.0,sh600029,南方航空
2025-01-23,6.31,6.38,6.2,6.25,50855494.0,sh600029,南方航空
2025-01-24,6.25,6.34,6.2,6.27,34928369.0,sh600029,南方航空
2025-01-27,6.26,6.29,6.16,6.19,44324664.0,sh600029,南方航空
2025-02-05,6.16,6.18,5.85,5.85,119501418.0,sh600029,南方航空
2025-02-06,5.88,5.91,5.81,5.86,67084617.0,sh600029,南方航空
2025-02-07,5.87,5.91,5.8,5.89,101927484.0,sh600029,南方航空
2025-02-10,5.88,5.96,5.84,5.95,89649009.0,sh600029,南方航空
2025-02-11,5.95,5.98,5.74,5.78,119022747.0,sh600029,南方航空
2025-02-12,5.78,5.84,5.72,5.77,75409580.0,sh600029,南方航空
2025-02-13,5.76,5.84,5.75,5.81,83978219.0,sh600029,南方航空
2025-02-14,5.8,5.82,5.76,5.81,49191768.0,sh600029,南方航空
2025-02-17,5.81,5.82,5.74,5.78,58791714.0,sh600029,南方航空
2025-02-18,5.76,5.78,5.68,5.69,66258585.0,sh600029,南方航空
2025-02-19,5.68,5.7,5.63,5.66,69538358.0,sh600029,南方航空
2025-02-20,5.67,5.71,5.62,5.64,70532603.0,sh600029,南方航空
2025-02-21,5.65,5.68,5.62,5.64,65013542.0,sh600029,南方航空
2025-02-24,5.64,5.86,5.61,5.85,151104939.0,sh600029,南方航空
2025-02-25,5.81,5.95,5.76,5.8,118580507.0,sh600029,南方航空
2025-02-26,5.82,5.9,5.7,5.78,92166963.0,sh600029,南方航空
2025-02-27,5.76,5.91,5.75,5.9,111187403.0,sh600029,南方航空
2025-02-28,5.88,5.97,5.83,5.85,78052096.0,sh600029,南方航空
2025-03-03,5.86,5.89,5.8,5.84,58784137.0,sh600029,南方航空
2025-03-04,5.85,5.9,5.77,5.88,65683498.0,sh600029,南方航空
2025-03-05,5.88,6.04,5.87,6.01,99118166.0,sh600029,南方航空
2025-03-06,6.1,6.11,6.0,6.06,73114193.0,sh600029,南方航空
2025-03-07,6.02,6.08,5.98,6.02,50558573.0,sh600029,南方航空
2025-03-10,6.0,6.02,5.85,5.89,65375924.0,sh600029,南方航空
2025-03-11,5.88,5.94,5.85,5.94,41388101.0,sh600029,南方航空
2025-03-12,5.94,5.96,5.86,5.87,44599327.0,sh600029,南方航空
2025-03-13,5.9,5.92,5.77,5.82,50115781.0,sh600029,南方航空
2025-03-14,5.82,5.93,5.8,5.92,46993840.0,sh600029,南方航空
2025-03-17,5.93,6.04,5.9,5.94,61390648.0,sh600029,南方航空
2025-03-18,5.94,5.96,5.88,5.91,40358765.0,sh600029,南方航空
2025-03-19,5.9,5.99,5.88,5.92,43966814.0,sh600029,南方航空
2025-03-20,5.91,5.96,5.89,5.9,41867911.0,sh600029,南方航空
2025-03-21,5.9,5.94,5.8,5.82,56364942.0,sh600029,南方航空
2025-03-24,5.81,5.92,5.81,5.91,63703446.0,sh600029,南方航空
2025-03-25,5.92,6.16,5.89,6.12,140925320.0,sh600029,南方航空
2025-03-26,6.12,6.15,6.05,6.12,56518051.0,sh600029,南方航空
2025-03-27,6.09,6.13,5.99,6.02,51617916.0,sh600029,南方航空
2025-03-28,6.02,6.04,5.81,5.82,83724472.0,sh600029,南方航空
2025-03-31,5.81,5.83,5.66,5.68,82664602.0,sh600029,南方航空
2025-04-01,5.7,5.76,5.63,5.71,54870132.0,sh600029,南方航空
2025-04-02,5.7,5.74,5.68,5.7,33448684.0,sh600029,南方航空
2025-04-03,5.66,5.8,5.65,5.79,60754655.0,sh600029,南方航空
2025-04-07,5.64,5.65,5.35,5.43,116187960.0,sh600029,南方航空
2025-04-08,5.48,5.6,5.44,5.58,71819590.0,sh600029,南方航空
2025-04-09,5.55,5.77,5.44,5.73,88338333.0,sh600029,南方航空
2025-04-10,5.73,5.76,5.66,5.73,66534424.0,sh600029,南方航空
2025-04-11,5.71,5.81,5.68,5.76,47730632.0,sh600029,南方航空
2025-04-14,5.76,5.82,5.71,5.74,39711477.0,sh600029,南方航空
2025-04-15,5.74,5.75,5.66,5.71,39039875.0,sh600029,南方航空
2025-04-16,5.7,5.86,5.68,5.85,84933042.0,sh600029,南方航空
2025-04-17,5.81,5.9,5.78,5.87,53338496.0,sh600029,南方航空
2025-04-18,5.88,5.89,5.75,5.78,38885111.0,sh600029,南方航空
2025-04-21,5.77,5.81,5.74,5.78,25515220.0,sh600029,南方航空
2025-04-22,5.78,5.82,5.71,5.73,40681817.0,sh600029,南方航空
2025-04-23,5.75,5.76,5.7,5.7,28639170.0,sh600029,南方航空
2025-04-24,5.7,5.78,5.69,5.7,33768909.0,sh600029,南方航空
2025-04-25,5.7,5.72,5.65,5.66,42293627.0,sh600029,南方航空
2025-04-28,5.67,5.68,5.63,5.64,35180174.0,sh600029,南方航空
2025-04-29,5.65,5.72,5.62,5.69,51657786.0,sh600029,南方航空
2025-04-30,5.64,5.71,5.6,5.62,56577575.0,sh600029,南方航空
2025-05-06,5.7,5.92,5.67,5.91,156570376.0,sh600029,南方航空
2025-05-07,5.93,5.93,5.78,5.8,56393500.0,sh600029,南方航空
2025-05-08,5.81,5.83,5.76,5.79,31851873.0,sh600029,南方航空
2025-05-09,5.79,5.81,5.73,5.75,30904079.0,sh600029,南方航空
2025-05-12,5.79,5.92,5.74,5.9,74237408.0,sh600029,南方航空
2025-05-13,5.93,5.99,5.87,5.93,53079449.0,sh600029,南方航空
2025-05-14,5.92,5.96,5.85,5.93,41296519.0,sh600029,南方航空
2025-05-15,5.93,5.97,5.88,5.9,39538617.0,sh600029,南方航空
2025-05-16,5.91,5.98,5.84,5.97,51009452.0,sh600029,南方航空
2025-05-19,5.96,6.01,5.89,5.94,39464123.0,sh600029,南方航空
2025-05-20,5.94,6.0,5.9,5.97,36889833.0,sh600029,南方航空
2025-05-21,5.95,6.1,5.94,6.08,61382758.0,sh600029,南方航空
2025-05-22,6.05,6.21,6.04,6.11,74020665.0,sh600029,南方航空
2025-05-23,6.11,6.17,5.99,6.01,44233395.0,sh600029,南方航空
2025-05-26,6.0,6.25,6.0,6.22,80472026.0,sh600029,南方航空
2025-05-27,6.2,6.27,6.14,6.2,45506711.0,sh600029,南方航空
2025-05-28,6.19,6.28,6.14,6.24,42740418.0,sh600029,南方航空
2025-05-29,6.24,6.25,6.02,6.13,59985761.0,sh600029,南方航空
2025-05-30,6.11,6.16,6.07,6.09,29876276.0,sh600029,南方航空
2025-06-03,6.05,6.06,5.91,6.04,61209634.0,sh600029,南方航空
2025-06-04,6.02,6.04,5.92,5.94,53213850.0,sh600029,南方航空
2025-06-05,5.95,6.0,5.92,5.96,36339864.0,sh600029,南方航空
2025-06-06,5.95,5.97,5.9,5.94,28068006.0,sh600029,南方航空
2025-06-09,5.93,5.99,5.86,5.97,51086403.0,sh600029,南方航空
2025-06-10,5.95,6.06,5.94,6.02,59079722.0,sh600029,南方航空
2025-06-11,6.02,6.06,5.98,6.04,29839900.0,sh600029,南方航空
2025-06-12,6.02,6.03,5.93,5.96,40128382.0,sh600029,南方航空
2025-06-13,5.9,5.94,5.8,5.81,77593151.0,sh600029,南方航空
2025-06-16,5.8,5.82,5.75,5.79,51447321.0,sh600029,南方航空
2025-06-17,5.79,5.87,5.78,5.82,38946873.0,sh600029,南方航空
2025-06-18,5.8,5.84,5.76,5.78,30254943.0,sh600029,南方航空
2025-06-19,5.79,5.79,5.73,5.74,28491287.0,sh600029,南方航空
2025-06-20,5.73,5.78,5.73,5.76,30252531.0,sh600029,南方航空
2025-06-23,5.73,5.77,5.67,5.75,36685293.0,sh600029,南方航空
2025-06-24,5.84,5.91,5.83,5.84,64616033.0,sh600029,南方航空
2025-06-25,5.86,5.9,5.84,5.89,33601182.0,sh600029,南方航空
2025-06-26,5.88,5.93,5.83,5.89,35440526.0,sh600029,南方航空
2025-06-27,5.9,5.97,5.87,5.9,39575002.0,sh600029,南方航空
2025-06-30,5.9,5.97,5.86,5.9,33971371.0,sh600029,南方航空
2025-07-01,5.9,5.92,5.84,5.86,37133200.0,sh600029,南方航空
2025-07-02,5.87,5.88,5.8,5.81,41442100.0,sh600029,南方航空
2025-07-03,5.79,5.83,5.74,5.76,63645609.0,sh600029,南方航空
2025-07-04,5.77,5.78,5.72,5.74,51802023.0,sh600029,南方航空
2025-07-07,5.74,5.77,5.72,5.73,39767610.0,sh600029,南方航空
2025-07-08,5.73,5.75,5.7,5.74,45194822.0,sh600029,南方航空
2025-07-09,5.74,5.77,5.73,5.75,35458392.0,sh600029,南方航空
2025-07-10,5.74,5.79,5.73,5.79,39819813.0,sh600029,南方航空
2025-07-11,5.8,5.84,5.79,5.8,45517737.0,sh600029,南方航空
2025-07-14,5.8,5.8,5.77,5.78,30513047.0,sh600029,南方航空
2025-07-15,5.77,5.78,5.65,5.67,102863612.0,sh600029,南方航空
2025-07-16,5.67,5.72,5.66,5.69,41172244.0,sh600029,南方航空
2025-07-17,5.68,5.69,5.66,5.69,32982455.0,sh600029,南方航空
2025-07-18,5.69,5.71,5.68,5.7,28461779.0,sh600029,南方航空
2025-07-21,5.71,5.74,5.68,5.73,48951884.0,sh600029,南方航空
2025-07-22,5.73,5.77,5.69,5.76,67826622.0,sh600029,南方航空
2025-07-23,5.85,5.99,5.83,5.84,165671456.0,sh600029,南方航空
2025-07-24,5.81,5.91,5.8,5.89,69061784.0,sh600029,南方航空
2025-07-25,5.89,5.93,5.84,5.86,57444900.0,sh600029,南方航空
2025-07-28,5.86,5.89,5.78,5.79,59158660.0,sh600029,南方航空
2025-07-29,5.79,5.81,5.75,5.79,37305616.0,sh600029,南方航空
2025-07-30,5.78,5.82,5.75,5.77,42978600.0,sh600029,南方航空
2025-07-31,5.76,5.77,5.65,5.67,88127905.0,sh600029,南方航空
2025-08-01,5.67,5.68,5.65,5.67,43150001.0,sh600029,南方航空
2025-08-04,5.66,5.69,5.64,5.69,33457501.0,sh600029,南方航空
2025-08-05,5.69,5.74,5.68,5.73,31475907.0,sh600029,南方航空
2025-08-06,5.74,5.74,5.68,5.72,32779661.0,sh600029,南方航空
2025-08-07,5.72,5.74,5.7,5.74,26512129.0,sh600029,南方航空
2025-08-08,5.74,5.74,5.7,5.72,29251757.0,sh600029,南方航空
2025-08-11,5.72,5.73,5.69,5.73,31106595.0,sh600029,南方航空
2025-08-12,5.73,5.75,5.71,5.74,33554386.0,sh600029,南方航空
2025-08-13,5.76,5.78,5.73,5.76,63312502.0,sh600029,南方航空
2025-08-14,5.77,5.79,5.73,5.76,54474558.0,sh600029,南方航空
2025-08-15,5.75,5.87,5.72,5.86,94233552.0,sh600029,南方航空
2025-08-18,5.87,5.92,5.84,5.87,74153865.0,sh600029,南方航空
2025-08-19,5.88,5.93,5.85,5.9,73038833.0,sh600029,南方航空
2025-08-20,5.92,5.97,5.88,5.95,65955588.0,sh600029,南方航空
2025-08-21,5.97,6.01,5.92,5.96,54181314.0,sh600029,南方航空
2025-08-22,5.96,5.97,5.83,5.88,95139354.0,sh600029,南方航空
2025-08-25,5.89,6.0,5.88,6.0,84927164.0,sh600029,南方航空
2025-08-26,6.0,6.13,5.96,6.07,92626177.0,sh600029,南方航空
2025-08-27,6.06,6.14,5.97,6.01,85220854.0,sh600029,南方航空
2025-08-28,6.01,6.08,5.92,6.03,65438063.0,sh600029,南方航空
2025-08-29,6.06,6.15,6.03,6.04,80653778.0,sh600029,南方航空
2025-09-01,6.05,6.06,5.93,5.97,54541658.0,sh600029,南方航空
2025-09-02,5.96,5.99,5.88,5.91,40556697.0,sh600029,南方航空
2025-09-03,5.91,5.93,5.82,5.83,47850660.0,sh600029,南方航空
2025-09-04,5.82,5.86,5.79,5.84,50043851.0,sh600029,南方航空
2025-09-05,5.84,5.89,5.81,5.88,45843791.0,sh600029,南方航空
2025-09-08,5.89,6.17,5.87,6.14,112712280.0,sh600029,南方航空
2025-09-09,6.13,6.16,6.08,6.13,47901070.0,sh600029,南方航空
2025-09-10,6.13,6.13,6.04,6.07,38744850.0,sh600029,南方航空
2025-09-11,6.04,6.07,5.97,6.06,46743551.0,sh600029,南方航空
2025-09-12,6.08,6.12,6.03,6.06,52337339.0,sh600029,南方航空
2025-09-15,6.04,6.09,6.0,6.03,34754913.0,sh600029,南方航空
2025-09-16,6.05,6.14,6.0,6.05,77009623.0,sh600029,南方航空
2025-09-17,6.05,6.26,6.03,6.23,124641112.0,sh600029,南方航空
2025-09-18,6.21,6.23,5.93,5.99,101954253.0,sh600029,南方航空
2025-09-19,5.95,6.02,5.93,6.01,47073646.0,sh600029,南方航空
2025-09-22,6.01,6.03,5.91,6.01,43521384.0,sh600029,南方航空
2025-09-23,5.99,6.0,5.87,5.98,56307305.0,sh600029,南方航空
2025-09-24,5.96,6.0,5.91,5.98,46606359.0,sh600029,南方航空
2025-09-25,5.96,6.01,5.92,5.96,36865822.0,sh600029,南方航空
2025-09-26,5.95,6.03,5.89,6.03,53758030.0,sh600029,南方航空
2025-09-29,6.0,6.01,5.88,5.95,66832408.0,sh600029,南方航空
2025-09-30,5.94,6.08,5.9,6.05,82297551.0,sh600029,南方航空
2025-10-09,5.96,6.2,5.86,6.17,120037260.0,sh600029,南方航空
2025-10-10,6.09,6.16,6.06,6.09,64005212.0,sh600029,南方航空
2025-10-13,5.96,6.01,5.92,5.99,51069304.0,sh600029,南方航空
2025-10-14,5.99,6.06,5.96,5.99,58552689.0,sh600029,南方航空
2025-10-15,5.99,6.33,5.97,6.3,143533940.0,sh600029,南方航空
2025-10-16,6.3,6.43,6.24,6.26,80140825.0,sh600029,南方航空
2025-10-17,6.26,6.34,6.2,6.21,55315410.0,sh600029,南方航空
2025-10-20,6.23,6.66,6.2,6.6,173592092.0,sh600029,南方航空
2025-10-21,6.6,6.63,6.43,6.59,113941307.0,sh600029,南方航空
