date,open,high,low,close,volume,code,name
2024-11-26,179.020,183.800,185.750,179.020,15388.000,sz000596,古井贡酒
2024-11-27,183.250,186.960,189.990,180.530,19253.000,sz000596,古井贡酒
2024-11-28,186.980,183.610,187.860,182.880,12621.000,sz000596,古井贡酒
2024-11-29,183.760,183.630,187.840,183.480,19758.000,sz000596,古井贡酒
2024-12-02,182.800,184.750,186.000,180.290,17344.000,sz000596,古井贡酒
2024-12-03,184.750,183.000,185.140,182.000,12084.000,sz000596,古井贡酒
2024-12-04,183.020,182.020,184.500,180.590,12173.000,sz000596,古井贡酒
2024-12-05,181.000,178.690,181.640,177.710,19059.000,sz000596,古井贡酒
2024-12-06,178.720,180.050,181.580,178.010,16215.000,sz000596,古井贡酒
2024-12-09,180.380,184.000,187.850,177.510,30233.000,sz000596,古井贡酒
2024-12-10,193.600,186.500,197.670,185.500,45936.000,sz000596,古井贡酒
2024-12-11,185.490,189.240,192.690,184.000,37472.000,sz000596,古井贡酒
2024-12-12,188.880,199.220,200.200,187.880,44881.000,sz000596,古井贡酒
2024-12-13,197.390,189.640,197.860,189.300,31278.000,sz000596,古井贡酒
2024-12-16,188.900,181.430,189.510,180.260,33125.000,sz000596,古井贡酒
2024-12-17,181.470,181.470,182.950,179.600,20244.000,sz000596,古井贡酒
2024-12-18,181.090,178.640,182.900,177.950,22401.000,sz000596,古井贡酒
2024-12-19,176.880,170.500,176.990,168.500,43898.000,sz000596,古井贡酒
2024-12-20,170.580,170.300,171.730,167.330,27822.000,sz000596,古井贡酒
2024-12-23,170.300,169.000,172.060,168.510,22192.000,sz000596,古井贡酒
2024-12-24,169.000,170.150,170.600,168.020,15351.000,sz000596,古井贡酒
2024-12-25,170.150,169.500,171.320,169.030,10926.000,sz000596,古井贡酒
2024-12-26,169.580,166.110,169.660,165.360,26218.000,sz000596,古井贡酒
2024-12-27,166.080,166.280,168.660,163.750,20593.000,sz000596,古井贡酒
2024-12-30,166.030,164.540,169.580,163.800,25922.000,sz000596,古井贡酒
2024-12-31,165.500,167.300,174.000,165.500,51132.000,sz000596,古井贡酒
2025-01-02,164.000,164.310,168.300,160.880,39494.000,sz000596,古井贡酒
2025-01-03,164.000,165.980,168.630,163.550,34787.000,sz000596,古井贡酒
2025-01-06,161.000,161.860,168.170,157.150,31323.000,sz000596,古井贡酒
2025-01-07,162.330,161.500,163.450,158.710,20161.000,sz000596,古井贡酒
2025-01-08,160.370,163.560,165.850,159.010,28047.000,sz000596,古井贡酒
2025-01-09,163.560,166.970,169.630,161.470,28819.000,sz000596,古井贡酒
2025-01-10,166.390,162.010,167.300,162.000,23469.000,sz000596,古井贡酒
2025-01-13,159.000,163.700,164.600,159.000,17301.000,sz000596,古井贡酒
2025-01-14,163.500,170.060,172.150,163.000,33680.000,sz000596,古井贡酒
2025-01-15,169.910,169.550,170.500,167.800,14833.000,sz000596,古井贡酒
2025-01-16,169.980,166.350,171.700,164.880,22977.000,sz000596,古井贡酒
2025-01-17,165.990,167.420,169.000,165.100,19741.000,sz000596,古井贡酒
2025-01-20,168.600,169.880,173.820,168.300,33173.000,sz000596,古井贡酒
2025-01-21,171.010,168.000,171.010,165.550,25126.000,sz000596,古井贡酒
2025-01-22,166.890,163.700,166.890,162.830,22521.000,sz000596,古井贡酒
2025-01-23,165.000,164.240,166.800,163.500,13396.000,sz000596,古井贡酒
2025-01-24,164.990,161.710,164.990,161.330,22924.000,sz000596,古井贡酒
2025-01-27,161.720,161.080,163.120,160.570,14830.000,sz000596,古井贡酒
2025-02-05,161.000,152.320,161.080,151.320,46766.000,sz000596,古井贡酒
2025-02-06,151.000,149.880,152.600,147.160,44124.000,sz000596,古井贡酒
2025-02-07,149.000,151.290,152.460,148.300,38766.000,sz000596,古井贡酒
2025-02-10,151.450,152.300,152.630,148.950,28371.000,sz000596,古井贡酒
2025-02-11,152.330,148.590,153.500,148.110,31960.000,sz000596,古井贡酒
2025-02-12,148.340,150.800,150.800,146.560,33194.000,sz000596,古井贡酒
2025-02-13,150.750,155.470,158.500,150.050,63446.000,sz000596,古井贡酒
2025-02-14,154.000,157.400,158.020,153.010,33435.000,sz000596,古井贡酒
2025-02-17,157.400,160.190,163.000,157.000,34179.000,sz000596,古井贡酒
2025-02-18,159.650,157.100,159.940,155.370,21716.000,sz000596,古井贡酒
2025-02-19,155.620,156.340,158.920,153.700,22622.000,sz000596,古井贡酒
2025-02-20,156.330,157.080,159.900,155.500,17985.000,sz000596,古井贡酒
2025-02-21,158.500,159.260,164.900,157.880,34172.000,sz000596,古井贡酒
2025-02-24,158.000,161.510,164.680,157.070,39622.000,sz000596,古井贡酒
2025-02-25,159.500,160.520,161.660,158.300,18885.000,sz000596,古井贡酒
2025-02-26,159.640,159.900,162.500,157.620,21350.000,sz000596,古井贡酒
2025-02-27,159.030,162.880,164.830,158.550,38839.000,sz000596,古井贡酒
2025-02-28,162.950,162.850,167.900,162.570,41096.000,sz000596,古井贡酒
2025-03-03,163.010,163.260,169.940,162.690,36121.000,sz000596,古井贡酒
2025-03-04,163.190,159.710,163.190,158.200,16989.000,sz000596,古井贡酒
2025-03-05,159.600,161.210,162.750,157.950,17430.000,sz000596,古井贡酒
2025-03-06,161.640,168.150,168.500,160.020,36367.000,sz000596,古井贡酒
2025-03-07,167.590,171.200,172.000,166.400,28721.000,sz000596,古井贡酒
2025-03-10,170.250,174.350,176.660,169.140,29399.000,sz000596,古井贡酒
2025-03-11,172.900,184.170,184.180,172.840,49093.000,sz000596,古井贡酒
2025-03-12,184.170,182.590,186.760,180.710,25369.000,sz000596,古井贡酒
2025-03-13,182.000,181.500,187.310,180.470,29276.000,sz000596,古井贡酒
2025-03-14,181.480,188.540,192.880,180.390,44719.000,sz000596,古井贡酒
2025-03-17,190.020,186.930,191.680,183.000,35700.000,sz000596,古井贡酒
2025-03-18,186.010,181.700,186.930,180.950,29310.000,sz000596,古井贡酒
2025-03-19,180.950,176.080,182.910,175.200,35572.000,sz000596,古井贡酒
2025-03-20,176.080,172.830,176.150,172.040,19694.000,sz000596,古井贡酒
2025-03-21,172.500,170.790,174.880,170.000,21201.000,sz000596,古井贡酒
2025-03-24,170.120,172.520,173.000,169.000,24245.000,sz000596,古井贡酒
2025-03-25,172.600,171.610,172.770,169.200,14811.000,sz000596,古井贡酒
2025-03-26,171.070,172.030,174.500,170.070,17881.000,sz000596,古井贡酒
2025-03-27,171.010,172.600,174.280,170.650,12283.000,sz000596,古井贡酒
2025-03-28,171.990,168.090,172.970,167.680,18447.000,sz000596,古井贡酒
2025-03-31,167.050,165.250,168.990,164.500,16244.000,sz000596,古井贡酒
2025-04-01,165.100,166.310,167.730,163.900,13213.000,sz000596,古井贡酒
2025-04-02,165.880,165.700,167.470,165.010,7719.000,sz000596,古井贡酒
2025-04-03,164.340,169.470,170.480,163.560,18937.000,sz000596,古井贡酒
2025-04-07,166.000,159.100,167.000,152.900,31227.000,sz000596,古井贡酒
2025-04-08,158.970,167.080,168.800,158.360,33274.000,sz000596,古井贡酒
2025-04-09,165.150,173.290,174.480,163.880,37958.000,sz000596,古井贡酒
2025-04-10,172.000,174.850,175.830,169.260,31972.000,sz000596,古井贡酒
2025-04-11,173.500,170.600,174.580,168.030,24059.000,sz000596,古井贡酒
2025-04-14,169.500,168.100,170.300,167.000,20603.000,sz000596,古井贡酒
2025-04-15,167.500,167.000,168.680,165.640,15497.000,sz000596,古井贡酒
2025-04-16,166.000,166.050,166.790,162.650,17922.000,sz000596,古井贡酒
2025-04-17,164.030,167.500,168.330,163.400,19383.000,sz000596,古井贡酒
2025-04-18,166.600,167.940,167.980,164.690,14766.000,sz000596,古井贡酒
2025-04-21,167.000,165.010,167.900,164.380,21506.000,sz000596,古井贡酒
2025-04-22,165.000,165.330,168.380,162.700,21310.000,sz000596,古井贡酒
2025-04-23,165.330,163.830,166.500,163.010,15558.000,sz000596,古井贡酒
2025-04-24,163.700,162.000,164.010,161.880,12111.000,sz000596,古井贡酒
