,open,high,low,close,volume,code,name
2024-11-26,11.28,11.39,11.2,11.23,15759986.0,sz002736,国信证券
2024-11-27,11.22,11.37,11.15,11.37,18059713.0,sz002736,国信证券
2024-11-28,11.5,11.53,11.33,11.36,21808393.0,sz002736,国信证券
2024-11-29,11.35,11.8,11.31,11.49,38570922.0,sz002736,国信证券
2024-12-02,11.27,11.58,11.25,11.54,29972768.0,sz002736,国信证券
2024-12-03,11.54,11.7,11.48,11.62,26152748.0,sz002736,国信证券
2024-12-04,11.6,11.63,11.39,11.49,20698000.0,sz002736,国信证券
2024-12-05,11.41,11.57,11.38,11.53,21767503.0,sz002736,国信证券
2024-12-06,11.44,11.74,11.4,11.62,42089925.0,sz002736,国信证券
2024-12-09,11.75,11.94,11.38,11.48,72319508.0,sz002736,国信证券
2024-12-10,11.9,12.15,11.56,11.58,69151794.0,sz002736,国信证券
2024-12-11,11.53,11.65,11.46,11.5,33137401.0,sz002736,国信证券
2024-12-12,11.52,11.74,11.43,11.63,37594435.0,sz002736,国信证券
2024-12-13,11.56,11.56,11.4,11.44,45903311.0,sz002736,国信证券
2024-12-16,11.4,11.43,11.15,11.21,33123801.0,sz002736,国信证券
2024-12-17,11.17,11.3,11.16,11.18,20884430.0,sz002736,国信证券
2024-12-18,11.24,11.39,11.23,11.26,19406927.0,sz002736,国信证券
2024-12-19,11.2,11.24,11.13,11.22,15534814.0,sz002736,国信证券
2024-12-20,11.21,11.31,11.18,11.25,16952486.0,sz002736,国信证券
2024-12-23,11.36,11.66,11.23,11.26,48585382.0,sz002736,国信证券
2024-12-24,11.18,11.48,11.17,11.47,32790483.0,sz002736,国信证券
2024-12-25,11.45,11.5,11.27,11.36,18353400.0,sz002736,国信证券
2024-12-26,11.33,11.42,11.28,11.37,14349961.0,sz002736,国信证券
2024-12-27,11.36,11.63,11.34,11.46,28454217.0,sz002736,国信证券
2024-12-30,11.6,11.8,11.53,11.8,63171474.0,sz002736,国信证券
2024-12-31,11.77,11.79,11.2,11.2,50850518.0,sz002736,国信证券
2025-01-02,11.17,11.24,10.46,10.57,53794400.0,sz002736,国信证券
2025-01-03,10.58,10.65,10.3,10.32,30703143.0,sz002736,国信证券
2025-01-06,10.26,10.38,10.25,10.36,19660389.0,sz002736,国信证券
2025-01-07,10.37,10.46,10.27,10.39,15195939.0,sz002736,国信证券
2025-01-08,10.33,10.43,10.13,10.36,22317700.0,sz002736,国信证券
2025-01-09,10.33,10.39,10.22,10.29,12552500.0,sz002736,国信证券
