,open,high,low,close,volume,code,name
2024-11-26,25.0,25.24,24.81,24.93,19687723.0,sh600406,国电南瑞
2024-11-27,24.93,25.03,24.59,25.0,20678426.0,sh600406,国电南瑞
2024-11-28,25.02,25.02,24.51,24.61,23129428.0,sh600406,国电南瑞
2024-11-29,24.78,24.98,24.51,24.68,19322189.0,sh600406,国电南瑞
2024-12-02,24.81,24.81,24.43,24.64,27331276.0,sh600406,国电南瑞
2024-12-03,24.67,25.13,24.54,25.02,34934169.0,sh600406,国电南瑞
2024-12-04,25.0,25.08,24.62,24.89,19617089.0,sh600406,国电南瑞
2024-12-05,24.8,24.82,24.53,24.58,19715712.0,sh600406,国电南瑞
2024-12-06,24.6,25.0,24.53,24.86,20740560.0,sh600406,国电南瑞
2024-12-09,24.86,25.08,24.72,24.92,17784077.0,sh600406,国电南瑞
2024-12-10,25.3,25.44,24.82,24.91,28005637.0,sh600406,国电南瑞
2024-12-11,25.03,25.03,24.71,24.95,22852466.0,sh600406,国电南瑞
2024-12-12,24.86,25.06,24.75,25.05,19644128.0,sh600406,国电南瑞
2024-12-13,24.81,24.97,24.43,24.46,31522781.0,sh600406,国电南瑞
2024-12-16,24.47,24.83,24.0,24.08,31457388.0,sh600406,国电南瑞
2024-12-17,24.01,24.75,23.95,24.51,25485741.0,sh600406,国电南瑞
2024-12-18,24.65,24.78,24.45,24.55,15264326.0,sh600406,国电南瑞
2024-12-19,24.53,25.14,24.33,25.08,27177087.0,sh600406,国电南瑞
2024-12-20,25.09,25.18,24.61,24.85,21964854.0,sh600406,国电南瑞
2024-12-23,24.77,25.11,24.7,24.72,19518015.0,sh600406,国电南瑞
2024-12-24,24.85,25.26,24.73,25.24,26496950.0,sh600406,国电南瑞
2024-12-25,25.24,25.44,24.9,25.0,14730853.0,sh600406,国电南瑞
2024-12-26,25.01,25.19,24.78,25.06,12464739.0,sh600406,国电南瑞
2024-12-27,24.91,25.18,24.81,25.07,14578278.0,sh600406,国电南瑞
2024-12-30,25.03,25.48,25.0,25.1,17339245.0,sh600406,国电南瑞
2024-12-31,25.03,25.42,24.9,25.22,30603214.0,sh600406,国电南瑞
2025-01-02,25.2,25.25,24.07,24.22,34958507.0,sh600406,国电南瑞
2025-01-03,24.15,24.44,23.78,23.86,20012527.0,sh600406,国电南瑞
2025-01-06,24.05,24.15,23.63,23.79,19349689.0,sh600406,国电南瑞
2025-01-07,23.78,24.15,23.63,23.75,17162707.0,sh600406,国电南瑞
2025-01-08,23.76,23.86,23.29,23.6,18787600.0,sh600406,国电南瑞
2025-01-09,23.55,24.06,23.35,23.71,19512873.0,sh600406,国电南瑞
2025-01-10,23.85,23.85,23.45,23.45,12794465.0,sh600406,国电南瑞
2025-01-13,23.34,23.62,23.08,23.2,16463640.0,sh600406,国电南瑞
2025-01-14,23.2,23.87,22.89,23.7,22053864.0,sh600406,国电南瑞
2025-01-15,23.6,23.76,23.22,23.24,18797470.0,sh600406,国电南瑞
2025-01-16,23.27,23.53,22.76,22.9,28536410.0,sh600406,国电南瑞
2025-01-17,22.9,23.27,22.66,22.97,23202785.0,sh600406,国电南瑞
2025-01-20,23.23,23.52,22.81,22.87,32823196.0,sh600406,国电南瑞
2025-01-21,23.05,23.6,22.93,23.42,29885895.0,sh600406,国电南瑞
2025-01-22,23.7,23.82,23.08,23.53,27015013.0,sh600406,国电南瑞
2025-01-23,23.59,23.71,22.74,22.84,41525865.0,sh600406,国电南瑞
2025-01-24,22.78,23.57,22.74,23.32,36466265.0,sh600406,国电南瑞
2025-01-27,23.33,23.54,23.08,23.08,19953829.0,sh600406,国电南瑞
2025-02-05,23.23,23.26,22.81,22.9,26950823.0,sh600406,国电南瑞
2025-02-06,22.82,23.07,22.81,23.06,29075300.0,sh600406,国电南瑞
2025-02-07,23.08,23.41,22.87,23.13,38198775.0,sh600406,国电南瑞
2025-02-10,23.15,23.35,23.0,23.22,32769287.0,sh600406,国电南瑞
2025-02-11,23.22,23.25,22.92,23.06,22186212.0,sh600406,国电南瑞
2025-02-12,23.08,23.26,22.97,23.14,34893822.0,sh600406,国电南瑞
