,open,high,low,close,volume,code,name
2024-11-26,261.57,263.97,255.66,256.72,27360405.0,sz300750,宁德时代
2024-11-27,254.7,260.9,251.47,259.9,27400665.0,sz300750,宁德时代
2024-11-28,259.2,259.53,253.5,254.7,22355598.0,sz300750,宁德时代
2024-11-29,251.23,267.99,251.23,261.24,31366272.0,sz300750,宁德时代
2024-12-02,258.64,263.55,257.21,262.19,20647547.0,sz300750,宁德时代
2024-12-03,261.0,262.99,259.0,261.84,17310789.0,sz300750,宁德时代
2024-12-04,260.0,262.0,257.5,258.97,16181395.0,sz300750,宁德时代
2024-12-05,257.99,258.95,255.01,256.0,16021580.0,sz300750,宁德时代
2024-12-06,256.0,269.9,255.0,266.55,33038136.0,sz300750,宁德时代
2024-12-09,266.99,269.66,264.41,268.05,22456090.0,sz300750,宁德时代
2024-12-10,281.28,281.5,269.33,270.57,32904436.0,sz300750,宁德时代
2024-12-11,273.96,279.5,266.52,267.1,19400821.0,sz300750,宁德时代
2024-12-12,265.9,275.38,265.2,273.71,22329514.0,sz300750,宁德时代
2024-12-13,269.88,272.0,266.0,267.03,28316441.0,sz300750,宁德时代
2024-12-16,266.22,269.5,264.05,267.2,16257508.0,sz300750,宁德时代
2024-12-17,267.0,278.0,266.54,273.8,28214610.0,sz300750,宁德时代
2024-12-18,274.31,274.73,270.31,271.41,15085329.0,sz300750,宁德时代
2024-12-19,269.26,272.35,266.62,269.79,15346018.0,sz300750,宁德时代
2024-12-20,269.79,270.8,260.32,262.71,27740098.0,sz300750,宁德时代
2024-12-23,262.71,268.88,262.71,263.5,20639383.0,sz300750,宁德时代
2024-12-24,263.0,268.25,263.0,268.23,19615352.0,sz300750,宁德时代
2024-12-25,268.91,270.91,266.26,267.97,11413810.0,sz300750,宁德时代
2024-12-26,267.2,267.2,261.0,261.25,22443762.0,sz300750,宁德时代
2024-12-27,260.57,263.42,255.0,262.0,24351918.0,sz300750,宁德时代
2024-12-30,260.88,267.5,260.51,266.58,22631352.0,sz300750,宁德时代
2024-12-31,265.09,270.5,265.09,266.0,24933952.0,sz300750,宁德时代
2025-01-02,266.25,266.3,257.0,258.78,23354576.0,sz300750,宁德时代
2025-01-03,258.78,263.0,257.21,257.63,18523758.0,sz300750,宁德时代
2025-01-06,258.0,260.0,253.0,256.75,17289077.0,sz300750,宁德时代
2025-01-07,243.0,252.0,241.08,249.45,40103599.0,sz300750,宁德时代
2025-01-08,245.99,248.31,243.32,245.34,27185752.0,sz300750,宁德时代
2025-01-09,241.35,250.25,241.16,247.33,16932878.0,sz300750,宁德时代
2025-01-10,246.5,249.95,244.68,246.0,14729433.0,sz300750,宁德时代
2025-01-13,243.5,250.0,242.0,246.91,18092226.0,sz300750,宁德时代
2025-01-14,247.71,257.0,245.21,256.2,20246734.0,sz300750,宁德时代
