date,open,high,low,close,volume,code,name
2024-11-26,23.010,22.960,23.270,22.810,175405.000,sz002142,宁波银行
2024-11-27,22.890,23.530,23.560,22.730,237598.000,sz002142,宁波银行
2024-11-28,23.510,23.490,23.760,23.410,186199.000,sz002142,宁波银行
2024-11-29,23.500,23.770,23.920,23.460,214937.000,sz002142,宁波银行
2024-12-02,23.780,23.610,23.840,23.520,221180.000,sz002142,宁波银行
2024-12-03,23.580,23.740,23.750,23.340,193514.000,sz002142,宁波银行
2024-12-04,23.680,23.640,23.790,23.400,149817.000,sz002142,宁波银行
2024-12-05,23.550,23.630,23.670,23.250,156792.000,sz002142,宁波银行
2024-12-06,23.630,24.010,24.150,23.630,240728.000,sz002142,宁波银行
2024-12-09,23.990,23.920,24.200,23.820,166685.000,sz002142,宁波银行
2024-12-10,24.530,24.440,25.120,24.350,495802.000,sz002142,宁波银行
2024-12-11,24.440,23.700,24.520,23.640,398373.000,sz002142,宁波银行
2024-12-12,23.700,23.940,24.090,23.580,299276.000,sz002142,宁波银行
2024-12-13,23.770,23.430,23.820,23.410,328662.000,sz002142,宁波银行
2024-12-16,23.350,23.020,23.490,22.880,368185.000,sz002142,宁波银行
2024-12-17,22.920,22.920,23.200,22.850,285180.000,sz002142,宁波银行
2024-12-18,23.010,23.000,23.350,22.960,258893.000,sz002142,宁波银行
2024-12-19,22.870,22.840,23.020,22.700,190773.000,sz002142,宁波银行
2024-12-20,22.820,22.600,22.940,22.560,259384.000,sz002142,宁波银行
2024-12-23,22.660,23.180,23.490,22.630,436881.000,sz002142,宁波银行
2024-12-24,23.180,23.330,23.380,23.030,253639.000,sz002142,宁波银行
2024-12-25,23.400,23.620,23.820,23.330,231807.000,sz002142,宁波银行
2024-12-26,23.620,23.280,23.630,23.210,234807.000,sz002142,宁波银行
2024-12-27,23.320,23.110,23.390,22.900,268483.000,sz002142,宁波银行
2024-12-30,23.100,23.610,23.690,23.100,368732.000,sz002142,宁波银行
2024-12-31,23.580,23.410,23.880,23.400,318020.000,sz002142,宁波银行
2025-01-02,23.540,22.810,23.590,22.720,358941.000,sz002142,宁波银行
2025-01-03,22.820,22.780,23.080,22.580,329181.000,sz002142,宁波银行
2025-01-06,22.920,23.500,23.590,22.680,402274.000,sz002142,宁波银行
2025-01-07,23.400,23.790,23.880,23.210,328464.000,sz002142,宁波银行
2025-01-08,23.700,24.600,24.750,23.700,617343.000,sz002142,宁波银行
2025-01-09,24.600,24.300,24.770,24.220,283774.000,sz002142,宁波银行
2025-01-10,24.330,24.210,24.560,23.900,208101.000,sz002142,宁波银行
2025-01-13,24.040,23.730,24.260,23.610,222626.000,sz002142,宁波银行
2025-01-14,23.740,24.520,24.600,23.550,272038.000,sz002142,宁波银行
