date,open,high,low,close,volume,code,name
2024-11-25,6.364,6.344,6.444,6.304,612024.000,sh600019,宝钢股份
2024-11-26,6.344,6.304,6.374,6.284,526121.000,sh600019,宝钢股份
2024-11-27,6.304,6.384,6.384,6.234,539458.000,sh600019,宝钢股份
2024-11-28,6.364,6.404,6.454,6.354,483843.000,sh600019,宝钢股份
2024-11-29,6.424,6.404,6.524,6.394,701808.000,sh600019,宝钢股份
2024-12-02,6.404,6.564,6.604,6.394,1166550.000,sh600019,宝钢股份
2024-12-03,6.584,6.604,6.624,6.534,615027.000,sh600019,宝钢股份
2024-12-04,6.594,6.604,6.654,6.524,708903.000,sh600019,宝钢股份
2024-12-05,6.604,6.614,6.624,6.554,580913.000,sh600019,宝钢股份
2024-12-06,6.634,6.704,6.734,6.614,949269.000,sh600019,宝钢股份
2024-12-09,6.704,6.734,6.754,6.674,749498.000,sh600019,宝钢股份
2024-12-10,6.834,6.694,6.874,6.684,895215.000,sh600019,宝钢股份
2024-12-11,6.674,6.774,6.794,6.664,781645.000,sh600019,宝钢股份
2024-12-12,6.774,6.674,6.784,6.644,841886.000,sh600019,宝钢股份
2024-12-13,6.674,6.534,6.674,6.524,1005100.000,sh600019,宝钢股份
2024-12-16,6.534,6.574,6.634,6.484,724216.000,sh600019,宝钢股份
2024-12-17,6.564,6.644,6.684,6.544,727316.000,sh600019,宝钢股份
2024-12-18,6.664,6.804,6.864,6.664,1380077.000,sh600019,宝钢股份
2024-12-19,6.774,6.674,6.794,6.674,712089.000,sh600019,宝钢股份
2024-12-20,6.694,6.564,6.724,6.554,790580.000,sh600019,宝钢股份
2024-12-23,6.564,6.774,6.794,6.554,1312470.000,sh600019,宝钢股份
2024-12-24,6.734,6.804,6.844,6.724,791032.000,sh600019,宝钢股份
2024-12-25,6.824,6.894,6.894,6.794,819770.000,sh600019,宝钢股份
2024-12-26,6.914,6.774,6.934,6.734,641827.000,sh600019,宝钢股份
2024-12-27,6.794,6.824,6.874,6.734,648523.000,sh600019,宝钢股份
2024-12-30,6.784,6.824,6.854,6.744,575778.000,sh600019,宝钢股份
2024-12-31,6.814,6.784,6.874,6.754,597739.000,sh600019,宝钢股份
2025-01-02,6.774,6.704,6.834,6.674,892516.000,sh600019,宝钢股份
2025-01-03,6.714,6.664,6.804,6.634,748772.000,sh600019,宝钢股份
2025-01-06,6.674,6.694,6.704,6.524,810325.000,sh600019,宝钢股份
2025-01-07,6.694,6.514,6.694,6.414,1136629.000,sh600019,宝钢股份
2025-01-08,6.514,6.504,6.524,6.394,673944.000,sh600019,宝钢股份
2025-01-09,6.444,6.384,6.464,6.374,564804.000,sh600019,宝钢股份
2025-01-10,6.364,6.334,6.404,6.304,409021.000,sh600019,宝钢股份
2025-01-13,6.284,6.294,6.294,6.194,658893.000,sh600019,宝钢股份
2025-01-14,6.314,6.364,6.384,6.274,512272.000,sh600019,宝钢股份
2025-01-15,6.364,6.464,6.484,6.344,619109.000,sh600019,宝钢股份
2025-01-16,6.484,6.564,6.564,6.444,534267.000,sh600019,宝钢股份
2025-01-17,6.524,6.384,6.554,6.354,726501.000,sh600019,宝钢股份
2025-01-20,6.404,6.364,6.444,6.344,555289.000,sh600019,宝钢股份
