date,open,high,low,close,volume,code,name
2024-11-26,21.250,21.450,21.780,21.070,896673.000,sh601138,工业富联
2024-11-27,21.280,21.680,21.780,21.080,868575.000,sh601138,工业富联
2024-11-28,21.680,21.210,21.680,21.140,908158.000,sh601138,工业富联
2024-11-29,21.210,21.550,22.060,21.110,1153973.000,sh601138,工业富联
2024-12-02,21.430,21.920,22.110,21.430,1223315.000,sh601138,工业富联
2024-12-03,22.040,21.600,22.040,21.410,881292.000,sh601138,工业富联
2024-12-04,21.610,21.240,21.680,21.160,962608.000,sh601138,工业富联
2024-12-05,21.280,21.900,22.010,21.280,1467166.000,sh601138,工业富联
2024-12-06,21.900,21.960,22.030,21.590,1107237.000,sh601138,工业富联
2024-12-09,21.980,21.490,21.980,21.360,931284.000,sh601138,工业富联
2024-12-10,21.970,21.500,22.160,21.490,1299174.000,sh601138,工业富联
2024-12-11,21.460,21.690,21.840,21.390,937454.000,sh601138,工业富联
2024-12-12,21.730,21.700,22.010,21.560,909888.000,sh601138,工业富联
2024-12-13,21.530,20.710,21.560,20.660,1651591.000,sh601138,工业富联
2024-12-16,20.560,20.420,20.660,20.230,988166.000,sh601138,工业富联
2024-12-17,20.350,20.960,21.530,20.280,1836546.000,sh601138,工业富联
2024-12-18,20.980,20.770,21.060,20.540,923516.000,sh601138,工业富联
2024-12-19,20.560,21.550,21.730,20.470,1824622.000,sh601138,工业富联
2024-12-20,21.390,21.380,21.710,21.280,1249791.000,sh601138,工业富联
2024-12-23,21.590,21.410,22.000,21.400,1383104.000,sh601138,工业富联
2024-12-24,21.470,22.360,22.430,21.160,2100292.000,sh601138,工业富联
2024-12-25,22.390,22.080,22.550,21.880,1625086.000,sh601138,工业富联
2024-12-26,22.000,22.690,22.740,21.780,1954601.000,sh601138,工业富联
2024-12-27,22.520,21.970,22.560,21.910,1796131.000,sh601138,工业富联
2024-12-30,21.910,21.810,22.110,21.660,972770.000,sh601138,工业富联
2024-12-31,21.820,20.860,21.860,20.860,1344455.000,sh601138,工业富联
2025-01-02,20.760,20.070,20.760,19.800,1247299.000,sh601138,工业富联
2025-01-03,20.000,19.910,20.520,19.820,1037654.000,sh601138,工业富联
2025-01-06,20.150,20.030,20.410,19.770,826977.000,sh601138,工业富联
2025-01-07,20.170,20.610,20.630,19.990,1151917.000,sh601138,工业富联
2025-01-08,20.260,19.990,20.270,19.520,1160263.000,sh601138,工业富联
2025-01-09,19.980,19.900,20.190,19.820,761155.000,sh601138,工业富联
2025-01-10,19.850,19.110,19.850,19.110,1103875.000,sh601138,工业富联
2025-01-13,18.840,19.080,19.220,18.760,646947.000,sh601138,工业富联
2025-01-14,19.110,19.930,20.040,18.840,1348206.000,sh601138,工业富联
2025-01-15,19.860,19.500,19.860,19.450,832789.000,sh601138,工业富联
2025-01-16,19.710,20.200,20.350,19.560,1572690.000,sh601138,工业富联
2025-01-17,20.040,20.020,20.360,19.860,1023812.000,sh601138,工业富联
2025-01-20,20.270,20.130,20.450,20.050,847175.000,sh601138,工业富联
2025-01-21,20.320,20.570,20.960,20.110,1257723.000,sh601138,工业富联
2025-01-22,20.780,22.690,22.690,20.770,3995412.000,sh601138,工业富联
2025-01-23,23.170,22.360,23.600,22.360,4045048.000,sh601138,工业富联
2025-01-24,22.070,22.710,22.860,21.920,2319553.000,sh601138,工业富联
2025-01-27,21.910,20.810,21.950,20.750,2547188.000,sh601138,工业富联
2025-02-05,19.920,19.360,19.950,19.160,2995661.000,sh601138,工业富联
2025-02-06,19.670,19.840,19.930,19.360,2040040.000,sh601138,工业富联
2025-02-07,20.030,20.910,21.270,19.950,2893257.000,sh601138,工业富联
2025-02-10,21.020,21.080,21.140,20.790,1726219.000,sh601138,工业富联
2025-02-11,21.160,21.130,21.580,21.090,1533061.000,sh601138,工业富联
2025-02-12,21.080,21.510,21.540,20.940,1272067.000,sh601138,工业富联
2025-02-13,21.410,21.150,21.540,21.120,1127096.000,sh601138,工业富联
2025-02-14,21.170,21.460,21.990,21.170,1541399.000,sh601138,工业富联
2025-02-17,21.820,22.260,22.460,21.670,2100385.000,sh601138,工业富联
2025-02-18,22.260,22.040,22.830,21.950,2136041.000,sh601138,工业富联
2025-02-19,21.960,22.600,23.000,21.910,1977652.000,sh601138,工业富联
2025-02-20,22.410,21.980,22.470,21.940,1484933.000,sh601138,工业富联
2025-02-21,22.230,22.560,22.660,21.950,2026370.000,sh601138,工业富联
2025-02-24,22.740,22.570,23.320,22.160,2368703.000,sh601138,工业富联
2025-02-25,22.160,22.440,22.960,22.080,1914260.000,sh601138,工业富联
2025-02-26,22.350,22.130,22.350,21.700,1675795.000,sh601138,工业富联
2025-02-27,22.260,21.320,22.330,21.050,1935848.000,sh601138,工业富联
2025-02-28,20.460,20.550,20.750,20.100,1719022.000,sh601138,工业富联
2025-03-03,20.730,20.430,20.850,20.210,1059091.000,sh601138,工业富联
2025-03-04,19.750,20.400,20.400,19.660,1127277.000,sh601138,工业富联
2025-03-05,20.400,20.400,20.500,20.110,817677.000,sh601138,工业富联
