date,open,high,low,close,volume,code,name
2024-11-25,48.400,47.560,49.290,47.560,436129.000,sh600276,恒瑞医药
2024-11-26,47.660,48.480,49.360,47.600,399756.000,sh600276,恒瑞医药
2024-11-27,48.420,49.790,50.000,48.380,574544.000,sh600276,恒瑞医药
2024-11-28,49.750,49.500,50.550,49.120,367210.000,sh600276,恒瑞医药
2024-11-29,49.910,50.490,51.100,49.600,693041.000,sh600276,恒瑞医药
2024-12-02,50.400,50.250,50.590,49.820,419765.000,sh600276,恒瑞医药
2024-12-03,50.150,49.430,50.210,49.330,396197.000,sh600276,恒瑞医药
2024-12-04,49.450,49.200,49.780,49.050,258260.000,sh600276,恒瑞医药
2024-12-05,49.220,48.750,49.250,48.250,298108.000,sh600276,恒瑞医药
2024-12-06,48.750,49.330,49.600,48.640,342291.000,sh600276,恒瑞医药
2024-12-09,49.780,49.180,49.890,48.860,276614.000,sh600276,恒瑞医药
2024-12-10,50.050,47.930,50.050,47.410,1022100.000,sh600276,恒瑞医药
2024-12-11,47.660,47.950,47.970,47.310,429449.000,sh600276,恒瑞医药
2024-12-12,47.950,47.840,47.950,47.400,361609.000,sh600276,恒瑞医药
2024-12-13,47.600,46.390,47.710,46.360,650777.000,sh600276,恒瑞医药
2024-12-16,46.380,45.870,46.380,45.600,354079.000,sh600276,恒瑞医药
2024-12-17,45.850,46.300,46.770,45.700,315875.000,sh600276,恒瑞医药
2024-12-18,46.500,46.390,46.850,46.330,247140.000,sh600276,恒瑞医药
2024-12-19,45.980,46.340,46.460,45.680,217461.000,sh600276,恒瑞医药
2024-12-20,46.340,46.050,46.680,46.020,260733.000,sh600276,恒瑞医药
2024-12-23,46.050,45.650,46.130,45.310,361927.000,sh600276,恒瑞医药
2024-12-24,45.650,46.130,46.460,45.580,293991.000,sh600276,恒瑞医药
2024-12-25,46.360,46.420,46.800,46.130,315258.000,sh600276,恒瑞医药
2024-12-26,46.300,45.910,46.340,45.560,255828.000,sh600276,恒瑞医药
2024-12-27,46.000,45.900,46.160,45.700,212505.000,sh600276,恒瑞医药
