,open,high,low,close,volume,code,name
2024-11-20,39.5,40.05,38.9,39.43,22510180.0,sz002812,恩捷股份
2024-11-21,39.16,40.88,39.15,39.72,22131901.0,sz002812,恩捷股份
2024-11-22,39.5,40.73,38.8,38.83,21785879.0,sz002812,恩捷股份
2024-11-25,39.66,41.5,39.5,40.32,26822102.0,sz002812,恩捷股份
2024-11-26,40.49,40.49,37.8,37.85,21733264.0,sz002812,恩捷股份
2024-11-27,37.38,38.0,36.35,37.98,17697093.0,sz002812,恩捷股份
2024-11-28,37.71,38.24,36.86,36.94,12838958.0,sz002812,恩捷股份
2024-11-29,36.89,37.99,36.4,37.25,13790213.0,sz002812,恩捷股份
2024-12-02,37.0,37.76,36.67,37.55,12450361.0,sz002812,恩捷股份
2024-12-03,37.66,37.78,36.6,36.85,13728833.0,sz002812,恩捷股份
2024-12-04,36.56,36.85,35.53,35.67,14152136.0,sz002812,恩捷股份
2024-12-05,35.66,36.25,35.57,35.92,10044602.0,sz002812,恩捷股份
2024-12-06,35.88,36.88,35.46,36.6,12636938.0,sz002812,恩捷股份
2024-12-09,36.33,36.93,36.16,36.86,10068587.0,sz002812,恩捷股份
2024-12-10,38.0,38.2,36.73,36.76,14279790.0,sz002812,恩捷股份
2024-12-11,36.68,37.1,36.59,36.77,8035414.0,sz002812,恩捷股份
2024-12-12,36.68,36.85,36.19,36.54,9754643.0,sz002812,恩捷股份
2024-12-13,36.25,36.35,35.31,35.33,13913537.0,sz002812,恩捷股份
2024-12-16,35.47,35.6,34.05,34.3,13079868.0,sz002812,恩捷股份
2024-12-17,34.32,34.76,33.97,34.12,9028144.0,sz002812,恩捷股份
2024-12-18,34.28,34.4,33.76,33.8,7616186.0,sz002812,恩捷股份
2024-12-19,33.46,33.63,33.11,33.52,8456433.0,sz002812,恩捷股份
2024-12-20,33.52,34.16,33.5,33.77,8512704.0,sz002812,恩捷股份
2024-12-23,33.77,34.15,33.03,33.03,9248635.0,sz002812,恩捷股份
2024-12-24,33.45,33.93,33.25,33.58,8141670.0,sz002812,恩捷股份
2024-12-25,33.54,33.78,32.8,32.95,7322259.0,sz002812,恩捷股份
2024-12-26,33.1,33.4,32.98,33.06,5978429.0,sz002812,恩捷股份
2024-12-27,33.03,33.49,32.91,33.16,7322461.0,sz002812,恩捷股份
2024-12-30,33.1,33.42,32.85,33.1,6649350.0,sz002812,恩捷股份
2024-12-31,33.03,33.2,31.96,31.99,10927468.0,sz002812,恩捷股份
2025-01-02,31.96,32.14,30.8,31.03,10592287.0,sz002812,恩捷股份
2025-01-03,31.05,31.28,30.14,30.14,9429841.0,sz002812,恩捷股份
2025-01-06,30.19,30.65,29.85,30.17,7698990.0,sz002812,恩捷股份
2025-01-07,30.1,30.47,29.89,30.46,6311186.0,sz002812,恩捷股份
2025-01-08,30.28,30.35,29.2,30.01,9411985.0,sz002812,恩捷股份
2025-01-09,29.78,30.45,29.78,30.07,6374106.0,sz002812,恩捷股份
2025-01-10,30.12,30.39,29.16,29.17,7168511.0,sz002812,恩捷股份
2025-01-13,28.94,30.0,28.78,29.86,8828130.0,sz002812,恩捷股份
2025-01-14,29.9,30.77,29.81,30.66,9660466.0,sz002812,恩捷股份
2025-01-15,32.99,33.0,31.43,31.52,21064310.0,sz002812,恩捷股份
2025-01-16,31.5,32.07,30.9,31.3,12836067.0,sz002812,恩捷股份
2025-01-17,31.27,31.64,30.95,31.16,7259299.0,sz002812,恩捷股份
2025-01-20,31.33,31.66,31.16,31.26,7418763.0,sz002812,恩捷股份
2025-01-21,31.4,31.48,30.71,30.87,6865828.0,sz002812,恩捷股份
2025-01-22,30.02,30.02,29.07,29.3,14997382.0,sz002812,恩捷股份
2025-01-23,29.61,29.98,28.88,28.96,10881410.0,sz002812,恩捷股份
2025-01-24,29.0,29.54,28.81,29.4,8090950.0,sz002812,恩捷股份
2025-01-27,29.5,29.88,28.9,28.9,7284100.0,sz002812,恩捷股份
2025-02-05,29.05,29.23,28.8,29.16,7875157.0,sz002812,恩捷股份
2025-02-06,29.05,29.99,28.69,29.98,12704494.0,sz002812,恩捷股份
2025-02-07,29.96,30.68,29.88,30.25,13523255.0,sz002812,恩捷股份
2025-02-10,30.26,30.93,29.95,30.79,12416107.0,sz002812,恩捷股份
2025-02-11,30.99,31.49,30.35,30.53,11342032.0,sz002812,恩捷股份
2025-02-12,30.31,31.39,30.31,31.16,12437728.0,sz002812,恩捷股份
2025-02-13,31.1,31.69,30.93,30.95,13653769.0,sz002812,恩捷股份
2025-02-14,30.87,31.85,30.83,31.38,11997645.0,sz002812,恩捷股份
2025-02-17,31.5,31.78,31.07,31.31,11165433.0,sz002812,恩捷股份
2025-02-18,31.68,32.77,31.43,31.63,22952957.0,sz002812,恩捷股份
2025-02-19,31.4,31.76,30.93,31.76,14503585.0,sz002812,恩捷股份
2025-02-20,31.53,31.59,31.05,31.26,10742080.0,sz002812,恩捷股份
2025-02-21,31.25,31.88,31.2,31.75,16771446.0,sz002812,恩捷股份
2025-02-24,31.73,32.5,31.36,31.94,14729485.0,sz002812,恩捷股份
2025-02-25,31.6,32.24,31.46,31.97,10859112.0,sz002812,恩捷股份
2025-02-26,32.02,33.07,31.77,32.96,18238536.0,sz002812,恩捷股份
2025-02-27,33.01,34.39,32.73,33.45,29722761.0,sz002812,恩捷股份
2025-02-28,33.4,34.15,32.54,32.68,21511441.0,sz002812,恩捷股份
2025-03-03,33.09,35.45,33.04,34.84,35653775.0,sz002812,恩捷股份
2025-03-04,34.0,34.09,33.13,33.87,23263555.0,sz002812,恩捷股份
2025-03-05,33.6,33.63,32.79,33.03,14538254.0,sz002812,恩捷股份
2025-03-06,33.31,33.66,33.0,33.47,13911748.0,sz002812,恩捷股份
2025-03-07,33.33,33.33,32.49,32.6,13555814.0,sz002812,恩捷股份
2025-03-10,32.5,32.9,32.44,32.74,8182530.0,sz002812,恩捷股份
2025-03-11,32.4,32.8,32.17,32.78,9453751.0,sz002812,恩捷股份
2025-03-12,32.85,32.99,32.55,32.6,8476030.0,sz002812,恩捷股份
2025-03-13,32.63,34.28,32.63,33.22,19496597.0,sz002812,恩捷股份
2025-03-14,33.0,34.27,32.66,33.89,20010757.0,sz002812,恩捷股份
2025-03-17,34.05,35.27,33.7,34.98,23737670.0,sz002812,恩捷股份
2025-03-18,34.9,35.12,34.48,34.57,15150551.0,sz002812,恩捷股份
2025-03-19,34.55,34.63,33.61,33.89,12727142.0,sz002812,恩捷股份
2025-03-20,33.83,34.1,33.4,33.45,9051958.0,sz002812,恩捷股份
2025-03-21,33.36,33.8,32.09,32.2,16012657.0,sz002812,恩捷股份
2025-03-24,32.3,32.33,31.42,31.9,9256297.0,sz002812,恩捷股份
2025-03-25,31.97,32.24,31.77,32.13,6981232.0,sz002812,恩捷股份
2025-03-26,32.14,32.29,31.97,31.99,5816903.0,sz002812,恩捷股份
2025-03-27,31.76,32.09,31.34,31.81,6803276.0,sz002812,恩捷股份
2025-03-28,31.82,32.09,31.54,31.56,6106123.0,sz002812,恩捷股份
2025-03-31,31.3,31.53,30.47,30.79,7384277.0,sz002812,恩捷股份
2025-04-01,30.79,31.2,30.79,30.86,5002149.0,sz002812,恩捷股份
2025-04-02,30.85,31.22,30.79,31.19,4786805.0,sz002812,恩捷股份
2025-04-03,30.9,31.4,30.69,31.0,5333532.0,sz002812,恩捷股份
2025-04-07,29.63,29.73,27.9,27.9,13738667.0,sz002812,恩捷股份
2025-04-08,27.74,28.39,27.5,28.05,10957603.0,sz002812,恩捷股份
2025-04-09,27.65,28.2,26.7,28.07,11410905.0,sz002812,恩捷股份
2025-04-10,28.7,28.97,28.29,28.36,10431660.0,sz002812,恩捷股份
2025-04-11,28.1,29.38,28.02,28.94,9357750.0,sz002812,恩捷股份
2025-04-14,29.4,29.45,28.77,28.9,8130836.0,sz002812,恩捷股份
2025-04-15,28.89,29.43,28.81,28.97,6211970.0,sz002812,恩捷股份
2025-04-16,28.89,28.89,28.26,28.63,5937260.0,sz002812,恩捷股份
2025-04-17,28.46,28.92,28.42,28.66,4193602.0,sz002812,恩捷股份
2025-04-18,28.74,28.8,28.37,28.76,3502441.0,sz002812,恩捷股份
2025-04-21,28.18,28.52,27.89,28.45,6610898.0,sz002812,恩捷股份
2025-04-22,28.4,28.59,28.18,28.2,4850252.0,sz002812,恩捷股份
2025-04-23,28.18,28.38,27.8,28.18,8281682.0,sz002812,恩捷股份
2025-04-24,28.29,28.77,27.94,27.96,6602360.0,sz002812,恩捷股份
2025-04-25,27.88,28.12,27.77,27.97,4922115.0,sz002812,恩捷股份
2025-04-28,28.0,28.04,26.34,26.65,15674664.0,sz002812,恩捷股份
2025-04-29,26.52,27.24,26.43,27.12,7794941.0,sz002812,恩捷股份
2025-04-30,27.56,27.8,27.35,27.7,5830650.0,sz002812,恩捷股份
2025-05-06,27.7,28.08,27.63,28.07,6254938.0,sz002812,恩捷股份
2025-05-07,28.46,28.51,27.8,28.08,6655170.0,sz002812,恩捷股份
2025-05-08,27.94,28.88,27.85,28.66,7765899.0,sz002812,恩捷股份
2025-05-09,28.54,28.63,27.98,28.5,6841787.0,sz002812,恩捷股份
2025-05-12,28.86,29.23,28.75,29.19,8749776.0,sz002812,恩捷股份
2025-05-13,29.46,29.48,28.86,29.17,8300711.0,sz002812,恩捷股份
2025-05-14,29.04,29.38,28.8,29.25,6473597.0,sz002812,恩捷股份
2025-05-15,29.08,29.18,28.62,28.62,5632045.0,sz002812,恩捷股份
2025-05-16,28.58,28.85,28.42,28.44,4557515.0,sz002812,恩捷股份
2025-05-19,28.44,28.47,27.96,28.43,5501000.0,sz002812,恩捷股份
2025-05-20,28.53,28.88,28.36,28.7,5808745.0,sz002812,恩捷股份
2025-05-21,28.71,30.5,28.71,29.69,21631320.0,sz002812,恩捷股份
2025-05-22,29.29,29.38,28.75,28.76,11179250.0,sz002812,恩捷股份
2025-05-23,28.71,29.08,28.41,28.48,7171645.0,sz002812,恩捷股份
2025-05-26,28.35,28.38,28.02,28.1,6472339.0,sz002812,恩捷股份
2025-05-27,28.1,28.72,27.87,28.43,7644518.0,sz002812,恩捷股份
2025-05-28,28.29,28.35,27.94,27.96,5001522.0,sz002812,恩捷股份
2025-05-29,27.94,28.26,27.9,28.2,4581634.0,sz002812,恩捷股份
2025-05-30,28.15,28.15,27.77,27.79,5402185.0,sz002812,恩捷股份
2025-06-03,27.65,27.83,27.45,27.7,5910646.0,sz002812,恩捷股份
2025-06-04,27.77,28.21,27.76,27.99,8093164.0,sz002812,恩捷股份
