date,open,high,low,close,volume,code,name
2024-11-25,14.509,14.769,14.789,14.449,268757.000,sh601838,成都银行
2024-11-26,14.719,14.839,14.889,14.589,186455.000,sh601838,成都银行
2024-11-27,14.809,15.039,15.069,14.719,275075.000,sh601838,成都银行
2024-11-28,15.039,15.039,15.109,14.889,186789.000,sh601838,成都银行
2024-11-29,15.039,15.029,15.169,14.989,224788.000,sh601838,成都银行
2024-12-02,15.009,14.899,15.049,14.849,271928.000,sh601838,成都银行
2024-12-03,14.919,15.119,15.129,14.879,305387.000,sh601838,成都银行
2024-12-04,15.069,15.399,15.519,14.979,496704.000,sh601838,成都银行
2024-12-05,15.399,15.249,15.509,15.219,217996.000,sh601838,成都银行
2024-12-06,15.239,15.259,15.469,15.199,254419.000,sh601838,成都银行
2024-12-09,15.239,15.319,15.449,15.179,253274.000,sh601838,成都银行
2024-12-10,15.579,15.529,15.659,15.199,391058.000,sh601838,成都银行
2024-12-11,15.489,15.159,15.529,15.139,429635.000,sh601838,成都银行
2024-12-12,15.139,15.329,15.419,15.119,363847.000,sh601838,成都银行
2024-12-13,15.339,15.169,15.389,15.139,363608.000,sh601838,成都银行
2024-12-16,15.199,15.609,15.739,15.189,873476.000,sh601838,成都银行
2024-12-17,15.529,15.579,15.809,15.529,478067.000,sh601838,成都银行
2024-12-18,15.509,15.429,15.719,15.359,655979.000,sh601838,成都银行
2024-12-19,15.399,15.289,15.549,15.229,412246.000,sh601838,成都银行
2024-12-20,15.269,15.189,15.399,15.169,345557.000,sh601838,成都银行
2024-12-23,15.189,15.489,15.619,15.189,483439.000,sh601838,成都银行
2024-12-24,15.449,15.569,15.589,15.449,425212.000,sh601838,成都银行
2024-12-25,15.559,16.079,16.099,15.559,514288.000,sh601838,成都银行
2024-12-26,15.959,15.959,16.079,15.779,332163.000,sh601838,成都银行
2024-12-27,15.959,15.959,16.069,15.659,313029.000,sh601838,成都银行
2024-12-30,15.899,16.189,16.249,15.899,361291.000,sh601838,成都银行
2024-12-31,16.179,16.219,16.419,16.169,382184.000,sh601838,成都银行
2025-01-02,16.319,15.899,16.599,15.819,467089.000,sh601838,成都银行
2025-01-03,15.939,15.539,16.049,15.509,368873.000,sh601838,成都银行
2025-01-06,15.539,15.669,15.709,15.239,312637.000,sh601838,成都银行
2025-01-07,15.619,15.969,15.979,15.509,258879.000,sh601838,成都银行
2025-01-08,15.959,16.229,16.259,15.929,286209.000,sh601838,成都银行
2025-01-09,16.259,16.229,16.399,15.989,201217.000,sh601838,成都银行
2025-01-10,16.239,16.069,16.389,15.869,192161.000,sh601838,成都银行
2025-01-13,15.909,15.789,16.079,15.719,240241.000,sh601838,成都银行
2025-01-14,15.829,16.019,16.169,15.759,340548.000,sh601838,成都银行
2025-01-15,15.959,15.939,16.279,15.859,273249.000,sh601838,成都银行
2025-01-16,16.029,16.199,16.209,15.859,282405.000,sh601838,成都银行
2025-01-17,16.179,16.189,16.329,16.109,203469.000,sh601838,成都银行
2025-01-20,16.219,16.009,16.469,15.989,295343.000,sh601838,成都银行
2025-01-21,16.179,15.869,16.179,15.839,243754.000,sh601838,成都银行
2025-01-22,15.839,15.499,15.879,15.459,297494.000,sh601838,成都银行
2025-01-23,15.609,15.799,15.939,15.589,281170.000,sh601838,成都银行
2025-01-24,15.789,15.959,16.019,15.479,285031.000,sh601838,成都银行
2025-01-27,15.959,16.299,16.339,15.959,241515.000,sh601838,成都银行
2025-02-05,16.229,15.919,16.299,15.889,275970.000,sh601838,成都银行
2025-02-06,15.859,15.739,16.099,15.609,368163.000,sh601838,成都银行
2025-02-07,15.719,15.659,15.909,15.629,338374.000,sh601838,成都银行
2025-02-10,15.659,15.569,15.709,15.369,304920.000,sh601838,成都银行
2025-02-11,15.609,15.779,15.939,15.599,365080.000,sh601838,成都银行
2025-02-12,15.849,15.979,15.999,15.729,261965.000,sh601838,成都银行
2025-02-13,15.979,15.859,16.049,15.859,209125.000,sh601838,成都银行
2025-02-14,15.849,15.879,15.939,15.769,216264.000,sh601838,成都银行
2025-02-17,15.859,15.709,15.949,15.599,229418.000,sh601838,成都银行
2025-02-18,15.669,15.959,16.079,15.669,282516.000,sh601838,成都银行
2025-02-19,15.969,15.889,16.089,15.859,225959.000,sh601838,成都银行
2025-02-20,15.919,15.789,15.949,15.749,156201.000,sh601838,成都银行
2025-02-21,15.759,15.489,15.809,15.419,388470.000,sh601838,成都银行
2025-02-24,15.469,15.229,15.479,15.199,385935.000,sh601838,成都银行
2025-02-25,15.289,14.939,15.319,14.879,365526.000,sh601838,成都银行
2025-02-26,14.919,14.959,15.129,14.909,229716.000,sh601838,成都银行
2025-02-27,14.979,15.189,15.199,14.829,265139.000,sh601838,成都银行
2025-02-28,15.169,15.159,15.279,15.119,242002.000,sh601838,成都银行
2025-03-03,15.209,15.269,15.299,15.059,201280.000,sh601838,成都银行
