,open,high,low,close,volume,code,name
2024-11-26,28.8,29.63,28.66,28.95,22943708.0,sz300122,智飞生物
2024-11-27,28.95,29.46,28.56,29.45,22234802.0,sz300122,智飞生物
2024-11-28,29.47,29.55,28.98,29.0,18764584.0,sz300122,智飞生物
2024-11-29,29.15,29.73,29.0,29.39,23481306.0,sz300122,智飞生物
2024-12-02,29.28,29.84,29.12,29.74,24848184.0,sz300122,智飞生物
2024-12-03,29.75,29.78,29.25,29.49,19637373.0,sz300122,智飞生物
2024-12-04,29.35,29.4,28.65,28.74,21853567.0,sz300122,智飞生物
2024-12-05,28.74,29.04,28.61,29.02,16975993.0,sz300122,智飞生物
2024-12-06,29.14,30.43,29.05,30.31,45912124.0,sz300122,智飞生物
2024-12-09,30.93,30.94,29.83,29.97,32241526.0,sz300122,智飞生物
2024-12-10,31.4,31.4,29.85,29.92,39815749.0,sz300122,智飞生物
2024-12-11,29.8,30.11,29.74,30.01,18898224.0,sz300122,智飞生物
2024-12-12,30.05,30.1,29.63,30.0,21257180.0,sz300122,智飞生物
2024-12-13,29.76,29.78,28.76,28.8,31014153.0,sz300122,智飞生物
2024-12-16,28.72,28.74,28.02,28.17,19773156.0,sz300122,智飞生物
2024-12-17,28.2,28.42,27.98,28.27,17196733.0,sz300122,智飞生物
2024-12-18,28.26,28.37,28.1,28.15,13392460.0,sz300122,智飞生物
2024-12-19,27.8,27.99,27.39,27.96,19621111.0,sz300122,智飞生物
2024-12-20,27.85,28.36,27.8,28.16,14426532.0,sz300122,智飞生物
2024-12-23,28.21,28.33,27.53,27.59,16063302.0,sz300122,智飞生物
2024-12-24,27.58,27.99,27.57,27.86,11101223.0,sz300122,智飞生物
2024-12-25,27.85,28.21,27.5,28.04,14413561.0,sz300122,智飞生物
2024-12-26,28.05,28.23,27.88,27.99,12259790.0,sz300122,智飞生物
2024-12-27,27.99,28.14,27.76,27.93,13321442.0,sz300122,智飞生物
2024-12-30,27.92,27.92,27.46,27.53,14381750.0,sz300122,智飞生物
2024-12-31,27.6,27.67,26.3,26.3,21931841.0,sz300122,智飞生物
2025-01-02,26.2,26.39,25.01,25.24,20946114.0,sz300122,智飞生物
2025-01-03,25.3,25.45,24.7,24.77,17010901.0,sz300122,智飞生物
2025-01-06,24.77,25.8,24.77,25.57,21687927.0,sz300122,智飞生物
2025-01-07,25.63,25.63,24.92,25.34,14626655.0,sz300122,智飞生物
2025-01-08,25.28,25.54,24.78,25.17,15013357.0,sz300122,智飞生物
2025-01-09,25.1,25.28,24.83,24.96,12297607.0,sz300122,智飞生物
2025-01-10,24.95,24.99,24.22,24.22,13671202.0,sz300122,智飞生物
2025-01-13,24.0,24.6,23.96,24.49,10886742.0,sz300122,智飞生物
2025-01-14,24.53,25.32,24.49,25.31,17201557.0,sz300122,智飞生物
2025-01-15,25.2,25.24,24.89,24.99,10726446.0,sz300122,智飞生物
2025-01-16,25.15,25.45,24.8,24.9,10788750.0,sz300122,智飞生物
