date,open,high,low,close,volume,code,name
2024-11-26,37.849,38.189,38.429,37.519,394506.000,sz000651,格力电器
2024-11-27,38.299,39.099,39.099,38.169,432240.000,sz000651,格力电器
2024-11-28,39.069,38.609,39.199,38.509,263825.000,sz000651,格力电器
2024-11-29,38.619,39.089,39.219,38.519,346381.000,sz000651,格力电器
2024-12-02,39.089,39.049,39.159,38.409,391868.000,sz000651,格力电器
2024-12-03,38.929,39.359,39.409,38.859,348412.000,sz000651,格力电器
2024-12-04,39.389,39.639,40.399,39.079,536984.000,sz000651,格力电器
2024-12-05,39.659,39.329,40.059,39.239,304191.000,sz000651,格力电器
2024-12-06,39.309,39.279,39.669,39.119,384860.000,sz000651,格力电器
2024-12-09,39.289,39.359,39.639,38.619,353740.000,sz000651,格力电器
2024-12-10,40.529,39.989,41.199,39.929,759261.000,sz000651,格力电器
2024-12-11,39.929,40.319,40.609,39.819,326087.000,sz000651,格力电器
2024-12-12,40.219,40.469,40.559,40.059,323960.000,sz000651,格力电器
2024-12-13,40.319,40.009,40.409,39.759,435002.000,sz000651,格力电器
2024-12-16,39.869,39.889,40.449,39.719,309204.000,sz000651,格力电器
2024-12-17,39.869,40.009,40.539,39.769,334839.000,sz000651,格力电器
2024-12-18,40.199,40.459,40.569,40.139,297198.000,sz000651,格力电器
2024-12-19,40.309,40.659,40.999,40.179,434387.000,sz000651,格力电器
2024-12-20,40.659,40.269,40.959,40.209,350966.000,sz000651,格力电器
2024-12-23,40.329,41.499,41.709,40.319,693206.000,sz000651,格力电器
2024-12-24,41.529,42.589,43.119,41.529,700826.000,sz000651,格力电器
2024-12-25,42.759,42.449,42.999,42.219,400878.000,sz000651,格力电器
2024-12-26,42.459,42.449,42.639,42.009,324527.000,sz000651,格力电器
2024-12-27,42.449,42.069,42.629,41.619,379156.000,sz000651,格力电器
2024-12-30,42.069,42.579,42.969,42.069,388822.000,sz000651,格力电器
2024-12-31,42.609,42.459,42.959,42.239,424767.000,sz000651,格力电器
2025-01-02,43.489,43.349,44.489,43.009,952532.000,sz000651,格力电器
2025-01-03,43.389,42.749,44.329,42.609,527086.000,sz000651,格力电器
2025-01-06,42.949,43.029,43.529,42.289,542128.000,sz000651,格力电器
2025-01-07,42.819,42.659,43.369,42.109,444061.000,sz000651,格力电器
2025-01-08,42.609,44.249,44.389,42.459,778213.000,sz000651,格力电器
2025-01-09,44.309,44.509,44.659,43.719,454126.000,sz000651,格力电器
2025-01-10,44.349,43.409,44.769,43.259,371613.000,sz000651,格力电器
2025-01-13,42.809,41.909,42.979,41.699,421112.000,sz000651,格力电器
2025-01-14,41.869,42.649,42.879,41.799,315822.000,sz000651,格力电器
2025-01-15,42.529,43.099,43.849,42.469,328817.000,sz000651,格力电器
2025-01-16,43.309,43.309,44.149,43.129,297938.000,sz000651,格力电器
2025-01-17,43.159,43.009,43.399,42.549,245895.000,sz000651,格力电器
2025-01-20,43.029,42.089,43.389,41.709,618773.000,sz000651,格力电器
2025-01-21,42.389,41.769,42.409,41.629,300011.000,sz000651,格力电器
2025-01-22,41.669,41.069,41.749,40.559,396856.000,sz000651,格力电器
2025-01-23,41.259,41.279,41.829,41.109,375098.000,sz000651,格力电器
2025-01-24,41.279,41.469,41.889,40.939,331517.000,sz000651,格力电器
2025-01-27,41.479,41.899,42.279,41.479,283540.000,sz000651,格力电器
2025-02-05,41.549,40.839,41.809,40.749,344665.000,sz000651,格力电器
2025-02-06,40.879,40.649,41.049,40.339,343097.000,sz000651,格力电器
2025-02-07,40.689,41.129,41.279,40.319,401399.000,sz000651,格力电器
2025-02-10,41.129,40.889,41.249,40.659,305898.000,sz000651,格力电器
