date,open,high,low,close,volume,code,name
2024-11-25,3.682,3.692,3.722,3.672,2801666.000,sh600016,民生银行
2024-11-26,3.692,3.732,3.752,3.662,2378417.000,sh600016,民生银行
2024-11-27,3.712,3.752,3.752,3.672,2035436.000,sh600016,民生银行
2024-11-28,3.732,3.742,3.772,3.722,1745082.000,sh600016,民生银行
2024-11-29,3.742,3.762,3.842,3.742,3062647.000,sh600016,民生银行
2024-12-02,3.762,3.782,3.792,3.732,2197577.000,sh600016,民生银行
2024-12-03,3.772,3.842,3.842,3.772,2542357.000,sh600016,民生银行
2024-12-04,3.842,3.852,3.872,3.812,2464741.000,sh600016,民生银行
2024-12-05,3.832,3.822,3.862,3.812,1810655.000,sh600016,民生银行
2024-12-06,3.832,3.862,3.892,3.822,2248575.000,sh600016,民生银行
2024-12-09,3.872,3.872,3.902,3.842,2009601.000,sh600016,民生银行
2024-12-10,3.932,3.892,3.962,3.872,2496579.000,sh600016,民生银行
2024-12-11,3.882,3.862,3.912,3.842,2092971.000,sh600016,民生银行
2024-12-12,3.872,3.942,3.942,3.852,3177846.000,sh600016,民生银行
2024-12-13,3.932,3.862,3.952,3.852,3936916.000,sh600016,民生银行
2024-12-16,3.852,3.872,3.912,3.842,2500939.000,sh600016,民生银行
2024-12-17,3.882,3.822,3.902,3.812,2398697.000,sh600016,民生银行
2024-12-18,3.842,3.872,3.912,3.832,2202409.000,sh600016,民生银行
2024-12-19,3.852,3.832,3.872,3.802,2066204.000,sh600016,民生银行
2024-12-20,3.832,3.832,3.852,3.812,1589200.000,sh600016,民生银行
2024-12-23,3.842,3.872,3.902,3.832,2390657.000,sh600016,民生银行
2024-12-24,3.872,3.902,3.912,3.862,1888896.000,sh600016,民生银行
2024-12-25,3.912,3.922,3.962,3.902,2165076.000,sh600016,民生银行
2024-12-26,3.912,3.882,3.932,3.872,1461696.000,sh600016,民生银行
2024-12-27,3.882,3.902,3.912,3.852,1836502.000,sh600016,民生银行
2024-12-30,3.902,3.992,4.002,3.902,3094325.000,sh600016,民生银行
2024-12-31,3.992,3.932,4.082,3.922,3084614.000,sh600016,民生银行
2025-01-02,3.942,3.812,3.982,3.792,3683967.000,sh600016,民生银行
2025-01-03,3.822,3.802,3.852,3.772,2602005.000,sh600016,民生银行
2025-01-06,3.812,3.822,3.832,3.732,2300340.000,sh600016,民生银行
2025-01-07,3.812,3.862,3.862,3.792,1652008.000,sh600016,民生银行
2025-01-08,3.862,3.842,3.902,3.812,2408227.000,sh600016,民生银行
2025-01-09,3.852,3.802,3.852,3.792,1762826.000,sh600016,民生银行
2025-01-10,3.802,3.772,3.822,3.762,1626790.000,sh600016,民生银行
2025-01-13,3.762,3.732,3.772,3.692,1810444.000,sh600016,民生银行
