,open,high,low,close,volume,code,name
2024-11-26,57.88,58.3,57.3,57.3,12084899.0,sz300124,汇川技术
2024-11-27,57.0,59.16,56.98,59.02,17009161.0,sz300124,汇川技术
2024-11-28,59.02,59.27,57.79,58.3,13698292.0,sz300124,汇川技术
2024-11-29,58.29,61.0,57.61,60.3,29528987.0,sz300124,汇川技术
2024-12-02,61.5,63.5,61.33,62.98,48347944.0,sz300124,汇川技术
2024-12-03,63.0,63.0,61.46,62.35,25978801.0,sz300124,汇川技术
2024-12-04,61.95,63.6,61.06,62.24,27335660.0,sz300124,汇川技术
2024-12-05,62.0,62.98,61.04,61.99,19832263.0,sz300124,汇川技术
2024-12-06,62.03,62.74,61.04,62.17,22374751.0,sz300124,汇川技术
2024-12-09,62.17,63.53,61.7,62.52,24959736.0,sz300124,汇川技术
2024-12-10,65.05,65.37,62.67,62.79,37520364.0,sz300124,汇川技术
2024-12-11,62.31,62.58,61.34,61.57,21364341.0,sz300124,汇川技术
2024-12-12,61.1,61.78,60.8,61.25,21014966.0,sz300124,汇川技术
2024-12-13,60.86,61.65,60.35,60.5,33721962.0,sz300124,汇川技术
2024-12-16,59.7,60.28,58.54,59.9,25261255.0,sz300124,汇川技术
2024-12-17,59.52,60.3,58.9,59.22,15129952.0,sz300124,汇川技术
2024-12-18,59.35,59.79,58.75,59.31,14622544.0,sz300124,汇川技术
2024-12-19,58.82,60.5,58.56,59.83,16409028.0,sz300124,汇川技术
2024-12-20,59.8,60.38,59.29,59.45,17227548.0,sz300124,汇川技术
2024-12-23,59.21,59.6,58.13,58.5,21999209.0,sz300124,汇川技术
2024-12-24,58.84,60.15,58.61,59.3,16134406.0,sz300124,汇川技术
2024-12-25,59.44,59.88,58.85,59.48,12391118.0,sz300124,汇川技术
2024-12-26,59.48,60.2,59.17,60.08,15585403.0,sz300124,汇川技术
2024-12-27,60.14,60.26,59.0,59.39,23792560.0,sz300124,汇川技术
2024-12-30,59.39,61.22,59.39,60.08,22090429.0,sz300124,汇川技术
2024-12-31,60.08,60.22,58.58,58.58,16402538.0,sz300124,汇川技术
2025-01-02,58.67,58.71,55.98,56.3,20415841.0,sz300124,汇川技术
2025-01-03,56.74,57.33,55.71,55.94,15341875.0,sz300124,汇川技术
2025-01-06,55.89,56.52,55.15,55.76,13652562.0,sz300124,汇川技术
2025-01-07,56.0,56.65,55.74,56.64,11771512.0,sz300124,汇川技术
2025-01-08,56.66,57.52,55.0,56.79,16160092.0,sz300124,汇川技术
2025-01-09,56.48,57.77,56.33,57.2,12935574.0,sz300124,汇川技术
2025-01-10,57.28,62.15,57.25,59.99,49244814.0,sz300124,汇川技术
2025-01-13,59.5,60.75,58.1,58.35,24941822.0,sz300124,汇川技术
2025-01-14,58.36,61.85,58.11,61.8,41437460.0,sz300124,汇川技术
2025-01-15,61.28,61.93,60.45,60.71,27366012.0,sz300124,汇川技术
2025-01-16,61.09,61.95,59.9,60.42,22537225.0,sz300124,汇川技术
2025-01-17,60.11,61.44,59.8,60.55,19088140.0,sz300124,汇川技术
2025-01-20,60.77,61.39,59.69,59.9,19213645.0,sz300124,汇川技术
2025-01-21,60.53,61.93,60.01,61.49,29468857.0,sz300124,汇川技术
2025-01-22,61.07,61.28,60.21,60.71,17412444.0,sz300124,汇川技术
2025-01-23,61.37,63.1,60.6,61.75,44732436.0,sz300124,汇川技术
2025-01-24,61.5,64.35,61.33,63.13,44766677.0,sz300124,汇川技术
2025-01-27,63.14,63.33,60.19,60.19,29472930.0,sz300124,汇川技术
2025-02-05,61.62,64.38,61.5,63.1,46833502.0,sz300124,汇川技术
2025-02-06,63.15,70.25,62.58,69.41,87023359.0,sz300124,汇川技术
2025-02-07,69.0,69.7,67.7,69.0,59384162.0,sz300124,汇川技术
2025-02-10,68.45,68.72,66.8,68.28,37981863.0,sz300124,汇川技术
2025-02-11,68.31,69.64,67.7,68.47,39770234.0,sz300124,汇川技术
2025-02-12,67.97,68.53,66.55,68.12,34883686.0,sz300124,汇川技术
2025-02-13,67.6,67.99,65.06,65.09,46137150.0,sz300124,汇川技术
2025-02-14,65.0,67.68,64.68,66.59,38243854.0,sz300124,汇川技术
2025-02-17,66.6,67.75,66.16,67.58,32432718.0,sz300124,汇川技术
2025-02-18,67.4,68.18,66.39,66.73,28809876.0,sz300124,汇川技术
2025-02-19,66.39,73.49,66.33,72.56,87681500.0,sz300124,汇川技术
2025-02-20,72.06,73.4,70.81,72.48,49268934.0,sz300124,汇川技术
2025-02-21,72.0,75.79,71.85,73.92,55139787.0,sz300124,汇川技术
2025-02-24,74.25,75.29,72.6,74.0,42288095.0,sz300124,汇川技术
2025-02-25,72.74,76.0,72.45,74.42,46507824.0,sz300124,汇川技术
2025-02-26,74.43,81.71,73.8,77.98,68528921.0,sz300124,汇川技术
2025-02-27,77.12,78.44,75.6,77.7,43482636.0,sz300124,汇川技术
2025-02-28,76.38,76.85,71.85,72.15,57073936.0,sz300124,汇川技术
2025-03-03,72.6,74.08,71.55,72.41,34242436.0,sz300124,汇川技术
2025-03-04,71.69,75.14,71.65,74.07,33426419.0,sz300124,汇川技术
2025-03-05,73.5,77.5,73.4,76.35,43096724.0,sz300124,汇川技术
2025-03-06,77.0,78.77,76.44,77.27,37637171.0,sz300124,汇川技术
2025-03-07,76.61,78.0,76.0,76.7,25951958.0,sz300124,汇川技术
2025-03-10,77.0,79.15,75.86,77.6,34888923.0,sz300124,汇川技术
2025-03-11,76.5,79.69,76.18,78.05,36025295.0,sz300124,汇川技术
2025-03-12,77.3,77.66,74.38,74.7,41276519.0,sz300124,汇川技术
2025-03-13,74.38,74.58,71.98,72.4,33355332.0,sz300124,汇川技术
2025-03-14,72.25,74.66,71.45,73.72,38747074.0,sz300124,汇川技术
2025-03-17,72.22,72.5,69.88,70.41,60002880.0,sz300124,汇川技术
2025-03-18,70.42,71.14,70.01,70.9,27968259.0,sz300124,汇川技术
2025-03-19,70.91,73.14,70.4,72.74,35458242.0,sz300124,汇川技术
2025-03-20,72.02,72.42,70.69,71.52,23281347.0,sz300124,汇川技术
2025-03-21,71.05,71.33,69.2,69.43,25006967.0,sz300124,汇川技术
2025-03-24,69.43,70.27,68.7,69.94,20746051.0,sz300124,汇川技术
2025-03-25,69.76,70.08,68.36,68.65,15313061.0,sz300124,汇川技术
