date,open,high,low,close,volume,code,name
2024-11-25,8.339,8.359,8.419,8.319,815478.000,sh600919,江苏银行
2024-11-26,8.329,8.389,8.419,8.279,911335.000,sh600919,江苏银行
2024-11-27,8.369,8.419,8.459,8.289,828064.000,sh600919,江苏银行
2024-11-28,8.539,8.419,8.559,8.409,1261034.000,sh600919,江苏银行
2024-11-29,8.449,8.529,8.609,8.439,1452638.000,sh600919,江苏银行
2024-12-02,8.389,8.239,8.459,8.229,3781743.000,sh600919,江苏银行
2024-12-03,8.269,8.379,8.389,8.259,2001133.000,sh600919,江苏银行
2024-12-04,8.369,8.399,8.429,8.299,1322941.000,sh600919,江苏银行
2024-12-05,8.389,8.369,8.449,8.349,1342568.000,sh600919,江苏银行
2024-12-06,8.379,8.529,8.599,8.369,1857758.000,sh600919,江苏银行
2024-12-09,8.529,8.639,8.669,8.509,1399091.000,sh600919,江苏银行
2024-12-10,8.709,8.719,8.819,8.589,1512046.000,sh600919,江苏银行
2024-12-11,8.709,8.649,8.759,8.629,1166984.000,sh600919,江苏银行
2024-12-12,8.679,8.799,8.839,8.669,1374182.000,sh600919,江苏银行
2024-12-13,8.799,8.619,8.799,8.609,1511894.000,sh600919,江苏银行
2024-12-16,8.639,8.679,8.759,8.629,989433.000,sh600919,江苏银行
2024-12-17,8.669,8.749,8.769,8.659,1276795.000,sh600919,江苏银行
2024-12-18,8.759,8.869,8.919,8.749,1446076.000,sh600919,江苏银行
2024-12-19,8.839,8.779,8.919,8.779,997397.000,sh600919,江苏银行
2024-12-20,8.799,8.839,8.919,8.799,1093053.000,sh600919,江苏银行
2024-12-23,8.849,8.899,9.009,8.849,1419565.000,sh600919,江苏银行
2024-12-24,8.919,9.049,9.069,8.859,1403164.000,sh600919,江苏银行
2024-12-25,9.079,9.199,9.209,9.049,1096255.000,sh600919,江苏银行
2024-12-26,9.209,9.249,9.259,9.089,949287.000,sh600919,江苏银行
2024-12-27,9.229,9.189,9.299,9.029,1304633.000,sh600919,江苏银行
2024-12-30,9.169,9.379,9.429,9.159,1407863.000,sh600919,江苏银行
2024-12-31,9.389,9.299,9.489,9.299,1354919.000,sh600919,江苏银行
2025-01-02,9.329,9.199,9.439,9.149,1466724.000,sh600919,江苏银行
2025-01-03,9.229,9.079,9.269,9.049,1268622.000,sh600919,江苏银行
2025-01-06,9.079,9.119,9.129,8.879,1152520.000,sh600919,江苏银行
2025-01-07,9.119,9.209,9.229,9.039,853353.000,sh600919,江苏银行
2025-01-08,9.209,9.309,9.349,9.199,1045220.000,sh600919,江苏银行
2025-01-09,9.329,9.339,9.449,9.179,1247056.000,sh600919,江苏银行
2025-01-10,9.376,9.316,9.436,9.146,1267261.000,sh600919,江苏银行
2025-01-13,9.246,9.266,9.356,9.166,827089.000,sh600919,江苏银行
2025-01-14,9.286,9.206,9.366,9.186,1422951.000,sh600919,江苏银行
2025-01-15,9.196,9.386,9.436,9.186,1332056.000,sh600919,江苏银行
2025-01-16,9.436,9.616,9.656,9.396,1058083.000,sh600919,江苏银行
2025-01-17,9.576,9.546,9.676,9.526,713806.000,sh600919,江苏银行
2025-01-20,9.566,9.456,9.606,9.456,819923.000,sh600919,江苏银行
2025-01-21,9.506,9.376,9.516,9.356,690063.000,sh600919,江苏银行
2025-01-22,9.386,9.236,9.396,9.216,1007252.000,sh600919,江苏银行
2025-01-23,9.296,9.376,9.426,9.296,950384.000,sh600919,江苏银行
2025-01-24,9.296,9.556,9.566,9.176,1296989.000,sh600919,江苏银行
2025-01-27,9.606,9.716,9.766,9.586,1099595.000,sh600919,江苏银行
2025-02-05,9.706,9.536,9.716,9.506,976379.000,sh600919,江苏银行
2025-02-06,9.516,9.466,9.646,9.386,971462.000,sh600919,江苏银行
2025-02-07,9.476,9.346,9.476,9.326,1397878.000,sh600919,江苏银行
2025-02-10,9.296,9.306,9.386,9.226,1275471.000,sh600919,江苏银行
2025-02-11,9.306,9.346,9.396,9.286,850677.000,sh600919,江苏银行
2025-02-12,9.336,9.316,9.406,9.286,801270.000,sh600919,江苏银行
2025-02-13,9.306,9.286,9.336,9.286,744893.000,sh600919,江苏银行
2025-02-14,9.296,9.236,9.306,9.206,1101702.000,sh600919,江苏银行
2025-02-17,9.246,9.146,9.276,9.096,1497831.000,sh600919,江苏银行
2025-02-18,9.156,9.266,9.316,9.156,1362275.000,sh600919,江苏银行
2025-02-19,9.276,9.216,9.296,9.186,925778.000,sh600919,江苏银行
2025-02-20,9.216,9.166,9.226,9.146,675336.000,sh600919,江苏银行
2025-02-21,9.156,8.956,9.156,8.896,2623722.000,sh600919,江苏银行
2025-02-24,8.886,8.866,8.976,8.836,1492961.000,sh600919,江苏银行
2025-02-25,8.856,8.766,8.906,8.726,1578166.000,sh600919,江苏银行
2025-02-26,8.736,8.756,8.856,8.726,1320144.000,sh600919,江苏银行
2025-02-27,8.786,8.966,8.976,8.736,1800260.000,sh600919,江苏银行
2025-02-28,8.996,8.916,9.086,8.916,1231897.000,sh600919,江苏银行
2025-03-03,8.956,9.016,9.016,8.846,1041089.000,sh600919,江苏银行
2025-03-04,9.016,9.076,9.116,8.986,958759.000,sh600919,江苏银行
2025-03-05,9.086,9.256,9.296,9.046,1485303.000,sh600919,江苏银行
2025-03-06,9.256,9.166,9.276,9.136,1151099.000,sh600919,江苏银行
2025-03-07,9.176,9.086,9.206,9.076,856952.000,sh600919,江苏银行
2025-03-10,9.056,9.056,9.076,8.976,876137.000,sh600919,江苏银行
2025-03-11,9.016,9.106,9.106,9.016,696102.000,sh600919,江苏银行
2025-03-12,9.076,9.006,9.126,8.996,937974.000,sh600919,江苏银行
2025-03-13,9.006,9.126,9.136,8.996,983902.000,sh600919,江苏银行
2025-03-14,9.116,9.026,9.206,9.016,2070923.000,sh600919,江苏银行
2025-03-17,9.056,9.126,9.186,9.006,1538200.000,sh600919,江苏银行
2025-03-18,9.156,9.136,9.216,9.116,922393.000,sh600919,江苏银行
2025-03-19,9.156,9.196,9.226,9.116,908018.000,sh600919,江苏银行
2025-03-20,9.226,9.216,9.306,9.216,882131.000,sh600919,江苏银行
2025-03-21,9.226,9.146,9.286,9.136,924587.000,sh600919,江苏银行
2025-03-24,9.176,9.256,9.266,9.146,1111097.000,sh600919,江苏银行
2025-03-25,9.256,9.366,9.376,9.246,962638.000,sh600919,江苏银行
2025-03-26,9.356,9.236,9.386,9.236,898965.000,sh600919,江苏银行
2025-03-27,9.236,9.336,9.366,9.236,893388.000,sh600919,江苏银行
2025-03-28,9.336,9.296,9.376,9.286,634760.000,sh600919,江苏银行
2025-03-31,9.326,9.286,9.386,9.266,942475.000,sh600919,江苏银行
2025-04-01,9.286,9.366,9.376,9.226,1075964.000,sh600919,江苏银行
2025-04-02,9.356,9.536,9.576,9.356,1197633.000,sh600919,江苏银行
2025-04-03,9.476,9.526,9.586,9.466,756602.000,sh600919,江苏银行
2025-04-07,9.226,9.096,9.286,8.866,2631352.000,sh600919,江苏银行
2025-04-08,9.056,9.176,9.206,9.006,2059110.000,sh600919,江苏银行
2025-04-09,9.106,9.116,9.186,9.026,1657444.000,sh600919,江苏银行
2025-04-10,9.156,9.276,9.286,9.126,1383852.000,sh600919,江苏银行
2025-04-11,9.236,9.156,9.256,9.106,1043419.000,sh600919,江苏银行
2025-04-14,9.166,9.176,9.206,9.146,771830.000,sh600919,江苏银行
2025-04-15,9.166,9.356,9.366,9.156,1240993.000,sh600919,江苏银行
2025-04-16,9.336,9.526,9.536,9.336,1251640.000,sh600919,江苏银行
2025-04-17,9.506,9.626,9.636,9.436,1122397.000,sh600919,江苏银行
2025-04-18,9.586,9.656,9.676,9.586,926070.000,sh600919,江苏银行
2025-04-21,9.666,9.556,9.816,9.556,1426299.000,sh600919,江苏银行
2025-04-22,9.586,9.726,9.766,9.586,1087182.000,sh600919,江苏银行
2025-04-23,9.736,9.646,9.786,9.646,869282.000,sh600919,江苏银行
2025-04-24,9.686,9.746,9.776,9.666,843690.000,sh600919,江苏银行
2025-04-25,9.756,9.716,9.806,9.666,726967.000,sh600919,江苏银行
2025-04-28,9.746,9.916,9.966,9.736,1531644.000,sh600919,江苏银行
2025-04-29,9.936,10.156,10.176,9.936,1823253.000,sh600919,江苏银行
2025-04-30,10.116,9.946,10.166,9.926,1324223.000,sh600919,江苏银行
2025-05-06,9.936,9.796,9.986,9.746,1355116.000,sh600919,江苏银行
2025-05-07,9.846,9.946,10.006,9.826,942615.000,sh600919,江苏银行
2025-05-08,9.946,10.196,10.196,9.936,1340972.000,sh600919,江苏银行
2025-05-09,10.196,10.386,10.386,10.166,1107360.000,sh600919,江苏银行
2025-05-12,10.356,10.406,10.486,10.256,1067209.000,sh600919,江苏银行
2025-05-13,10.406,10.596,10.656,10.396,1156568.000,sh600919,江苏银行
2025-05-14,10.586,10.566,10.656,10.486,1218718.000,sh600919,江苏银行
2025-05-15,10.556,10.566,10.666,10.556,1080508.000,sh600919,江苏银行
2025-05-16,10.566,10.516,10.606,10.416,960472.000,sh600919,江苏银行
2025-05-19,10.516,10.496,10.626,10.476,843110.000,sh600919,江苏银行
2025-05-20,10.526,10.496,10.656,10.466,879774.000,sh600919,江苏银行
2025-05-21,10.536,10.706,10.736,10.516,1005597.000,sh600919,江苏银行
2025-05-22,10.696,10.846,10.906,10.666,1152549.000,sh600919,江苏银行
2025-05-23,10.876,10.766,10.986,10.736,887886.000,sh600919,江苏银行
2025-05-26,10.746,10.596,10.826,10.526,1104245.000,sh600919,江苏银行
2025-05-27,10.636,10.666,10.766,10.626,700996.000,sh600919,江苏银行
2025-05-28,10.666,10.626,10.716,10.546,647118.000,sh600919,江苏银行
2025-05-29,10.646,10.686,10.786,10.586,861037.000,sh600919,江苏银行
2025-05-30,10.676,10.766,10.866,10.666,981596.000,sh600919,江苏银行
2025-06-03,10.766,10.866,10.956,10.726,1293358.000,sh600919,江苏银行
2025-06-04,10.866,10.996,11.006,10.836,1273904.000,sh600919,江苏银行
2025-06-05,11.076,10.806,11.126,10.806,1222849.000,sh600919,江苏银行
2025-06-06,10.836,10.936,10.946,10.776,952862.000,sh600919,江苏银行
2025-06-09,10.936,11.006,11.036,10.816,1086084.000,sh600919,江苏银行
2025-06-10,10.976,11.126,11.166,10.966,1103467.000,sh600919,江苏银行
2025-06-11,11.126,11.136,11.186,11.056,673660.000,sh600919,江苏银行
2025-06-12,11.146,11.396,11.436,11.146,1319649.000,sh600919,江苏银行
2025-06-13,11.396,11.286,11.466,11.226,1153302.000,sh600919,江苏银行
2025-06-16,11.336,11.496,11.506,11.296,910087.000,sh600919,江苏银行
2025-06-17,11.506,11.426,11.576,11.406,906655.000,sh600919,江苏银行
2025-06-18,11.466,11.526,11.546,11.386,698988.000,sh600919,江苏银行
2025-06-19,11.536,11.626,11.646,11.496,909963.000,sh600919,江苏银行
2025-06-20,11.626,11.666,11.676,11.496,1568598.000,sh600919,江苏银行
2025-06-23,11.646,11.716,11.746,11.526,1327409.000,sh600919,江苏银行
2025-06-24,11.706,11.716,11.796,11.586,1349263.000,sh600919,江苏银行
2025-06-25,11.696,11.946,12.006,11.656,1508581.000,sh600919,江苏银行
2025-06-26,11.916,12.226,12.266,11.896,1339823.000,sh600919,江苏银行
2025-06-27,12.216,11.776,12.336,11.666,2332005.000,sh600919,江苏银行
2025-06-30,11.706,11.726,11.766,11.586,1207444.000,sh600919,江苏银行
2025-07-01,11.726,11.926,12.016,11.726,940175.000,sh600919,江苏银行
2025-07-02,11.926,12.046,12.126,11.926,882496.000,sh600919,江苏银行
2025-07-03,12.056,12.086,12.156,11.966,781556.000,sh600919,江苏银行
2025-07-04,12.086,12.326,12.406,12.066,1284774.000,sh600919,江苏银行
2025-07-07,12.376,12.286,12.426,12.176,953902.000,sh600919,江苏银行
2025-07-08,12.286,12.146,12.326,11.956,1353880.000,sh600919,江苏银行
2025-07-09,12.096,12.106,12.226,12.066,922718.000,sh600919,江苏银行
2025-07-10,12.200,12.200,12.320,12.130,1311954.000,sh600919,江苏银行
2025-07-11,12.250,11.920,12.310,11.910,1607704.000,sh600919,江苏银行
2025-07-14,11.900,11.980,12.120,11.890,1099918.000,sh600919,江苏银行
2025-07-15,11.980,11.800,12.150,11.780,1109909.000,sh600919,江苏银行
2025-07-16,11.810,11.700,11.850,11.590,1473982.000,sh600919,江苏银行
2025-07-17,11.730,11.720,11.820,11.660,952681.000,sh600919,江苏银行
2025-07-18,11.710,11.780,11.830,11.680,1014254.000,sh600919,江苏银行
2025-07-21,11.780,11.700,11.820,11.610,879245.000,sh600919,江苏银行
2025-07-22,11.650,11.470,11.690,11.360,1644450.000,sh600919,江苏银行
2025-07-23,11.450,11.470,11.590,11.370,1407251.000,sh600919,江苏银行
2025-07-24,11.470,11.300,11.510,11.270,1706556.000,sh600919,江苏银行
2025-07-25,11.300,11.370,11.490,11.290,1368124.000,sh600919,江苏银行
2025-07-28,11.400,11.490,11.610,11.400,1479973.000,sh600919,江苏银行
2025-07-29,11.510,11.320,11.580,11.310,1137027.000,sh600919,江苏银行
2025-07-30,11.340,11.460,11.530,11.280,1277770.000,sh600919,江苏银行
2025-07-31,11.450,11.300,11.460,11.180,1396200.000,sh600919,江苏银行
2025-08-01,11.330,11.440,11.450,11.170,1295970.000,sh600919,江苏银行
2025-08-04,11.400,11.560,11.680,11.390,1360182.000,sh600919,江苏银行
2025-08-05,11.570,11.760,11.790,11.570,1295532.000,sh600919,江苏银行
2025-08-06,11.800,11.690,11.830,11.600,891556.000,sh600919,江苏银行
2025-08-07,11.660,11.650,11.740,11.600,722978.000,sh600919,江苏银行
2025-08-08,11.700,11.650,11.820,11.640,864809.000,sh600919,江苏银行
2025-08-11,11.650,11.510,11.670,11.490,937830.000,sh600919,江苏银行
2025-08-12,11.520,11.470,11.630,11.450,907550.000,sh600919,江苏银行
2025-08-13,11.450,11.200,11.490,11.190,1880559.000,sh600919,江苏银行
2025-08-14,11.210,11.170,11.250,11.100,1306217.000,sh600919,江苏银行
2025-08-15,11.180,10.980,11.200,10.900,1806640.000,sh600919,江苏银行
2025-08-18,11.000,11.060,11.130,10.880,1620413.000,sh600919,江苏银行
2025-08-19,11.060,11.110,11.140,10.960,1221886.000,sh600919,江苏银行
2025-08-20,11.070,11.250,11.500,11.070,2117905.000,sh600919,江苏银行
2025-08-21,11.240,11.310,11.370,11.160,1285419.000,sh600919,江苏银行
2025-08-22,11.350,11.150,11.360,11.050,1840819.000,sh600919,江苏银行
2025-08-25,11.040,11.070,11.110,10.950,2035571.000,sh600919,江苏银行
2025-08-26,11.060,11.020,11.090,10.970,1151637.000,sh600919,江苏银行
2025-08-27,11.000,10.810,11.030,10.790,1934176.000,sh600919,江苏银行
2025-08-28,10.810,11.020,11.080,10.760,2121998.000,sh600919,江苏银行
2025-08-29,11.020,10.830,11.130,10.830,2216139.000,sh600919,江苏银行
2025-09-01,10.820,10.720,10.900,10.680,1793695.000,sh600919,江苏银行
2025-09-02,10.720,10.890,10.900,10.680,1624035.000,sh600919,江苏银行
2025-09-03,10.870,10.750,10.910,10.690,1085732.000,sh600919,江苏银行
2025-09-04,10.730,10.770,10.820,10.540,1565911.000,sh600919,江苏银行
2025-09-05,10.760,10.660,10.820,10.620,1283340.000,sh600919,江苏银行
2025-09-08,10.590,10.670,10.740,10.570,1200526.000,sh600919,江苏银行
2025-09-09,10.680,10.880,10.890,10.660,1574048.000,sh600919,江苏银行
2025-09-10,10.870,10.820,10.900,10.770,1187471.000,sh600919,江苏银行
2025-09-11,10.820,10.760,10.880,10.620,1814040.000,sh600919,江苏银行
2025-09-12,10.720,10.530,10.750,10.520,1880227.000,sh600919,江苏银行
2025-09-15,10.510,10.420,10.530,10.370,1814153.000,sh600919,江苏银行
2025-09-16,10.390,10.340,10.450,10.320,1337535.000,sh600919,江苏银行
2025-09-17,10.320,10.300,10.390,10.260,1237837.000,sh600919,江苏银行
2025-09-18,10.330,10.180,10.360,10.180,1474354.000,sh600919,江苏银行
2025-09-19,10.170,10.260,10.300,10.100,1279720.000,sh600919,江苏银行
2025-09-22,10.250,10.120,10.270,10.080,1148295.000,sh600919,江苏银行
2025-09-23,10.110,10.210,10.310,10.020,1957897.000,sh600919,江苏银行
2025-09-24,10.180,10.190,10.280,10.130,1170746.000,sh600919,江苏银行
2025-09-25,10.180,10.080,10.190,10.000,1377034.000,sh600919,江苏银行
2025-09-26,10.070,10.140,10.170,9.990,1772433.000,sh600919,江苏银行
2025-09-29,10.120,10.140,10.250,10.070,1317450.000,sh600919,江苏银行
2025-09-30,10.160,10.030,10.160,10.010,924151.000,sh600919,江苏银行
2025-10-09,10.000,9.990,10.000,9.860,1602787.000,sh600919,江苏银行
2025-10-10,9.960,10.120,10.160,9.960,1581734.000,sh600919,江苏银行
2025-10-13,10.110,10.310,10.440,10.030,2566492.000,sh600919,江苏银行
2025-10-14,10.280,10.720,10.770,10.240,3445952.000,sh600919,江苏银行
2025-10-15,10.700,10.860,10.870,10.660,2169998.000,sh600919,江苏银行
2025-10-16,10.820,11.040,11.060,10.800,1821507.000,sh600919,江苏银行
2025-10-17,11.020,10.990,11.170,10.950,1543692.000,sh600919,江苏银行
2025-10-20,10.960,10.790,10.980,10.730,1602981.000,sh600919,江苏银行
2025-10-21,10.810,10.850,10.910,10.770,1229701.000,sh600919,江苏银行
2025-10-22,10.810,10.930,10.990,10.810,963218.000,sh600919,江苏银行
2025-10-23,10.920,10.990,11.070,10.880,1120762.000,sh600919,江苏银行
2025-10-24,10.930,10.910,11.010,10.860,1319704.000,sh600919,江苏银行
2025-10-27,10.850,10.940,10.990,10.730,1254804.000,sh600919,江苏银行
2025-10-28,10.940,10.940,10.980,10.750,967736.000,sh600919,江苏银行
2025-10-29,10.890,10.520,10.910,10.480,2039066.000,sh600919,江苏银行
2025-10-30,10.460,10.550,10.600,10.450,1150751.000,sh600919,江苏银行
2025-10-31,10.710,10.780,10.890,10.650,1778803.000,sh600919,江苏银行
2025-11-03,10.780,10.920,11.020,10.780,1470070.000,sh600919,江苏银行
