date,open,high,low,close,volume,code,name
2024-11-25,7.097,7.017,7.187,6.967,1056269.000,sh603993,洛阳钼业
2024-11-26,6.997,7.037,7.137,6.987,687245.000,sh603993,洛阳钼业
2024-11-27,6.997,7.047,7.047,6.887,1219261.000,sh603993,洛阳钼业
2024-11-28,6.997,6.897,7.037,6.877,1140983.000,sh603993,洛阳钼业
2024-11-29,6.897,7.027,7.097,6.817,1606559.000,sh603993,洛阳钼业
2024-12-02,7.147,7.227,7.307,7.127,1773595.000,sh603993,洛阳钼业
2024-12-03,7.247,7.207,7.267,7.157,1002023.000,sh603993,洛阳钼业
2024-12-04,7.267,7.267,7.347,7.197,1307463.000,sh603993,洛阳钼业
2024-12-05,7.227,7.117,7.237,7.097,1268282.000,sh603993,洛阳钼业
2024-12-06,7.107,7.167,7.167,7.077,1309367.000,sh603993,洛阳钼业
2024-12-09,7.167,7.137,7.217,7.077,1267602.000,sh603993,洛阳钼业
2024-12-10,7.327,7.147,7.427,7.127,2000591.000,sh603993,洛阳钼业
2024-12-11,7.157,7.247,7.317,7.087,1778293.000,sh603993,洛阳钼业
2024-12-12,7.227,7.247,7.267,7.177,1390722.000,sh603993,洛阳钼业
2024-12-13,7.177,6.967,7.187,6.917,3308930.000,sh603993,洛阳钼业
2024-12-16,6.927,6.877,6.967,6.847,1409058.000,sh603993,洛阳钼业
2024-12-17,6.847,6.817,6.957,6.807,1323011.000,sh603993,洛阳钼业
2024-12-18,6.847,6.737,6.877,6.727,1547008.000,sh603993,洛阳钼业
2024-12-19,6.637,6.757,6.777,6.547,1260855.000,sh603993,洛阳钼业
2024-12-20,6.737,6.597,6.767,6.567,1779103.000,sh603993,洛阳钼业
2024-12-23,6.607,6.657,6.687,6.587,1583747.000,sh603993,洛阳钼业
2024-12-24,6.657,6.737,6.737,6.617,1260614.000,sh603993,洛阳钼业
2024-12-25,6.727,6.637,6.737,6.597,894601.000,sh603993,洛阳钼业
2024-12-26,6.627,6.697,6.747,6.607,936208.000,sh603993,洛阳钼业
2024-12-27,6.707,6.567,6.767,6.567,1877092.000,sh603993,洛阳钼业
2024-12-30,6.577,6.557,6.617,6.517,1363041.000,sh603993,洛阳钼业
2024-12-31,6.537,6.397,6.547,6.397,1720009.000,sh603993,洛阳钼业
2025-01-02,6.407,6.327,6.497,6.297,1846091.000,sh603993,洛阳钼业
2025-01-03,6.357,6.517,6.717,6.357,3284325.000,sh603993,洛阳钼业
2025-01-06,6.547,6.557,6.667,6.367,2040924.000,sh603993,洛阳钼业
2025-01-07,6.597,6.787,6.887,6.567,2361999.000,sh603993,洛阳钼业
2025-01-08,6.787,6.697,6.787,6.607,1624367.000,sh603993,洛阳钼业
2025-01-09,6.747,6.687,6.747,6.627,1084833.000,sh603993,洛阳钼业
2025-01-10,6.717,6.707,6.827,6.637,1701332.000,sh603993,洛阳钼业
2025-01-13,6.637,6.687,6.807,6.607,1757409.000,sh603993,洛阳钼业
2025-01-14,6.647,6.797,6.797,6.597,2012171.000,sh603993,洛阳钼业
2025-01-15,6.757,6.647,6.797,6.557,1989507.000,sh603993,洛阳钼业
2025-01-16,6.717,6.847,6.957,6.717,3055800.000,sh603993,洛阳钼业
2025-01-17,6.837,6.907,6.947,6.797,1599257.000,sh603993,洛阳钼业
2025-01-20,6.907,6.797,6.937,6.787,1591372.000,sh603993,洛阳钼业
2025-01-21,6.837,6.817,6.847,6.727,1071220.000,sh603993,洛阳钼业
2025-01-22,6.817,6.857,6.877,6.737,1535276.000,sh603993,洛阳钼业
2025-01-23,6.967,6.887,7.147,6.867,2867619.000,sh603993,洛阳钼业
2025-01-24,6.917,7.037,7.077,6.917,1577428.000,sh603993,洛阳钼业
2025-01-27,7.037,6.987,7.087,6.987,1003474.000,sh603993,洛阳钼业
2025-02-05,7.057,6.967,7.097,6.937,1864315.000,sh603993,洛阳钼业
2025-02-06,7.027,6.977,7.047,6.937,1572779.000,sh603993,洛阳钼业
2025-02-07,6.957,7.037,7.107,6.887,2594962.000,sh603993,洛阳钼业
2025-02-10,7.077,7.237,7.347,7.057,3541012.000,sh603993,洛阳钼业
2025-02-11,7.217,7.177,7.317,7.147,1897875.000,sh603993,洛阳钼业
2025-02-12,7.137,7.037,7.147,6.957,1975256.000,sh603993,洛阳钼业
2025-02-13,7.037,6.967,7.087,6.967,1421958.000,sh603993,洛阳钼业
2025-02-14,7.007,7.067,7.087,6.967,1668857.000,sh603993,洛阳钼业
2025-02-17,6.987,6.827,6.997,6.787,2575350.000,sh603993,洛阳钼业
2025-02-18,6.787,6.687,6.807,6.667,1483511.000,sh603993,洛阳钼业
2025-02-19,6.687,6.707,6.727,6.657,1136261.000,sh603993,洛阳钼业
2025-02-20,6.687,6.677,6.707,6.627,1268774.000,sh603993,洛阳钼业
2025-02-21,6.687,6.657,6.727,6.627,1515544.000,sh603993,洛阳钼业
