,open,high,low,close,volume,code,name
2024-11-26,28.0,28.58,27.71,28.29,33319278.0,sh600690,海尔智家
2024-11-27,28.29,28.99,28.13,28.77,25470414.0,sh600690,海尔智家
2024-11-28,28.8,28.8,27.97,28.2,30171964.0,sh600690,海尔智家
2024-11-29,28.19,28.8,28.1,28.33,33243358.0,sh600690,海尔智家
2024-12-02,28.21,28.81,27.81,28.65,32311989.0,sh600690,海尔智家
2024-12-03,28.53,29.0,28.29,28.96,34608591.0,sh600690,海尔智家
2024-12-04,28.83,29.5,28.35,29.1,46320219.0,sh600690,海尔智家
2024-12-05,29.0,29.24,28.46,28.58,27887310.0,sh600690,海尔智家
2024-12-06,28.58,29.4,28.55,29.24,40439622.0,sh600690,海尔智家
2024-12-09,29.05,29.75,28.51,29.4,38180906.0,sh600690,海尔智家
2024-12-10,30.6,30.85,29.65,29.72,51226521.0,sh600690,海尔智家
2024-12-11,29.67,30.1,29.39,29.45,31585856.0,sh600690,海尔智家
2024-12-12,29.4,29.88,29.29,29.62,27107158.0,sh600690,海尔智家
2024-12-13,29.41,29.44,28.33,28.4,57413412.0,sh600690,海尔智家
2024-12-16,28.4,28.54,28.12,28.21,35797713.0,sh600690,海尔智家
2024-12-17,28.04,28.73,28.03,28.39,24294614.0,sh600690,海尔智家
2024-12-18,28.54,28.72,28.33,28.38,23192653.0,sh600690,海尔智家
2024-12-19,28.21,28.67,28.0,28.5,25636855.0,sh600690,海尔智家
2024-12-20,28.52,28.52,28.15,28.16,26708030.0,sh600690,海尔智家
2024-12-23,28.17,28.86,28.17,28.69,36480138.0,sh600690,海尔智家
2024-12-24,28.63,29.18,28.5,29.15,29786704.0,sh600690,海尔智家
2024-12-25,29.12,29.26,28.5,28.61,35819345.0,sh600690,海尔智家
2024-12-26,28.65,28.68,28.09,28.47,25611864.0,sh600690,海尔智家
2024-12-27,28.48,28.55,28.16,28.43,22575648.0,sh600690,海尔智家
2024-12-30,28.38,28.82,28.22,28.24,35908648.0,sh600690,海尔智家
2024-12-31,28.24,28.74,28.07,28.47,37577111.0,sh600690,海尔智家
2025-01-02,28.45,29.04,27.99,28.2,56857127.0,sh600690,海尔智家
2025-01-03,28.15,28.55,27.52,27.6,42837173.0,sh600690,海尔智家
2025-01-06,27.52,27.96,27.28,27.68,32147511.0,sh600690,海尔智家
2025-01-07,27.65,28.75,27.51,28.51,58308078.0,sh600690,海尔智家
2025-01-08,28.4,29.6,28.21,29.32,64384912.0,sh600690,海尔智家
2025-01-09,29.32,29.65,29.1,29.47,34015144.0,sh600690,海尔智家
2025-01-10,29.45,29.61,28.3,28.41,35104536.0,sh600690,海尔智家
2025-01-13,28.18,28.18,27.07,27.2,53863065.0,sh600690,海尔智家
2025-01-14,27.05,27.51,26.88,27.39,43382479.0,sh600690,海尔智家
2025-01-15,27.38,27.83,26.82,26.87,42350677.0,sh600690,海尔智家
2025-01-16,27.06,27.83,26.92,27.16,52153070.0,sh600690,海尔智家
2025-01-17,27.0,27.85,26.81,27.56,47544819.0,sh600690,海尔智家
2025-01-20,27.82,28.43,27.68,27.77,37879055.0,sh600690,海尔智家
2025-01-21,27.89,28.04,27.44,27.5,26702982.0,sh600690,海尔智家
2025-01-22,27.46,27.49,26.88,27.18,35115281.0,sh600690,海尔智家
2025-01-23,27.35,27.54,27.23,27.36,30789460.0,sh600690,海尔智家
2025-01-24,27.36,27.78,27.22,27.55,31574896.0,sh600690,海尔智家
2025-01-27,27.55,27.98,27.51,27.77,27311667.0,sh600690,海尔智家
2025-02-05,27.52,27.66,26.6,26.61,51672664.0,sh600690,海尔智家
2025-02-06,26.61,26.92,26.5,26.75,38007843.0,sh600690,海尔智家
2025-02-07,26.75,26.99,26.4,26.98,48363855.0,sh600690,海尔智家
2025-02-10,27.06,27.18,26.67,27.1,39413133.0,sh600690,海尔智家
2025-02-11,27.29,27.49,26.91,26.98,34927228.0,sh600690,海尔智家
2025-02-12,26.96,27.0,26.44,26.74,55135353.0,sh600690,海尔智家
2025-02-13,26.63,27.06,26.56,26.76,48368932.0,sh600690,海尔智家
2025-02-14,26.82,27.0,26.56,26.88,33755957.0,sh600690,海尔智家
2025-02-17,27.0,27.07,26.67,26.76,42478242.0,sh600690,海尔智家
2025-02-18,26.76,26.77,26.4,26.48,44558215.0,sh600690,海尔智家
2025-02-19,26.42,26.46,26.12,26.4,45220786.0,sh600690,海尔智家
2025-02-20,26.38,26.6,26.15,26.39,39744829.0,sh600690,海尔智家
2025-02-21,26.46,26.46,25.91,26.17,72447908.0,sh600690,海尔智家
2025-02-24,26.18,26.95,26.1,26.66,69335222.0,sh600690,海尔智家
2025-02-25,26.52,26.57,25.88,25.99,63156360.0,sh600690,海尔智家
2025-02-26,25.99,26.35,25.92,26.11,39211375.0,sh600690,海尔智家
2025-02-27,26.18,26.88,26.13,26.82,81241514.0,sh600690,海尔智家
2025-02-28,26.53,27.17,26.25,26.25,60295153.0,sh600690,海尔智家
2025-03-03,26.32,26.38,25.91,25.93,50832802.0,sh600690,海尔智家
2025-03-04,25.88,26.13,25.79,26.0,38971513.0,sh600690,海尔智家
2025-03-05,26.04,26.31,25.83,26.22,40067427.0,sh600690,海尔智家
2025-03-06,26.29,26.46,26.09,26.43,43750265.0,sh600690,海尔智家
2025-03-07,26.35,26.65,26.17,26.59,46454246.0,sh600690,海尔智家
2025-03-10,26.95,27.13,26.55,26.82,58780117.0,sh600690,海尔智家
2025-03-11,26.52,27.25,26.5,27.15,54636493.0,sh600690,海尔智家
2025-03-12,27.16,27.19,26.47,26.47,67509958.0,sh600690,海尔智家
2025-03-13,26.47,26.61,26.22,26.36,31590000.0,sh600690,海尔智家
2025-03-14,26.38,27.4,26.34,27.3,94752540.0,sh600690,海尔智家
2025-03-17,27.73,27.86,27.38,27.54,54945274.0,sh600690,海尔智家
2025-03-18,27.5,28.38,27.45,27.93,67552389.0,sh600690,海尔智家
