,open,high,low,close,volume,code,name
2024-11-26,25.13,25.44,24.98,25.11,9293761.0,sh600585,海螺水泥
2024-11-27,25.14,25.66,25.04,25.66,12212047.0,sh600585,海螺水泥
2024-11-28,25.57,25.89,25.39,25.67,13338317.0,sh600585,海螺水泥
2024-11-29,25.9,25.99,25.5,25.66,14364477.0,sh600585,海螺水泥
2024-12-02,25.79,25.85,25.47,25.64,22562994.0,sh600585,海螺水泥
2024-12-03,25.6,26.1,25.6,26.03,17989723.0,sh600585,海螺水泥
2024-12-04,26.0,26.0,25.65,25.86,13524712.0,sh600585,海螺水泥
2024-12-05,25.7,25.8,25.32,25.6,14879483.0,sh600585,海螺水泥
2024-12-06,25.68,25.96,25.63,25.85,14882756.0,sh600585,海螺水泥
2024-12-09,25.8,25.95,25.32,25.5,17749488.0,sh600585,海螺水泥
2024-12-10,26.2,26.47,25.61,25.73,25392999.0,sh600585,海螺水泥
2024-12-11,25.82,26.07,25.58,25.65,17970513.0,sh600585,海螺水泥
2024-12-12,25.65,26.16,25.47,26.1,20292122.0,sh600585,海螺水泥
2024-12-13,25.96,26.25,25.71,26.11,25112345.0,sh600585,海螺水泥
2024-12-16,26.01,26.06,24.7,24.77,40252472.0,sh600585,海螺水泥
2024-12-17,24.75,24.96,24.55,24.6,17545857.0,sh600585,海螺水泥
2024-12-18,24.73,25.14,24.52,24.56,13334971.0,sh600585,海螺水泥
2024-12-19,24.43,24.56,24.26,24.45,12108105.0,sh600585,海螺水泥
2024-12-20,24.5,24.55,24.11,24.13,13991912.0,sh600585,海螺水泥
2024-12-23,24.04,24.4,24.02,24.1,14564524.0,sh600585,海螺水泥
2024-12-24,24.1,24.52,24.05,24.41,10399651.0,sh600585,海螺水泥
2024-12-25,24.33,24.55,24.26,24.52,9027059.0,sh600585,海螺水泥
2024-12-26,24.48,24.51,23.62,23.9,21365194.0,sh600585,海螺水泥
2024-12-27,23.92,24.11,23.78,24.03,13313110.0,sh600585,海螺水泥
2024-12-30,24.0,24.25,23.82,23.99,14328301.0,sh600585,海螺水泥
2024-12-31,24.07,24.22,23.78,23.78,15333857.0,sh600585,海螺水泥
2025-01-02,23.77,24.1,23.25,23.35,17343672.0,sh600585,海螺水泥
2025-01-03,23.43,23.74,23.36,23.43,14897800.0,sh600585,海螺水泥
2025-01-06,23.43,23.7,23.28,23.58,11655015.0,sh600585,海螺水泥
2025-01-07,23.45,23.8,23.38,23.8,12825227.0,sh600585,海螺水泥
2025-01-08,23.76,24.04,23.56,23.75,13354583.0,sh600585,海螺水泥
2025-01-09,23.67,24.13,23.32,23.9,11699350.0,sh600585,海螺水泥
2025-01-10,23.96,24.06,23.63,23.73,10292918.0,sh600585,海螺水泥
2025-01-13,23.63,24.11,23.46,23.81,12281994.0,sh600585,海螺水泥
2025-01-14,23.69,23.96,23.55,23.92,14860147.0,sh600585,海螺水泥
2025-01-15,23.86,24.27,23.59,24.18,14740299.0,sh600585,海螺水泥
2025-01-16,24.19,24.6,24.19,24.52,14599339.0,sh600585,海螺水泥
2025-01-17,24.6,24.78,24.25,24.61,11902396.0,sh600585,海螺水泥
2025-01-20,24.73,24.76,24.28,24.56,11756488.0,sh600585,海螺水泥
2025-01-21,24.56,24.73,24.35,24.45,7834906.0,sh600585,海螺水泥
2025-01-22,24.45,24.55,24.29,24.39,7660006.0,sh600585,海螺水泥
2025-01-23,24.47,24.79,24.38,24.48,11965771.0,sh600585,海螺水泥
2025-01-24,24.46,24.79,24.4,24.44,11515099.0,sh600585,海螺水泥
2025-01-27,24.5,25.05,24.46,24.9,15253108.0,sh600585,海螺水泥
2025-02-05,24.91,24.98,23.72,23.73,21690174.0,sh600585,海螺水泥
2025-02-06,23.71,23.93,23.63,23.79,13011736.0,sh600585,海螺水泥
2025-02-07,23.81,24.1,23.6,23.96,14110098.0,sh600585,海螺水泥
2025-02-10,23.9,24.2,23.86,24.06,11451823.0,sh600585,海螺水泥
2025-02-11,24.05,24.25,23.85,24.02,8095549.0,sh600585,海螺水泥
2025-02-12,24.03,24.11,23.6,23.79,15297769.0,sh600585,海螺水泥
2025-02-13,23.78,24.37,23.73,24.1,20881298.0,sh600585,海螺水泥
2025-02-14,24.17,24.23,23.78,23.83,14402781.0,sh600585,海螺水泥
2025-02-17,23.83,23.89,23.45,23.48,17891295.0,sh600585,海螺水泥
2025-02-18,23.48,23.61,23.26,23.39,13547022.0,sh600585,海螺水泥
2025-02-19,23.4,23.53,23.18,23.29,13289047.0,sh600585,海螺水泥
2025-02-20,23.19,23.29,23.05,23.11,11996285.0,sh600585,海螺水泥
2025-02-21,23.04,23.13,22.61,22.67,24948152.0,sh600585,海螺水泥
2025-02-24,22.6,22.89,22.47,22.66,20806697.0,sh600585,海螺水泥
2025-02-25,22.6,22.9,22.44,22.49,18793777.0,sh600585,海螺水泥
2025-02-26,22.45,22.8,22.45,22.66,14828017.0,sh600585,海螺水泥
2025-02-27,22.67,23.3,22.67,23.06,23644232.0,sh600585,海螺水泥
