,open,high,low,close,volume,code,name
2024-11-26,13.35,13.36,13.09,13.1,83355686.0,sz000338,潍柴动力
2024-11-27,13.05,13.28,12.97,13.28,57092408.0,sz000338,潍柴动力
2024-11-28,13.3,13.34,13.15,13.19,44179340.0,sz000338,潍柴动力
2024-11-29,13.17,13.49,13.15,13.42,90828684.0,sz000338,潍柴动力
2024-12-02,13.38,13.66,13.34,13.63,67279156.0,sz000338,潍柴动力
2024-12-03,13.6,13.63,13.45,13.54,55350434.0,sz000338,潍柴动力
2024-12-04,13.5,13.72,13.45,13.58,71926095.0,sz000338,潍柴动力
2024-12-05,13.52,13.59,13.41,13.49,44614940.0,sz000338,潍柴动力
2024-12-06,13.47,13.69,13.46,13.6,58489501.0,sz000338,潍柴动力
2024-12-09,13.61,13.72,13.51,13.57,46038938.0,sz000338,潍柴动力
2024-12-10,13.88,13.95,13.55,13.58,89440374.0,sz000338,潍柴动力
2024-12-11,13.58,13.69,13.54,13.66,45679632.0,sz000338,潍柴动力
2024-12-12,13.66,13.8,13.62,13.79,59773756.0,sz000338,潍柴动力
2024-12-13,13.73,13.74,13.42,13.42,83872406.0,sz000338,潍柴动力
2024-12-16,13.42,13.48,13.12,13.17,68804655.0,sz000338,潍柴动力
2024-12-17,13.17,13.43,13.16,13.24,67237312.0,sz000338,潍柴动力
2024-12-18,13.31,13.42,13.22,13.26,45290441.0,sz000338,潍柴动力
2024-12-19,13.17,13.29,13.12,13.25,42463668.0,sz000338,潍柴动力
2024-12-20,13.25,13.28,13.07,13.25,44684222.0,sz000338,潍柴动力
2024-12-23,13.31,14.08,13.31,13.78,212604572.0,sz000338,潍柴动力
2024-12-24,13.68,14.02,13.62,13.77,123231412.0,sz000338,潍柴动力
2024-12-25,13.77,14.1,13.77,14.0,152160026.0,sz000338,潍柴动力
2024-12-26,13.96,13.99,13.81,13.91,77422610.0,sz000338,潍柴动力
2024-12-27,14.15,14.15,13.7,13.88,99277555.0,sz000338,潍柴动力
2024-12-30,13.82,14.05,13.8,13.9,73364705.0,sz000338,潍柴动力
2024-12-31,13.92,14.05,13.68,13.7,87359222.0,sz000338,潍柴动力
2025-01-02,13.72,13.83,13.45,13.52,100826724.0,sz000338,潍柴动力
2025-01-03,13.54,13.97,13.5,13.51,120346320.0,sz000338,潍柴动力
2025-01-06,13.56,13.84,13.53,13.7,82541429.0,sz000338,潍柴动力
2025-01-07,13.64,13.84,13.46,13.74,77527649.0,sz000338,潍柴动力
2025-01-08,13.62,14.98,13.61,14.71,334538330.0,sz000338,潍柴动力
2025-01-09,14.67,14.76,14.4,14.64,167594210.0,sz000338,潍柴动力
2025-01-10,14.6,14.67,14.08,14.1,154216528.0,sz000338,潍柴动力
2025-01-13,13.9,14.23,13.8,13.9,100021054.0,sz000338,潍柴动力
2025-01-14,14.0,14.63,14.0,14.57,138601413.0,sz000338,潍柴动力
2025-01-15,14.5,14.75,14.46,14.53,82496782.0,sz000338,潍柴动力
2025-01-16,14.63,14.78,14.53,14.56,84202673.0,sz000338,潍柴动力
2025-01-17,14.5,14.6,14.4,14.52,57927960.0,sz000338,潍柴动力
2025-01-20,14.62,14.75,14.47,14.54,86567724.0,sz000338,潍柴动力
2025-01-21,14.61,14.71,14.45,14.54,74552460.0,sz000338,潍柴动力
2025-01-22,14.4,14.58,14.28,14.39,57328155.0,sz000338,潍柴动力
