,open,high,low,close,volume,code,name
2024-11-26,14.16,14.45,14.08,14.12,66513441.0,sz300015,爱尔眼科
2024-11-27,14.01,14.45,13.93,14.44,82623115.0,sz300015,爱尔眼科
2024-11-28,14.45,14.52,14.26,14.3,61764311.0,sz300015,爱尔眼科
2024-11-29,14.32,14.95,14.28,14.68,109671171.0,sz300015,爱尔眼科
2024-12-02,14.66,14.95,14.6,14.82,87473056.0,sz300015,爱尔眼科
2024-12-03,14.78,14.79,14.52,14.7,68815429.0,sz300015,爱尔眼科
2024-12-04,14.63,14.66,14.34,14.48,59053682.0,sz300015,爱尔眼科
2024-12-05,14.39,14.53,14.35,14.42,48606922.0,sz300015,爱尔眼科
2024-12-06,14.41,14.95,14.35,14.76,100074816.0,sz300015,爱尔眼科
2024-12-09,14.76,14.92,14.51,14.62,72022962.0,sz300015,爱尔眼科
2024-12-10,15.52,15.89,14.86,14.9,195222662.0,sz300015,爱尔眼科
2024-12-11,14.8,15.07,14.78,14.99,78851985.0,sz300015,爱尔眼科
2024-12-12,14.99,15.2,14.77,15.15,99551872.0,sz300015,爱尔眼科
2024-12-13,14.98,14.99,14.39,14.4,139148471.0,sz300015,爱尔眼科
2024-12-16,14.4,14.42,14.16,14.25,67611993.0,sz300015,爱尔眼科
2024-12-17,14.17,14.3,14.07,14.11,62314005.0,sz300015,爱尔眼科
2024-12-18,14.05,14.18,14.0,14.09,50928675.0,sz300015,爱尔眼科
2024-12-19,13.94,14.0,13.71,13.98,77959309.0,sz300015,爱尔眼科
2024-12-20,13.98,14.17,13.94,14.06,53789875.0,sz300015,爱尔眼科
2024-12-23,14.06,14.11,13.76,13.78,58681681.0,sz300015,爱尔眼科
2024-12-24,13.81,14.13,13.81,13.99,59423205.0,sz300015,爱尔眼科
2024-12-25,14.07,14.13,13.82,13.89,46945300.0,sz300015,爱尔眼科
2024-12-26,13.86,14.02,13.85,13.92,38098789.0,sz300015,爱尔眼科
2024-12-27,13.9,13.98,13.73,13.77,63003636.0,sz300015,爱尔眼科
2024-12-30,13.72,13.78,13.59,13.65,57510407.0,sz300015,爱尔眼科
2024-12-31,13.65,13.7,13.25,13.25,68541414.0,sz300015,爱尔眼科
