date,open,high,low,close,volume,code,name
2024-11-25,232.770,232.780,236.280,228.790,26064.000,sh600436,片仔癀
2024-11-26,231.350,228.110,232.740,227.780,18486.000,sh600436,片仔癀
2024-11-27,227.480,232.280,232.280,226.780,16639.000,sh600436,片仔癀
2024-11-28,233.630,229.240,234.440,227.880,16038.000,sh600436,片仔癀
2024-11-29,229.260,229.890,233.950,229.100,19459.000,sh600436,片仔癀
2024-12-02,228.930,229.450,230.670,223.780,33686.000,sh600436,片仔癀
2024-12-03,229.090,227.170,229.090,225.640,24187.000,sh600436,片仔癀
2024-12-04,226.780,222.810,226.980,222.540,29933.000,sh600436,片仔癀
2024-12-05,222.580,220.860,222.580,220.460,19349.000,sh600436,片仔癀
2024-12-06,221.780,222.840,224.900,220.580,24581.000,sh600436,片仔癀
2024-12-09,222.850,219.970,223.780,219.430,26510.000,sh600436,片仔癀
2024-12-10,225.780,221.770,227.660,220.780,36633.000,sh600436,片仔癀
2024-12-11,221.790,221.270,222.770,220.380,21616.000,sh600436,片仔癀
2024-12-12,221.270,223.180,223.280,220.380,30373.000,sh600436,片仔癀
2024-12-13,222.780,220.280,222.780,219.470,53255.000,sh600436,片仔癀
2024-12-16,220.150,215.210,220.180,214.220,38353.000,sh600436,片仔癀
2024-12-17,214.730,215.790,217.320,213.950,24502.000,sh600436,片仔癀
2024-12-18,216.280,215.810,217.540,215.490,15673.000,sh600436,片仔癀
2024-12-19,214.550,217.860,217.980,213.950,18884.000,sh600436,片仔癀
2024-12-20,217.950,217.280,219.280,216.870,17118.000,sh600436,片仔癀
2024-12-23,217.470,214.780,218.450,214.760,19590.000,sh600436,片仔癀
2024-12-24,214.290,216.900,217.250,214.280,14270.000,sh600436,片仔癀
2024-12-25,216.980,216.280,217.780,215.660,11092.000,sh600436,片仔癀
2024-12-26,216.290,215.340,216.780,214.850,10215.000,sh600436,片仔癀
2024-12-27,215.750,215.630,216.980,214.660,14641.000,sh600436,片仔癀
2024-12-30,214.860,214.830,217.880,214.190,19416.000,sh600436,片仔癀
2024-12-31,214.980,211.280,215.480,211.280,24712.000,sh600436,片仔癀
2025-01-02,211.300,205.840,212.030,204.800,26903.000,sh600436,片仔癀
2025-01-03,205.840,202.280,206.970,201.040,25346.000,sh600436,片仔癀
2025-01-06,202.230,205.580,206.700,201.780,24577.000,sh600436,片仔癀
2025-01-07,205.430,204.990,205.430,202.390,15134.000,sh600436,片仔癀
2025-01-08,204.000,203.280,205.140,200.780,16957.000,sh600436,片仔癀
2025-01-09,202.270,202.280,204.380,200.970,13276.000,sh600436,片仔癀
2025-01-10,202.640,201.180,204.560,201.130,14639.000,sh600436,片仔癀
2025-01-13,199.930,201.780,202.480,199.680,14587.000,sh600436,片仔癀
2025-01-14,201.840,205.940,206.460,201.270,19924.000,sh600436,片仔癀
2025-01-15,205.780,203.690,205.780,203.380,13109.000,sh600436,片仔癀
2025-01-16,203.790,201.110,206.070,200.960,20952.000,sh600436,片仔癀
2025-01-17,200.790,202.530,203.510,200.280,15973.000,sh600436,片仔癀
2025-01-20,203.400,203.880,206.660,203.290,18506.000,sh600436,片仔癀
2025-01-21,204.600,202.520,204.750,201.870,16274.000,sh600436,片仔癀
2025-01-22,202.530,200.380,202.530,199.890,14712.000,sh600436,片仔癀
2025-01-23,201.710,200.590,203.580,200.480,15922.000,sh600436,片仔癀
2025-01-24,194.470,197.790,198.570,191.780,30903.000,sh600436,片仔癀
2025-01-27,198.020,199.290,200.760,197.510,17985.000,sh600436,片仔癀
2025-02-05,199.300,200.470,200.640,198.040,15248.000,sh600436,片仔癀
2025-02-06,199.780,202.880,204.430,199.380,18258.000,sh600436,片仔癀
2025-02-07,202.580,202.780,204.180,201.400,22784.000,sh600436,片仔癀
2025-02-10,202.780,203.730,204.080,201.780,19740.000,sh600436,片仔癀
2025-02-11,203.520,200.230,203.680,199.780,22044.000,sh600436,片仔癀
2025-02-12,199.780,202.140,202.440,198.910,16885.000,sh600436,片仔癀
