date,open,high,low,close,volume,code,name
2024-11-25,38.545,38.215,38.995,37.985,242333.000,sz002714,牧原股份
2024-11-26,38.275,38.355,38.755,38.125,175947.000,sz002714,牧原股份
2024-11-27,38.195,38.685,38.685,37.985,166228.000,sz002714,牧原股份
2024-11-28,38.695,38.195,38.695,38.105,190802.000,sz002714,牧原股份
2024-11-29,38.305,38.425,38.615,37.995,241175.000,sz002714,牧原股份
2024-12-02,38.295,38.655,38.855,37.945,265667.000,sz002714,牧原股份
2024-12-03,38.545,38.625,39.295,38.415,295039.000,sz002714,牧原股份
2024-12-04,38.415,38.055,38.515,37.905,248340.000,sz002714,牧原股份
2024-12-05,37.795,38.135,38.235,37.535,256290.000,sz002714,牧原股份
2024-12-06,37.975,38.105,38.445,37.975,234349.000,sz002714,牧原股份
2024-12-09,38.025,37.245,38.035,37.075,347684.000,sz002714,牧原股份
2024-12-10,38.315,37.445,38.775,37.435,472453.000,sz002714,牧原股份
2024-12-11,37.465,38.265,38.445,37.415,329407.000,sz002714,牧原股份
2024-12-12,38.345,39.005,39.075,38.055,349125.000,sz002714,牧原股份
2024-12-13,38.755,38.035,38.785,38.035,323576.000,sz002714,牧原股份
2024-12-16,38.045,37.625,38.215,37.415,239781.000,sz002714,牧原股份
2024-12-17,37.625,37.515,37.945,37.375,203083.000,sz002714,牧原股份
2024-12-18,37.595,37.195,37.715,37.095,230190.000,sz002714,牧原股份
2024-12-19,36.905,37.225,37.355,36.555,233546.000,sz002714,牧原股份
2024-12-20,37.195,36.625,37.515,36.625,348964.000,sz002714,牧原股份
2024-12-23,36.635,36.765,37.075,36.445,255691.000,sz002714,牧原股份
2024-12-24,36.775,37.025,37.475,36.575,271368.000,sz002714,牧原股份
2024-12-25,37.255,36.765,37.295,36.615,199184.000,sz002714,牧原股份
2024-12-26,36.775,36.615,36.985,36.535,211448.000,sz002714,牧原股份
2024-12-27,36.625,37.055,37.445,36.205,310053.000,sz002714,牧原股份
2024-12-30,37.190,37.190,37.400,36.600,313228.000,sz002714,牧原股份
2024-12-31,37.040,36.960,37.770,36.950,277980.000,sz002714,牧原股份
2025-01-02,36.980,36.110,37.320,35.940,297099.000,sz002714,牧原股份
2025-01-03,36.200,35.840,36.600,35.720,244181.000,sz002714,牧原股份
2025-01-06,36.060,36.010,36.430,35.800,238427.000,sz002714,牧原股份
2025-01-07,36.070,36.200,36.550,35.720,212102.000,sz002714,牧原股份
2025-01-08,36.040,35.770,36.400,35.630,240281.000,sz002714,牧原股份
2025-01-09,36.320,35.820,36.690,35.560,489345.000,sz002714,牧原股份
2025-01-10,35.650,34.720,35.700,34.670,408265.000,sz002714,牧原股份
2025-01-13,34.330,34.770,35.220,34.240,252381.000,sz002714,牧原股份
2025-01-14,34.800,35.560,35.570,34.570,343423.000,sz002714,牧原股份
2025-01-15,35.380,34.890,35.470,34.720,317320.000,sz002714,牧原股份
2025-01-16,34.930,34.950,35.570,34.660,347114.000,sz002714,牧原股份
2025-01-17,34.940,35.210,35.420,34.670,273964.000,sz002714,牧原股份
2025-01-20,35.420,35.750,36.020,35.240,364180.000,sz002714,牧原股份
2025-01-21,35.920,35.420,35.930,35.230,221953.000,sz002714,牧原股份
2025-01-22,35.340,35.040,35.340,34.830,213410.000,sz002714,牧原股份
2025-01-23,35.370,35.330,35.660,35.200,270185.000,sz002714,牧原股份
2025-01-24,35.240,35.400,35.510,35.080,204650.000,sz002714,牧原股份
2025-01-27,35.440,35.730,36.200,35.440,268043.000,sz002714,牧原股份
2025-02-05,35.870,35.340,35.950,35.230,232847.000,sz002714,牧原股份
2025-02-06,35.350,35.320,35.380,34.840,271945.000,sz002714,牧原股份
2025-02-07,35.180,35.340,35.650,34.870,433108.000,sz002714,牧原股份
2025-02-10,35.240,35.100,35.320,34.950,328526.000,sz002714,牧原股份
2025-02-11,35.110,34.760,35.270,34.700,313600.000,sz002714,牧原股份
2025-02-12,34.620,34.830,34.840,34.350,346108.000,sz002714,牧原股份
2025-02-13,34.730,36.730,36.970,34.670,1087729.000,sz002714,牧原股份
2025-02-14,36.320,36.230,36.600,35.930,489139.000,sz002714,牧原股份
2025-02-17,36.200,36.380,36.610,35.750,415642.000,sz002714,牧原股份
2025-02-18,36.420,35.690,36.580,35.620,361634.000,sz002714,牧原股份
2025-02-19,35.630,35.920,36.010,35.330,436714.000,sz002714,牧原股份
2025-02-20,35.900,35.440,35.900,35.420,304871.000,sz002714,牧原股份
2025-02-21,35.520,35.520,36.580,35.400,520216.000,sz002714,牧原股份
2025-02-24,35.890,35.720,36.360,35.550,534925.000,sz002714,牧原股份
2025-02-25,35.540,35.110,35.540,35.030,336330.000,sz002714,牧原股份
2025-02-26,35.120,35.350,35.370,34.900,292514.000,sz002714,牧原股份
2025-02-27,35.320,35.030,35.410,34.790,340966.000,sz002714,牧原股份
2025-02-28,34.990,34.810,35.600,34.720,427853.000,sz002714,牧原股份
2025-03-03,34.810,35.190,35.590,34.630,431883.000,sz002714,牧原股份
2025-03-04,35.200,35.590,35.830,34.800,365465.000,sz002714,牧原股份
2025-03-05,35.620,35.100,35.680,35.040,286757.000,sz002714,牧原股份
2025-03-06,35.220,35.370,35.470,34.920,317559.000,sz002714,牧原股份
2025-03-07,35.270,35.420,35.780,35.140,377782.000,sz002714,牧原股份
2025-03-10,36.020,35.830,36.110,35.480,485542.000,sz002714,牧原股份
2025-03-11,35.430,36.620,36.650,35.380,697370.000,sz002714,牧原股份
2025-03-12,36.630,36.490,36.700,36.300,380513.000,sz002714,牧原股份
2025-03-13,36.470,36.550,36.730,36.380,335989.000,sz002714,牧原股份
2025-03-14,36.710,37.020,37.190,36.570,489494.000,sz002714,牧原股份
2025-03-17,37.350,37.730,38.090,37.190,532194.000,sz002714,牧原股份
2025-03-18,37.710,37.150,37.710,37.020,421433.000,sz002714,牧原股份
2025-03-19,37.120,37.260,37.270,36.800,308693.000,sz002714,牧原股份
2025-03-20,37.620,36.780,37.620,36.770,425599.000,sz002714,牧原股份
2025-03-21,36.780,37.100,37.770,36.240,542622.000,sz002714,牧原股份
2025-03-24,36.720,36.770,36.900,36.080,305369.000,sz002714,牧原股份
2025-03-25,36.810,37.120,37.120,36.490,304882.000,sz002714,牧原股份
2025-03-26,37.140,38.490,38.720,37.020,937084.000,sz002714,牧原股份
2025-03-27,38.460,38.310,38.650,38.230,354833.000,sz002714,牧原股份
2025-03-28,38.310,38.160,38.320,37.910,278249.000,sz002714,牧原股份
2025-03-31,37.980,37.250,38.430,37.180,351708.000,sz002714,牧原股份
2025-04-01,37.230,37.300,37.950,37.180,307321.000,sz002714,牧原股份
2025-04-02,37.320,37.560,37.700,37.320,263667.000,sz002714,牧原股份
