,open,high,low,close,volume,code,name
2024-11-26,48.01,48.88,47.0,47.04,63659832.0,sz002230,科大讯飞
2024-11-27,46.92,48.5,46.48,48.48,65878381.0,sz002230,科大讯飞
2024-11-28,48.5,49.18,47.77,47.82,58074797.0,sz002230,科大讯飞
2024-11-29,47.5,52.53,47.41,51.31,155844163.0,sz002230,科大讯飞
2024-12-02,51.0,51.49,50.5,51.15,87295210.0,sz002230,科大讯飞
2024-12-03,51.15,51.39,49.36,49.88,76900285.0,sz002230,科大讯飞
2024-12-04,50.07,50.76,49.41,49.88,67458177.0,sz002230,科大讯飞
2024-12-05,49.98,52.09,49.98,51.3,93918221.0,sz002230,科大讯飞
2024-12-06,52.38,52.93,50.88,51.82,87702554.0,sz002230,科大讯飞
2024-12-09,51.84,54.21,51.84,52.68,91582247.0,sz002230,科大讯飞
2024-12-10,54.21,56.8,52.79,54.51,152641172.0,sz002230,科大讯飞
2024-12-11,53.92,54.04,52.45,53.21,81031303.0,sz002230,科大讯飞
2024-12-12,53.0,53.8,51.85,52.33,73388309.0,sz002230,科大讯飞
2024-12-13,52.0,52.65,50.86,50.97,68369835.0,sz002230,科大讯飞
2024-12-16,51.0,51.5,50.21,50.5,46652651.0,sz002230,科大讯飞
2024-12-17,50.3,50.91,49.71,49.94,43940461.0,sz002230,科大讯飞
2024-12-18,50.01,51.1,49.61,50.6,44409009.0,sz002230,科大讯飞
2024-12-19,50.0,51.86,49.85,51.59,60221003.0,sz002230,科大讯飞
2024-12-20,51.29,52.5,50.99,51.75,60396855.0,sz002230,科大讯飞
2024-12-23,51.77,51.8,50.15,50.24,46323866.0,sz002230,科大讯飞
2024-12-24,50.24,50.5,49.46,50.28,42544548.0,sz002230,科大讯飞
2024-12-25,50.24,50.94,49.71,49.87,35629235.0,sz002230,科大讯飞
2024-12-26,49.87,51.28,49.77,50.8,42953883.0,sz002230,科大讯飞
2024-12-27,50.62,51.24,49.8,49.96,46529395.0,sz002230,科大讯飞
2024-12-30,49.81,51.0,48.81,50.1,47296657.0,sz002230,科大讯飞
2024-12-31,50.1,50.59,48.3,48.32,51430074.0,sz002230,科大讯飞
2025-01-02,48.02,48.22,46.0,46.3,55514657.0,sz002230,科大讯飞
2025-01-03,46.46,46.62,44.44,44.47,52476776.0,sz002230,科大讯飞
2025-01-06,44.4,45.41,44.02,44.4,29570815.0,sz002230,科大讯飞
2025-01-07,44.55,45.24,44.3,45.21,32791879.0,sz002230,科大讯飞
2025-01-08,45.01,45.5,43.73,45.09,42800895.0,sz002230,科大讯飞
2025-01-09,44.98,46.09,44.82,45.41,34101338.0,sz002230,科大讯飞
2025-01-10,45.5,46.1,44.8,44.8,34920089.0,sz002230,科大讯飞
2025-01-13,44.28,46.0,44.03,45.13,40761350.0,sz002230,科大讯飞
2025-01-14,45.25,47.17,44.89,47.01,57814700.0,sz002230,科大讯飞
2025-01-15,47.11,47.4,46.35,46.49,38280576.0,sz002230,科大讯飞
2025-01-16,46.98,49.81,46.96,48.16,87361768.0,sz002230,科大讯飞
2025-01-17,47.77,48.59,47.66,47.93,41741262.0,sz002230,科大讯飞
2025-01-20,48.51,48.69,47.66,47.81,34576759.0,sz002230,科大讯飞
2025-01-21,48.09,48.29,47.5,48.17,34858794.0,sz002230,科大讯飞
2025-01-22,48.2,48.35,47.68,47.79,29033948.0,sz002230,科大讯飞
2025-01-23,48.3,48.99,47.35,47.36,41005970.0,sz002230,科大讯飞
2025-01-24,47.35,50.49,47.25,49.82,89496034.0,sz002230,科大讯飞
