,open,high,low,close,volume,code,name
2024-11-26,70.11,71.2,69.35,70.6,27418796.0,sz000333,美的集团
2024-11-27,70.32,71.5,69.74,71.32,26482499.0,sz000333,美的集团
2024-11-28,72.0,72.0,69.76,70.19,32328951.0,sz000333,美的集团
2024-11-29,69.68,70.77,69.55,70.13,27750141.0,sz000333,美的集团
2024-12-02,70.15,70.53,69.23,70.08,35790565.0,sz000333,美的集团
2024-12-03,70.0,70.0,69.4,69.85,31317422.0,sz000333,美的集团
2024-12-04,69.88,71.99,69.6,71.49,53195506.0,sz000333,美的集团
2024-12-05,71.6,72.88,71.42,71.72,36764463.0,sz000333,美的集团
2024-12-06,71.78,73.13,71.51,72.85,45677846.0,sz000333,美的集团
2024-12-09,72.01,73.88,71.31,73.13,41321923.0,sz000333,美的集团
2024-12-10,76.51,76.66,73.79,73.84,55513289.0,sz000333,美的集团
2024-12-11,73.7,75.33,73.6,75.1,33543390.0,sz000333,美的集团
2024-12-12,75.2,75.75,74.37,75.56,28639814.0,sz000333,美的集团
2024-12-13,75.2,75.23,73.33,74.0,37063334.0,sz000333,美的集团
2024-12-16,74.1,74.45,72.65,73.22,28047059.0,sz000333,美的集团
2024-12-17,73.2,74.68,72.81,73.67,27887305.0,sz000333,美的集团
2024-12-18,73.66,74.58,73.58,74.1,22578549.0,sz000333,美的集团
2024-12-19,73.86,75.23,73.24,74.44,25355278.0,sz000333,美的集团
2024-12-20,74.43,74.79,73.66,74.0,20939651.0,sz000333,美的集团
2024-12-23,74.0,75.25,73.95,74.61,22602881.0,sz000333,美的集团
2024-12-24,74.4,76.38,74.4,76.25,34414101.0,sz000333,美的集团
2024-12-25,76.3,76.6,75.04,75.54,22733866.0,sz000333,美的集团
2024-12-26,75.26,76.24,74.65,75.98,24214292.0,sz000333,美的集团
2024-12-27,75.98,76.05,74.8,75.42,19842117.0,sz000333,美的集团
2024-12-30,75.0,76.18,74.92,75.32,22182724.0,sz000333,美的集团
2024-12-31,75.1,76.05,74.69,75.22,30766003.0,sz000333,美的集团
2025-01-02,75.4,77.2,75.0,75.32,41367089.0,sz000333,美的集团
2025-01-03,75.0,76.06,73.9,74.69,29642200.0,sz000333,美的集团
2025-01-06,74.68,76.28,74.28,75.38,30681009.0,sz000333,美的集团
2025-01-07,75.0,76.76,74.5,75.93,25178525.0,sz000333,美的集团
2025-01-08,75.51,77.66,75.43,77.58,40692962.0,sz000333,美的集团
2025-01-09,77.7,79.0,77.2,78.73,34598694.0,sz000333,美的集团
2025-01-10,78.73,78.89,76.37,76.37,27109567.0,sz000333,美的集团
2025-01-13,75.61,76.02,73.93,74.3,25584606.0,sz000333,美的集团
2025-01-14,74.3,75.35,73.43,74.62,28858396.0,sz000333,美的集团
2025-01-15,74.64,75.77,73.6,73.82,25663453.0,sz000333,美的集团
2025-01-16,73.99,75.45,73.9,74.09,26233035.0,sz000333,美的集团
2025-01-17,74.08,74.87,73.63,74.35,15928751.0,sz000333,美的集团
2025-01-20,75.1,76.74,74.88,74.89,29699251.0,sz000333,美的集团
2025-01-21,75.26,75.29,74.22,74.4,16286277.0,sz000333,美的集团
2025-01-22,74.38,74.38,72.28,73.0,32217997.0,sz000333,美的集团
2025-01-23,73.4,73.92,72.4,73.41,27008672.0,sz000333,美的集团
2025-01-24,73.01,73.64,72.55,72.82,30486076.0,sz000333,美的集团
2025-01-27,72.86,74.3,72.62,73.88,28011516.0,sz000333,美的集团
2025-02-05,73.4,73.69,71.68,72.21,36351088.0,sz000333,美的集团
2025-02-06,72.18,72.56,71.43,72.27,28567493.0,sz000333,美的集团
2025-02-07,72.4,73.44,71.67,73.44,35534968.0,sz000333,美的集团
2025-02-10,73.32,73.33,72.5,73.01,31864987.0,sz000333,美的集团
2025-02-11,73.44,73.86,72.61,73.7,30044016.0,sz000333,美的集团
2025-02-12,73.46,73.59,72.68,73.28,22807278.0,sz000333,美的集团
2025-02-13,73.0,73.39,72.13,72.14,41066444.0,sz000333,美的集团
2025-02-14,72.12,72.69,71.9,72.49,23435076.0,sz000333,美的集团
2025-02-17,72.25,72.47,71.25,72.04,40235806.0,sz000333,美的集团
2025-02-18,71.99,72.65,71.53,71.9,29346513.0,sz000333,美的集团
2025-02-19,71.3,71.97,71.0,71.45,33715017.0,sz000333,美的集团
2025-02-20,71.41,71.71,71.06,71.23,31420228.0,sz000333,美的集团
2025-02-21,71.02,71.23,70.2,70.59,55339013.0,sz000333,美的集团
2025-02-24,70.65,71.5,70.28,70.89,46937741.0,sz000333,美的集团
2025-02-25,70.5,70.67,68.98,69.03,56599867.0,sz000333,美的集团
2025-02-26,68.71,70.16,68.7,70.12,40412376.0,sz000333,美的集团
