,open,high,low,close,volume,code,name
2024-11-26,40.28,41.18,40.14,40.45,14282620.0,sh600893,航发动力
2024-11-27,40.07,41.5,39.9,41.29,17213376.0,sh600893,航发动力
2024-11-28,41.16,42.14,40.9,40.97,14112388.0,sh600893,航发动力
2024-11-29,40.91,42.11,40.84,41.88,16754553.0,sh600893,航发动力
2024-12-02,41.95,42.37,41.33,41.8,26762329.0,sh600893,航发动力
2024-12-03,41.81,41.88,41.13,41.62,14414080.0,sh600893,航发动力
2024-12-04,41.55,41.7,41.02,41.36,13410800.0,sh600893,航发动力
2024-12-05,41.17,42.08,41.0,41.84,11822590.0,sh600893,航发动力
2024-12-06,41.8,42.11,41.65,41.75,12173933.0,sh600893,航发动力
2024-12-09,41.41,41.57,40.0,40.27,26354399.0,sh600893,航发动力
2024-12-10,41.12,41.34,40.5,40.68,18693018.0,sh600893,航发动力
2024-12-11,40.6,40.67,40.13,40.5,9923408.0,sh600893,航发动力
2024-12-12,40.8,41.65,40.8,41.23,20268907.0,sh600893,航发动力
2024-12-13,40.95,40.99,39.9,40.2,19639054.0,sh600893,航发动力
2024-12-16,40.15,40.19,39.57,39.91,12669300.0,sh600893,航发动力
2024-12-17,39.83,40.29,39.61,39.77,8103013.0,sh600893,航发动力
2024-12-18,39.81,40.15,39.71,40.02,9271882.0,sh600893,航发动力
2024-12-19,39.65,40.05,39.36,39.98,7424277.0,sh600893,航发动力
2024-12-20,39.88,40.2,39.78,40.03,8448784.0,sh600893,航发动力
2024-12-23,39.99,40.28,39.22,39.3,14607008.0,sh600893,航发动力
2024-12-24,39.33,39.8,39.33,39.75,9333061.0,sh600893,航发动力
2024-12-25,39.7,40.6,39.5,40.47,13971366.0,sh600893,航发动力
2024-12-26,40.6,41.85,40.5,40.89,21344396.0,sh600893,航发动力
2024-12-27,42.69,42.88,40.91,41.19,38237240.0,sh600893,航发动力
2024-12-30,41.28,41.47,40.8,40.85,18683140.0,sh600893,航发动力
2024-12-31,40.86,41.8,40.39,41.45,28553603.0,sh600893,航发动力
2025-01-02,41.01,41.5,40.1,40.29,18921387.0,sh600893,航发动力
2025-01-03,40.28,40.44,38.89,39.2,17002435.0,sh600893,航发动力
2025-01-06,38.98,39.27,37.86,38.24,14755672.0,sh600893,航发动力
2025-01-07,38.27,38.6,37.92,38.56,8791120.0,sh600893,航发动力
2025-01-08,38.3,38.46,37.0,37.71,15149313.0,sh600893,航发动力
2025-01-09,37.66,39.36,37.31,38.9,17523894.0,sh600893,航发动力
2025-01-10,38.95,39.78,38.58,38.58,11098538.0,sh600893,航发动力
2025-01-13,38.0,39.22,37.88,38.77,9515564.0,sh600893,航发动力
2025-01-14,38.69,39.29,38.47,39.09,21112093.0,sh600893,航发动力
2025-01-15,39.0,39.15,38.33,38.55,10224867.0,sh600893,航发动力
2025-01-16,38.59,39.06,38.1,38.26,10362429.0,sh600893,航发动力
2025-01-17,38.09,39.37,38.09,38.97,14850260.0,sh600893,航发动力
2025-01-20,38.93,39.4,38.84,38.87,12122677.0,sh600893,航发动力
2025-01-21,38.98,38.99,37.88,38.03,11869687.0,sh600893,航发动力
2025-01-22,38.0,38.0,37.28,37.61,10882005.0,sh600893,航发动力
2025-01-23,37.82,38.19,37.2,37.24,11785389.0,sh600893,航发动力
2025-01-24,37.21,37.55,37.06,37.33,8124211.0,sh600893,航发动力
2025-01-27,37.33,37.86,37.32,37.34,8134754.0,sh600893,航发动力
2025-02-05,37.45,38.1,37.24,37.94,10541510.0,sh600893,航发动力
2025-02-06,37.97,39.05,37.66,39.03,13334304.0,sh600893,航发动力
2025-02-07,39.07,39.18,38.5,38.83,13449939.0,sh600893,航发动力
2025-02-10,38.82,38.98,38.59,38.78,9861574.0,sh600893,航发动力
2025-02-11,38.78,38.87,38.0,38.28,12726121.0,sh600893,航发动力
2025-02-12,38.12,38.42,38.0,38.4,8072406.0,sh600893,航发动力
2025-02-13,38.48,39.79,38.41,39.1,25185861.0,sh600893,航发动力
2025-02-14,39.0,39.3,38.3,38.5,13945377.0,sh600893,航发动力
2025-02-17,38.51,38.55,37.3,37.7,30836536.0,sh600893,航发动力
2025-02-18,37.68,37.72,36.75,36.85,22165116.0,sh600893,航发动力
2025-02-19,36.6,37.15,36.6,37.0,14649939.0,sh600893,航发动力
