date,open,high,low,close,volume,code,name
2024-11-26,9.506,9.426,9.526,9.366,166149.000,sz002493,荣盛石化
2024-11-27,9.396,9.536,9.546,9.306,168249.000,sz002493,荣盛石化
2024-11-28,9.536,9.446,9.586,9.436,140300.000,sz002493,荣盛石化
2024-11-29,9.416,9.446,9.526,9.406,177676.000,sz002493,荣盛石化
2024-12-02,9.406,9.646,9.666,9.356,283321.000,sz002493,荣盛石化
2024-12-03,9.626,9.596,9.656,9.506,155257.000,sz002493,荣盛石化
2024-12-04,9.536,9.486,9.596,9.426,186899.000,sz002493,荣盛石化
2024-12-05,9.426,9.386,9.466,9.336,169969.000,sz002493,荣盛石化
2024-12-06,9.376,9.456,9.476,9.336,146174.000,sz002493,荣盛石化
2024-12-09,9.456,9.506,9.586,9.426,169069.000,sz002493,荣盛石化
2024-12-10,9.746,9.526,9.766,9.506,249294.000,sz002493,荣盛石化
2024-12-11,9.486,9.566,9.596,9.486,151680.000,sz002493,荣盛石化
2024-12-12,9.566,9.686,9.726,9.506,246955.000,sz002493,荣盛石化
2024-12-13,9.636,9.406,9.666,9.376,270854.000,sz002493,荣盛石化
2024-12-16,9.386,9.206,9.446,9.186,224036.000,sz002493,荣盛石化
2024-12-17,9.206,9.196,9.336,9.186,183552.000,sz002493,荣盛石化
2024-12-18,9.206,9.136,9.296,9.126,144023.000,sz002493,荣盛石化
2024-12-19,9.076,9.086,9.086,8.976,156803.000,sz002493,荣盛石化
2024-12-20,9.076,9.006,9.126,8.996,167063.000,sz002493,荣盛石化
2024-12-23,9.006,8.976,9.146,8.966,183318.000,sz002493,荣盛石化
2024-12-24,8.976,9.126,9.136,8.976,154306.000,sz002493,荣盛石化
2024-12-25,9.136,9.056,9.166,8.996,93263.000,sz002493,荣盛石化
2024-12-26,9.046,8.996,9.066,8.986,116603.000,sz002493,荣盛石化
2024-12-27,8.996,9.056,9.076,8.976,152632.000,sz002493,荣盛石化
2024-12-30,9.056,9.106,9.156,9.026,176985.000,sz002493,荣盛石化
2024-12-31,9.136,8.956,9.206,8.956,201695.000,sz002493,荣盛石化
2025-01-02,8.966,8.666,9.016,8.606,284128.000,sz002493,荣盛石化
2025-01-03,8.676,8.716,8.926,8.646,243149.000,sz002493,荣盛石化
2025-01-06,8.716,8.796,8.836,8.646,156999.000,sz002493,荣盛石化
2025-01-07,8.766,8.726,8.816,8.646,143289.000,sz002493,荣盛石化
2025-01-08,8.666,8.596,8.716,8.476,154134.000,sz002493,荣盛石化
2025-01-09,8.556,8.576,8.626,8.516,96006.000,sz002493,荣盛石化
2025-01-10,8.556,8.416,8.656,8.416,136453.000,sz002493,荣盛石化
2025-01-13,8.436,8.626,8.706,8.416,230669.000,sz002493,荣盛石化
2025-01-14,8.606,8.846,8.846,8.566,200541.000,sz002493,荣盛石化
2025-01-15,8.846,8.856,8.926,8.726,158636.000,sz002493,荣盛石化
2025-01-16,8.896,8.846,8.976,8.756,185488.000,sz002493,荣盛石化
2025-01-17,8.796,8.866,8.946,8.776,120192.000,sz002493,荣盛石化
2025-01-20,8.896,8.756,8.926,8.736,151409.000,sz002493,荣盛石化
2025-01-21,8.786,8.546,8.796,8.526,192007.000,sz002493,荣盛石化
2025-01-22,8.516,8.446,8.546,8.306,200770.000,sz002493,荣盛石化
2025-01-23,8.496,8.506,8.626,8.446,210784.000,sz002493,荣盛石化
2025-01-24,8.476,8.526,8.556,8.466,142426.000,sz002493,荣盛石化
2025-01-27,8.536,8.736,8.896,8.526,243139.000,sz002493,荣盛石化
2025-02-05,8.736,8.786,8.826,8.626,181931.000,sz002493,荣盛石化
2025-02-06,8.756,8.746,8.796,8.656,158211.000,sz002493,荣盛石化
2025-02-07,8.746,8.936,8.986,8.696,271168.000,sz002493,荣盛石化
2025-02-10,8.936,8.926,8.956,8.846,131207.000,sz002493,荣盛石化
2025-02-11,8.916,8.906,8.956,8.826,133497.000,sz002493,荣盛石化
2025-02-12,8.916,9.006,9.056,8.906,176233.000,sz002493,荣盛石化
2025-02-13,9.006,8.966,9.086,8.956,135293.000,sz002493,荣盛石化
2025-02-14,8.936,8.896,9.016,8.846,148905.000,sz002493,荣盛石化
2025-02-17,8.906,8.826,8.946,8.796,172713.000,sz002493,荣盛石化
2025-02-18,8.836,8.776,8.916,8.746,163872.000,sz002493,荣盛石化
2025-02-19,8.756,8.796,8.806,8.686,142142.000,sz002493,荣盛石化
2025-02-20,8.766,8.776,8.796,8.696,136004.000,sz002493,荣盛石化
2025-02-21,8.766,8.756,8.826,8.696,153247.000,sz002493,荣盛石化
2025-02-24,8.706,8.746,8.866,8.696,168081.000,sz002493,荣盛石化
2025-02-25,8.726,8.606,8.766,8.596,215303.000,sz002493,荣盛石化
2025-02-26,8.606,8.736,8.736,8.606,175730.000,sz002493,荣盛石化
2025-02-27,8.736,8.916,8.936,8.676,291366.000,sz002493,荣盛石化
2025-02-28,8.926,8.716,8.976,8.716,261338.000,sz002493,荣盛石化
2025-03-03,8.756,8.786,8.906,8.746,177516.000,sz002493,荣盛石化
2025-03-04,8.786,8.816,8.846,8.716,146302.000,sz002493,荣盛石化
2025-03-05,8.856,8.686,8.856,8.676,149721.000,sz002493,荣盛石化
2025-03-06,8.716,8.656,8.736,8.586,254324.000,sz002493,荣盛石化
2025-03-07,8.626,8.676,8.766,8.556,277587.000,sz002493,荣盛石化
2025-03-10,8.676,8.626,8.746,8.586,196352.000,sz002493,荣盛石化
2025-03-11,8.596,8.716,8.716,8.546,192697.000,sz002493,荣盛石化
2025-03-12,8.716,8.616,8.746,8.606,200088.000,sz002493,荣盛石化
2025-03-13,8.606,8.606,8.646,8.556,154754.000,sz002493,荣盛石化
2025-03-14,8.606,8.656,8.666,8.526,244845.000,sz002493,荣盛石化
2025-03-17,8.656,8.696,8.726,8.656,211609.000,sz002493,荣盛石化
2025-03-18,8.706,8.726,8.836,8.686,216372.000,sz002493,荣盛石化
2025-03-19,8.706,8.636,8.746,8.606,194983.000,sz002493,荣盛石化
2025-03-20,8.626,8.596,8.646,8.576,146694.000,sz002493,荣盛石化
2025-03-21,8.586,8.476,8.656,8.466,247375.000,sz002493,荣盛石化
